ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1070,2021-03-25,15:45:26.69,0,3.48,0.17,29.5116238666765,-91.4517332820357
1071,2021-03-25,15:45:27.38,0.44,3.49,0.19,29.5116264612818,-91.4517299011188
1072,2021-03-25,15:45:28.13,0.92,3.51,0.23,29.51162922558,-91.4517260595782
1073,2021-03-25,15:45:28.84,1.39,3.53,0.24,29.5116317230078,-91.4517221602045
1074,2021-03-25,15:45:29.59,1.89,3.53,0.27,29.5116343036616,-91.4517178912727
1075,2021-03-25,15:45:30.32,2.38,3.55,0.47,29.5116366161352,-91.4517135294516
1076,2021-03-25,15:45:31.90,3.47,3.57,0.35,29.5116410116694,-91.4517034702546
1077,2021-03-25,15:45:31.83,3.52,3.59,0.16,29.5116408484013,-91.4517038626935
1078,2021-03-25,15:45:32.59,4.06,3.63,0.38,29.5116427609258,-91.4516987084837
1079,2021-03-25,15:45:33.32,4.59,3.67,0.57,29.5116444831341,-91.4516935612983
1080,2021-03-25,15:45:34.70,5.63,3.71,0.43,29.5116471753214,-91.4516833732853
1081,2021-03-25,15:45:34.82,5.72,3.74,0.24,29.5116474041819,-91.4516824145203
1082,2021-03-25,15:45:35.51,6.25,3.75,0.46,29.5116484825014,-91.4516770687473
1083,2021-03-25,15:45:36.28,6.85,3.76,0.69,29.5116493741381,-91.4516709572583
1084,2021-03-25,15:45:37.59,7.88,3.77,0.53,29.5116503908778,-91.4516604017015
1085,2021-03-25,15:45:37.82,8.07,3.76,0.34,29.5116504555532,-91.4516585169762
1086,2021-03-25,15:45:38.57,8.66,3.77,0.54,29.5116506079894,-91.4516523909484
1087,2021-03-25,15:45:39.30,9.24,3.77,0.78,29.5116505699151,-91.4516464101852
1088,2021-03-25,15:45:40.70,10.34,3.77,0.56,29.5116501765565,-91.4516350270688
1089,2021-03-25,15:45:40.82,10.45,3.79,0.31,29.5116501675035,-91.4516339398779
1090,2021-03-25,15:45:41.56,11.03,3.8,0.55,29.5116499681274,-91.4516279780755
1091,2021-03-25,15:45:42.31,11.62,3.83,0.74,29.511649663063,-91.4516219291634
1092,2021-03-25,15:45:43.59,12.6,3.84,0.53,29.5116490942832,-91.451611832055
1093,2021-03-25,15:45:43.80,12.76,3.87,0.33,29.5116490008896,-91.4516101663762
1094,2021-03-25,15:45:44.51,13.29,3.87,0.51,29.5116486750776,-91.4516046604126
1095,2021-03-25,15:45:45.28,13.86,3.88,0.74,29.5116484479819,-91.4515988754402
1096,2021-03-25,15:45:46.70,14.86,3.85,0.49,29.5116481997853,-91.4515884897562
1097,2021-03-25,15:45:46.82,14.95,3.92,0.28,29.5116481797591,-91.4515875450961
1098,2021-03-25,15:45:47.54,15.46,3.88,0.48,29.5116480237117,-91.4515822820739
1099,2021-03-25,15:45:48.31,16,3.85,0.72,29.5116479495394,-91.4515767660904
1100,2021-03-25,15:45:49.79,17.02,3.92,0.48,29.5116473720295,-91.4515662296447
1101,2021-03-25,15:45:49.79,17.02,3.88,0.25,29.5116473720295,-91.4515662296447
1102,2021-03-25,15:45:50.55,17.55,3.87,0.51,29.5116469208452,-91.4515608060566
1103,2021-03-25,15:45:51.33,18.1,3.87,0.53,29.5116462815495,-91.4515551913882
1104,2021-03-25,15:45:52.11,18.66,3.86,0.54,29.5116455368538,-91.4515495143628
1105,2021-03-25,15:45:52.89,19.21,3.88,0.53,29.5116446254196,-91.4515438543185
1106,2021-03-25,15:45:53.65,19.75,3.83,0.54,29.5116439927616,-91.4515383447732
1107,2021-03-25,15:45:54.39,20.33,3.88,0.56,29.5116427523039,-91.4515325587233
1108,2021-03-25,15:45:55.16,20.9,3.82,0.56,29.5116417741207,-91.4515267459838
1109,2021-03-25,15:45:55.92,21.49,3.87,0.58,29.5116405932218,-91.4515208053159
1110,2021-03-25,15:45:56.67,22.06,3.85,0.56,29.511639616493,-91.4515150400091
1111,2021-03-25,15:45:57.44,22.67,3.84,0.62,29.5116382811268,-91.4515090078153
1112,2021-03-25,15:45:58.22,23.28,3.83,0.58,29.5116369302558,-91.4515028840429
1113,2021-03-25,15:45:59.00,23.88,3.84,0.61,29.5116357805613,-91.4514968335478
1114,2021-03-25,15:45:59.77,24.51,3.79,0.59,29.5116342659007,-91.4514905926012
1115,2021-03-25,15:46:00.51,25.09,3.8,0.57,29.5116331080946,-91.4514847753764
1116,2021-03-25,15:46:01.25,25.68,3.76,0.74,29.5116317958334,-91.4514788676574
1117,2021-03-25,15:46:02.40,26.59,3.72,0.61,29.5116297168719,-91.4514697323195
1118,2021-03-25,15:46:02.79,26.92,3.67,0.45,29.5116290204229,-91.4514664933149
1119,2021-03-25,15:46:03.55,27.52,3.64,0.6,29.5116277418459,-91.4514603787592
1120,2021-03-25,15:46:04.25,28.13,3.55,0.59,29.5116261496143,-91.4514544505443
1121,2021-03-25,15:46:05.00,28.71,3.47,0.57,29.5116251568737,-91.4514485503409
1122,2021-03-25,15:46:05.72,29.31,3.4,0.61,29.5116235282413,-91.4514425958584
1123,2021-03-25,15:46:06.45,29.91,3.35,0.58,29.5116221221738,-91.4514366916319
1124,2021-03-25,15:46:07.18,30.51,3.32,0.61,29.5116204411654,-91.4514307338203
1125,2021-03-25,15:46:07.91,31.11,3.3,0.58,29.5116188791015,-91.4514248391909
1126,2021-03-25,15:46:08.59,31.69,3.29,0.6,29.5116172793111,-91.4514191143217
1127,2021-03-25,15:46:09.32,32.3,3.35,0.75,29.51161556272,-91.4514131230099
1128,2021-03-25,15:46:10.40,33.21,3.36,0.61,29.5116131176269,-91.4514042398062
1129,2021-03-25,15:46:10.76,33.52,3.4,0.45,29.5116122106379,-91.4514011308975
1130,2021-03-25,15:46:11.46,34.11,3.41,0.6,29.5116105941264,-91.4513953650187
1131,2021-03-25,15:46:12.20,34.74,3.43,0.62,29.5116088635586,-91.4513891810068
1132,2021-03-25,15:46:12.92,35.36,3.43,0.62,29.5116071689082,-91.4513831367488
1133,2021-03-25,15:46:13.67,35.99,3.46,0.62,29.5116055247354,-91.4513768554805
1134,2021-03-25,15:46:14.39,36.6,3.5,0.62,29.5116039147098,-91.4513708718321
1135,2021-03-25,15:46:15.14,37.24,3.5,0.63,29.5116021066619,-91.4513645435411
1136,2021-03-25,15:46:15.86,37.86,3.54,0.62,29.5116005245334,-91.4513584759093
1137,2021-03-25,15:46:16.61,38.47,3.55,0.6,29.5115989295084,-91.4513523857747
1138,2021-03-25,15:46:17.33,39.1,3.58,0.94,29.5115971799556,-91.4513462763305
1139,2021-03-25,15:46:18.89,40.4,3.61,0.62,29.5115939915514,-91.4513333078799
1140,2021-03-25,15:46:18.78,40.5,3.65,0.25,29.5115942261221,-91.451334233799
1141,2021-03-25,15:46:19.52,41.12,3.65,0.61,29.511592794419,-91.4513280658712
1142,2021-03-25,15:46:20.23,41.71,3.69,0.61,29.5115912988969,-91.4513221516624
1143,2021-03-25,15:46:20.99,42.35,3.71,0.62,29.5115897637082,-91.4513157758915
1144,2021-03-25,15:46:21.71,42.96,3.74,0.61,29.5115882208518,-91.4513097489255
1145,2021-03-25,15:46:22.45,43.59,3.74,0.61,29.5115867551295,-91.4513035268405
1146,2021-03-25,15:46:23.19,44.21,3.76,0.63,29.511585240495,-91.4512973663659
1147,2021-03-25,15:46:23.96,44.86,3.78,0.62,29.5115836310016,-91.451290886502
1148,2021-03-25,15:46:24.69,45.47,3.78,0.61,29.5115821331217,-91.4512848475039
1149,2021-03-25,15:46:25.45,46.1,3.78,0.62,29.5115806035597,-91.4512785675895
1150,2021-03-25,15:46:26.18,46.71,3.79,0.61,29.5115791563465,-91.4512725401996
1151,2021-03-25,15:46:26.94,47.34,3.78,0.62,29.5115776881333,-91.4512662593516
1152,2021-03-25,15:46:27.67,47.94,3.77,0.61,29.5115762623078,-91.4512602089406
1153,2021-03-25,15:46:28.44,48.58,3.75,0.61,29.5115747861556,-91.4512538663168
1154,2021-03-25,15:46:29.16,49.18,3.75,0.61,29.5115734731632,-91.4512478967175
1155,2021-03-25,15:46:29.91,49.81,3.74,0.62,29.5115719323277,-91.4512416561781
1156,2021-03-25,15:46:30.65,50.43,3.73,0.62,29.5115704779211,-91.4512354762183
1157,2021-03-25,15:46:31.41,51.07,3.71,0.62,29.5115689243361,-91.4512290708143
1158,2021-03-25,15:46:32.13,51.68,3.69,0.62,29.5115674015532,-91.4512229857731
1159,2021-03-25,15:46:32.90,52.34,3.67,0.66,29.5115657854767,-91.4512164833174
1160,2021-03-25,15:46:33.67,53,3.64,0.62,29.5115641112142,-91.451209943576
1161,2021-03-25,15:46:34.38,53.61,3.62,0.63,29.5115625948895,-91.4512039481897
1162,2021-03-25,15:46:35.14,54.27,3.6,0.62,29.5115607576412,-91.4511974377525
1163,2021-03-25,15:46:35.82,54.86,3.58,0.62,29.511559153573,-91.4511915788466
1164,2021-03-25,15:46:36.57,55.52,3.56,0.65,29.5115573389982,-91.4511851557525
1165,2021-03-25,15:46:37.31,56.17,3.55,0.93,29.511555438065,-91.4511787556387
1166,2021-03-25,15:46:38.70,57.39,3.53,0.66,29.5115519602316,-91.4511668149745
1167,2021-03-25,15:46:38.78,57.48,3.53,0.37,29.5115516885006,-91.4511659525509
1168,2021-03-25,15:46:39.53,58.14,3.54,0.65,29.5115498500712,-91.4511594957782
1169,2021-03-25,15:46:40.25,58.79,3.54,0.74,29.5115479324385,-91.4511532114608
1170,2021-03-25,15:46:41.20,59.63,3.54,0.67,29.5115454526523,-91.4511449921307
1171,2021-03-25,15:46:41.74,60.12,3.53,0.57,29.5115440022181,-91.4511402378141
1172,2021-03-25,15:46:42.48,60.78,3.54,0.65,29.5115420171269,-91.4511337399476
1173,2021-03-25,15:46:43.19,61.42,3.5,0.66,29.511540058737,-91.4511275202121
1174,2021-03-25,15:46:43.95,62.12,3.48,0.67,29.5115379745145,-91.4511208010258
1175,2021-03-25,15:46:44.67,62.77,3.46,0.67,29.5115359032421,-91.4511144963532
1176,2021-03-25,15:46:45.43,63.46,3.41,0.68,29.5115338327684,-91.4511077955277
1177,2021-03-25,15:46:46.17,64.13,3.42,0.68,29.5115318231238,-91.4511012815299
1178,2021-03-25,15:46:46.92,64.81,3.4,0.66,29.5115296565101,-91.451094693584
1179,2021-03-25,15:46:47.63,65.45,3.4,0.73,29.511527706394,-91.4510884871338
1180,2021-03-25,15:46:48.54,66.27,3.43,0.74,29.5115251380541,-91.4510804899238
1181,2021-03-25,15:46:49.27,66.92,3.44,0.64,29.5115230815156,-91.4510742108196
1182,2021-03-25,15:46:50.00,67.56,3.48,0.65,29.5115210677878,-91.4510680435104
1183,2021-03-25,15:46:50.75,68.23,3.52,0.64,29.5115189401812,-91.4510616282835
1184,2021-03-25,15:46:51.46,68.85,3.59,0.64,29.5115170283993,-91.4510556141654
1185,2021-03-25,15:46:52.21,69.51,3.62,0.65,29.511514875819,-91.4510492240782
1186,2021-03-25,15:46:52.94,70.15,3.63,0.65,29.5115129091374,-91.4510429900299
1187,2021-03-25,15:46:53.69,70.81,3.65,0.65,29.5115108650123,-91.4510366147974
1188,2021-03-25,15:46:54.42,71.46,3.67,0.64,29.5115088210297,-91.4510304066859
1189,2021-03-25,15:46:55.17,72.1,3.67,0.65,29.5115068887154,-91.4510241019641
1190,2021-03-25,15:46:55.91,72.75,3.68,0.64,29.5115047632822,-91.4510178734299
1191,2021-03-25,15:46:56.63,73.37,3.68,0.61,29.5115028530379,-91.451011836593
1192,2021-03-25,15:46:57.33,73.99,3.68,0.63,29.511500887218,-91.4510059089264
1193,2021-03-25,15:46:58.09,74.64,3.69,0.64,29.5114988935291,-91.4509996030769
1194,2021-03-25,15:46:58.82,75.27,3.67,0.64,29.5114969006679,-91.4509935231412
1195,2021-03-25,15:46:59.57,75.92,3.69,0.63,29.5114948404203,-91.4509872358436
1196,2021-03-25,15:47:00.27,76.54,3.69,0.8,29.5114928164373,-91.4509812729549
1197,2021-03-25,15:47:01.40,77.52,3.69,0.63,29.5114895114678,-91.4509719334819
1198,2021-03-25,15:47:01.73,77.8,3.69,0.48,29.5114885714209,-91.4509691634559
1199,2021-03-25,15:47:02.48,78.47,3.7,0.67,29.5114861084321,-91.4509628513448
1200,2021-03-25,15:47:03.22,79.14,3.72,0.67,29.5114837126982,-91.4509565805061
1201,2021-03-25,15:47:03.99,79.83,3.71,0.68,29.5114812235716,-91.4509500387425
1202,2021-03-25,15:47:04.72,80.49,3.72,0.68,29.5114786967655,-91.4509438256081
1203,2021-03-25,15:47:05.47,81.17,3.72,0.67,29.5114760869827,-91.450937461058
1204,2021-03-25,15:47:06.19,81.83,3.72,0.68,29.5114735337831,-91.4509313060968
1205,2021-03-25,15:47:06.96,82.54,3.72,0.69,29.5114706659731,-91.4509247907342
1206,2021-03-25,15:47:07.69,83.21,3.73,0.67,29.511468078165,-91.450918608447
1207,2021-03-25,15:47:08.43,83.89,3.72,0.68,29.511465287207,-91.4509123384718
1208,2021-03-25,15:47:09.15,84.55,3.71,0.68,29.5114625820756,-91.4509062322479
