profiler_id,team,basin,campaign,filename,transect,location,site_name,replicate,planned_latitude,planned_longitude,start_date,start_time,start_ensemble,start_latitude,start_longitude,end_date,end_time,end_ensemble,end_latitude,end_longitude,width,area,boat_speed,mean_speed,discharge_side,discharge_top,discharge_middle,discharge_bottom,discharge_total,flow_direction,notes,mount_type
"Teledyne RiverPro","Caltech","Terrebonne","Fall 2021","ADCP_20210816-174304_LUMCON_VP-Lumcon_001_Rep1_Bathy.csv",1,"LUMCON","VP-Lumcon",1,-9999,-9999,"2021-08-16","17:43:04",332,29.24746287,-90.67510988,"2021-08-16","17:45:11",513,29.24605531,-90.67419579,191.976,187.659,1.433,0.026,-0.319,1.506,3.794,0.458,5.439,58.985,"","Boat port side"
"Teledyne RiverPro","Caltech","Terrebonne","Fall 2021","ADCP_20210816-174740_LUMCON_VP-Lumcon_002_Rep2_Bathy.csv",2,"LUMCON","VP-Lumcon",2,-9999,-9999,"2021-08-16","17:47:40",730,29.24603903,-90.67432637,"2021-08-16","17:49:53",920,29.24757581,-90.6750535,193.967,183.299,1.577,0.063,-0.977,10.929,8.978,2.419,21.349,236.641,"","Boat port side"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-125221_WLO_WLO-A_001_Rep1_Bathy.csv",1,"WLO","WLO-A",1,29.65466254,-91.39171912,"2021-08-17","12:52:21",1,29.65396453,-91.38978216,"2021-08-17","13:07:09",889,29.65403716,-91.39193586,240.99,3928.66,0.302,0.41,3.69,77.61,1290.61,240.36,1612.27,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-131039_WLO_WLO-A_002_Rep2_Bathy.csv",2,"WLO","WLO-A",2,29.65466254,-91.39171912,"2021-08-17","13:10:39",1,29.65477583,-91.3915823,"2021-08-17","13:19:45",547,29.65354798,-91.38994563,234.065,3403.18,0.472,0.485,5.3,77.59,1310.96,255.21,1649.05,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-143024_WLO_WLO-C_003_Rep1_Bathy.csv",3,"WLO","WLO-C",1,29.6443586,-91.39667853,"2021-08-17","14:30:24",1,29.64427056,-91.39659461,"2021-08-17","14:43:50",807,29.64292421,-91.39377268,351.482,3847.99,0.431,0.443,5.21,83.58,1349.72,267.62,1706.12,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-144558_WLO_WLO-C_004_Rep2_Bathy.csv",4,"WLO","WLO-C",2,29.6443586,-91.39667853,"2021-08-17","14:45:58",1,29.64301202,-91.3936716,"2021-08-17","15:02:52",1015,29.64388944,-91.39684568,349.513,3867.24,0.358,0.438,5.15,84.13,1333.69,270.07,1693.04,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-154401_WLO_WLO-D_005_Rep1_Bathy.csv",5,"WLO","WLO-D",1,29.544739,-91.42957934,"2021-08-17","15:44:01",1,29.54432181,-91.42602544,"2021-08-17","16:03:53",1189,29.54468373,-91.42939853,352.536,3975.85,0.325,0.414,1.14,85.23,1302.83,257.08,1646.28,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-160447_WLO_WLO-D_006_Rep2_Bathy.csv",6,"WLO","WLO-D",2,29.544739,-91.42957934,"2021-08-17","16:04:47",1,29.54478616,-91.42944988,"2021-08-17","16:21:55",1029,29.54380081,-91.4262054,367.315,4048.87,0.361,0.407,2.1,85.53,1310.24,249.94,1647.81,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-162232_WLO_WLO-D_007_Rep3_Bathy.csv",7,"WLO","WLO-D",3,29.544739,-91.42957934,"2021-08-17","16:22:32",1,29.54390617,-91.42617118,"2021-08-17","16:39:05",994,29.54479994,-91.42937991,375.896,3912.35,0.392,0.448,2.72,92.17,1391.91,267.73,1754.54,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-180701_WLO_WLO-C_008_Rep1_Bathy.csv",8,"WLO","WLO-C",1,29.6443586,-91.39667853,"2021-08-17","18:07:01",1,29.64372305,-91.39338586,"2021-08-17","18:23:12",972,29.64423811,-91.39656298,342.73,3745.77,0.346,0.537,10.73,100.55,1600.17,300.92,2012.37,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210817-182352_WLO_WLO-C_009_Rep2_Bathy.csv",9,"WLO","WLO-C",2,29.6443586,-91.39667853,"2021-08-17","18:23:52",1,29.64423045,-91.39659708,"2021-08-17","18:38:16",865,29.6432453,-91.39358379,339.567,3846.11,0.404,0.557,6.67,104.93,1695.96,333.8,2141.36,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210818-123141_ATCH-ICWW_Atch-A_001_Rep1_Bathy.csv",1,"ATCH-ICWW","Atch-A",1,29.653818,-91.24461584,"2021-08-18","12:31:41",1,29.65385231,-91.24462465,"2021-08-18","13:01:41",1801,29.6533351,-91.24060761,445.254,3828.85,0.231,0.223,7.26,51.86,652.54,141.23,852.9,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210818-131345_ATCH-ICWW_Atch-A_002_Rep2_Bathy.csv",2,"ATCH-ICWW","Atch-A",2,29.653818,-91.24461584,"2021-08-18","13:13:45",1,29.65333742,-91.24061836,"2021-08-18","13:32:35",1131,29.65357386,-91.2444213,442.392,3969.35,0.353,0.254,19.58,59.68,762.35,168.46,1010.08,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210818-134523_ATCH-ICWW_ICWW-C_003_Rep1_Bathy.csv",3,"ATCH-ICWW","ICWW-C",1,29.65764502,-91.24970453,"2021-08-18","13:45:23",1,29.65616625,-91.24923594,"2021-08-18","13:55:08",586,29.65784295,-91.2487446,222.168,1056.6,0.333,-0.05,-0.93,-3.6,-40.79,-7.48,52.81,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210818-135600_ATCH-ICWW_ICWW-C_004_Rep2_Bathy.csv",4,"ATCH-ICWW","ICWW-C",2,29.65764502,-91.24970453,"2021-08-18","13:56:00",1,29.65781224,-91.24874626,"2021-08-18","14:08:52",773,29.65652556,-91.24815877,194.41,955.397,0.223,-0.062,-2.14,-4.11,-44.25,-8.62,59.12,-9999,"","Hydroboard"
"Sontek RiverSurveyor M9","JPL","Atchafalaya","Fall 2021","ADCP_20210818-143244_ATCH-ICWW_ICWW-B_006_Rep1_Bathy.csv",6,"ATCH-ICWW","ICWW-B",1,29.6401508,-91.31983567,"2021-08-18","14:32:44",1,29.64002283,-91.31999335,"2021-08-18","14:44:23",700,29.63864644,-91.32106043,215.234,845.292,0.273,0.035,0.57,2.48,22.15,4.65,29.85,-9999,"","Hydroboard"
