profiler_id,team,basin,campaign,filename,transect,location,site_name,replicate,planned_latitude,planned_longitude,start_date,start_time,start_ensemble,start_latitude,start_longitude,end_date,end_time,end_ensemble,end_latitude,end_longitude,width,area,boat_speed,mean_speed,discharge_side,discharge_top,discharge_middle,discharge_bottom,discharge_total,flow_direction,notes,mount_type
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-134429_ATCH-ICWW_ICWW-A_000_Rep1_Bathy.csv",0,"ATCH-ICWW","ICWW-A",1,29.64450475,-91.36804706,"2021-03-26","13:44:29",196,29.64442333,-91.36825167,"2021-03-26","13:47:58",507,29.64271833,-91.36850333,199.4,783.09,0.94,0.51,2.22,46.27,338.36,43.01,429.86,284.38,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-134758_ATCH-ICWW_ICWW-A_000_Rep2_Bathy.csv",0,"ATCH-ICWW","ICWW-A",2,29.64450475,-91.36804706,"2021-03-26","13:47:58",507,29.64271833,-91.36850333,"2021-03-26","13:51:26",812,29.64292167,-91.36851667,188.32,765.41,0.86,0.54,5.65,43.49,324.22,42.86,416.22,286.02,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-135242_ATCH-ICWW_ICWW-A_001_Rep1_Bathy.csv",1,"ATCH-ICWW","ICWW-A",1,29.64450475,-91.36804706,"2021-03-26","13:52:42",933,29.64455167,-91.368445,"2021-03-26","13:55:03",1144,29.64455833,-91.36844667,203.2,781.81,1.37,0.52,1.89,45.62,329.32,43.42,420.25,282.66,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-135503_ATCH-ICWW_ICWW-A_001_Rep2_Bathy.csv",1,"ATCH-ICWW","ICWW-A",2,29.64450475,-91.36804706,"2021-03-26","13:55:03",1144,29.64455833,-91.36844667,"2021-03-26","13:57:35",1374,29.64293667,-91.36844333,197.64,776.42,1.25,0.5,3.05,43.69,317.87,42.42,407.02,287.21,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-141120_ATCH-ICWW_ICWW-B_002_Rep1_Bathy.csv",2,"ATCH-ICWW","ICWW-B",1,29.6401508,-91.31983567,"2021-03-26","14:11:20",2077,29.64020833,-91.319945,"2021-03-26","14:14:23",2337,29.63864,-91.319715,166.53,786.54,0.9,0.56,2.08,41.82,360.92,45.77,450.59,263.08,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-141423_ATCH-ICWW_ICWW-B_002_Rep2_Bathy.csv",2,"ATCH-ICWW","ICWW-B",2,29.6401508,-91.31983567,"2021-03-26","14:14:23",2337,29.63864,-91.319715,"2021-03-26","14:17:30",2604,29.64009167,-91.31984333,166.52,780.68,0.91,0.55,1.99,41.54,357.06,43.54,444.14,266.43,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-143117_ATCH-ICWW_ICWW-C_003_Rep1_Bathy.csv",3,"ATCH-ICWW","ICWW-C",1,29.65764502,-91.24970453,"2021-03-26","14:31:17",150,-9999,-9999,"2021-03-26","14:33:24",348,-9999,-9999,149.14,912.15,1.3,0.58,10.07,41.04,478.92,69.82,599.84,253.45,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-143324_ATCH-ICWW_ICWW-C_003_Rep2_Bathy.csv",3,"ATCH-ICWW","ICWW-C",2,29.65764502,-91.24970453,"2021-03-26","14:33:24",348,-9999,-9999,"2021-03-26","14:36:01",584,29.656695,-91.24953667,148.96,919.27,1.25,0.61,8.51,39.43,464.51,66.12,578.56,257.26,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-144145_ATCH-ICWW_Atch-A_004_Rep1_Bathy.csv",4,"ATCH-ICWW","Atch-A",1,29.653818,-91.24461584,"2021-03-26","14:41:45",61,-9999,-9999,"2021-03-26","14:47:30",526,29.65338167,-91.24063,428.56,4163.44,1.29,0.9,0.8,173.44,3196.65,464.02,3834.9,190.61,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
"Teledyne RiverPro","CSI","Atchafalaya","Spring 2021","ADCP_20210326-144730_ATCH-ICWW_Atch-A_004_Rep2_Bathy.csv",4,"ATCH-ICWW","Atch-A",2,29.653818,-91.24461584,"2021-03-26","14:47:30",526,29.65338167,-91.24063,"2021-03-26","14:53:22",995,-9999,-9999,428.86,4141.66,1.24,0.92,0.46,177.85,3293.31,508.86,3980.49,191.6,"DGPS was not activated, bottomt tracking was used as reference, and some GPS data are corrupt","Boat bow"
