ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
438,2021-03-26,16:17:46,0,0.95,-9999,-9999,-9999
439,2021-03-26,16:17:47,0.64,0.98,-9999,-9999,-9999
440,2021-03-26,16:17:47,1.33,0.99,-9999,-9999,-9999
441,2021-03-26,16:17:48,1.99,1,-9999,-9999,-9999
442,2021-03-26,16:17:49,2.68,1,-9999,-9999,-9999
443,2021-03-26,16:17:49,3.32,0.99,-9999,-9999,-9999
444,2021-03-26,16:17:50,3.97,1.01,-9999,-9999,-9999
445,2021-03-26,16:17:50,4.62,1.04,-9999,-9999,-9999
446,2021-03-26,16:17:51,5.27,1.06,-9999,-9999,-9999
447,2021-03-26,16:17:51,5.91,1.1,-9999,-9999,-9999
448,2021-03-26,16:17:52,6.55,1.13,-9999,-9999,-9999
449,2021-03-26,16:17:52,7.13,1.16,-9999,-9999,-9999
450,2021-03-26,16:17:53,7.83,1.19,-9999,-9999,-9999
451,2021-03-26,16:17:53,8.45,1.23,-9999,-9999,-9999
452,2021-03-26,16:17:54,9.11,1.27,-9999,-9999,-9999
453,2021-03-26,16:17:54,9.76,1.31,-9999,-9999,-9999
454,2021-03-26,16:17:55,10.45,1.35,-9999,-9999,-9999
455,2021-03-26,16:17:55,11.12,1.42,-9999,-9999,-9999
456,2021-03-26,16:17:56,11.81,1.51,-9999,-9999,-9999
457,2021-03-26,16:17:56,12.5,1.62,-9999,-9999,-9999
458,2021-03-26,16:17:57,13.22,1.89,-9999,-9999,-9999
459,2021-03-26,16:17:58,14.06,2.26,-9999,-9999,-9999
460,2021-03-26,16:17:59,14.96,2.55,-9999,-9999,-9999
461,2021-03-26,16:17:59,15.74,2.73,-9999,-9999,-9999
462,2021-03-26,16:18:00,16.5,2.85,-9999,-9999,-9999
463,2021-03-26,16:18:01,17.25,2.95,-9999,-9999,-9999
464,2021-03-26,16:18:01,17.97,3.1,-9999,-9999,-9999
465,2021-03-26,16:18:02,18.74,3.27,-9999,-9999,-9999
466,2021-03-26,16:18:03,19.46,3.51,-9999,-9999,-9999
467,2021-03-26,16:18:03,20.24,3.72,-9999,-9999,-9999
468,2021-03-26,16:18:04,20.98,4,-9999,-9999,-9999
469,2021-03-26,16:18:05,21.8,4.21,-9999,-9999,-9999
470,2021-03-26,16:18:05,22.52,4.47,-9999,-9999,-9999
471,2021-03-26,16:18:06,23.25,4.71,-9999,-9999,-9999
472,2021-03-26,16:18:07,24,5,-9999,-9999,-9999
473,2021-03-26,16:18:07,24.88,4.93,-9999,-9999,-9999
474,2021-03-26,16:18:08,25.67,5.22,-9999,-9999,-9999
475,2021-03-26,16:18:09,26.52,5.56,-9999,-9999,-9999
476,2021-03-26,16:18:09,27.39,6.64,-9999,-9999,-9999
477,2021-03-26,16:18:10,28.38,7.68,-9999,-9999,-9999
478,2021-03-26,16:18:11,29.35,8.1,-9999,-9999,-9999
479,2021-03-26,16:18:11,30.43,8.66,-9999,-9999,-9999
480,2021-03-26,16:18:12,31.56,8.98,-9999,-9999,-9999
481,2021-03-26,16:18:13,32.42,9.08,-9999,-9999,-9999
482,2021-03-26,16:18:14,33.32,9.26,-9999,-9999,-9999
483,2021-03-26,16:18:14,34.26,9.34,-9999,-9999,-9999
484,2021-03-26,16:18:15,35.18,9.42,-9999,-9999,-9999
485,2021-03-26,16:18:16,36.17,9.62,-9999,-9999,-9999
486,2021-03-26,16:18:16,37.12,9.74,-9999,-9999,-9999
487,2021-03-26,16:18:17,38.12,9.78,-9999,-9999,-9999
488,2021-03-26,16:18:18,39.07,9.87,-9999,-9999,-9999
489,2021-03-26,16:18:18,40.1,9.96,-9999,-9999,-9999
490,2021-03-26,16:18:19,41.07,10.05,-9999,-9999,-9999
491,2021-03-26,16:18:20,42.14,10.06,-9999,-9999,-9999
492,2021-03-26,16:18:20,43.11,10.1,-9999,-9999,-9999
493,2021-03-26,16:18:21,44.2,10.08,-9999,-9999,-9999
494,2021-03-26,16:18:22,45.23,10.11,-9999,-9999,-9999
495,2021-03-26,16:18:23,46.31,10.12,-9999,-9999,-9999
496,2021-03-26,16:18:23,47.36,10.18,-9999,-9999,-9999
497,2021-03-26,16:18:24,48.46,10.21,-9999,-9999,-9999
498,2021-03-26,16:18:25,49.52,10.17,-9999,-9999,-9999
499,2021-03-26,16:18:25,50.61,10.2,-9999,-9999,-9999
500,2021-03-26,16:18:26,51.66,10.25,-9999,-9999,-9999
501,2021-03-26,16:18:27,52.74,10.24,-9999,-9999,-9999
502,2021-03-26,16:18:28,53.85,10.24,-9999,-9999,-9999
503,2021-03-26,16:18:28,55.01,10.15,-9999,-9999,-9999
504,2021-03-26,16:18:29,56.11,10.1,-9999,-9999,-9999
505,2021-03-26,16:18:30,57.27,10.03,-9999,-9999,-9999
506,2021-03-26,16:18:30,58.35,9.93,-9999,-9999,-9999
507,2021-03-26,16:18:31,59.5,9.97,-9999,-9999,-9999
508,2021-03-26,16:18:32,60.54,9.89,-9999,-9999,-9999
509,2021-03-26,16:18:33,61.64,9.81,-9999,-9999,-9999
510,2021-03-26,16:18:33,62.66,9.71,-9999,-9999,-9999
511,2021-03-26,16:18:34,63.75,9.74,-9999,-9999,-9999
512,2021-03-26,16:18:35,64.77,9.66,-9999,-9999,-9999
513,2021-03-26,16:18:35,65.82,9.64,-9999,-9999,-9999
514,2021-03-26,16:18:36,66.8,9.66,-9999,-9999,-9999
515,2021-03-26,16:18:37,67.8,9.67,-9999,-9999,-9999
516,2021-03-26,16:18:38,68.78,9.63,-9999,-9999,-9999
517,2021-03-26,16:18:38,69.83,9.57,-9999,-9999,-9999
518,2021-03-26,16:18:39,70.82,9.48,-9999,-9999,-9999
519,2021-03-26,16:18:40,71.87,9.42,-9999,-9999,-9999
520,2021-03-26,16:18:40,72.85,9.35,-9999,-9999,-9999
521,2021-03-26,16:18:41,73.95,9.25,-9999,-9999,-9999
522,2021-03-26,16:18:42,74.96,9.16,-9999,-9999,-9999
523,2021-03-26,16:18:42,76.04,9.11,-9999,-9999,-9999
524,2021-03-26,16:18:43,77.05,9.04,-9999,-9999,-9999
525,2021-03-26,16:18:44,78.12,8.95,-9999,-9999,-9999
526,2021-03-26,16:18:44,79.14,8.86,-9999,-9999,-9999
527,2021-03-26,16:18:45,80.24,8.8,-9999,-9999,-9999
528,2021-03-26,16:18:46,81.3,8.7,-9999,-9999,-9999
529,2021-03-26,16:18:47,82.34,8.6,-9999,-9999,-9999
530,2021-03-26,16:18:47,83.36,8.52,-9999,-9999,-9999
531,2021-03-26,16:18:48,84.39,8.44,-9999,-9999,-9999
532,2021-03-26,16:18:49,85.7,8.37,-9999,-9999,-9999
533,2021-03-26,16:18:49,86.76,8.33,-9999,-9999,-9999
534,2021-03-26,16:18:50,87.76,8.28,-9999,-9999,-9999
535,2021-03-26,16:18:51,88.82,8.27,-9999,-9999,-9999
536,2021-03-26,16:18:51,89.87,8.26,-9999,-9999,-9999
537,2021-03-26,16:18:52,90.97,8.25,-9999,-9999,-9999
538,2021-03-26,16:18:53,91.98,8.36,-9999,-9999,-9999
539,2021-03-26,16:18:53,93.05,8.4,-9999,-9999,-9999
540,2021-03-26,16:18:54,94.07,8.29,-9999,-9999,-9999
541,2021-03-26,16:18:55,95.14,8.15,-9999,-9999,-9999
542,2021-03-26,16:18:55,96.13,8.17,-9999,-9999,-9999
543,2021-03-26,16:18:56,97.2,8.14,-9999,-9999,-9999
544,2021-03-26,16:18:56,98.22,8.01,-9999,-9999,-9999
545,2021-03-26,16:18:57,99.29,7.85,-9999,-9999,-9999
546,2021-03-26,16:18:58,100.28,7.65,-9999,-9999,-9999
547,2021-03-26,16:18:59,101.63,7.55,-9999,-9999,-9999
548,2021-03-26,16:18:59,102.67,7.49,-9999,-9999,-9999
549,2021-03-26,16:19:00,103.61,7.44,-9999,-9999,-9999
550,2021-03-26,16:19:00,104.61,7.39,-9999,-9999,-9999
551,2021-03-26,16:19:01,105.58,7.35,-9999,-9999,-9999
552,2021-03-26,16:19:02,106.58,7.32,-9999,-9999,-9999
553,2021-03-26,16:19:02,107.54,7.28,-9999,-9999,-9999
554,2021-03-26,16:19:03,108.54,7.24,-9999,-9999,-9999
555,2021-03-26,16:19:04,109.5,7.21,-9999,-9999,-9999
556,2021-03-26,16:19:04,110.57,7.2,-9999,-9999,-9999
557,2021-03-26,16:19:05,111.53,7.16,-9999,-9999,-9999
558,2021-03-26,16:19:05,112.56,7.14,-9999,-9999,-9999
559,2021-03-26,16:19:06,113.54,7.1,-9999,-9999,-9999
560,2021-03-26,16:19:07,114.58,7.06,-9999,-9999,-9999
561,2021-03-26,16:19:07,115.52,7.03,-9999,-9999,-9999
562,2021-03-26,16:19:08,116.52,6.99,-9999,-9999,-9999
563,2021-03-26,16:19:08,117.48,6.93,-9999,-9999,-9999
564,2021-03-26,16:19:09,118.51,6.9,-9999,-9999,-9999
565,2021-03-26,16:19:10,119.48,6.9,-9999,-9999,-9999
566,2021-03-26,16:19:10,120.54,6.88,-9999,-9999,-9999
567,2021-03-26,16:19:11,121.48,6.86,-9999,-9999,-9999
568,2021-03-26,16:19:12,122.5,6.85,-9999,-9999,-9999
569,2021-03-26,16:19:12,123.45,6.82,-9999,-9999,-9999
570,2021-03-26,16:19:13,124.5,6.78,-9999,-9999,-9999
571,2021-03-26,16:19:13,125.49,6.71,-9999,-9999,-9999
572,2021-03-26,16:19:14,126.5,6.63,-9999,-9999,-9999
573,2021-03-26,16:19:15,127.49,6.63,-9999,-9999,-9999
574,2021-03-26,16:19:15,128.52,6.65,-9999,-9999,-9999
575,2021-03-26,16:19:16,129.47,6.59,-9999,-9999,-9999
576,2021-03-26,16:19:16,130.49,6.52,-9999,-9999,-9999
577,2021-03-26,16:19:17,131.46,6.53,-9999,-9999,-9999
578,2021-03-26,16:19:18,132.44,6.54,-9999,-9999,-9999
579,2021-03-26,16:19:18,133.4,6.5,-9999,-9999,-9999
580,2021-03-26,16:19:19,134.4,6.48,-9999,-9999,-9999
581,2021-03-26,16:19:19,135.38,6.44,-9999,-9999,-9999
582,2021-03-26,16:19:20,136.36,6.44,-9999,-9999,-9999
583,2021-03-26,16:19:21,137.69,6.44,-9999,-9999,-9999
584,2021-03-26,16:19:21,139.03,6.42,-9999,-9999,-9999
585,2021-03-26,16:19:22,140.37,6.36,-9999,-9999,-9999
586,2021-03-26,16:19:23,141.75,6.3,-9999,-9999,-9999
587,2021-03-26,16:19:24,143.1,6.24,-9999,-9999,-9999
