ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
7,2021-03-26,20:29:07,0,2.18,-9999,29.49468333,-91.272405
8,2021-03-26,20:29:07,0.02,2.13,-9999,29.49468333,-91.272405
9,2021-03-26,20:29:08,0.02,2.18,-9999,29.49468333,-91.272405
10,2021-03-26,20:29:09,0.04,2.14,-9999,29.49468333,-91.272405
11,2021-03-26,20:29:09,0.06,2.18,-9999,29.49468333,-91.272405
12,2021-03-26,20:29:10,0.07,2.16,-9999,29.49468333,-91.272405
13,2021-03-26,20:29:11,0.11,2.18,-9999,29.49468333,-91.272405
14,2021-03-26,20:29:11,0.13,2.14,-9999,29.49468333,-91.272405
15,2021-03-26,20:29:12,0.17,2.19,-9999,29.49468333,-91.272405
16,2021-03-26,20:29:13,0.17,2.17,-9999,29.49468333,-91.272405
17,2021-03-26,20:29:13,0.21,2.15,-9999,29.49468333,-91.272405
18,2021-03-26,20:29:14,0.28,2.19,-9999,29.49468333,-91.272405
19,2021-03-26,20:29:15,0.3,2.15,-9999,29.49468333,-91.272405
20,2021-03-26,20:29:15,0.35,2.18,-9999,29.49468333,-91.272405
21,2021-03-26,20:29:16,0.4,2.17,-9999,29.49468333,-91.272405
22,2021-03-26,20:29:17,0.44,2.17,-9999,29.49468333,-91.272405
23,2021-03-26,20:29:17,0.45,2.19,-9999,29.49468333,-91.272405
24,2021-03-26,20:29:18,0.48,2.18,-9999,29.49468333,-91.272405
25,2021-03-26,20:29:19,0.55,2.15,-9999,29.49468333,-91.272405
26,2021-03-26,20:29:19,0.57,2.17,-9999,29.49468333,-91.272405
27,2021-03-26,20:29:20,0.6,2.17,-9999,29.49468333,-91.272405
28,2021-03-26,20:29:21,0.62,2.15,-9999,29.49468333,-91.272405
29,2021-03-26,20:29:21,0.65,2.19,-9999,29.49468333,-91.272405
30,2021-03-26,20:29:22,0.67,2.17,-9999,29.49468333,-91.272405
31,2021-03-26,20:29:23,0.68,2.15,-9999,29.49468333,-91.272405
32,2021-03-26,20:29:23,0.72,2.19,-9999,29.49468333,-91.272405
33,2021-03-26,20:29:24,0.78,2.16,-9999,29.49468333,-91.272405
34,2021-03-26,20:29:25,0.82,2.19,-9999,29.49468333,-91.272405
35,2021-03-26,20:29:25,0.87,2.19,-9999,29.49468333,-91.272405
36,2021-03-26,20:29:26,0.92,2.18,-9999,29.49468333,-91.272405
37,2021-03-26,20:29:27,1.03,2.21,-9999,29.49468333,-91.272405
38,2021-03-26,20:29:27,1.12,2.25,-9999,29.49468333,-91.272405
