ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
865,2021-03-27,15:53:32,0,0.65,-9999,29.5137790213333,-91.4330295288333
866,2021-03-27,15:53:33,0.19,0.64,-9999,29.513778067,-91.4330356085
867,2021-03-27,15:53:33,0.39,0.65,-9999,29.513778067,-91.4330356085
868,2021-03-27,15:53:34,0.57,0.66,-9999,29.5137760365,-91.4330425028333
869,2021-03-27,15:53:34,0.78,0.66,-9999,29.5137760365,-91.4330425028333
870,2021-03-27,15:53:35,0.97,0.68,-9999,29.5137748213333,-91.4330496583333
871,2021-03-27,15:53:35,1.19,0.71,-9999,29.5137748213333,-91.4330496583333
872,2021-03-27,15:53:36,1.39,0.75,-9999,29.5137733163333,-91.4330581401667
873,2021-03-27,15:53:36,1.62,0.82,-9999,29.5137733163333,-91.4330581401667
874,2021-03-27,15:53:37,1.85,0.87,-9999,29.5137722141667,-91.4330674165
875,2021-03-27,15:53:37,2.12,0.95,-9999,29.5137722141667,-91.4330674165
876,2021-03-27,15:53:38,2.35,1.11,-9999,29.5137710708333,-91.433077597
877,2021-03-27,15:53:39,2.64,1.21,-9999,29.5137701143333,-91.4330882126667
878,2021-03-27,15:53:39,2.92,1.32,-9999,29.5137701143333,-91.4330882126667
879,2021-03-27,15:53:40,3.25,1.43,-9999,29.5137689363333,-91.4330997605
880,2021-03-27,15:53:40,3.54,1.49,-9999,29.5137689363333,-91.4330997605
881,2021-03-27,15:53:41,3.84,1.57,-9999,29.5137683103333,-91.4331112541667
882,2021-03-27,15:53:41,4.13,1.62,-9999,29.5137683103333,-91.4331112541667
883,2021-03-27,15:53:42,4.43,1.7,-9999,29.513768187,-91.4331231441667
884,2021-03-27,15:53:43,4.77,1.79,-9999,29.5137675226667,-91.4331355623333
885,2021-03-27,15:53:44,5.22,1.82,-9999,29.5137673591667,-91.4331478161667
886,2021-03-27,15:53:44,5.58,1.91,-9999,29.5137673591667,-91.4331478161667
887,2021-03-27,15:53:45,5.98,1.9,-9999,29.5137671648333,-91.4331605308333
888,2021-03-27,15:53:45,6.43,2.01,-9999,29.5137671648333,-91.4331605308333
889,2021-03-27,15:53:46,6.93,2.02,-9999,29.5137669751667,-91.4331733203333
890,2021-03-27,15:53:47,7.35,2.09,-9999,29.513766919,-91.4331861636667
891,2021-03-27,15:53:48,7.87,2.1,-9999,29.5137670803333,-91.4331994575
892,2021-03-27,15:53:48,8.47,2.18,-9999,29.5137670803333,-91.4331994575
893,2021-03-27,15:53:49,8.97,2.22,-9999,29.5137670803333,-91.4331994575
894,2021-03-27,15:53:50,9.5,2.2,-9999,29.5137670803333,-91.4331994575
895,2021-03-27,15:53:50,10.14,2.22,-9999,29.5137670803333,-91.4331994575
896,2021-03-27,15:53:51,10.87,2.26,-9999,29.5137670803333,-91.4331994575
897,2021-03-27,15:53:52,11.58,2.31,-9999,29.5137670803333,-91.4331994575
898,2021-03-27,15:53:53,12.27,2.37,-9999,29.5137670803333,-91.4331994575
899,2021-03-27,15:53:53,12.98,2.43,-9999,29.5137670803333,-91.4331994575
900,2021-03-27,15:53:54,13.7,2.43,-9999,29.5137670803333,-91.4331994575
901,2021-03-27,15:53:54,14.44,2.45,-9999,29.5137670803333,-91.4331994575
902,2021-03-27,15:53:55,15.17,2.48,-9999,29.5137670803333,-91.4331994575
903,2021-03-27,15:53:56,15.91,2.48,-9999,29.5137670803333,-91.4331994575
904,2021-03-27,15:53:56,16.65,2.52,-9999,29.5137670803333,-91.4331994575
905,2021-03-27,15:53:57,17.44,2.51,-9999,29.5137670803333,-91.4331994575
906,2021-03-27,15:53:58,18.21,2.51,-9999,29.5137670803333,-91.4331994575
907,2021-03-27,15:53:58,19.02,2.53,-9999,29.5137670803333,-91.4331994575
908,2021-03-27,15:53:59,19.82,2.52,-9999,29.5137670803333,-91.4331994575
909,2021-03-27,15:54:00,20.68,2.53,-9999,29.5137670803333,-91.4331994575
910,2021-03-27,15:54:00,21.48,2.54,-9999,29.5137670803333,-91.4331994575
911,2021-03-27,15:54:01,22.3,2.54,-9999,29.5137670803333,-91.4331994575
912,2021-03-27,15:54:02,23.13,2.54,-9999,29.5137670803333,-91.4331994575
913,2021-03-27,15:54:02,24,2.53,-9999,29.5137670803333,-91.4331994575
914,2021-03-27,15:54:03,24.86,2.58,-9999,-9999,-9999
915,2021-03-27,15:54:04,25.72,2.54,-9999,-9999,-9999
916,2021-03-27,15:54:04,26.64,2.54,-9999,-9999,-9999
917,2021-03-27,15:54:05,27.58,2.57,-9999,-9999,-9999
918,2021-03-27,15:54:06,28.49,2.56,-9999,-9999,-9999
919,2021-03-27,15:54:06,29.49,2.58,-9999,-9999,-9999
920,2021-03-27,15:54:07,30.5,2.59,-9999,-9999,-9999
921,2021-03-27,15:54:08,31.55,2.58,-9999,-9999,-9999
922,2021-03-27,15:54:08,32.56,2.58,-9999,-9999,-9999
923,2021-03-27,15:54:09,33.69,2.58,-9999,-9999,-9999
924,2021-03-27,15:54:09,34.73,2.61,-9999,-9999,-9999
925,2021-03-27,15:54:10,35.88,2.64,-9999,-9999,-9999
926,2021-03-27,15:54:11,36.96,2.66,-9999,-9999,-9999
927,2021-03-27,15:54:11,38.12,2.67,-9999,-9999,-9999
928,2021-03-27,15:54:12,39.22,2.67,-9999,-9999,-9999
929,2021-03-27,15:54:13,40.4,2.65,-9999,-9999,-9999
930,2021-03-27,15:54:13,41.56,2.61,-9999,-9999,-9999
931,2021-03-27,15:54:14,42.81,2.63,-9999,-9999,-9999
932,2021-03-27,15:54:15,43.96,2.67,-9999,-9999,-9999
933,2021-03-27,15:54:15,45.15,2.64,-9999,-9999,-9999
934,2021-03-27,15:54:16,46.32,2.7,-9999,29.5137341091667,-91.4339496186667
935,2021-03-27,15:54:17,47.55,2.65,-9999,29.5137341091667,-91.4339496186667
936,2021-03-27,15:54:17,48.72,2.69,-9999,29.5137341091667,-91.4339496186667
