ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
234,2021-03-27,15:54:09.75,0,1.47,0.22,29.4959725814003,-91.4508472479252
235,2021-03-27,15:54:11.29,0.97,1.57,0.33,29.4959804113496,-91.4508427708178
236,2021-03-27,15:54:12.90,2.03,1.68,0.22,29.4959885845124,-91.450837159034
237,2021-03-27,15:54:13.17,2.21,1.88,0.17,29.4959899443459,-91.4508361501946
238,2021-03-27,15:54:14.26,2.96,2.08,0.34,29.4959955679488,-91.4508317438011
239,2021-03-27,15:54:15.33,3.73,2.3,0.38,29.4960008388865,-91.4508266537582
240,2021-03-27,15:54:16.44,4.51,2.54,0.41,29.4960062774427,-91.4508214672993
241,2021-03-27,15:54:17.51,5.31,2.71,0.44,29.4960114403914,-91.4508157053533
242,2021-03-27,15:54:18.56,6.11,2.85,0.43,29.4960166263862,-91.4508100627056
243,2021-03-27,15:54:19.56,6.85,2.95,0.44,29.4960212432375,-91.450804441098
244,2021-03-27,15:54:20.55,7.61,3.02,0.47,29.4960258878536,-91.4507987241726
245,2021-03-27,15:54:21.55,8.33,3.08,0.51,29.49602976095,-91.4507926971739
246,2021-03-27,15:54:22.56,9.02,3.17,0.53,29.4960328963863,-91.4507865555644
247,2021-03-27,15:54:23.55,9.66,3.23,0.54,29.4960350942565,-91.4507804901135
248,2021-03-27,15:54:24.55,10.27,3.31,0.55,29.4960365443851,-91.4507743741564
249,2021-03-27,15:54:25.55,10.86,3.4,0.56,29.4960371039099,-91.4507683377692
250,2021-03-27,15:54:26.55,11.43,3.46,0.55,29.4960372201511,-91.450762514422
251,2021-03-27,15:54:27.56,11.98,3.52,0.56,29.4960367999551,-91.4507568085755
252,2021-03-27,15:54:28.56,12.52,3.57,0.52,29.4960358581285,-91.4507513293393
253,2021-03-27,15:54:29.56,13.05,3.6,0.53,29.4960345710565,-91.4507461132243
254,2021-03-27,15:54:30.56,13.58,3.64,0.51,29.4960328565332,-91.4507409974792
255,2021-03-27,15:54:31.56,14.09,3.65,0.53,29.496031150776,-91.4507360920193
256,2021-03-27,15:54:32.56,14.66,3.67,0.58,29.4960293251794,-91.4507305818835
257,2021-03-27,15:54:33.56,15.28,3.68,0.64,29.4960277808602,-91.4507245073819
258,2021-03-27,15:54:34.57,15.94,3.69,0.68,29.496026301723,-91.4507179089365
259,2021-03-27,15:54:35.58,16.64,3.65,0.72,29.4960249890905,-91.4507108087287
260,2021-03-27,15:54:36.58,17.37,3.62,0.76,29.4960237356457,-91.450703444597
261,2021-03-27,15:54:37.59,18.14,3.6,0.8,29.4960226501372,-91.4506955467058
262,2021-03-27,15:54:38.60,18.96,3.58,0.82,29.4960215874542,-91.4506872070014
263,2021-03-27,15:54:39.60,19.8,3.57,0.85,29.4960206657692,-91.4506786547321
264,2021-03-27,15:54:40.60,20.66,3.56,0.87,29.4960196722366,-91.4506698219676
265,2021-03-27,15:54:41.61,21.54,3.56,0.89,29.4960186753022,-91.4506607747106
266,2021-03-27,15:54:42.63,22.45,3.57,0.92,29.49601775822,-91.4506515333527
267,2021-03-27,15:54:43.64,23.37,3.54,0.94,29.4960167753164,-91.4506420640143
268,2021-03-27,15:54:44.66,24.34,3.52,0.95,29.4960155125676,-91.4506321976975
269,2021-03-27,15:54:45.67,25.29,3.52,0.95,29.4960144955274,-91.4506224318179
270,2021-03-27,15:54:46.68,26.25,3.5,0.95,29.4960135341105,-91.4506126382738
271,2021-03-27,15:54:47.69,27.16,3.48,0.89,29.4960123463428,-91.4506033216172
272,2021-03-27,15:54:48.69,28.04,3.46,0.84,29.4960108813169,-91.450594449616
273,2021-03-27,15:54:49.69,28.85,3.42,0.8,29.4960094086548,-91.4505862388989
274,2021-03-27,15:54:50.69,29.63,3.39,0.76,29.496007804182,-91.450578409767
275,2021-03-27,15:54:51.69,30.37,3.37,0.73,29.4960061744781,-91.4505709709124
276,2021-03-27,15:54:52.69,31.09,3.35,0.69,29.4960041610698,-91.4505639020058
277,2021-03-27,15:54:53.69,31.76,3.31,0.67,29.4960022285395,-91.450557346568
278,2021-03-27,15:54:54.69,32.42,3.3,0.6,29.4960001527615,-91.4505509655656
279,2021-03-27,15:54:55.68,33.02,3.26,0.62,29.4959981249117,-91.4505452130258
280,2021-03-27,15:54:56.68,33.62,3.27,0.56,29.4959959624759,-91.4505396038457
281,2021-03-27,15:54:57.68,34.22,3.23,0.6,29.4959937508645,-91.4505339562189
282,2021-03-27,15:54:58.68,34.83,3.22,0.61,29.4959918917392,-91.4505280474234
283,2021-03-27,15:54:59.68,35.46,3.23,0.64,29.4959903352758,-91.4505217833231
284,2021-03-27,15:55:00.68,36.1,3.23,0.65,29.4959890456006,-91.4505153377499
285,2021-03-27,15:55:01.68,36.77,3.21,0.68,29.4959879050691,-91.4505085268314
286,2021-03-27,15:55:02.68,37.46,3.21,0.69,29.4959871229895,-91.4505015021005
287,2021-03-27,15:55:03.68,38.15,3.19,0.71,29.4959864460471,-91.4504943623083
288,2021-03-27,15:55:04.68,38.88,3.18,0.73,29.4959858371948,-91.4504868707822
289,2021-03-27,15:55:05.68,39.63,3.18,0.75,29.4959854897413,-91.450479199928
290,2021-03-27,15:55:06.68,40.38,3.18,0.75,29.4959851681516,-91.4504714255338
291,2021-03-27,15:55:07.68,41.15,3.15,0.76,29.4959849745315,-91.4504634820945
292,2021-03-27,15:55:08.68,41.92,3.09,0.76,29.4959850317701,-91.4504555389618
293,2021-03-27,15:55:09.68,42.71,3.03,0.78,29.4959851193485,-91.4504474117669
294,2021-03-27,15:55:10.68,43.51,2.96,0.78,29.4959854404405,-91.4504391902481
295,2021-03-27,15:55:11.68,44.32,2.85,0.77,29.4959857804672,-91.4504308900499
296,2021-03-27,15:55:12.68,45.12,2.82,0.79,29.4959863624988,-91.4504226047334
297,2021-03-27,15:55:13.68,45.94,2.88,0.79,29.4959869938754,-91.4504142175822
298,2021-03-27,15:55:14.68,46.76,2.91,0.8,29.4959876186846,-91.4504057315106
299,2021-03-27,15:55:15.68,47.6,2.94,0.8,29.495988304218,-91.4503971908782
300,2021-03-27,15:55:16.68,48.43,2.94,0.81,29.4959889382903,-91.4503885705752
301,2021-03-27,15:55:17.69,49.28,2.94,0.8,29.4959897749001,-91.450379907993
302,2021-03-27,15:55:18.68,50.11,2.92,0.78,29.4959904844066,-91.4503713339884
303,2021-03-27,15:55:19.68,50.91,2.88,0.77,29.4959910677323,-91.4503631600495
304,2021-03-27,15:55:20.69,51.67,2.83,0.72,29.4959912602938,-91.4503552922161
305,2021-03-27,15:55:21.68,52.38,2.77,0.68,29.4959911901044,-91.4503479523657
306,2021-03-27,15:55:22.68,53.07,2.75,0.66,29.4959909025173,-91.4503409283588
307,2021-03-27,15:55:23.68,53.72,2.71,0.64,29.4959903910848,-91.4503342089472
308,2021-03-27,15:55:24.68,54.35,2.68,0.63,29.4959897781215,-91.4503277592619
309,2021-03-27,15:55:25.68,54.96,2.64,0.6,29.4959888393534,-91.4503215373332
310,2021-03-27,15:55:26.68,55.55,2.59,0.57,29.4959877344568,-91.4503156170583
311,2021-03-27,15:55:27.68,56.12,2.56,0.56,29.495986505944,-91.4503099297133
312,2021-03-27,15:55:28.68,56.66,2.52,0.54,29.4959852460557,-91.4503044924601
313,2021-03-27,15:55:29.69,57.2,2.49,0.52,29.4959836566949,-91.4502992005027
314,2021-03-27,15:55:30.68,57.72,2.46,0.5,29.4959820653095,-91.4502941994484
315,2021-03-27,15:55:31.68,58.23,2.46,0.49,29.4959802402047,-91.4502893525466
316,2021-03-27,15:55:32.67,58.73,2.44,0.47,29.4959783107547,-91.4502847661307
317,2021-03-27,15:55:33.65,59.22,2.42,0.47,29.4959762523732,-91.450280266258
318,2021-03-27,15:55:34.65,59.72,2.41,0.54,29.4959745059867,-91.4502755151154
319,2021-03-27,15:55:35.74,60.3,2.4,0.58,29.4959728835371,-91.4502697842604
320,2021-03-27,15:55:36.84,60.88,2.39,0.56,29.4959710845559,-91.4502641592397
321,2021-03-27,15:55:37.95,61.44,2.37,0.71,29.49596914958,-91.450258788997
322,2021-03-27,15:55:39.59,62.33,2.39,0.6,29.4959668463632,-91.4502500824245
323,2021-03-27,15:55:40.17,62.66,2.36,0.54,29.4959661231007,-91.4502467896634
324,2021-03-27,15:55:41.29,63.33,2.4,0.65,29.4959649328507,-91.4502399722872
325,2021-03-27,15:55:42.39,64.02,2.36,0.64,29.4959632853307,-91.4502330968912
326,2021-03-27,15:55:43.48,64.62,2.32,0.62,29.4959620827893,-91.4502270832113
327,2021-03-27,15:55:44.58,65.23,2.3,0.59,29.4959604057754,-91.4502210839764
328,2021-03-27,15:55:45.70,65.82,2.27,0.56,29.4959584384903,-91.4502154192295
329,2021-03-27,15:55:46.82,66.39,2.23,0.56,29.4959563479741,-91.450210020414
330,2021-03-27,15:55:47.96,66.97,2.21,0.78,29.4959544674661,-91.4502045235057
331,2021-03-27,15:55:49.79,67.98,2.2,0.63,29.4959523009981,-91.4501943883414
332,2021-03-27,15:55:50.20,68.21,2.19,0.45,29.4959520211007,-91.4501920511845
333,2021-03-27,15:55:51.31,68.9,2.14,0.72,29.4959508809167,-91.4501849617729
334,2021-03-27,15:55:52.44,69.63,2.16,0.75,29.4959499753311,-91.4501775614128
335,2021-03-27,15:55:53.55,70.4,2.19,0.78,29.49594898694,-91.4501697146597
336,2021-03-27,15:55:54.68,71.18,2.25,0.78,29.4959482183499,-91.450161680959
337,2021-03-27,15:55:55.79,71.96,2.3,0.75,29.4959469465714,-91.4501538302701
338,2021-03-27,15:55:56.91,72.68,2.38,0.69,29.4959454072547,-91.4501465612737
339,2021-03-27,15:55:58.00,73.36,2.4,0.96,29.4959440300882,-91.4501397333371
340,2021-03-27,15:55:59.90,74.59,2.4,0.71,29.4959423136321,-91.4501271756387
341,2021-03-27,15:56:00.18,74.77,2.43,0.45,29.4959421891233,-91.4501253188399
342,2021-03-27,15:56:01.27,75.51,2.42,0.72,29.4959416408307,-91.4501177603846
343,2021-03-27,15:56:02.34,76.23,2.45,0.7,29.495941372567,-91.4501103049376
344,2021-03-27,15:56:03.33,76.92,2.42,0.68,29.4959411786645,-91.4501031908026
345,2021-03-27,15:56:04.33,77.6,2.39,0.67,29.4959413530382,-91.4500961638913
346,2021-03-27,15:56:05.33,78.31,2.29,0.72,29.4959412055815,-91.4500889314626
347,2021-03-27,15:56:06.45,79.04,2.24,0.72,29.4959407372218,-91.4500813408455
348,2021-03-27,15:56:07.57,79.75,2.19,0.69,29.4959398704236,-91.4500740946162
349,2021-03-27,15:56:08.71,80.44,2.15,0.69,29.4959388599922,-91.450067144541
350,2021-03-27,15:56:09.82,81.14,2.17,0.71,29.4959380124279,-91.4500599227747
351,2021-03-27,15:56:10.95,81.85,2.21,0.93,29.4959376275594,-91.4500526052556
352,2021-03-27,15:56:12.70,83.02,2.24,0.74,29.4959372075492,-91.4500405693341
353,2021-03-27,15:56:13.19,83.36,2.29,0.54,29.495937139171,-91.4500371026003
354,2021-03-27,15:56:14.31,84.15,2.31,0.79,29.4959371783785,-91.4500289307625
355,2021-03-27,15:56:15.45,84.95,2.32,0.81,29.4959374897617,-91.4500206526642
356,2021-03-27,15:56:16.54,85.78,2.29,0.79,29.4959375761746,-91.4500121180639
357,2021-03-27,15:56:17.69,86.61,2.27,0.83,29.4959379443139,-91.4500035224426
358,2021-03-27,15:56:18.81,87.46,2.27,0.82,29.4959383851828,-91.4499948184423
359,2021-03-27,15:56:19.94,88.3,2.27,1,29.4959389100999,-91.4499861255386
360,2021-03-27,15:56:21.70,89.55,2.35,0.75,29.4959398617085,-91.4499733188557
361,2021-03-27,15:56:22.18,89.86,2.35,0.5,29.4959399686054,-91.449970103192
362,2021-03-27,15:56:23.28,90.55,2.38,0.65,29.4959401546893,-91.4499629977117
363,2021-03-27,15:56:24.40,91.21,2.36,0.62,29.4959400593805,-91.4499562142067
364,2021-03-27,15:56:25.50,91.8,2.36,0.55,29.4959400776701,-91.4499501190197
365,2021-03-27,15:56:26.60,92.34,2.38,0.53,29.4959398212777,-91.449944534464
366,2021-03-27,15:56:27.72,92.88,2.33,0.61,29.4959391589192,-91.4499390355134
367,2021-03-27,15:56:29.29,93.57,2.27,0.53,29.4959386308691,-91.4499319759785
368,2021-03-27,15:56:30.14,93.95,2.25,0.44,29.4959389369044,-91.4499280393842
369,2021-03-27,15:56:31.26,94.5,2.15,0.54,29.4959396567738,-91.4499224471811
370,2021-03-27,15:56:32.39,95.08,2.13,0.56,29.4959405637012,-91.4499165684762
371,2021-03-27,15:56:33.50,95.7,2.17,0.57,29.4959413157186,-91.449910250665
372,2021-03-27,15:56:34.63,96.29,2.17,0.59,29.495941456657,-91.4499041494833
373,2021-03-27,15:56:35.75,96.86,2.23,0.73,29.4959409446907,-91.4498982377216
374,2021-03-27,15:56:37.50,97.75,2.25,0.6,29.4959386763365,-91.4498894274832
375,2021-03-27,15:56:38.14,98.07,2.35,0.41,29.4959376281996,-91.4498863655636
376,2021-03-27,15:56:39.22,98.62,2.37,0.54,29.4959353767514,-91.4498813281565
377,2021-03-27,15:56:40.31,99.15,2.4,0.47,29.4959329099748,-91.4498767066134
378,2021-03-27,15:56:41.40,99.68,2.42,0.44,29.4959301295321,-91.4498722703531
379,2021-03-27,15:56:42.39,100.13,2.42,0.41,29.4959276190213,-91.4498685416907
380,2021-03-27,15:56:43.38,100.59,2.41,0.37,29.4959248919576,-91.449864968983
381,2021-03-27,15:56:44.36,101.02,2.38,0.36,29.4959222162083,-91.4498617730096
382,2021-03-27,15:56:45.35,101.46,2.37,0.36,29.4959193284532,-91.4498586586557
383,2021-03-27,15:56:46.46,101.91,2.33,0.35,29.4959163024322,-91.4498556041694
384,2021-03-27,15:56:47.56,102.37,2.29,0.33,29.4959129878037,-91.4498526396906
385,2021-03-27,15:56:48.70,102.83,2.26,0.33,29.4959096742318,-91.4498499206838
386,2021-03-27,15:56:49.82,103.26,2.24,0.33,29.4959065661208,-91.4498471779188
387,2021-03-27,15:56:50.96,103.64,2.21,0.45,29.4959044453774,-91.4498441416208
388,2021-03-27,15:56:52.79,104.29,2.22,0.35,29.495900676395,-91.449838969515
