ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
234,0.47,0.52,easting,-0.75
234,0.52,0.62,easting,-0.66
234,0.62,0.72,easting,-0.725
234,0.72,0.82,easting,-0.989
234,0.82,0.92,easting,-1.049
234,0.92,1.02,easting,-1.044
234,1.02,1.12,easting,-1.066
235,0.47,0.52,easting,-0.95
235,0.52,0.62,easting,-0.827
235,0.62,0.72,easting,-1.217
235,0.72,0.82,easting,-1.082
235,0.82,0.92,easting,-1.02
235,0.92,1.02,easting,-1.005
235,1.02,1.12,easting,-1.033
235,1.12,1.22,easting,-1.258
236,0.47,0.52,easting,-0.87
236,0.52,0.62,easting,-0.948
236,0.62,0.72,easting,-1.097
236,0.72,0.82,easting,-1.092
236,0.82,0.92,easting,-1.25
236,0.92,1.02,easting,-1.243
236,1.02,1.12,easting,-0.798
236,1.12,1.22,easting,-0.785
236,1.22,1.32,easting,-0.958
236,1.32,1.42,easting,-0.781
237,0.47,0.52,easting,-1.103
237,0.52,0.62,easting,-1.149
237,0.62,0.72,easting,-0.89
237,0.72,0.82,easting,-0.934
237,0.82,0.92,easting,-0.94
237,0.92,1.02,easting,-0.877
237,1.02,1.12,easting,-0.963
237,1.12,1.22,easting,-0.954
237,1.22,1.32,easting,-0.957
237,1.32,1.42,easting,-0.958
237,1.42,1.52,easting,-0.969
238,0.47,0.52,easting,-0.938
238,0.52,0.62,easting,-1.135
238,0.62,0.72,easting,-0.852
238,0.72,0.82,easting,-0.99
238,0.82,0.92,easting,-0.961
238,0.92,1.02,easting,-1.018
238,1.02,1.12,easting,-1.083
238,1.12,1.22,easting,-0.987
238,1.22,1.32,easting,-0.809
238,1.32,1.42,easting,-1.013
238,1.42,1.52,easting,-0.761
238,1.52,1.62,easting,-0.7
239,0.47,0.52,easting,-1.1
239,0.52,0.62,easting,-1.225
239,0.62,0.72,easting,-0.951
239,0.72,0.82,easting,-0.914
239,0.82,0.92,easting,-0.982
239,0.92,1.02,easting,-1.069
239,1.02,1.12,easting,-1.024
239,1.12,1.22,easting,-0.677
239,1.22,1.32,easting,-0.553
239,1.32,1.42,easting,-0.798
239,1.42,1.52,easting,-0.81
239,1.52,1.62,easting,-0.859
239,1.62,1.72,easting,-0.644
239,1.72,1.82,easting,-0.733
240,0.47,0.52,easting,-0.683
240,0.52,0.62,easting,-1.096
240,0.62,0.72,easting,-0.931
240,0.72,0.82,easting,-0.908
240,0.82,0.92,easting,-0.826
240,0.92,1.02,easting,-0.859
240,1.02,1.12,easting,-0.732
240,1.12,1.22,easting,-0.793
240,1.22,1.32,easting,-0.899
240,1.32,1.42,easting,-0.819
240,1.42,1.52,easting,-0.881
240,1.52,1.62,easting,-0.943
240,1.62,1.72,easting,-0.582
240,1.72,1.82,easting,-0.871
240,1.82,1.92,easting,-0.839
240,1.92,2.02,easting,-0.843
241,0.47,0.52,easting,-1.01
241,0.52,0.62,easting,-0.901
241,0.62,0.72,easting,-1.16
241,0.72,0.82,easting,-1.004
241,0.82,0.92,easting,-0.998
241,0.92,1.02,easting,-0.93
241,1.02,1.12,easting,-0.668
241,1.12,1.22,easting,-0.878
241,1.22,1.32,easting,-0.928
241,1.32,1.42,easting,-0.777
241,1.42,1.52,easting,-0.984
241,1.52,1.62,easting,-0.986
241,1.62,1.72,easting,-0.591
241,1.72,1.82,easting,-0.836
241,1.82,1.92,easting,-0.797
241,1.92,2.02,easting,-0.821
241,2.02,2.12,easting,-0.972
