ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
190,0.47,0.52,easting,-0.641
190,0.52,0.62,easting,-0.568
190,0.62,0.72,easting,-0.705
190,0.72,0.82,easting,-0.639
190,0.82,0.92,easting,-0.344
190,0.92,1.02,easting,-0.297
190,1.02,1.12,easting,-0.405
190,1.12,1.22,easting,-0.337
190,1.22,1.32,easting,-0.341
190,1.32,1.42,easting,-0.421
190,1.42,1.52,easting,-0.463
190,1.52,1.62,easting,-0.136
190,1.62,1.72,easting,-0.291
190,1.72,1.82,easting,-0.264
190,1.82,1.92,easting,-0.35
190,1.92,2.02,easting,-0.222
190,2.02,2.12,easting,-0.217
190,2.12,2.22,easting,-0.221
190,2.22,2.32,easting,-0.164
191,0.47,0.52,easting,-0.345
191,0.52,0.62,easting,-0.3
191,0.62,0.72,easting,-0.449
191,0.72,0.82,easting,-0.325
191,0.82,0.92,easting,-0.298
191,0.92,1.02,easting,-0.228
191,1.02,1.12,easting,-0.263
191,1.12,1.22,easting,-0.393
191,1.22,1.32,easting,-0.209
191,1.32,1.42,easting,-0.376
191,1.42,1.52,easting,-0.32
191,1.52,1.62,easting,-0.214
191,1.62,1.72,easting,-0.33
191,1.72,1.82,easting,-0.2
191,1.82,1.92,easting,-0.23
191,1.92,2.02,easting,-0.047
191,2.02,2.12,easting,-0.188
191,2.12,2.22,easting,-0.337
191,2.22,2.32,easting,-0.273
191,2.32,2.42,easting,0.026
192,0.47,0.52,easting,-0.681
192,0.52,0.62,easting,-0.677
192,0.62,0.72,easting,-0.638
192,0.72,0.82,easting,-0.624
192,0.82,0.92,easting,-0.421
192,0.92,1.02,easting,-0.573
192,1.02,1.12,easting,-0.473
192,1.12,1.22,easting,-0.476
192,1.22,1.32,easting,-0.533
192,1.32,1.42,easting,-0.618
192,1.42,1.52,easting,-0.614
192,1.52,1.62,easting,-0.561
192,1.62,1.72,easting,-0.373
192,1.72,1.82,easting,-0.239
192,1.82,1.92,easting,-0.341
192,1.92,2.02,easting,-0.411
192,2.02,2.12,easting,-0.424
192,2.12,2.22,easting,-0.594
192,2.22,2.32,easting,-0.418
193,0.47,0.52,easting,-0.789
193,0.52,0.62,easting,-0.843
193,0.62,0.72,easting,-0.629
193,0.72,0.82,easting,-0.592
193,0.82,0.92,easting,-0.556
193,0.92,1.02,easting,-0.626
193,1.02,1.12,easting,-0.596
193,1.12,1.22,easting,-0.475
193,1.22,1.32,easting,-0.674
193,1.32,1.42,easting,-0.649
193,1.42,1.52,easting,-0.411
193,1.52,1.62,easting,-0.472
193,1.62,1.72,easting,-0.553
193,1.72,1.82,easting,-0.752
193,1.82,1.92,easting,-0.492
193,1.92,2.02,easting,-0.185
193,2.02,2.12,easting,-0.37
193,2.12,2.22,easting,-0.421
193,2.22,2.32,easting,-0.281
193,2.32,2.42,easting,-0.336
194,0.47,0.52,easting,-0.551
194,0.52,0.62,easting,-0.475
194,0.62,0.72,easting,-0.419
194,0.72,0.82,easting,-0.494
194,0.82,0.92,easting,-0.427
194,0.92,1.02,easting,-0.304
