ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
534,2021-03-27,17:36:46.82,0,2.33,0.39,29.5148699750889,-91.4330477222303
535,2021-03-27,17:36:47.96,0.47,2.31,0.56,29.5148687572053,-91.4330523400897
536,2021-03-27,17:36:49.90,1.18,2.32,0.4,29.5148666294524,-91.4330592292172
537,2021-03-27,17:36:50.22,1.31,2.29,0.3,29.514866055548,-91.4330604533429
538,2021-03-27,17:36:51.34,1.79,2.42,0.4,29.5148640424909,-91.433064824509
539,2021-03-27,17:36:52.44,2.32,2.31,0.42,29.5148609649774,-91.4330690697085
540,2021-03-27,17:36:53.54,2.77,2.37,0.46,29.5148588594616,-91.4330729460755
541,2021-03-27,17:36:54.64,3.28,2.37,0.41,29.5148557040655,-91.4330768613151
542,2021-03-27,17:36:55.73,3.86,2.38,0.43,29.5148519273097,-91.4330810368179
543,2021-03-27,17:36:56.82,4.41,2.37,0.45,29.514848459793,-91.43308495996
544,2021-03-27,17:36:57.92,4.95,2.38,0.45,29.5148448360172,-91.4330887936933
545,2021-03-27,17:36:59.09,5.61,2.39,0.42,29.5148403376144,-91.4330931422831
546,2021-03-27,17:37:00.09,6.17,2.41,0.48,29.5148364845368,-91.4330969671685
547,2021-03-27,17:37:01.19,6.79,2.36,0.53,29.5148329625394,-91.4331018567731
548,2021-03-27,17:37:02.26,7.45,2.46,0.65,29.5148295795148,-91.4331075128148
549,2021-03-27,17:37:03.34,8.22,2.34,0.65,29.5148251633576,-91.4331137098825
550,2021-03-27,17:37:04.33,8.98,2.43,0.76,29.5148220874595,-91.4331206951138
551,2021-03-27,17:37:05.42,9.9,2.35,0.78,29.5148167406738,-91.4331278618272
552,2021-03-27,17:37:06.41,10.8,2.4,0.86,29.5148126749294,-91.4331359218118
553,2021-03-27,17:37:07.50,11.85,2.42,0.96,29.5148067155266,-91.4331443968075
554,2021-03-27,17:37:08.58,12.99,2.41,1.02,29.5148006216643,-91.4331538663201
555,2021-03-27,17:37:09.68,14.2,2.45,1.06,29.5147941633695,-91.4331639583727
556,2021-03-27,17:37:10.75,15.48,2.42,1.12,29.5147870682286,-91.4331743748876
557,2021-03-27,17:37:11.75,16.77,2.45,1.17,29.5147800286742,-91.433184990685
558,2021-03-27,17:37:12.83,18.27,2.52,1.34,29.5147717580065,-91.4331971883944
559,2021-03-27,17:37:13.90,19.86,2.46,1.28,29.5147623475267,-91.4332095274619
560,2021-03-27,17:37:14.90,21.34,2.52,1.39,29.5147548262675,-91.4332221469154
561,2021-03-27,17:37:15.95,23.04,2.45,1.41,29.5147451414306,-91.4332357075493
562,2021-03-27,17:37:16.96,24.7,2.53,1.48,29.5147362740864,-91.433249571271
563,2021-03-27,17:37:17.96,26.44,2.58,1.48,29.5147261630679,-91.4332632622631
564,2021-03-27,17:37:18.97,28.21,2.62,1.53,29.5147167564505,-91.4332779967454
565,2021-03-27,17:37:19.97,29.89,2.59,1.56,29.5147086321698,-91.433292739325
566,2021-03-27,17:37:20.97,31.59,2.67,1.56,29.5147005553334,-91.4333076029058
567,2021-03-27,17:37:21.97,33.28,2.56,1.53,29.5146937683191,-91.4333231863063
568,2021-03-27,17:37:22.97,34.86,2.69,1.58,29.5146879230779,-91.4333380567714
569,2021-03-27,17:37:23.98,36.48,2.54,1.45,29.5146829446851,-91.4333538196684
570,2021-03-27,17:37:24.98,38,2.68,1.62,29.5146791988376,-91.4333688878478
571,2021-03-27,17:37:25.99,39.57,2.6,1.52,29.5146764868187,-91.4333847757357
572,2021-03-27,17:37:26.99,41.15,2.67,1.63,29.5146741822509,-91.4334008585176
573,2021-03-27,17:37:27.99,42.76,2.68,1.61,29.5146722961254,-91.4334173031516
574,2021-03-27,17:37:28.99,44.44,2.66,1.71,29.5146704760251,-91.4334345266936
575,2021-03-27,17:37:29.99,46.14,2.68,1.75,29.5146679839472,-91.4334518503393
576,2021-03-27,17:37:30.99,47.94,2.6,1.8,29.514665220142,-91.4334700829249
577,2021-03-27,17:37:31.99,49.73,2.69,1.84,29.5146622252282,-91.4334883066896
578,2021-03-27,17:37:32.99,51.67,2.63,1.88,29.5146577043198,-91.4335075928274
579,2021-03-27,17:37:33.99,53.54,2.75,1.95,29.5146539084931,-91.4335263849842
580,2021-03-27,17:37:34.99,55.55,2.59,1.94,29.5146484240006,-91.4335461419488
581,2021-03-27,17:37:35.99,57.51,2.74,2.01,29.5146440566877,-91.4335657517166
582,2021-03-27,17:37:36.99,59.58,2.63,1.95,29.5146375441233,-91.433585790677
583,2021-03-27,17:37:37.99,61.6,2.71,2.06,29.5146325232748,-91.4336058407039
584,2021-03-27,17:37:38.97,63.66,2.57,2.01,29.5146268946977,-91.4336260063487
585,2021-03-27,17:37:39.97,65.79,2.74,2.21,29.5146210513047,-91.4336470099026
586,2021-03-27,17:37:40.99,68.12,2.68,2.28,29.5146149491132,-91.4336700198674
587,2021-03-27,17:37:41.99,70.48,2.71,2.45,29.5146105380408,-91.4336938053743
588,2021-03-27,17:37:42.99,72.86,2.72,2.41,29.514606763321,-91.4337179906427
589,2021-03-27,17:37:43.99,75.31,2.69,2.43,29.5146035730042,-91.4337429148536
590,2021-03-27,17:37:44.99,77.73,2.69,2.35,29.5146011265509,-91.433767790468
591,2021-03-27,17:37:45.99,80.05,2.77,2.2,29.5145984423868,-91.4337914843794
592,2021-03-27,17:37:46.99,82.17,2.66,2.11,29.5145961176569,-91.433813212625
593,2021-03-27,17:37:47.99,84.19,2.81,2,29.5145945381938,-91.4338339390115
594,2021-03-27,17:37:48.99,86.22,2.73,1.92,29.5145918306389,-91.4338546528518
595,2021-03-27,17:37:49.99,88.04,2.81,1.86,29.514590576204,-91.4338734037858
596,2021-03-27,17:37:50.99,89.84,2.71,1.71,29.5145880153631,-91.433891789001
597,2021-03-27,17:37:51.99,91.55,2.73,1.73,29.514586344967,-91.4339092402742
598,2021-03-27,17:37:52.99,93.22,2.73,1.59,29.5145839968574,-91.4339263047989
599,2021-03-27,17:37:53.99,94.85,2.73,1.6,29.5145818284084,-91.4339429177898
600,2021-03-27,17:37:54.99,96.42,2.68,1.66,29.5145804368815,-91.4339590710818
601,2021-03-27,17:37:55.99,98.06,2.77,1.63,29.5145782886867,-91.4339757951775
602,2021-03-27,17:37:56.99,99.81,2.75,1.73,29.5145759065102,-91.4339936453075
603,2021-03-27,17:37:57.99,101.51,2.77,1.78,29.5145753118502,-91.4340111088993
604,2021-03-27,17:37:58.99,103.35,2.77,1.79,29.5145734213194,-91.434030020244
605,2021-03-27,17:37:59.99,105.15,2.81,1.82,29.5145727570218,-91.4340485433774
606,2021-03-27,17:38:00.99,106.92,2.74,1.79,29.5145717957041,-91.4340668245204
607,2021-03-27,17:38:01.99,108.74,2.75,1.84,29.51457162694,-91.4340855133402
608,2021-03-27,17:38:02.99,110.61,2.77,1.85,29.5145710660487,-91.4341048488504
609,2021-03-27,17:38:03.99,112.49,2.71,1.84,29.5145709899704,-91.4341242057821
610,2021-03-27,17:38:04.99,114.34,2.77,1.91,29.5145708554871,-91.4341433541887
611,2021-03-27,17:38:05.99,116.25,2.73,1.83,29.5145706943905,-91.4341630012905
612,2021-03-27,17:38:06.99,118.16,2.73,1.97,29.514569994268,-91.4341826979573
613,2021-03-27,17:38:07.99,120.09,2.74,1.93,29.514569729368,-91.4342025725881
614,2021-03-27,17:38:08.99,122.06,2.81,1.94,29.5145683175726,-91.4342228300793
615,2021-03-27,17:38:09.99,124.01,2.76,1.98,29.5145673190802,-91.4342429367764
616,2021-03-27,17:38:10.99,125.95,2.79,1.98,29.5145669633474,-91.43426299128
617,2021-03-27,17:38:11.99,127.96,2.79,1.95,29.5145649424066,-91.4342835511358
618,2021-03-27,17:38:12.99,129.94,2.83,1.98,29.5145636131564,-91.4343039228991
619,2021-03-27,17:38:13.99,131.93,2.86,1.98,29.5145622191488,-91.4343243895386
620,2021-03-27,17:38:14.99,133.87,2.79,2,29.5145607184925,-91.4343443822304
621,2021-03-27,17:38:15.99,135.83,2.83,1.93,29.5145595955767,-91.434364499094
622,2021-03-27,17:38:16.98,137.85,2.75,1.92,29.5145578319683,-91.4343852272704
623,2021-03-27,17:38:17.98,139.74,2.73,1.95,29.5145575105807,-91.4344047520088
624,2021-03-27,17:38:18.98,141.66,2.71,1.96,29.514556559999,-91.4344245618827
625,2021-03-27,17:38:19.98,143.6,2.73,1.92,29.5145557942837,-91.4344445154044
626,2021-03-27,17:38:20.99,145.57,2.74,1.87,29.5145551195,-91.4344648347924
627,2021-03-27,17:38:21.99,147.5,2.69,2.03,29.5145546456661,-91.4344846713711
628,2021-03-27,17:38:22.99,149.4,2.73,1.84,29.5145549101457,-91.434504294382
629,2021-03-27,17:38:23.99,151.4,2.69,1.96,29.5145528914488,-91.4345248180897
630,2021-03-27,17:38:24.99,153.28,2.75,1.91,29.5145529093311,-91.4345441900796
631,2021-03-27,17:38:25.99,155.26,2.71,1.96,29.5145506370377,-91.4345644814426
632,2021-03-27,17:38:26.99,157.2,2.71,1.97,29.5145498986586,-91.4345844593015
633,2021-03-27,17:38:27.99,159.19,2.82,1.97,29.5145475528376,-91.4346048673394
634,2021-03-27,17:38:28.99,161.19,2.7,1.96,29.5145457926768,-91.4346253550836
635,2021-03-27,17:38:29.99,163.13,2.78,2.05,29.514544626897,-91.434645283811
636,2021-03-27,17:38:30.99,165.13,2.73,1.92,29.5145425612642,-91.4346658082369
637,2021-03-27,17:38:31.99,167.13,2.71,2.04,29.5145408048119,-91.4346863052071
638,2021-03-27,17:38:32.99,169.04,2.83,1.9,29.5145399310996,-91.4347059797792
639,2021-03-27,17:38:33.99,171.03,2.71,1.94,29.5145377195768,-91.4347263764611
640,2021-03-27,17:38:34.99,172.92,2.78,1.93,29.5145380657711,-91.4347458919533
641,2021-03-27,17:38:35.99,174.89,2.75,1.9,29.5145362273303,-91.4347660941009
642,2021-03-27,17:38:36.99,176.77,2.75,1.88,29.5145365155791,-91.4347854402632
643,2021-03-27,17:38:37.99,178.65,2.75,1.86,29.5145354997087,-91.4348048446672
644,2021-03-27,17:38:38.99,180.51,2.73,1.88,29.5145356809506,-91.4348240697105
645,2021-03-27,17:38:39.99,182.42,2.82,1.88,29.5145352530815,-91.4348437528945
646,2021-03-27,17:38:40.99,184.34,2.62,1.91,29.5145347905671,-91.4348635593775
647,2021-03-27,17:38:41.99,186.16,2.82,1.9,29.5145353717465,-91.4348823418797
648,2021-03-27,17:38:42.99,188.15,2.61,1.84,29.5145335084294,-91.4349027321674
649,2021-03-27,17:38:43.99,190.04,2.85,2.02,29.5145344418416,-91.4349221550602
650,2021-03-27,17:38:44.99,192.02,2.7,1.8,29.5145328937988,-91.4349424992297
651,2021-03-27,17:38:45.99,193.88,2.75,2,29.5145325673224,-91.4349616753459
652,2021-03-27,17:38:46.99,195.81,2.72,1.84,29.5145315622638,-91.4349816170699
653,2021-03-27,17:38:47.99,197.75,2.75,1.94,29.5145300355667,-91.4350015523776
654,2021-03-27,17:38:48.99,199.61,2.77,1.86,29.5145292191565,-91.4350207329376
655,2021-03-27,17:38:49.99,201.54,2.7,1.96,29.5145282704205,-91.4350405541229
656,2021-03-27,17:38:50.99,203.42,2.84,1.86,29.5145287711903,-91.4350599434396
657,2021-03-27,17:38:51.99,205.34,2.72,1.88,29.5145270799745,-91.435079701771
658,2021-03-27,17:38:52.99,207.16,2.75,1.84,29.5145281916023,-91.4350983987383
659,2021-03-27,17:38:53.99,209.11,2.71,1.89,29.5145271814062,-91.4351185190147
660,2021-03-27,17:38:54.99,210.96,2.79,1.83,29.5145281985025,-91.4351375413743
661,2021-03-27,17:38:55.99,212.85,2.72,1.81,29.5145275961111,-91.4351569672673
662,2021-03-27,17:38:56.99,214.65,2.67,1.92,29.5145285207356,-91.4351755701385
663,2021-03-27,17:38:57.99,216.52,2.81,1.77,29.514528941344,-91.4351948203861
664,2021-03-27,17:38:58.99,218.43,2.66,1.85,29.5145283230094,-91.4352145023729
665,2021-03-27,17:38:59.99,220.18,2.82,1.84,29.5145299292338,-91.4352325201306
666,2021-03-27,17:39:00.99,222.1,2.67,1.79,29.5145292297534,-91.4352522848661
667,2021-03-27,17:39:01.99,223.91,2.78,1.9,29.5145310384656,-91.4352707936682
668,2021-03-27,17:39:02.99,225.82,2.71,1.74,29.5145304968058,-91.4352904744757
669,2021-03-27,17:39:03.99,227.66,2.73,1.9,29.5145313353814,-91.4353094345913
670,2021-03-27,17:39:04.99,229.47,2.62,1.81,29.5145314060809,-91.4353281671789
671,2021-03-27,17:39:05.99,231.33,2.54,1.86,29.5145316365761,-91.4353473667076
672,2021-03-27,17:39:06.99,233.23,2.6,1.92,29.5145319127334,-91.4353669193889
673,2021-03-27,17:39:08.00,235.15,2.62,1.85,29.5145318854454,-91.4353867573466
674,2021-03-27,17:39:09.00,237.04,2.7,1.83,29.5145317079368,-91.4354061756719
675,2021-03-27,17:39:09.99,238.87,2.73,1.88,29.5145322900919,-91.4354251242593
676,2021-03-27,17:39:10.99,240.78,2.76,1.91,29.5145325955895,-91.4354447940976
677,2021-03-27,17:39:11.99,242.71,2.68,1.93,29.514532180652,-91.4354646638105
678,2021-03-27,17:39:12.99,244.63,2.63,1.9,29.5145313874026,-91.4354845145836
679,2021-03-27,17:39:13.99,246.61,2.66,2,29.5145293089515,-91.4355047276338
680,2021-03-27,17:39:14.99,248.6,2.62,2.02,29.5145277038399,-91.4355252140098
681,2021-03-27,17:39:15.99,250.62,2.77,2.03,29.5145251334755,-91.4355457998287
682,2021-03-27,17:39:16.98,252.63,2.67,1.99,29.5145217114971,-91.4355662501896
683,2021-03-27,17:39:17.98,254.65,2.75,2.04,29.5145189074995,-91.4355867663534
684,2021-03-27,17:39:18.98,256.74,2.62,2.08,29.5145145386167,-91.4356077254362
685,2021-03-27,17:39:19.98,258.73,2.76,2.02,29.514511573448,-91.4356280418739
686,2021-03-27,17:39:20.99,260.84,2.56,2.01,29.5145060239199,-91.4356488169114
687,2021-03-27,17:39:21.99,262.85,2.67,2.11,29.5145029314431,-91.4356692807668
688,2021-03-27,17:39:23.00,264.97,2.7,2,29.5144971410237,-91.4356900595057
689,2021-03-27,17:39:24.00,267.04,2.62,2.07,29.5144924762303,-91.4357107951376
690,2021-03-27,17:39:25.00,269.09,2.76,2.04,29.5144880527187,-91.4357313310437
691,2021-03-27,17:39:26.00,271.18,2.75,2.03,29.5144824930516,-91.4357519360055
692,2021-03-27,17:39:27.00,273.2,2.71,2.06,29.5144782286506,-91.4357721909162
693,2021-03-27,17:39:28.00,275.31,2.76,2.05,29.5144722360473,-91.4357928128491
694,2021-03-27,17:39:29.00,277.43,2.77,2.04,29.5144667080481,-91.4358138093431
695,2021-03-27,17:39:30.00,279.47,2.71,2.07,29.5144613046937,-91.4358338960692
696,2021-03-27,17:39:31.00,281.57,2.79,2.05,29.514456107828,-91.4358546605039
697,2021-03-27,17:39:32.00,283.71,2.75,2.04,29.5144503557277,-91.4358757842356
698,2021-03-27,17:39:33.00,285.71,2.69,2.08,29.5144459980544,-91.4358957826582
699,2021-03-27,17:39:34.00,287.77,2.76,2.03,29.5144412950773,-91.4359163434786
700,2021-03-27,17:39:35.00,289.91,2.8,2.07,29.5144358864059,-91.4359375135047
701,2021-03-27,17:39:36.00,291.97,2.76,2.08,29.5144317269206,-91.4359582516594
702,2021-03-27,17:39:37.00,294.04,2.77,2.08,29.5144276591073,-91.4359791122002
703,2021-03-27,17:39:38.00,296.12,2.8,2,29.5144232027422,-91.4359999271324
704,2021-03-27,17:39:39.00,298.2,2.71,2.06,29.5144188556074,-91.4360208229147
705,2021-03-27,17:39:40.00,300.22,2.83,2.04,29.5144155595414,-91.4360413208232
706,2021-03-27,17:39:41.00,302.32,2.68,2.05,29.5144104086015,-91.4360621567479
707,2021-03-27,17:39:42.00,304.34,2.66,2.08,29.5144074203657,-91.436082742768
708,2021-03-27,17:39:43.00,306.43,2.7,2.02,29.5144023497668,-91.4361035052385
709,2021-03-27,17:39:44.00,308.52,2.75,2.07,29.51439770465,-91.4361243849619
710,2021-03-27,17:39:45.00,310.61,2.77,2.1,29.5143933582233,-91.4361453426221
711,2021-03-27,17:39:46.00,312.67,2.77,2.05,29.5143884656255,-91.4361658960207
712,2021-03-27,17:39:47.00,314.75,2.79,2.02,29.5143836109323,-91.4361866035815
713,2021-03-27,17:39:48.00,316.84,2.71,2.13,29.5143787396479,-91.4362074351929
714,2021-03-27,17:39:49.00,318.91,2.85,2.02,29.5143750788722,-91.4362283823034
715,2021-03-27,17:39:50.00,321.04,2.71,2.07,29.5143691617688,-91.4362492918904
716,2021-03-27,17:39:51.00,323.06,2.67,2.07,29.5143659106551,-91.4362697787749
717,2021-03-27,17:39:52.00,325.14,2.71,2.02,29.5143602592274,-91.4362902612982
718,2021-03-27,17:39:53.00,327.21,2.56,2.03,29.5143560368966,-91.4363110313403
719,2021-03-27,17:39:54.00,329.25,2.71,2.21,29.5143516752302,-91.43633146308
720,2021-03-27,17:39:55.09,331.54,2.82,2.14,29.514347018861,-91.4363544578294
721,2021-03-27,17:39:56.09,333.62,2.88,2.03,29.5143422102178,-91.4363752471971
722,2021-03-27,17:39:57.09,335.67,2.87,2.03,29.5143384736002,-91.4363958859674
723,2021-03-27,17:39:58.09,337.71,2.84,2.04,29.5143343384385,-91.4364163967497
724,2021-03-27,17:39:59.09,339.74,2.96,2,29.5143306913055,-91.4364369722426
725,2021-03-27,17:40:00.09,341.77,2.79,2.02,29.5143268438676,-91.4364573960668
726,2021-03-27,17:40:01.09,343.71,2.8,2.01,29.5143246229608,-91.4364772481121
727,2021-03-27,17:40:02.09,345.78,2.77,1.97,29.5143198948885,-91.4364979846491
728,2021-03-27,17:40:03.09,347.79,2.78,2.03,29.5143163439507,-91.4365183007465
729,2021-03-27,17:40:04.08,349.75,2.83,1.97,29.5143137456919,-91.4365382927035
730,2021-03-27,17:40:05.08,351.81,2.93,2.03,29.514309323384,-91.4365589420038
731,2021-03-27,17:40:06.09,353.73,2.9,1.89,29.5143072265849,-91.4365786064399
732,2021-03-27,17:40:07.09,355.73,2.91,2.01,29.5143040990574,-91.4365988644413
733,2021-03-27,17:40:08.09,357.65,3.07,1.93,29.5143024721191,-91.4366185835517
734,2021-03-27,17:40:09.09,359.64,2.92,1.9,29.5142988470464,-91.4366387357184
735,2021-03-27,17:40:10.09,361.55,3.03,2.01,29.5142969117805,-91.4366583254531
736,2021-03-27,17:40:11.09,363.51,2.93,1.89,29.5142939419042,-91.4366781786855
737,2021-03-27,17:40:12.09,365.47,3.07,2.02,29.5142914704128,-91.436698209952
738,2021-03-27,17:40:13.09,367.41,2.99,1.93,29.5142896380179,-91.4367181075966
739,2021-03-27,17:40:14.09,369.39,2.93,1.92,29.5142875036058,-91.4367384122243
740,2021-03-27,17:40:15.09,371.29,3.02,1.93,29.5142864074832,-91.4367579993736
741,2021-03-27,17:40:16.09,373.17,2.99,1.81,29.5142853441704,-91.4367773074741
742,2021-03-27,17:40:17.09,375.03,3.04,1.88,29.5142849561633,-91.4367964917136
743,2021-03-27,17:40:18.09,376.83,3.08,1.78,29.5142851931368,-91.4368151092588
744,2021-03-27,17:40:19.09,378.64,3.14,1.75,29.5142859717858,-91.436833749428
745,2021-03-27,17:40:20.09,380.46,3.09,1.76,29.5142874007369,-91.4368524415012
746,2021-03-27,17:40:21.09,382.22,3.05,1.62,29.5142900301302,-91.4368703929732
747,2021-03-27,17:40:22.09,383.92,2.99,1.63,29.5142920832579,-91.436887682734
748,2021-03-27,17:40:23.09,385.55,2.98,1.53,29.5142957580684,-91.4369039881416
749,2021-03-27,17:40:24.09,387.22,3.02,1.61,29.514298466516,-91.4369209892883
750,2021-03-27,17:40:25.09,388.9,2.99,1.55,29.5143020931338,-91.4369378009449
751,2021-03-27,17:40:26.09,390.54,3.07,1.58,29.514305057391,-91.4369543029726
752,2021-03-27,17:40:27.09,392.2,3.06,1.56,29.5143077376751,-91.4369712117072
753,2021-03-27,17:40:28.09,393.82,3.12,1.57,29.5143106371982,-91.436987580618
754,2021-03-27,17:40:29.09,395.43,3.02,1.49,29.5143123286333,-91.4370040403112
755,2021-03-27,17:40:30.09,396.95,3.15,1.54,29.5143136680172,-91.4370197213652
756,2021-03-27,17:40:31.09,398.49,2.96,1.44,29.5143146663861,-91.4370355624072
757,2021-03-27,17:40:32.09,399.99,2.95,1.54,29.5143165785598,-91.4370508426344
758,2021-03-27,17:40:33.09,401.49,2.98,1.39,29.5143174724693,-91.4370662416752
759,2021-03-27,17:40:34.09,402.93,2.96,1.39,29.5143186851022,-91.4370811199957
