ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
347,2021-03-27,17:56:58,0,2.9,-9999,-9999,-9999
348,2021-03-27,17:56:59,0.06,2.96,-9999,-9999,-9999
349,2021-03-27,17:57:00,0.14,2.95,-9999,-9999,-9999
350,2021-03-27,17:57:00,0.23,2.97,-9999,-9999,-9999
351,2021-03-27,17:57:01,0.32,3.03,-9999,-9999,-9999
352,2021-03-27,17:57:02,0.42,3.04,-9999,-9999,-9999
353,2021-03-27,17:57:02,0.54,3.08,-9999,-9999,-9999
354,2021-03-27,17:57:03,0.7,3.18,-9999,-9999,-9999
355,2021-03-27,17:57:04,0.8,3.23,-9999,-9999,-9999
356,2021-03-27,17:57:04,0.92,3.27,-9999,-9999,-9999
357,2021-03-27,17:57:05,1.03,3.35,-9999,-9999,-9999
358,2021-03-27,17:57:06,1.17,3.35,-9999,-9999,-9999
359,2021-03-27,17:57:06,1.31,3.41,-9999,-9999,-9999
360,2021-03-27,17:57:07,1.47,3.45,-9999,-9999,-9999
361,2021-03-27,17:57:08,1.64,3.49,-9999,-9999,-9999
362,2021-03-27,17:57:09,1.81,3.55,-9999,-9999,-9999
363,2021-03-27,17:57:09,1.98,3.56,-9999,-9999,-9999
364,2021-03-27,17:57:10,2.19,3.6,-9999,-9999,-9999
365,2021-03-27,17:57:11,2.36,3.5,-9999,-9999,-9999
366,2021-03-27,17:57:11,2.56,3.55,-9999,-9999,-9999
367,2021-03-27,17:57:12,2.78,3.6,-9999,-9999,-9999
368,2021-03-27,17:57:13,3.09,3.62,-9999,-9999,-9999
369,2021-03-27,17:57:13,3.33,4.11,-9999,-9999,-9999
370,2021-03-27,17:57:14,3.54,4.11,-9999,-9999,-9999
371,2021-03-27,17:57:14,3.75,4.14,-9999,-9999,-9999
372,2021-03-27,17:57:15,3.88,4.25,-9999,-9999,-9999
373,2021-03-27,17:57:16,4.07,4.2,-9999,-9999,-9999
374,2021-03-27,17:57:17,4.34,4.29,-9999,-9999,-9999
375,2021-03-27,17:57:17,4.55,4.39,-9999,-9999,-9999
376,2021-03-27,17:57:18,4.75,4.24,-9999,-9999,-9999
377,2021-03-27,17:57:19,4.97,4.29,-9999,-9999,-9999
378,2021-03-27,17:57:19,4.97,9.34,-9999,-9999,-9999
379,2021-03-27,17:57:20,4.97,9.05,-9999,-9999,-9999
380,2021-03-27,17:57:21,5.83,4.78,-9999,-9999,-9999
381,2021-03-27,17:57:21,5.83,4.62,-9999,-9999,-9999
382,2021-03-27,17:57:22,5.83,4.66,-9999,-9999,-9999
383,2021-03-27,17:57:23,5.83,4.64,-9999,-9999,-9999
384,2021-03-27,17:57:24,5.83,4.57,-9999,-9999,-9999
385,2021-03-27,17:57:24,5.83,4.53,-9999,-9999,-9999
386,2021-03-27,17:57:25,5.83,10.96,-9999,-9999,-9999
387,2021-03-27,17:57:25,5.83,5.01,-9999,-9999,-9999
388,2021-03-27,17:57:26,9.12,12.64,-9999,-9999,-9999
389,2021-03-27,17:57:27,9.68,11.84,-9999,-9999,-9999
390,2021-03-27,17:57:28,10.29,12.2,-9999,-9999,-9999
391,2021-03-27,17:57:29,10.88,12.56,-9999,-9999,-9999
392,2021-03-27,17:57:29,11.54,12.89,-9999,-9999,-9999
393,2021-03-27,17:57:30,12.23,13.24,-9999,-9999,-9999
394,2021-03-27,17:57:31,13.01,13.57,-9999,-9999,-9999
395,2021-03-27,17:57:32,13.81,13.89,-9999,-9999,-9999
396,2021-03-27,17:57:33,14.73,14.67,-9999,-9999,-9999
397,2021-03-27,17:57:33,15.67,15.13,-9999,-9999,-9999
398,2021-03-27,17:57:34,16.69,15.52,-9999,-9999,-9999
399,2021-03-27,17:57:35,17.81,15.83,-9999,-9999,-9999
400,2021-03-27,17:57:36,19.01,16.05,-9999,-9999,-9999
401,2021-03-27,17:57:37,20.27,16.45,-9999,-9999,-9999
402,2021-03-27,17:57:38,21.4,16.81,-9999,-9999,-9999
403,2021-03-27,17:57:39,22.56,16.87,-9999,-9999,-9999
404,2021-03-27,17:57:40,23.75,17.06,-9999,-9999,-9999
405,2021-03-27,17:57:41,24.88,17.24,-9999,-9999,-9999
406,2021-03-27,17:57:42,26.02,17.42,-9999,-9999,-9999
407,2021-03-27,17:57:43,27.32,17.58,-9999,-9999,-9999
408,2021-03-27,17:57:44,28.93,17.75,-9999,-9999,-9999
409,2021-03-27,17:57:45,30.21,17.89,-9999,-9999,-9999
410,2021-03-27,17:57:46,31.56,17.87,-9999,-9999,-9999
411,2021-03-27,17:57:47,33.06,17.95,-9999,-9999,-9999
412,2021-03-27,17:57:48,34.65,17.86,-9999,-9999,-9999
413,2021-03-27,17:57:49,36.31,18.16,-9999,-9999,-9999
414,2021-03-27,17:57:49,37.94,18.39,-9999,-9999,-9999
415,2021-03-27,17:57:50,39.68,18.52,-9999,-9999,-9999
416,2021-03-27,17:57:51,41.49,18.62,-9999,-9999,-9999
417,2021-03-27,17:57:52,43.28,18.64,-9999,-9999,-9999
418,2021-03-27,17:57:53,45.14,18.7,-9999,-9999,-9999
419,2021-03-27,17:57:54,46.96,18.99,-9999,-9999,-9999
420,2021-03-27,17:57:55,48.76,19.04,-9999,-9999,-9999
421,2021-03-27,17:57:56,50.47,19.12,-9999,-9999,-9999
422,2021-03-27,17:57:57,52.17,19.34,-9999,-9999,-9999
423,2021-03-27,17:57:58,53.76,19.55,-9999,-9999,-9999
424,2021-03-27,17:57:59,55.32,19.71,-9999,-9999,-9999
425,2021-03-27,17:58:00,56.77,19.67,-9999,-9999,-9999
426,2021-03-27,17:58:01,58,19.89,-9999,-9999,-9999
427,2021-03-27,17:58:02,59.18,19.73,-9999,-9999,-9999
428,2021-03-27,17:58:03,60.32,19.84,-9999,-9999,-9999
429,2021-03-27,17:58:04,61.34,20.05,-9999,-9999,-9999
430,2021-03-27,17:58:05,62.38,20.1,-9999,-9999,-9999
431,2021-03-27,17:58:06,63.44,20.05,-9999,-9999,-9999
432,2021-03-27,17:58:07,64.48,20.2,-9999,-9999,-9999
433,2021-03-27,17:58:08,65.46,20.4,-9999,-9999,-9999
434,2021-03-27,17:58:09,66.46,20.29,-9999,-9999,-9999
435,2021-03-27,17:58:10,67.62,20.57,-9999,-9999,-9999
436,2021-03-27,17:58:11,68.8,20.81,-9999,-9999,-9999
437,2021-03-27,17:58:12,69.97,20.84,-9999,-9999,-9999
438,2021-03-27,17:58:13,71.21,20.78,-9999,-9999,-9999
439,2021-03-27,17:58:14,72.46,20.76,-9999,-9999,-9999
440,2021-03-27,17:58:15,73.73,20.84,-9999,-9999,-9999
441,2021-03-27,17:58:16,75.02,20.94,-9999,-9999,-9999
442,2021-03-27,17:58:17,76.2,20.84,-9999,-9999,-9999
443,2021-03-27,17:58:18,77.39,21.1,-9999,-9999,-9999
444,2021-03-27,17:58:19,78.52,21.05,-9999,-9999,-9999
445,2021-03-27,17:58:20,79.63,21.2,-9999,-9999,-9999
446,2021-03-27,17:58:21,80.7,21.22,-9999,-9999,-9999
447,2021-03-27,17:58:22,81.83,21.2,-9999,-9999,-9999
448,2021-03-27,17:58:23,83.04,21.18,-9999,-9999,-9999
449,2021-03-27,17:58:24,84.21,21.4,-9999,-9999,-9999
450,2021-03-27,17:58:26,85.49,21.23,-9999,-9999,-9999
451,2021-03-27,17:58:27,86.74,21.59,-9999,-9999,-9999
452,2021-03-27,17:58:28,88,21.32,-9999,-9999,-9999
453,2021-03-27,17:58:29,89.16,21.28,-9999,-9999,-9999
454,2021-03-27,17:58:30,90.37,21.43,-9999,-9999,-9999
455,2021-03-27,17:58:31,91.6,21.33,-9999,-9999,-9999
456,2021-03-27,17:58:32,92.82,21.48,-9999,-9999,-9999
457,2021-03-27,17:58:33,94.09,21.17,-9999,-9999,-9999
458,2021-03-27,17:58:34,95.4,21.21,-9999,-9999,-9999
459,2021-03-27,17:58:35,96.52,21.33,-9999,-9999,-9999
460,2021-03-27,17:58:36,97.56,21.29,-9999,-9999,-9999
461,2021-03-27,17:58:37,98.65,21.29,-9999,-9999,-9999
462,2021-03-27,17:58:38,99.85,21.19,-9999,-9999,-9999
463,2021-03-27,17:58:39,101.06,21.15,-9999,-9999,-9999
464,2021-03-27,17:58:40,102.31,21.09,-9999,-9999,-9999
465,2021-03-27,17:58:41,103.56,20.72,-9999,-9999,-9999
466,2021-03-27,17:58:43,104.88,20.83,-9999,-9999,-9999
467,2021-03-27,17:58:44,106.19,20.75,-9999,-9999,-9999
468,2021-03-27,17:58:45,107.47,20.68,-9999,-9999,-9999
469,2021-03-27,17:58:46,108.67,20.64,-9999,-9999,-9999
470,2021-03-27,17:58:47,109.89,20.52,-9999,-9999,-9999
471,2021-03-27,17:58:48,111.18,20.44,-9999,-9999,-9999
472,2021-03-27,17:58:49,112.54,20.46,-9999,-9999,-9999
473,2021-03-27,17:58:50,113.79,20.46,-9999,-9999,-9999
474,2021-03-27,17:58:51,115.02,20.4,-9999,-9999,-9999
475,2021-03-27,17:58:52,116.26,20.44,-9999,-9999,-9999
476,2021-03-27,17:58:53,117.78,20.32,-9999,-9999,-9999
477,2021-03-27,17:58:54,119.36,20.41,-9999,-9999,-9999
478,2021-03-27,17:58:55,120.86,20.32,-9999,-9999,-9999
479,2021-03-27,17:58:56,122.54,20.32,-9999,-9999,-9999
480,2021-03-27,17:58:57,124.21,20.27,-9999,-9999,-9999
481,2021-03-27,17:58:58,125.82,20.34,-9999,-9999,-9999
482,2021-03-27,17:58:59,127.63,20.21,-9999,-9999,-9999
483,2021-03-27,17:59:00,129.33,20.25,-9999,-9999,-9999
484,2021-03-27,17:59:01,130.94,20.27,-9999,-9999,-9999
485,2021-03-27,17:59:02,132.62,20.11,-9999,-9999,-9999
486,2021-03-27,17:59:03,134.33,20.02,-9999,-9999,-9999
487,2021-03-27,17:59:04,135.97,19.91,-9999,-9999,-9999
488,2021-03-27,17:59:05,137.6,19.93,-9999,-9999,-9999
489,2021-03-27,17:59:06,139.17,19.84,-9999,-9999,-9999
490,2021-03-27,17:59:07,140.51,19.82,-9999,-9999,-9999
491,2021-03-27,17:59:08,141.86,19.73,-9999,-9999,-9999
492,2021-03-27,17:59:09,143.27,19.7,-9999,-9999,-9999
493,2021-03-27,17:59:10,144.67,19.64,-9999,-9999,-9999
494,2021-03-27,17:59:11,146.07,19.75,-9999,-9999,-9999
495,2021-03-27,17:59:12,147.52,19.6,-9999,-9999,-9999
496,2021-03-27,17:59:13,148.89,19.71,-9999,-9999,-9999
497,2021-03-27,17:59:14,150.44,19.53,-9999,-9999,-9999
498,2021-03-27,17:59:15,152,19.6,-9999,-9999,-9999
499,2021-03-27,17:59:16,153.34,19.69,-9999,-9999,-9999
500,2021-03-27,17:59:17,154.72,19.64,-9999,-9999,-9999
501,2021-03-27,17:59:18,156.25,19.6,-9999,-9999,-9999
502,2021-03-27,17:59:19,157.74,19.57,-9999,-9999,-9999
503,2021-03-27,17:59:20,158.99,19.44,-9999,-9999,-9999
504,2021-03-27,17:59:21,160.16,18.97,-9999,-9999,-9999
505,2021-03-27,17:59:22,161.29,18.79,-9999,-9999,-9999
506,2021-03-27,17:59:23,162.46,18.83,-9999,-9999,-9999
507,2021-03-27,17:59:24,163.51,18.99,-9999,-9999,-9999
508,2021-03-27,17:59:25,164.54,18.97,-9999,-9999,-9999
509,2021-03-27,17:59:26,165.52,18.9,-9999,-9999,-9999
510,2021-03-27,17:59:27,166.52,18.84,-9999,-9999,-9999
511,2021-03-27,17:59:28,167.57,18.7,-9999,-9999,-9999
512,2021-03-27,17:59:29,168.73,18.57,-9999,-9999,-9999
513,2021-03-27,17:59:30,169.84,18.5,-9999,-9999,-9999
514,2021-03-27,17:59:31,170.94,18.46,-9999,-9999,-9999
515,2021-03-27,17:59:32,172.03,18.13,-9999,-9999,-9999
516,2021-03-27,17:59:33,173.15,17.68,-9999,-9999,-9999
517,2021-03-27,17:59:34,174.28,17.63,-9999,-9999,-9999
518,2021-03-27,17:59:35,175.31,16.88,-9999,-9999,-9999
519,2021-03-27,17:59:36,176.43,16.41,-9999,-9999,-9999
520,2021-03-27,17:59:37,177.52,16.25,-9999,-9999,-9999
521,2021-03-27,17:59:38,178.6,16.12,-9999,-9999,-9999
522,2021-03-27,17:59:39,179.63,15.85,-9999,-9999,-9999
523,2021-03-27,17:59:40,180.77,15.46,-9999,-9999,-9999
524,2021-03-27,17:59:40,181.81,14.91,-9999,-9999,-9999
525,2021-03-27,17:59:41,182.85,14.47,-9999,-9999,-9999
526,2021-03-27,17:59:42,183.9,13.67,-9999,-9999,-9999
527,2021-03-27,17:59:43,184.84,13.1,-9999,-9999,-9999
528,2021-03-27,17:59:44,185.76,12.36,-9999,-9999,-9999
529,2021-03-27,17:59:45,186.67,11.41,-9999,-9999,-9999
530,2021-03-27,17:59:46,187.57,9.39,-9999,-9999,-9999
531,2021-03-27,17:59:46,188.42,8.86,-9999,-9999,-9999
532,2021-03-27,17:59:47,189.13,8.12,-9999,-9999,-9999
533,2021-03-27,17:59:48,189.13,8.98,-9999,-9999,-9999
534,2021-03-27,17:59:48,189.13,8.58,-9999,-9999,-9999
535,2021-03-27,17:59:49,190.77,4.34,-9999,-9999,-9999
536,2021-03-27,17:59:50,191.29,4.11,-9999,-9999,-9999
537,2021-03-27,17:59:50,191.97,4.11,-9999,-9999,-9999
538,2021-03-27,17:59:51,192.6,4.19,-9999,-9999,-9999
539,2021-03-27,17:59:52,193.28,3.96,-9999,-9999,-9999
540,2021-03-27,17:59:52,193.94,3.7,-9999,-9999,-9999
541,2021-03-27,17:59:53,194.61,3.64,-9999,-9999,-9999
542,2021-03-27,17:59:54,195.21,3.5,-9999,-9999,-9999
543,2021-03-27,17:59:54,195.78,3.42,-9999,-9999,-9999
544,2021-03-27,17:59:55,196.28,3.22,-9999,-9999,-9999
545,2021-03-27,17:59:56,196.71,3.13,-9999,-9999,-9999
546,2021-03-27,17:59:56,197.16,3.02,-9999,-9999,-9999
547,2021-03-27,17:59:57,197.66,2.85,-9999,-9999,-9999
548,2021-03-27,17:59:58,198.08,2.81,-9999,-9999,-9999
549,2021-03-27,17:59:58,198.5,2.68,-9999,-9999,-9999
550,2021-03-27,17:59:59,198.87,2.62,-9999,-9999,-9999
551,2021-03-27,18:00:00,199.23,2.57,-9999,-9999,-9999
552,2021-03-27,18:00:00,199.52,2.64,-9999,-9999,-9999
553,2021-03-27,18:00:01,199.82,2.65,-9999,-9999,-9999
554,2021-03-27,18:00:02,200.07,2.63,-9999,-9999,-9999
555,2021-03-27,18:00:02,200.33,2.64,-9999,-9999,-9999
556,2021-03-27,18:00:03,200.56,2.71,-9999,-9999,-9999
557,2021-03-27,18:00:04,200.78,2.66,-9999,-9999,-9999
558,2021-03-27,18:00:04,200.98,2.66,-9999,-9999,-9999
559,2021-03-27,18:00:05,201.2,2.71,-9999,-9999,-9999
560,2021-03-27,18:00:06,201.39,2.75,-9999,-9999,-9999
561,2021-03-27,18:00:06,201.57,2.71,-9999,-9999,-9999
562,2021-03-27,18:00:07,201.73,2.67,-9999,-9999,-9999
563,2021-03-27,18:00:08,201.93,2.71,-9999,-9999,-9999
564,2021-03-27,18:00:08,202.12,2.76,-9999,-9999,-9999
565,2021-03-27,18:00:09,202.38,2.7,-9999,-9999,-9999
566,2021-03-27,18:00:10,202.62,2.68,-9999,-9999,-9999
567,2021-03-27,18:00:10,202.92,2.66,-9999,-9999,-9999
568,2021-03-27,18:00:11,203.22,2.66,-9999,-9999,-9999
569,2021-03-27,18:00:12,203.51,2.62,-9999,-9999,-9999
570,2021-03-27,18:00:12,203.75,2.55,-9999,-9999,-9999
571,2021-03-27,18:00:13,204.02,2.51,-9999,-9999,-9999
572,2021-03-27,18:00:14,204.26,2.47,-9999,-9999,-9999
573,2021-03-27,18:00:14,204.45,2.44,-9999,-9999,-9999
574,2021-03-27,18:00:15,204.6,2.4,-9999,-9999,-9999
575,2021-03-27,18:00:16,204.74,2.33,-9999,-9999,-9999
576,2021-03-27,18:00:16,204.87,2.33,-9999,-9999,-9999
577,2021-03-27,18:00:17,205.01,2.33,-9999,-9999,-9999
578,2021-03-27,18:00:17,205.14,2.28,-9999,-9999,-9999
579,2021-03-27,18:00:18,205.24,2.26,-9999,-9999,-9999
580,2021-03-27,18:00:18,205.34,2.24,-9999,-9999,-9999
581,2021-03-27,18:00:19,205.46,2.23,-9999,-9999,-9999
582,2021-03-27,18:00:20,205.56,2.21,-9999,-9999,-9999
583,2021-03-27,18:00:20,205.65,2.19,-9999,-9999,-9999
584,2021-03-27,18:00:21,205.75,2.2,-9999,-9999,-9999
585,2021-03-27,18:00:22,205.83,2.18,-9999,-9999,-9999
586,2021-03-27,18:00:22,205.91,2.16,-9999,-9999,-9999
587,2021-03-27,18:00:23,205.99,2.16,-9999,-9999,-9999
588,2021-03-27,18:00:24,206.05,2.15,-9999,-9999,-9999
589,2021-03-27,18:00:24,206.1,2.13,-9999,-9999,-9999
590,2021-03-27,18:00:25,206.16,2.12,-9999,-9999,-9999
591,2021-03-27,18:00:26,206.2,2.12,-9999,-9999,-9999
592,2021-03-27,18:00:26,206.27,2.1,-9999,-9999,-9999
593,2021-03-27,18:00:27,206.33,2.09,-9999,-9999,-9999
594,2021-03-27,18:00:28,206.38,2.05,-9999,-9999,-9999
595,2021-03-27,18:00:28,206.44,2.05,-9999,-9999,-9999
596,2021-03-27,18:00:29,206.53,2.02,-9999,-9999,-9999
597,2021-03-27,18:00:30,206.58,2.02,-9999,-9999,-9999
598,2021-03-27,18:00:30,206.6,2.01,-9999,-9999,-9999
599,2021-03-27,18:00:31,206.66,1.95,-9999,-9999,-9999
600,2021-03-27,18:00:32,206.69,1.98,-9999,-9999,-9999
601,2021-03-27,18:00:32,206.75,1.98,-9999,-9999,-9999
602,2021-03-27,18:00:33,206.81,1.97,-9999,-9999,-9999
603,2021-03-27,18:00:34,206.9,1.98,-9999,-9999,-9999
604,2021-03-27,18:00:34,206.99,2,-9999,-9999,-9999
