ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
900,2021-03-27,19:00:32.09,0,0.45,0.29,29.4947857936977,-91.4399760714894
901,2021-03-27,19:00:32.76,0.51,0.47,0.36,29.4947885071258,-91.4399718442861
902,2021-03-27,19:00:33.47,1.1,0.45,0.44,29.4947914166437,-91.439966717749
903,2021-03-27,19:00:34.15,1.72,0.47,0.52,29.4947939187161,-91.4399610115932
904,2021-03-27,19:00:34.84,2.39,0.46,0.55,29.4947960764608,-91.4399545680755
905,2021-03-27,19:00:35.52,3.09,0.47,0.63,29.4947983500125,-91.4399477658983
906,2021-03-27,19:00:36.24,3.86,0.48,0.68,29.4948000152346,-91.4399401055984
907,2021-03-27,19:00:36.92,4.63,0.49,0.74,29.4948015915885,-91.4399323311382
908,2021-03-27,19:00:37.64,5.5,0.52,0.8,29.4948026699559,-91.4399234895402
909,2021-03-27,19:00:38.31,6.32,0.54,1.11,29.4948035925466,-91.4399150608502
910,2021-03-27,19:00:39.50,7.84,0.56,0.89,29.4948037804371,-91.4398993861512
911,2021-03-27,19:00:39.72,8.14,0.6,0.62,29.4948038794847,-91.4398962913209
912,2021-03-27,19:00:40.46,9.13,0.64,0.98,29.4948033793646,-91.439886119628
913,2021-03-27,19:00:41.17,10.11,0.66,0.98,29.4948025556393,-91.4398760539762
914,2021-03-27,19:00:41.90,11.14,0.73,1.03,29.4948015148719,-91.4398654862441
915,2021-03-27,19:00:42.58,12.15,0.93,1.04,29.4948005239817,-91.4398551704514
916,2021-03-27,19:00:43.34,13.29,1.25,1.63,29.4947994026878,-91.4398435075259
917,2021-03-27,19:00:44.70,15.43,1.62,1.2,29.4947976512563,-91.4398215129608
918,2021-03-27,19:00:44.85,15.69,1.98,0.78,29.4947973020589,-91.4398188221114
919,2021-03-27,19:00:45.66,17.03,2.27,1.35,29.4947962116705,-91.4398051020004
920,2021-03-27,19:00:46.46,18.43,2.52,1.39,29.4947950701117,-91.4397907122388
921,2021-03-27,19:00:47.24,19.83,2.63,1.34,29.4947937839825,-91.4397763061259
922,2021-03-27,19:00:47.94,21.14,2.75,1.29,29.4947923965887,-91.4397629598311
923,2021-03-27,19:00:48.60,22.43,2.83,1.33,29.4947906032893,-91.4397497806651
924,2021-03-27,19:00:49.32,23.82,2.89,1.39,29.4947887605005,-91.4397355367735
