ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
167,2021-03-30,23:30:50.15,0,12.91,0.86,29.7037900238762,-91.3705136261345
168,2021-03-30,23:30:51.34,1.18,13.35,1.09,29.7037969951254,-91.3705228621295
169,2021-03-30,23:30:52.56,2.46,13.95,1.33,29.7038023924154,-91.370534491431
170,2021-03-30,23:30:53.77,3.85,14.96,1.43,29.7038062621685,-91.3705482538614
171,2021-03-30,23:30:54.99,5.38,15.77,1.56,29.7038096733074,-91.3705635368313
172,2021-03-30,23:30:56.22,7,16.67,1.71,29.7038127984403,-91.3705799220621
173,2021-03-30,23:30:57.48,8.77,17.82,1.81,29.7038155066731,-91.3705979181122
174,2021-03-30,23:30:58.73,10.63,19.14,1.91,29.7038172749526,-91.37061703525
175,2021-03-30,23:30:59.98,12.59,20.14,2.03,29.703817929395,-91.3706372948867
176,2021-03-30,23:31:01.25,14.73,20.89,2.13,29.7038172175606,-91.3706593739455
177,2021-03-30,23:31:02.51,16.94,21.77,2.22,29.7038163285545,-91.3706821607534
178,2021-03-30,23:31:03.79,19.23,22.48,2.92,29.7038148555903,-91.3707057414618
179,2021-03-30,23:31:05.79,22.89,23.06,2.32,29.703813471713,-91.3707436024804
180,2021-03-30,23:31:06.36,23.94,23.85,1.69,29.7038132384187,-91.3707544152269
181,2021-03-30,23:31:07.66,26.3,23.99,2.37,29.7038132609859,-91.3707788358523
182,2021-03-30,23:31:08.96,28.7,24.68,2.42,29.703813411223,-91.3708036595659
183,2021-03-30,23:31:10.26,31.21,25.06,2.44,29.7038126836223,-91.3708295196451
184,2021-03-30,23:31:11.56,33.78,25.33,2.58,29.7038116324601,-91.3708560701985
185,2021-03-30,23:31:12.88,36.39,25.74,2.6,29.7038104136253,-91.3708830007091
186,2021-03-30,23:31:14.19,39.06,26.32,2.61,29.7038084303247,-91.3709105016813
187,2021-03-30,23:31:15.50,41.78,26.52,2.66,29.703806748958,-91.3709385621032
188,2021-03-30,23:31:16.81,44.47,26.84,2.64,29.7038059950041,-91.3709663160886
189,2021-03-30,23:31:18.16,47.1,27.31,2.55,29.7038050874108,-91.370993537174
190,2021-03-30,23:31:19.47,49.73,27.6,2.64,29.7038040552533,-91.3710206817138
191,2021-03-30,23:31:20.79,52.47,27.96,2.68,29.7038036035896,-91.3710489517354
192,2021-03-30,23:31:22.11,55.18,28.07,2.6,29.7038013191467,-91.3710768410152
193,2021-03-30,23:31:23.44,57.82,28.19,2.62,29.7037989882145,-91.3711040323589
194,2021-03-30,23:31:24.76,60.57,28.01,2.64,29.7037967668482,-91.3711323557487
195,2021-03-30,23:31:26.09,63.14,28.05,2.57,29.7037954451111,-91.3711588476167
196,2021-03-30,23:31:27.43,65.61,27.96,2.35,29.7037937823302,-91.3711842421789
197,2021-03-30,23:31:28.75,68.21,27.94,3.15,29.7037919660363,-91.3712110944721
198,2021-03-30,23:31:30.90,72.08,27.98,2.37,29.703791183939,-91.3712510893735
199,2021-03-30,23:31:31.42,72.98,27.78,1.68,29.7037910964371,-91.3712604073057
200,2021-03-30,23:31:32.75,75.5,27.87,2.96,29.7037894929769,-91.3712863714341
201,2021-03-30,23:31:34.70,79.1,27.71,2.54,29.7037883036516,-91.3713235574863
202,2021-03-30,23:31:35.56,80.61,27.51,1.99,29.7037882654061,-91.371339081158
203,2021-03-30,23:31:36.85,83.03,27.78,2.32,29.7037873438649,-91.3713640740994
204,2021-03-30,23:31:38.19,85.54,27.8,2.48,29.7037871132187,-91.3713899985038
205,2021-03-30,23:31:39.51,88.02,27.92,2.66,29.7037877677015,-91.3714156998416
206,2021-03-30,23:31:40.83,90.6,28.37,2.62,29.7037881100434,-91.3714423601925
207,2021-03-30,23:31:42.16,93.31,28.37,2.62,29.7037873320079,-91.3714703657218
208,2021-03-30,23:31:43.49,96.07,29.09,2.64,29.7037865156331,-91.3714988493692
209,2021-03-30,23:31:44.81,98.76,29.31,2.61,29.7037859067924,-91.3715265999742
210,2021-03-30,23:31:46.15,101.43,29.16,2.68,29.7037860112682,-91.3715542439855
211,2021-03-30,23:31:47.48,104.06,29.11,2.68,29.7037865232484,-91.3715814204471
212,2021-03-30,23:31:48.80,106.68,28.93,2.66,29.7037867732605,-91.3716084998495
213,2021-03-30,23:31:50.14,109.38,29.25,2.63,29.7037868628408,-91.3716363280755
214,2021-03-30,23:31:51.54,112.21,29.34,2.71,29.7037876646216,-91.3716655731861
215,2021-03-30,23:31:52.88,114.75,29.29,2.65,29.7037895225516,-91.3716917729258
216,2021-03-30,23:31:54.22,117.37,28.75,2.49,29.7037901344372,-91.371718784477
217,2021-03-30,23:31:55.54,119.99,27.89,2.52,29.7037908223891,-91.3717458919572
218,2021-03-30,23:31:56.88,122.54,27.92,2.59,29.7037924743749,-91.3717721487675
219,2021-03-30,23:31:58.22,125.06,27.79,2.53,29.7037934662588,-91.3717982177832
220,2021-03-30,23:31:59.53,127.49,27.24,2.52,29.7037956371144,-91.3718231577346
221,2021-03-30,23:32:00.84,130.01,26.48,2.45,29.7037982309526,-91.3718490355359
222,2021-03-30,23:32:02.18,132.48,26.14,2.35,29.7038011281837,-91.3718743441247
223,2021-03-30,23:32:03.49,134.77,25.18,2.28,29.7038043180449,-91.3718977679421
224,2021-03-30,23:32:04.79,137.05,24.91,2.25,29.7038082542353,-91.3719208345117
225,2021-03-30,23:32:06.13,139.29,24.68,2.2,29.7038133848382,-91.3719432937215
