ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
167,0.465,0.57,easting,-1.964
167,0.57,0.78,easting,-1.834
167,0.78,0.99,easting,-2.051
167,0.99,1.2,easting,-2.041
167,1.2,1.41,easting,-1.932
167,1.41,1.62,easting,-1.982
167,1.62,1.83,easting,-2.149
167,1.83,2.04,easting,-1.843
167,2.04,2.25,easting,-2.003
167,2.25,2.46,easting,-1.871
167,2.46,2.67,easting,-1.809
167,2.67,2.88,easting,-1.848
167,2.88,3.09,easting,-2.078
167,3.09,3.3,easting,-1.728
167,3.3,3.51,easting,-2.065
167,3.51,3.72,easting,-2.081
167,3.72,3.93,easting,-1.994
167,3.93,4.14,easting,-2.355
167,4.14,4.35,easting,-2.145
167,4.35,4.56,easting,-2.311
167,4.56,4.77,easting,-2.336
167,4.77,4.98,easting,-2.081
167,4.98,5.19,easting,-2.389
167,5.19,5.4,easting,-1.982
167,5.4,5.61,easting,-2.112
167,5.61,5.82,easting,-2.198
167,5.82,6.03,easting,-2.091
167,6.03,6.24,easting,-2.186
167,6.24,6.45,easting,-2.067
167,6.45,6.66,easting,-2.261
167,6.66,6.87,easting,-2.265
167,6.87,7.08,easting,-1.706
167,7.08,7.29,easting,-2.116
167,7.29,7.5,easting,-1.957
167,7.5,7.71,easting,-2.093
167,7.71,7.92,easting,-1.95
167,7.92,8.13,easting,-1.673
167,8.13,8.34,easting,-1.921
167,8.34,8.55,easting,-1.475
167,8.55,8.76,easting,-1.72
167,8.76,8.97,easting,-1.66
167,8.97,9.18,easting,-1.759
167,9.18,9.39,easting,-1.323
167,9.39,9.6,easting,-1.446
167,9.6,9.81,easting,-1.204
167,9.81,10.02,easting,-1.203
168,0.465,0.57,easting,-2.239
168,0.57,0.78,easting,-2.136
168,0.78,0.99,easting,-1.911
168,0.99,1.2,easting,-2.05
168,1.2,1.41,easting,-1.954
168,1.41,1.62,easting,-2.511
168,1.62,1.83,easting,-2.155
168,1.83,2.04,easting,-2.362
168,2.04,2.25,easting,-2.439
168,2.25,2.46,easting,-2.527
168,2.46,2.67,easting,-2.208
168,2.67,2.88,easting,-2.183
168,2.88,3.09,easting,-1.976
168,3.09,3.3,easting,-1.924
168,3.3,3.51,easting,-2.1
168,3.51,3.72,easting,-2.434
168,3.72,3.93,easting,-2.052
168,3.93,4.14,easting,-2.219
168,4.14,4.35,easting,-2.59
168,4.35,4.56,easting,-2.784
168,4.56,4.77,easting,-2.139
168,4.77,4.98,easting,-1.889
168,4.98,5.19,easting,-1.778
168,5.19,5.4,easting,-1.672
168,5.4,5.61,easting,-1.752
168,5.61,5.82,easting,-1.792
168,5.82,6.03,easting,-2.144
168,6.03,6.24,easting,-1.951
168,6.24,6.45,easting,-2.386
168,6.45,6.66,easting,-2.154
168,6.66,6.87,easting,-2.141
168,6.87,7.08,easting,-2.216
168,7.08,7.29,easting,-1.583
168,7.29,7.5,easting,-2.146
168,7.5,7.71,easting,-2.324
168,7.71,7.92,easting,-2.117
168,7.92,8.13,easting,-2.152
168,8.13,8.34,easting,-2.323
168,8.34,8.55,easting,-2.121
168,8.55,8.76,easting,-1.918
168,8.76,8.97,easting,-1.82
168,8.97,9.18,easting,-1.586
168,9.18,9.39,easting,-1.53
168,9.39,9.6,easting,-1.909
168,9.6,9.81,easting,-1.813
168,9.81,10.02,easting,-1.871
168,10.02,10.23,easting,-1.771
168,10.23,10.44,easting,-1.695
169,0.465,0.57,easting,-1.916
169,0.57,0.78,easting,-2.052
169,0.78,0.99,easting,-2.249
169,0.99,1.2,easting,-1.926
169,1.2,1.41,easting,-1.663
169,1.41,1.62,easting,-2.277
169,1.62,1.83,easting,-2.188
169,1.83,2.04,easting,-2.165
169,2.04,2.25,easting,-2.162
169,2.25,2.46,easting,-2.338
169,2.46,2.67,easting,-2.129
169,2.67,2.88,easting,-2.536
169,2.88,3.09,easting,-1.847
169,3.09,3.3,easting,-2.249
169,3.3,3.51,easting,-2.267
169,3.51,3.72,easting,-2.5
169,3.72,3.93,easting,-1.981
169,3.93,4.14,easting,-2.503
169,4.14,4.35,easting,-2.329
169,4.35,4.56,easting,-1.983
169,4.56,4.77,easting,-2.133
169,4.77,4.98,easting,-2.07
169,4.98,5.19,easting,-2.334
169,5.19,5.4,easting,-1.897
169,5.4,5.61,easting,-2.065
169,5.61,5.82,easting,-1.953
169,5.82,6.03,easting,-2.363
169,6.03,6.24,easting,-1.763
169,6.24,6.45,easting,-1.459
169,6.45,6.66,easting,-1.902
169,6.66,6.87,easting,-1.753
169,6.87,7.08,easting,-1.668
169,7.08,7.29,easting,-1.829
169,7.29,7.5,easting,-1.716
169,7.5,7.71,easting,-1.7
169,7.71,7.92,easting,-1.624
169,7.92,8.13,easting,-1.684
169,8.13,8.34,easting,-1.967
169,8.34,8.55,easting,-1.587
169,8.55,8.76,easting,-1.74
169,8.76,8.97,easting,-1.876
169,8.97,9.18,easting,-1.896
169,9.18,9.39,easting,-1.611
169,9.39,9.6,easting,-1.973
169,9.6,9.81,easting,-1.977
169,9.81,10.02,easting,-1.435
169,10.02,10.23,easting,-1.875
169,10.23,10.44,easting,-1.77
169,10.44,10.65,easting,-1.697
169,10.65,10.86,easting,-1.741
169,10.86,11.07,easting,-1.783
170,0.465,0.57,easting,-1.726
170,0.57,0.78,easting,-1.975
170,0.78,0.99,easting,-2.259
170,0.99,1.2,easting,-2.468
170,1.2,1.41,easting,-2.135
170,1.41,1.62,easting,-2.41
170,1.62,1.83,easting,-2.338
170,1.83,2.04,easting,-2.462
170,2.04,2.25,easting,-2.355
170,2.25,2.46,easting,-2.541
170,2.46,2.67,easting,-2.297
170,2.67,2.88,easting,-2.188
170,2.88,3.09,easting,-2.163
170,3.09,3.3,easting,-2.219
170,3.3,3.51,easting,-2.57
170,3.51,3.72,easting,-2.359
170,3.72,3.93,easting,-2.476
170,3.93,4.14,easting,-1.812
170,4.14,4.35,easting,-2.132
170,4.35,4.56,easting,-2.293
170,4.56,4.77,easting,-1.904
170,4.77,4.98,easting,-1.885
170,4.98,5.19,easting,-1.713
170,5.19,5.4,easting,-1.819
170,5.4,5.61,easting,-2.21
170,5.61,5.82,easting,-2.004
170,5.82,6.03,easting,-1.949
170,6.03,6.24,easting,-2.233
170,6.24,6.45,easting,-2.024
170,6.45,6.66,easting,-2.018
170,6.66,6.87,easting,-2.194
170,6.87,7.08,easting,-1.946
170,7.08,7.29,easting,-2.041
170,7.29,7.5,easting,-1.936
170,7.5,7.71,easting,-2.161
170,7.71,7.92,easting,-2.038
170,7.92,8.13,easting,-2.066
170,8.13,8.34,easting,-1.868
170,8.34,8.55,easting,-1.803
170,8.55,8.76,easting,-2.053
170,8.76,8.97,easting,-1.866
170,8.97,9.18,easting,-2.096
170,9.18,9.39,easting,-2.382
170,9.39,9.6,easting,-2.246
170,9.6,9.81,easting,-2.313
170,9.81,10.02,easting,-1.895
170,10.02,10.23,easting,-2.169
170,10.23,10.44,easting,-1.979
170,10.44,10.65,easting,-1.798
170,10.65,10.86,easting,-2.146
170,10.86,11.07,easting,-2.202
170,11.07,11.28,easting,-2.462
170,11.28,11.49,easting,-2.138
171,0.465,0.57,easting,-2.586
171,0.57,0.78,easting,-2.237
171,0.78,0.99,easting,-2.139
171,0.99,1.2,easting,-2.369
171,1.2,1.41,easting,-2.269
171,1.41,1.62,easting,-1.982
171,1.62,1.83,easting,-2.112
171,1.83,2.04,easting,-2.146
171,2.04,2.25,easting,-2.137
171,2.25,2.46,easting,-2.381
171,2.46,2.67,easting,-2.431
171,2.67,2.88,easting,-2.399
171,2.88,3.09,easting,-1.918
171,3.09,3.3,easting,-2.276
171,3.3,3.51,easting,-2.145
171,3.51,3.72,easting,-2.588
171,3.72,3.93,easting,-2.525
171,3.93,4.14,easting,-2.195
171,4.14,4.35,easting,-2.16
171,4.35,4.56,easting,-2.119
171,4.56,4.77,easting,-2.333
171,4.77,4.98,easting,-2.129
171,4.98,5.19,easting,-1.951
171,5.19,5.4,easting,-2.231
171,5.4,5.61,easting,-2.747
171,5.61,5.82,easting,-2.367
171,5.82,6.03,easting,-1.82
171,6.03,6.24,easting,-1.777
171,6.24,6.45,easting,-2.204
171,6.45,6.66,easting,-1.896
171,6.66,6.87,easting,-1.664
171,6.87,7.08,easting,-2.389
171,7.08,7.29,easting,-1.883
171,7.29,7.5,easting,-2.124
171,7.5,7.71,easting,-2.94
171,7.71,7.92,easting,-2.067
171,7.92,8.13,easting,-2.295
171,8.13,8.34,easting,-2.306
171,8.34,8.55,easting,-1.928
171,8.55,8.76,easting,-2.305
171,8.76,8.97,easting,-2.338
171,8.97,9.18,easting,-2.109
171,9.18,9.39,easting,-2.246
171,9.39,9.6,easting,-2.321
171,9.6,9.81,easting,-2.162
171,9.81,10.02,easting,-1.965
171,10.02,10.23,easting,-2.037
171,10.23,10.44,easting,-2.045
171,10.44,10.65,easting,-1.574
171,10.65,10.86,easting,-2.249
171,10.86,11.07,easting,-2.183
171,11.07,11.28,easting,-1.898
171,11.28,11.49,easting,-1.863
171,11.49,11.7,easting,-2.508
171,11.7,11.91,easting,-2.271
172,0.465,0.57,easting,-2.675
172,0.57,0.78,easting,-2.511
172,0.78,0.99,easting,-1.89
172,0.99,1.2,easting,-2.149
172,1.2,1.41,easting,-1.766
172,1.41,1.62,easting,-2.38
172,1.62,1.83,easting,-2.014
172,1.83,2.04,easting,-1.904
172,2.04,2.25,easting,-1.877
172,2.25,2.46,easting,-1.992
172,2.46,2.67,easting,-2.168
172,2.67,2.88,easting,-2.188
172,2.88,3.09,easting,-2.102
172,3.09,3.3,easting,-2.176
172,3.3,3.51,easting,-2.003
172,3.51,3.72,easting,-1.926
172,3.72,3.93,easting,-2.049
172,3.93,4.14,easting,-2.327
172,4.14,4.35,easting,-1.942
172,4.35,4.56,easting,-2.387
172,4.56,4.77,easting,-2.25
172,4.77,4.98,easting,-2.561
172,4.98,5.19,easting,-2.52
172,5.19,5.4,easting,-2.33
172,5.4,5.61,easting,-2.333
172,5.61,5.82,easting,-2.555
172,5.82,6.03,easting,-2.784
172,6.03,6.24,easting,-2.797
172,6.24,6.45,easting,-2.429
172,6.45,6.66,easting,-2.864
172,6.66,6.87,easting,-2.535
172,6.87,7.08,easting,-2.391
172,7.08,7.29,easting,-2.342
172,7.29,7.5,easting,-2.498
172,7.5,7.71,easting,-1.838
172,7.71,7.92,easting,-2.805
172,7.92,8.13,easting,-2.385
172,8.13,8.34,easting,-2.076
172,8.34,8.55,easting,-2.203
172,8.55,8.76,easting,-1.908
172,8.76,8.97,easting,-1.951
172,8.97,9.18,easting,-2.061
172,9.18,9.39,easting,-2.079
172,9.39,9.6,easting,-1.882
172,9.6,9.81,easting,-1.968
172,9.81,10.02,easting,-1.926
172,10.02,10.23,easting,-2.031
172,10.23,10.44,easting,-2.071
172,10.44,10.65,easting,-1.974
172,10.65,10.86,easting,-2.075
172,10.86,11.07,easting,-2.121
172,11.07,11.28,easting,-2.054
172,11.28,11.49,easting,-1.544
172,11.49,11.7,easting,-1.998
172,11.7,11.91,easting,-2.055
172,11.91,12.12,easting,-1.714
172,12.12,12.33,easting,-2.003
173,0.465,0.57,easting,-2.005
173,0.57,0.78,easting,-2.341
173,0.78,0.99,easting,-1.982
173,0.99,1.2,easting,-2.123
173,1.2,1.41,easting,-2.237
173,1.41,1.62,easting,-2.393
173,1.62,1.83,easting,-2.017
173,1.83,2.04,easting,-1.94
173,2.04,2.25,easting,-1.692
173,2.25,2.46,easting,-2.376
173,2.46,2.67,easting,-1.851
173,2.67,2.88,easting,-1.924
173,2.88,3.09,easting,-2.183
173,3.09,3.3,easting,-1.762
173,3.3,3.51,easting,-2.626
173,3.51,3.72,easting,-2.035
173,3.72,3.93,easting,-2.427
173,3.93,4.14,easting,-2.117
173,4.14,4.35,easting,-1.91
173,4.35,4.56,easting,-2.083
173,4.56,4.77,easting,-1.984
173,4.77,4.98,easting,-2.133
173,4.98,5.19,easting,-2.153
173,5.19,5.4,easting,-2.3
173,5.4,5.61,easting,-2.34
173,5.61,5.82,easting,-1.823
173,5.82,6.03,easting,-2.301
173,6.03,6.24,easting,-2.19
173,6.24,6.45,easting,-2.517
173,6.45,6.66,easting,-2.175
173,6.66,6.87,easting,-2.463
173,6.87,7.08,easting,-2.436
173,7.08,7.29,easting,-2.128
173,7.29,7.5,easting,-2.198
173,7.5,7.71,easting,-2.205
173,7.71,7.92,easting,-2.228
173,7.92,8.13,easting,-2.253
173,8.13,8.34,easting,-1.744
173,8.34,8.55,easting,-2.107
173,8.55,8.76,easting,-2.056
173,8.76,8.97,easting,-2.138
173,8.97,9.18,easting,-2.257
173,9.18,9.39,easting,-2.337
173,9.39,9.6,easting,-2.006
173,9.6,9.81,easting,-2.425
173,9.81,10.02,easting,-1.961
173,10.02,10.23,easting,-2.052
173,10.23,10.44,easting,-1.86
173,10.44,10.65,easting,-2.116
173,10.65,10.86,easting,-2.366
173,10.86,11.07,easting,-1.992
173,11.07,11.28,easting,-1.772
173,11.28,11.49,easting,-1.942
173,11.49,11.7,easting,-1.931
173,11.7,11.91,easting,-1.556
173,11.91,12.12,easting,-1.944
173,12.12,12.33,easting,-2.106
173,12.33,12.54,easting,-1.796
173,12.54,12.75,easting,-2.107
174,0.465,0.57,easting,-2.07
174,0.57,0.78,easting,-2.287
