ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
445,2021-04-01,14:58:03,0,0.33,-9999,29.6022378086667,-91.4319533268333
446,2021-04-01,14:58:04,0.11,0.34,-9999,29.6022403743333,-91.4319472443333
447,2021-04-01,14:58:04,0.2,0.34,-9999,29.6022403743333,-91.4319472443333
448,2021-04-01,14:58:05,0.26,0.36,-9999,29.6022438445,-91.4319414066667
449,2021-04-01,14:58:06,0.28,0.37,-9999,29.6022438445,-91.4319414066667
450,2021-04-01,14:58:06,0.29,0.35,-9999,29.6022438445,-91.4319414066667
451,2021-04-01,14:58:07,0.32,0.34,-9999,29.6022438445,-91.4319414066667
452,2021-04-01,14:58:07,0.34,0.37,-9999,29.6022438445,-91.4319414066667
453,2021-04-01,14:58:08,0.37,0.38,-9999,29.6022438445,-91.4319414066667
454,2021-04-01,14:58:08,0.42,0.4,-9999,29.6022438445,-91.4319414066667
455,2021-04-01,14:58:09,0.5,0.39,-9999,29.6022438445,-91.4319414066667
456,2021-04-01,14:58:10,0.6,0.38,-9999,29.6022438445,-91.4319414066667
457,2021-04-01,14:58:10,0.71,0.39,-9999,29.6022438445,-91.4319414066667
458,2021-04-01,14:58:11,0.89,0.37,-9999,29.6022438445,-91.4319414066667
459,2021-04-01,14:58:11,1.06,0.38,-9999,29.6022438445,-91.4319414066667
460,2021-04-01,14:58:12,1.27,0.41,-9999,29.6022438445,-91.4319414066667
461,2021-04-01,14:58:12,1.48,0.4,-9999,29.6022438445,-91.4319414066667
462,2021-04-01,14:58:13,1.74,0.39,-9999,29.6022438445,-91.4319414066667
463,2021-04-01,14:58:14,2.01,0.38,-9999,29.6022438445,-91.4319414066667
464,2021-04-01,14:58:14,2.32,0.36,-9999,29.6022438445,-91.4319414066667
465,2021-04-01,14:58:15,2.62,0.37,-9999,29.6022438445,-91.4319414066667
466,2021-04-01,14:58:15,2.97,0.37,-9999,29.6022438445,-91.4319414066667
467,2021-04-01,14:58:16,3.33,0.36,-9999,29.6022438445,-91.4319414066667
