ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1126,2021-04-01,16:12:30,0,0.33,-9999,-9999,-9999
1127,2021-04-01,16:12:31,0.02,0.33,-9999,-9999,-9999
1128,2021-04-01,16:12:31,0.05,0.33,-9999,-9999,-9999
1129,2021-04-01,16:12:32,0.1,0.33,-9999,-9999,-9999
1130,2021-04-01,16:12:32,0.16,0.35,-9999,-9999,-9999
1131,2021-04-01,16:12:33,0.22,0.37,-9999,-9999,-9999
1132,2021-04-01,16:12:34,0.27,0.38,-9999,-9999,-9999
1133,2021-04-01,16:12:34,0.31,0.39,-9999,-9999,-9999
1134,2021-04-01,16:12:35,0.36,0.39,-9999,-9999,-9999
1135,2021-04-01,16:12:35,0.42,0.4,-9999,-9999,-9999
1136,2021-04-01,16:12:36,0.44,0.42,-9999,-9999,-9999
1137,2021-04-01,16:12:37,0.47,0.42,-9999,-9999,-9999
1138,2021-04-01,16:12:37,0.51,0.4,-9999,-9999,-9999
1139,2021-04-01,16:12:38,0.52,0.39,-9999,-9999,-9999
1140,2021-04-01,16:12:38,0.52,0.39,-9999,-9999,-9999
1141,2021-04-01,16:12:39,0.55,0.41,-9999,-9999,-9999
1142,2021-04-01,16:12:40,0.56,0.43,-9999,-9999,-9999
1143,2021-04-01,16:12:40,0.61,0.41,-9999,-9999,-9999
1144,2021-04-01,16:12:41,0.69,0.39,-9999,-9999,-9999
1145,2021-04-01,16:12:41,0.79,0.39,-9999,-9999,-9999
1146,2021-04-01,16:12:42,0.87,0.39,-9999,-9999,-9999
1147,2021-04-01,16:12:42,0.98,0.36,-9999,-9999,-9999
1148,2021-04-01,16:12:43,1.06,0.35,-9999,-9999,-9999
1149,2021-04-01,16:12:44,1.13,0.37,-9999,-9999,-9999
1150,2021-04-01,16:12:44,1.18,0.36,-9999,-9999,-9999
1151,2021-04-01,16:12:45,1.25,0.37,-9999,-9999,-9999
1152,2021-04-01,16:12:45,1.35,0.37,-9999,-9999,-9999
1153,2021-04-01,16:12:46,1.44,0.34,-9999,-9999,-9999
1154,2021-04-01,16:12:47,1.5,0.32,-9999,-9999,-9999
1155,2021-04-01,16:12:47,1.56,0.3,-9999,-9999,-9999
1156,2021-04-01,16:12:48,1.61,0.3,-9999,-9999,-9999
1157,2021-04-01,16:12:48,1.65,0.31,-9999,-9999,-9999
1158,2021-04-01,16:12:49,1.68,0.29,-9999,-9999,-9999
1159,2021-04-01,16:12:49,1.73,0.31,-9999,-9999,-9999
1160,2021-04-01,16:12:50,1.78,0.3,-9999,-9999,-9999
1161,2021-04-01,16:12:50,1.84,0.31,-9999,-9999,-9999
1162,2021-04-01,16:12:51,1.92,0.33,-9999,-9999,-9999
1163,2021-04-01,16:12:52,1.99,0.34,-9999,-9999,-9999
1164,2021-04-01,16:12:52,2.07,0.35,-9999,-9999,-9999
1165,2021-04-01,16:12:53,2.17,0.37,-9999,-9999,-9999
1166,2021-04-01,16:12:53,2.27,0.38,-9999,-9999,-9999
1167,2021-04-01,16:12:54,2.38,0.38,-9999,-9999,-9999
1168,2021-04-01,16:12:54,2.47,0.4,-9999,-9999,-9999
1169,2021-04-01,16:12:55,2.55,0.41,-9999,-9999,-9999
1170,2021-04-01,16:12:56,2.62,0.43,-9999,-9999,-9999
1171,2021-04-01,16:12:56,2.7,0.46,-9999,-9999,-9999
1172,2021-04-01,16:12:57,2.76,0.45,-9999,-9999,-9999
1173,2021-04-01,16:12:57,2.87,0.47,-9999,-9999,-9999
1174,2021-04-01,16:12:58,2.97,0.47,-9999,-9999,-9999
1175,2021-04-01,16:12:59,3.09,0.49,-9999,-9999,-9999
1176,2021-04-01,16:12:59,3.22,0.53,-9999,-9999,-9999
1177,2021-04-01,16:13:00,3.32,0.55,-9999,-9999,-9999
1178,2021-04-01,16:13:00,3.45,0.57,-9999,-9999,-9999
1179,2021-04-01,16:13:01,3.56,0.6,-9999,-9999,-9999
1180,2021-04-01,16:13:02,3.65,0.61,-9999,-9999,-9999
1181,2021-04-01,16:13:02,3.75,0.63,-9999,-9999,-9999
1182,2021-04-01,16:13:03,3.82,0.65,-9999,-9999,-9999
1183,2021-04-01,16:13:03,3.87,0.68,-9999,-9999,-9999
1184,2021-04-01,16:13:03,3.92,0.68,-9999,-9999,-9999
1185,2021-04-01,16:13:04,4,0.68,-9999,-9999,-9999
1186,2021-04-01,16:13:05,4.09,0.7,-9999,-9999,-9999
1187,2021-04-01,16:13:05,4.21,0.74,-9999,-9999,-9999
1188,2021-04-01,16:13:06,4.29,0.76,-9999,-9999,-9999
1189,2021-04-01,16:13:06,4.4,0.74,-9999,-9999,-9999
1190,2021-04-01,16:13:07,4.51,0.72,-9999,-9999,-9999
1191,2021-04-01,16:13:07,4.61,0.77,-9999,-9999,-9999
1192,2021-04-01,16:13:08,4.73,0.82,-9999,-9999,-9999
1193,2021-04-01,16:13:08,4.83,0.77,-9999,-9999,-9999
1194,2021-04-01,16:13:09,4.92,0.78,-9999,-9999,-9999
1195,2021-04-01,16:13:09,5.01,0.78,-9999,-9999,-9999
1196,2021-04-01,16:13:10,5.09,0.81,-9999,-9999,-9999
1197,2021-04-01,16:13:10,5.18,0.8,-9999,-9999,-9999
1198,2021-04-01,16:13:11,5.25,0.8,-9999,-9999,-9999
1199,2021-04-01,16:13:11,5.35,0.82,-9999,-9999,-9999
1200,2021-04-01,16:13:12,5.45,0.82,-9999,-9999,-9999
1201,2021-04-01,16:13:12,5.58,0.8,-9999,-9999,-9999
1202,2021-04-01,16:13:13,5.71,0.79,-9999,-9999,-9999
1203,2021-04-01,16:13:13,5.84,0.79,-9999,-9999,-9999
1204,2021-04-01,16:13:14,5.97,0.8,-9999,-9999,-9999
1205,2021-04-01,16:13:15,6.08,0.8,-9999,-9999,-9999
1206,2021-04-01,16:13:15,6.21,0.8,-9999,-9999,-9999
1207,2021-04-01,16:13:16,6.38,0.8,-9999,-9999,-9999
1208,2021-04-01,16:13:16,6.47,0.79,-9999,-9999,-9999
1209,2021-04-01,16:13:17,6.59,0.8,-9999,-9999,-9999
1210,2021-04-01,16:13:17,6.71,0.77,-9999,-9999,-9999
1211,2021-04-01,16:13:18,6.83,0.79,-9999,-9999,-9999
1212,2021-04-01,16:13:18,6.91,0.8,-9999,-9999,-9999
1213,2021-04-01,16:13:19,6.98,0.8,-9999,-9999,-9999
1214,2021-04-01,16:13:19,7.04,0.8,-9999,-9999,-9999
1215,2021-04-01,16:13:20,7.09,0.81,-9999,-9999,-9999
1216,2021-04-01,16:13:20,7.14,0.83,-9999,-9999,-9999
1217,2021-04-01,16:13:21,7.2,0.83,-9999,-9999,-9999
1218,2021-04-01,16:13:21,7.26,0.81,-9999,-9999,-9999
1219,2021-04-01,16:13:22,7.32,0.83,-9999,-9999,-9999
1220,2021-04-01,16:13:22,7.41,0.85,-9999,-9999,-9999
1221,2021-04-01,16:13:23,7.52,0.85,-9999,-9999,-9999
1222,2021-04-01,16:13:24,7.62,0.86,-9999,-9999,-9999
1223,2021-04-01,16:13:24,7.71,0.87,-9999,-9999,-9999
1224,2021-04-01,16:13:25,7.81,0.88,-9999,-9999,-9999
1225,2021-04-01,16:13:25,7.85,0.9,-9999,-9999,-9999
1226,2021-04-01,16:13:26,7.89,0.9,-9999,-9999,-9999
1227,2021-04-01,16:13:26,7.93,0.9,-9999,-9999,-9999
1228,2021-04-01,16:13:27,8.02,0.91,-9999,-9999,-9999
1229,2021-04-01,16:13:27,8.23,0.91,-9999,-9999,-9999
1230,2021-04-01,16:13:28,8.36,0.9,-9999,-9999,-9999
1231,2021-04-01,16:13:29,8.51,0.92,-9999,-9999,-9999
1232,2021-04-01,16:13:29,8.7,0.95,-9999,-9999,-9999
1233,2021-04-01,16:13:30,8.87,0.95,-9999,-9999,-9999
1234,2021-04-01,16:13:30,9.04,0.94,-9999,-9999,-9999
1235,2021-04-01,16:13:31,9.22,0.91,-9999,-9999,-9999
1236,2021-04-01,16:13:31,9.41,0.91,-9999,-9999,-9999
1237,2021-04-01,16:13:32,9.53,0.94,-9999,-9999,-9999
1238,2021-04-01,16:13:33,9.66,0.95,-9999,-9999,-9999
1239,2021-04-01,16:13:33,9.78,0.95,-9999,-9999,-9999
1240,2021-04-01,16:13:34,9.89,0.95,-9999,-9999,-9999
1241,2021-04-01,16:13:34,10,0.96,-9999,-9999,-9999
1242,2021-04-01,16:13:35,10.07,0.97,-9999,-9999,-9999
1243,2021-04-01,16:13:35,10.19,0.98,-9999,-9999,-9999
1244,2021-04-01,16:13:36,10.31,0.98,-9999,-9999,-9999
1245,2021-04-01,16:13:36,10.42,0.98,-9999,-9999,-9999
1246,2021-04-01,16:13:37,10.55,0.98,-9999,-9999,-9999
1247,2021-04-01,16:13:38,10.68,0.98,-9999,-9999,-9999
1248,2021-04-01,16:13:38,10.8,0.97,-9999,-9999,-9999
1249,2021-04-01,16:13:39,10.96,0.97,-9999,-9999,-9999
1250,2021-04-01,16:13:39,11.1,0.84,-9999,-9999,-9999
1251,2021-04-01,16:13:40,11.27,0.99,-9999,-9999,-9999
1252,2021-04-01,16:13:40,11.4,0.99,-9999,-9999,-9999
1253,2021-04-01,16:13:41,11.53,1,-9999,-9999,-9999
1254,2021-04-01,16:13:41,11.65,1,-9999,-9999,-9999
1255,2021-04-01,16:13:42,11.77,0.99,-9999,-9999,-9999
1256,2021-04-01,16:13:43,11.88,1,-9999,-9999,-9999
1257,2021-04-01,16:13:43,11.99,1,-9999,-9999,-9999
1258,2021-04-01,16:13:44,12.09,1,-9999,-9999,-9999
1259,2021-04-01,16:13:44,12.19,1.01,-9999,-9999,-9999
1260,2021-04-01,16:13:45,12.28,1,-9999,-9999,-9999
1261,2021-04-01,16:13:45,12.37,1.01,-9999,-9999,-9999
1262,2021-04-01,16:13:46,12.45,1.01,-9999,-9999,-9999
1263,2021-04-01,16:13:47,12.54,1,-9999,-9999,-9999
1264,2021-04-01,16:13:47,12.59,1.03,-9999,-9999,-9999
1265,2021-04-01,16:13:48,12.62,1.03,-9999,-9999,-9999
1266,2021-04-01,16:13:48,12.66,1.01,-9999,-9999,-9999
1267,2021-04-01,16:13:49,12.7,1.01,-9999,-9999,-9999
1268,2021-04-01,16:13:50,12.76,1.01,-9999,-9999,-9999
1269,2021-04-01,16:13:50,12.82,1.02,-9999,-9999,-9999
1270,2021-04-01,16:13:51,12.93,1.02,-9999,-9999,-9999
1271,2021-04-01,16:13:51,13.04,1.03,-9999,-9999,-9999
1272,2021-04-01,16:13:52,13.14,1.05,-9999,-9999,-9999
1273,2021-04-01,16:13:52,13.32,1.02,-9999,-9999,-9999
1274,2021-04-01,16:13:53,13.49,0.98,-9999,-9999,-9999
1275,2021-04-01,16:13:53,13.66,0.96,-9999,-9999,-9999
1276,2021-04-01,16:13:54,13.82,0.99,-9999,-9999,-9999
1277,2021-04-01,16:13:55,13.98,1,-9999,-9999,-9999
