ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1167,0.445,0.52,easting,-1.285
1167,0.52,0.67,easting,-1.226
1167,0.67,0.82,easting,-0.879
1167,0.82,0.97,easting,-0.439
1167,0.97,1.12,easting,-0.468
1167,1.12,1.27,easting,-1.075
1167,1.27,1.42,easting,-1.173
1168,0.445,0.52,easting,-0.665
1168,0.52,0.67,easting,-1.086
1168,0.67,0.82,easting,-0.683
1168,0.82,0.97,easting,-0.493
1168,0.97,1.12,easting,-0.737
1168,1.12,1.27,easting,-0.312
1168,1.27,1.42,easting,-0.8
1169,0.445,0.52,easting,-0.556
1169,0.52,0.67,easting,0.006
1169,0.67,0.82,easting,-0.275
1169,0.82,0.97,easting,-0.932
1169,0.97,1.12,easting,-0.547
1169,1.12,1.27,easting,-1.215
1169,1.27,1.42,easting,-0.411
1170,0.445,0.52,easting,-0.312
1170,0.52,0.67,easting,-0.803
1170,0.67,0.82,easting,0.896
1170,0.82,0.97,easting,0.192
1170,0.97,1.12,easting,-0.171
1170,1.12,1.27,easting,-0.15
1170,1.27,1.42,easting,0.57
1170,1.42,1.57,easting,0.191
1171,0.445,0.52,easting,0.258
1171,0.52,0.67,easting,-0.489
1171,0.67,0.82,easting,0.073
1171,0.82,0.97,easting,-0.387
1171,0.97,1.12,easting,-0.037
1171,1.12,1.27,easting,-0.164
1171,1.27,1.42,easting,0.337
1171,1.42,1.57,easting,0.559
1172,0.445,0.52,easting,-0.289
1172,0.52,0.67,easting,0.348
1172,0.67,0.82,easting,0.377
1172,0.82,0.97,easting,0.137
1172,0.97,1.12,easting,0.886
1172,1.12,1.27,easting,0.745
1172,1.27,1.42,easting,-0.248
1172,1.42,1.57,easting,0.412
1173,0.445,0.52,easting,0.255
1173,0.52,0.67,easting,1.058
1173,0.67,0.82,easting,0.593
1173,0.82,0.97,easting,0.728
1173,0.97,1.12,easting,0.056
1173,1.12,1.27,easting,-0.571
1173,1.27,1.42,easting,0.032
1173,1.42,1.57,easting,1.084
1173,1.57,1.72,easting,0.319
1174,0.445,0.52,easting,0.419
1174,0.52,0.67,easting,0.452
1174,0.67,0.82,easting,0.965
1174,0.82,0.97,easting,0.122
1174,0.97,1.12,easting,0.352
1174,1.12,1.27,easting,0.843
1174,1.27,1.42,easting,0.601
1174,1.42,1.57,easting,0.614
1174,1.57,1.72,easting,0.513
1175,0.445,0.52,easting,0.179
1175,0.52,0.67,easting,0.311
1175,0.67,0.82,easting,0.781
1175,0.82,0.97,easting,0.382
1175,0.97,1.12,easting,0.794
1175,1.12,1.27,easting,0.518
1175,1.27,1.42,easting,1.056
1175,1.42,1.57,easting,0.006
1175,1.57,1.72,easting,0.086
1175,1.72,1.87,easting,-0.043
1176,0.445,0.52,easting,0.447
1176,0.52,0.67,easting,0.006
1176,0.67,0.82,easting,0.688
1176,0.82,0.97,easting,0.509
1176,0.97,1.12,easting,0.019
1176,1.12,1.27,easting,0.451
1176,1.27,1.42,easting,0.422
1176,1.42,1.57,easting,0.712
1176,1.57,1.72,easting,0.59
1176,1.72,1.87,easting,1.374
1177,0.445,0.52,easting,0.234
1177,0.52,0.67,easting,0.266
1177,0.67,0.82,easting,0.675
1177,0.82,0.97,easting,1.28
1177,0.97,1.12,easting,1.333
1177,1.12,1.27,easting,0.423
1177,1.27,1.42,easting,0.573
1177,1.42,1.57,easting,0.381
1177,1.57,1.72,easting,-0.061
1177,1.72,1.87,easting,0.753
1178,0.445,0.52,easting,0.039
1178,0.52,0.67,easting,0.273
1178,0.67,0.82,easting,0.223
1178,0.82,0.97,easting,0.007
1178,0.97,1.12,easting,-0.02
1178,1.12,1.27,easting,0.033
1178,1.27,1.42,easting,-0.117
1178,1.42,1.57,easting,-0.11
1178,1.57,1.72,easting,0.589
1178,1.72,1.87,easting,0.595
1178,1.87,2.02,easting,0.498
1179,0.445,0.52,easting,1.003
1179,0.52,0.67,easting,0.066
1179,0.67,0.82,easting,0.059
1179,0.82,0.97,easting,0.357
1179,0.97,1.12,easting,0.067
1179,1.12,1.27,easting,0.706
1179,1.27,1.42,easting,-0.391
1179,1.42,1.57,easting,0.26
1179,1.57,1.72,easting,-0.38
1179,1.72,1.87,easting,-0.108
1179,1.87,2.02,easting,-0.182
