ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1309,2021-04-01,17:24:11,0,0.55,-9999,29.5570456918333,-91.3764901398333
1310,2021-04-01,17:24:12,0.07,0.54,-9999,29.5570456918333,-91.3764901398333
1311,2021-04-01,17:24:12,0.13,0.53,-9999,29.5570456918333,-91.3764901398333
1312,2021-04-01,17:24:13,0.2,0.55,-9999,29.55670833,-91.37631
1313,2021-04-01,17:24:13,0.27,0.52,-9999,29.55670833,-91.37631
1314,2021-04-01,17:24:14,0.37,0.52,-9999,29.55669,-91.37631
1315,2021-04-01,17:24:14,0.45,0.53,-9999,29.55669,-91.37631
1316,2021-04-01,17:24:15,0.58,0.52,-9999,29.55668667,-91.37630333
1317,2021-04-01,17:24:16,0.69,0.52,-9999,29.55668333,-91.37629833
1318,2021-04-01,17:24:16,0.84,0.52,-9999,29.55668333,-91.37629833
1319,2021-04-01,17:24:17,0.97,0.52,-9999,29.55668167,-91.37629
1320,2021-04-01,17:24:17,1.13,0.51,-9999,29.55668167,-91.37629
1321,2021-04-01,17:24:18,1.3,0.51,-9999,29.55670833,-91.37629667
1322,2021-04-01,17:24:18,1.48,0.51,-9999,29.55670833,-91.37629667
1323,2021-04-01,17:24:19,1.63,0.49,-9999,29.55670833,-91.376295
1324,2021-04-01,17:24:19,1.72,0.49,-9999,29.55670833,-91.376295
1325,2021-04-01,17:24:20,1.88,0.5,-9999,29.55670667,-91.376295
1326,2021-04-01,17:24:20,2.07,0.52,-9999,29.55670667,-91.376295
1327,2021-04-01,17:24:21,2.25,0.52,-9999,29.55670667,-91.376295
1328,2021-04-01,17:24:22,2.4,0.54,-9999,29.55670667,-91.376295
1329,2021-04-01,17:24:22,2.51,0.54,-9999,29.55670667,-91.376295
1330,2021-04-01,17:24:22,2.62,0.56,-9999,29.55670667,-91.376295
1331,2021-04-01,17:24:23,2.75,0.57,-9999,29.55670167,-91.37629167
1332,2021-04-01,17:24:23,2.87,0.59,-9999,29.55670167,-91.37629167
1333,2021-04-01,17:24:24,3.01,0.62,-9999,29.55668667,-91.37629833
1334,2021-04-01,17:24:24,3.2,0.63,-9999,29.55668667,-91.37629833
1335,2021-04-01,17:24:25,3.35,0.68,-9999,29.556675,-91.37629833
1336,2021-04-01,17:24:25,3.5,0.7,-9999,29.556675,-91.37629833
1337,2021-04-01,17:24:26,3.66,0.71,-9999,29.55668167,-91.37630333
1338,2021-04-01,17:24:26,3.84,0.73,-9999,29.55668167,-91.37630333
1339,2021-04-01,17:24:27,4.04,0.74,-9999,29.5570795645,-91.3767036511667
1340,2021-04-01,17:24:27,4.27,0.76,-9999,29.5570795645,-91.3767036511667
1341,2021-04-01,17:24:28,4.49,0.81,-9999,29.5570795645,-91.3767036511667
1342,2021-04-01,17:24:28,4.75,0.84,-9999,29.5570795645,-91.3767036511667
1343,2021-04-01,17:24:29,5.02,0.87,-9999,29.5570795645,-91.3767036511667
1344,2021-04-01,17:24:30,5.3,0.91,-9999,29.5570795645,-91.3767036511667
1345,2021-04-01,17:24:30,5.58,0.93,-9999,29.5570795645,-91.3767036511667
1346,2021-04-01,17:24:31,5.88,0.99,-9999,29.5570795645,-91.3767036511667
1347,2021-04-01,17:24:31,6.19,1.04,-9999,29.5570795645,-91.3767036511667
