ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
280,2021-04-01,19:28:23,0,0.85,-9999,29.6498263311667,-91.4005783183333
281,2021-04-01,19:28:24,0.03,0.84,-9999,29.6498281253333,-91.4005782573333
282,2021-04-01,19:28:24,0.07,0.85,-9999,29.6498281253333,-91.4005782573333
283,2021-04-01,19:28:25,0.14,0.85,-9999,29.6498301826667,-91.4005776243333
284,2021-04-01,19:28:25,0.2,0.87,-9999,29.6498301826667,-91.4005776243333
285,2021-04-01,19:28:26,0.28,0.87,-9999,29.6498325466667,-91.4005765121667
286,2021-04-01,19:28:26,0.39,0.87,-9999,29.6498325466667,-91.4005765121667
287,2021-04-01,19:28:27,0.49,0.88,-9999,29.6498345818333,-91.4005746165
288,2021-04-01,19:28:27,0.6,0.9,-9999,29.6498345818333,-91.4005746165
289,2021-04-01,19:28:28,0.72,0.91,-9999,29.649837898,-91.4005728343333
290,2021-04-01,19:28:29,0.84,0.9,-9999,29.6498410135,-91.4005704711667
291,2021-04-01,19:28:29,0.96,0.92,-9999,29.6498410135,-91.4005704711667
292,2021-04-01,19:28:30,1.09,0.93,-9999,29.6498448401667,-91.4005681216667
293,2021-04-01,19:28:30,1.2,0.95,-9999,29.6498448401667,-91.4005681216667
294,2021-04-01,19:28:31,1.33,0.95,-9999,29.6498486993333,-91.4005650688333
295,2021-04-01,19:28:31,1.47,0.94,-9999,29.6498486993333,-91.4005650688333
296,2021-04-01,19:28:32,1.59,0.94,-9999,29.6498533661667,-91.4005610185
297,2021-04-01,19:28:32,1.73,1,-9999,29.6498533661667,-91.4005610185
298,2021-04-01,19:28:33,1.89,1.01,-9999,29.6498582778333,-91.4005559635
299,2021-04-01,19:28:34,2.04,1,-9999,29.649863981,-91.4005504415
300,2021-04-01,19:28:34,2.22,1.02,-9999,29.649863981,-91.4005504415
301,2021-04-01,19:28:35,2.36,1.06,-9999,29.6498702088333,-91.4005443718333
302,2021-04-01,19:28:35,2.53,1.08,-9999,29.6498702088333,-91.4005443718333
303,2021-04-01,19:28:36,2.71,1.06,-9999,29.6498769388333,-91.4005380648333
304,2021-04-01,19:28:36,2.88,1.08,-9999,29.6498769388333,-91.4005380648333
305,2021-04-01,19:28:37,3.04,1.11,-9999,29.6498850836667,-91.4005322463333
306,2021-04-01,19:28:37,3.18,1.14,-9999,29.6498850836667,-91.4005322463333
307,2021-04-01,19:28:38,3.32,1.16,-9999,29.649893906,-91.4005266516667
308,2021-04-01,19:28:39,3.45,1.16,-9999,29.6499036905,-91.4005218023333
309,2021-04-01,19:28:39,3.56,1.19,-9999,29.6499036905,-91.4005218023333
310,2021-04-01,19:28:40,3.69,1.23,-9999,29.6499140193333,-91.40051731
311,2021-04-01,19:28:40,3.81,1.27,-9999,29.6499140193333,-91.40051731
312,2021-04-01,19:28:41,3.96,1.31,-9999,29.6499249823333,-91.4005134305
313,2021-04-01,19:28:42,4.11,1.37,-9999,29.6499357836667,-91.4005089626667
314,2021-04-01,19:28:42,4.3,1.39,-9999,29.6499357836667,-91.4005089626667
315,2021-04-01,19:28:43,4.5,1.49,-9999,29.6499467638333,-91.4005044295
316,2021-04-01,19:28:43,4.72,1.57,-9999,29.6499467638333,-91.4005044295
317,2021-04-01,19:28:44,4.97,1.64,-9999,29.6499581538333,-91.4005002406667
318,2021-04-01,19:28:45,5.24,1.76,-9999,29.6499697995,-91.4004960401667
319,2021-04-01,19:28:45,5.55,1.89,-9999,29.6499697995,-91.4004960401667
320,2021-04-01,19:28:46,5.89,2.02,-9999,29.6499822793333,-91.4004926353333
321,2021-04-01,19:28:46,6.21,2.22,-9999,29.6499822793333,-91.4004926353333
322,2021-04-01,19:28:47,6.63,2.43,-9999,29.6499950338333,-91.4004894565
323,2021-04-01,19:28:48,7.07,2.61,-9999,29.65000824,-91.4004867586667
324,2021-04-01,19:28:48,7.5,2.77,-9999,29.65000824,-91.4004867586667
325,2021-04-01,19:28:49,7.98,3,-9999,29.6500210538333,-91.4004835935
326,2021-04-01,19:28:50,8.53,3.21,-9999,29.6500330565,-91.4004797946667
327,2021-04-01,19:28:50,9.13,3.42,-9999,29.6500330565,-91.4004797946667
328,2021-04-01,19:28:51,9.78,3.66,-9999,29.6500439483333,-91.4004751003333
329,2021-04-01,19:28:52,10.49,3.93,-9999,29.6500541468333,-91.4004701003333
330,2021-04-01,19:28:52,11.17,4.17,-9999,29.6500541468333,-91.4004701003333
331,2021-04-01,19:28:53,11.83,4.46,-9999,29.6500640231667,-91.4004649826667
332,2021-04-01,19:28:54,12.58,4.71,-9999,29.6500741241667,-91.4004599586667
333,2021-04-01,19:28:54,13.36,5.02,-9999,29.6500741241667,-91.4004599586667
334,2021-04-01,19:28:55,14.18,5.29,-9999,29.6500842871667,-91.4004549298333
335,2021-04-01,19:28:56,15.04,5.52,-9999,29.6500946278333,-91.4004499033333
336,2021-04-01,19:28:56,15.98,5.75,-9999,29.6500946278333,-91.4004499033333
337,2021-04-01,19:28:57,16.87,5.97,-9999,29.6501040726667,-91.400444224
338,2021-04-01,19:28:58,17.81,6.17,-9999,29.6501140806667,-91.4004388745
339,2021-04-01,19:28:59,18.76,6.4,-9999,29.6501235366667,-91.4004334363333
340,2021-04-01,19:28:59,19.82,6.59,-9999,29.6501235366667,-91.4004334363333
341,2021-04-01,19:29:00,20.89,6.85,-9999,29.6501333796667,-91.4004283831667
342,2021-04-01,19:29:01,21.98,7.04,-9999,29.6501432928333,-91.400423759
343,2021-04-01,19:29:02,22.85,7.16,-9999,29.6501533001667,-91.4004191528333
344,2021-04-01,19:29:02,23.75,7.32,-9999,29.6501533001667,-91.4004191528333
345,2021-04-01,19:29:03,24.69,7.45,-9999,29.6501630313333,-91.4004145386667
346,2021-04-01,19:29:03,25.57,7.52,-9999,29.6501630313333,-91.4004145386667
347,2021-04-01,19:29:04,26.52,7.55,-9999,29.6501728961667,-91.4004101341667
348,2021-04-01,19:29:05,27.44,7.56,-9999,29.6501825845,-91.4004056286667
349,2021-04-01,19:29:05,28.34,7.59,-9999,29.6501825845,-91.4004056286667
350,2021-04-01,19:29:06,29.15,7.53,-9999,29.6501925976667,-91.4004015525
351,2021-04-01,19:29:07,29.96,7.58,-9999,29.6502022345,-91.4003971421667
352,2021-04-01,19:29:07,30.7,7.58,-9999,29.6502022345,-91.4003971421667
353,2021-04-01,19:29:08,31.42,7.56,-9999,29.6502121605,-91.4003929751667
354,2021-04-01,19:29:08,32.13,7.53,-9999,29.6502121605,-91.4003929751667
355,2021-04-01,19:29:09,32.89,7.48,-9999,29.6502220596667,-91.4003888236667
356,2021-04-01,19:29:10,33.65,7.46,-9999,29.6502321921667,-91.4003847556667
357,2021-04-01,19:29:10,34.47,7.55,-9999,29.6502321921667,-91.4003847556667
358,2021-04-01,19:29:11,35.23,7.43,-9999,29.6502420873333,-91.4003804926667
359,2021-04-01,19:29:12,36.01,7.4,-9999,29.650251914,-91.4003761378333
360,2021-04-01,19:29:12,36.77,7.35,-9999,29.650251914,-91.4003761378333
361,2021-04-01,19:29:13,37.53,7.35,-9999,29.6502616043333,-91.400371674
362,2021-04-01,19:29:13,38.2,7.33,-9999,29.6502616043333,-91.400371674
363,2021-04-01,19:29:14,38.94,7.25,-9999,29.6502713673333,-91.4003674301667
364,2021-04-01,19:29:15,39.71,7.23,-9999,29.6502813108333,-91.400363252
365,2021-04-01,19:29:15,40.45,7.23,-9999,29.6502813108333,-91.400363252
366,2021-04-01,19:29:16,41.17,7.16,-9999,29.6502909471667,-91.4003588131667
