ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
66,2021-04-01,19:36:48,0,2.22,-9999,29.6546012845,-91.3916672155
67,2021-04-01,19:36:48,0.04,2.23,-9999,29.6546012845,-91.3916672155
68,2021-04-01,19:36:49,0.11,2.23,-9999,29.654599637,-91.3916608211667
69,2021-04-01,19:36:50,0.16,2.24,-9999,29.6545987331667,-91.3916544048333
70,2021-04-01,19:36:50,0.23,2.25,-9999,29.6545987331667,-91.3916544048333
71,2021-04-01,19:36:51,0.29,2.26,-9999,29.6545978901667,-91.3916476541667
72,2021-04-01,19:36:52,0.37,2.24,-9999,29.6545977093333,-91.3916414465
73,2021-04-01,19:36:52,0.51,2.28,-9999,29.6545977093333,-91.3916414465
74,2021-04-01,19:36:53,0.69,2.34,-9999,29.6545973093333,-91.391634586
75,2021-04-01,19:36:53,0.83,2.35,-9999,29.6545973093333,-91.391634586
76,2021-04-01,19:36:54,1.04,2.34,-9999,29.65459662,-91.391627478
77,2021-04-01,19:36:55,1.25,2.33,-9999,29.6545957858333,-91.3916201321667
78,2021-04-01,19:36:55,1.48,2.33,-9999,29.6545957858333,-91.3916201321667
79,2021-04-01,19:36:56,1.68,2.32,-9999,29.654595101,-91.391613008
80,2021-04-01,19:36:57,1.92,2.34,-9999,29.6545948295,-91.3916065501667
81,2021-04-01,19:36:57,2.17,2.32,-9999,29.6545948295,-91.3916065501667
82,2021-04-01,19:36:58,2.43,2.31,-9999,29.6545946565,-91.3916004073333
83,2021-04-01,19:36:58,2.73,2.24,-9999,29.6545946565,-91.3916004073333
84,2021-04-01,19:36:59,3.03,2.27,-9999,29.6545945303333,-91.3915947155
85,2021-04-01,19:37:00,3.3,2.38,-9999,29.654594284,-91.3915891825
86,2021-04-01,19:37:00,3.59,2.4,-9999,29.654594284,-91.3915891825
87,2021-04-01,19:37:01,3.92,2.42,-9999,29.6545938325,-91.3915837268333
88,2021-04-01,19:37:02,4.26,2.47,-9999,29.6545929153333,-91.3915780735
89,2021-04-01,19:37:02,4.59,2.52,-9999,29.6545929153333,-91.3915780735
90,2021-04-01,19:37:03,4.97,2.6,-9999,29.6545916725,-91.391572294
91,2021-04-01,19:37:04,5.35,2.64,-9999,29.6545902481667,-91.391566388
92,2021-04-01,19:37:04,5.78,2.7,-9999,29.6545902481667,-91.391566388
93,2021-04-01,19:37:05,6.21,2.76,-9999,29.6545884581667,-91.3915602156667
94,2021-04-01,19:37:06,6.68,2.75,-9999,29.6545867815,-91.3915541243333
95,2021-04-01,19:37:06,7.13,2.73,-9999,29.6545867815,-91.3915541243333
96,2021-04-01,19:37:07,7.57,2.7,-9999,29.654584972,-91.3915477451667
97,2021-04-01,19:37:08,7.99,2.71,-9999,29.6545831443333,-91.391541207
98,2021-04-01,19:37:08,8.4,2.62,-9999,29.6545831443333,-91.391541207
99,2021-04-01,19:37:09,8.84,2.6,-9999,29.6545808078333,-91.3915341728333
100,2021-04-01,19:37:10,9.32,2.66,-9999,29.654578065,-91.3915265583333
101,2021-04-01,19:37:10,9.82,2.71,-9999,29.654578065,-91.3915265583333
102,2021-04-01,19:37:11,10.3,2.84,-9999,29.6545746416667,-91.3915182031667
103,2021-04-01,19:37:12,10.76,2.94,-9999,29.6545711318333,-91.3915094796667
104,2021-04-01,19:37:12,11.22,3.06,-9999,29.6545711318333,-91.3915094796667
105,2021-04-01,19:37:13,11.63,3.17,-9999,29.6545678138333,-91.391500612
106,2021-04-01,19:37:14,12.05,3.23,-9999,29.6545649246667,-91.391492069
107,2021-04-01,19:37:14,12.49,3.33,-9999,29.6545649246667,-91.391492069
108,2021-04-01,19:37:15,12.89,3.43,-9999,29.6545621886667,-91.3914836813333
109,2021-04-01,19:37:16,13.21,3.47,-9999,29.6545590738333,-91.3914753786667
110,2021-04-01,19:37:16,13.57,3.51,-9999,29.6545590738333,-91.3914753786667
111,2021-04-01,19:37:17,13.91,3.57,-9999,29.6545556353333,-91.3914670415
112,2021-04-01,19:37:17,14.27,3.65,-9999,29.6545556353333,-91.3914670415
113,2021-04-01,19:37:18,14.6,3.74,-9999,29.6545526531667,-91.3914589988333
114,2021-04-01,19:37:19,14.96,3.79,-9999,29.6545500801667,-91.3914513705
115,2021-04-01,19:37:20,15.43,3.88,-9999,29.6545480348333,-91.3914443001667
116,2021-04-01,19:37:20,15.85,4,-9999,29.6545480348333,-91.3914443001667
117,2021-04-01,19:37:21,16.27,4.44,-9999,29.6545463303333,-91.391437445
118,2021-04-01,19:37:22,16.27,4.08,-9999,29.6545443825,-91.391430338
119,2021-04-01,19:37:22,16.27,4.17,-9999,29.6545443825,-91.391430338
120,2021-04-01,19:37:23,16.27,4.31,-9999,29.6545416666667,-91.3914221096667
121,2021-04-01,19:37:24,16.27,4.38,-9999,29.6545387018333,-91.3914139428333
122,2021-04-01,19:37:24,16.27,7.1,-9999,29.6545387018333,-91.3914139428333
123,2021-04-01,19:37:25,16.27,12.26,-9999,29.6545355953333,-91.3914058101667
124,2021-04-01,19:37:26,20.55,12.65,-9999,29.6545324205,-91.3913978991667
125,2021-04-01,19:37:26,21.27,11.61,-9999,29.6545324205,-91.3913978991667
126,2021-04-01,19:37:27,22.06,12.24,-9999,29.6545288078333,-91.3913897
127,2021-04-01,19:37:28,22.75,12.86,-9999,29.6545254795,-91.3913813833333
128,2021-04-01,19:37:29,23.41,13.15,-9999,29.6545219693333,-91.391372786
129,2021-04-01,19:37:29,24.1,13.44,-9999,29.6545219693333,-91.391372786
130,2021-04-01,19:37:30,24.81,13.57,-9999,29.6545187546667,-91.3913645378333
