ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
42,2021-04-01,21:29:19,0,0.57,-9999,-9999,-9999
43,2021-04-01,21:29:19,0.05,0.55,-9999,-9999,-9999
44,2021-04-01,21:29:20,0.13,0.55,-9999,-9999,-9999
45,2021-04-01,21:29:20,0.19,0.56,-9999,-9999,-9999
46,2021-04-01,21:29:21,0.26,0.54,-9999,-9999,-9999
47,2021-04-01,21:29:21,0.31,0.52,-9999,-9999,-9999
48,2021-04-01,21:29:22,0.38,0.52,-9999,-9999,-9999
49,2021-04-01,21:29:22,0.42,0.51,-9999,-9999,-9999
50,2021-04-01,21:29:23,0.45,0.51,-9999,-9999,-9999
51,2021-04-01,21:29:24,0.48,0.51,-9999,-9999,-9999
52,2021-04-01,21:29:24,0.49,0.49,-9999,-9999,-9999
53,2021-04-01,21:29:25,0.5,0.5,-9999,-9999,-9999
54,2021-04-01,21:29:26,0.51,0.52,-9999,-9999,-9999
55,2021-04-01,21:29:26,0.52,0.52,-9999,-9999,-9999
56,2021-04-01,21:29:27,0.52,0.51,-9999,-9999,-9999
57,2021-04-01,21:29:27,0.53,0.51,-9999,-9999,-9999
58,2021-04-01,21:29:28,0.53,0.51,-9999,-9999,-9999
59,2021-04-01,21:29:28,0.53,0.51,-9999,-9999,-9999
60,2021-04-01,21:29:29,0.54,0.51,-9999,-9999,-9999
61,2021-04-01,21:29:30,0.55,0.51,-9999,-9999,-9999
62,2021-04-01,21:29:30,0.55,0.5,-9999,-9999,-9999
63,2021-04-01,21:29:31,0.56,0.51,-9999,-9999,-9999
64,2021-04-01,21:29:32,0.57,0.51,-9999,-9999,-9999
65,2021-04-01,21:29:32,0.59,0.51,-9999,-9999,-9999
66,2021-04-01,21:29:33,0.59,0.51,-9999,-9999,-9999
67,2021-04-01,21:29:34,0.6,0.51,-9999,-9999,-9999
68,2021-04-01,21:29:34,0.62,0.51,-9999,-9999,-9999
69,2021-04-01,21:29:35,0.63,0.51,-9999,-9999,-9999
70,2021-04-01,21:29:36,0.64,0.52,-9999,-9999,-9999
71,2021-04-01,21:29:36,0.67,0.52,-9999,-9999,-9999
72,2021-04-01,21:29:37,0.7,0.5,-9999,-9999,-9999
73,2021-04-01,21:29:38,0.74,0.49,-9999,-9999,-9999
74,2021-04-01,21:29:38,0.78,0.5,-9999,-9999,-9999
75,2021-04-01,21:29:39,0.82,0.5,-9999,-9999,-9999
76,2021-04-01,21:29:39,0.86,0.49,-9999,-9999,-9999
77,2021-04-01,21:29:40,0.9,0.48,-9999,-9999,-9999
78,2021-04-01,21:29:41,0.95,0.48,-9999,-9999,-9999
79,2021-04-01,21:29:41,0.99,0.51,-9999,-9999,-9999
80,2021-04-01,21:29:42,1.07,0.52,-9999,-9999,-9999
81,2021-04-01,21:29:42,1.14,0.52,-9999,-9999,-9999
82,2021-04-01,21:29:43,1.23,0.53,-9999,-9999,-9999
83,2021-04-01,21:29:43,1.32,0.53,-9999,-9999,-9999
84,2021-04-01,21:29:44,1.4,0.54,-9999,-9999,-9999
85,2021-04-01,21:29:44,1.49,0.55,-9999,-9999,-9999
86,2021-04-01,21:29:45,1.58,0.57,-9999,-9999,-9999
87,2021-04-01,21:29:45,1.68,0.6,-9999,-9999,-9999
88,2021-04-01,21:29:46,1.75,0.62,-9999,-9999,-9999
89,2021-04-01,21:29:46,1.86,0.64,-9999,-9999,-9999
90,2021-04-01,21:29:47,1.97,0.66,-9999,-9999,-9999
91,2021-04-01,21:29:47,2.07,0.67,-9999,-9999,-9999
92,2021-04-01,21:29:48,2.2,0.69,-9999,-9999,-9999
93,2021-04-01,21:29:48,2.3,0.72,-9999,-9999,-9999
94,2021-04-01,21:29:49,2.46,0.74,-9999,-9999,-9999
95,2021-04-01,21:29:49,2.59,0.77,-9999,-9999,-9999
96,2021-04-01,21:29:50,2.73,0.79,-9999,-9999,-9999
97,2021-04-01,21:29:51,2.85,0.81,-9999,-9999,-9999
98,2021-04-01,21:29:51,3,0.84,-9999,-9999,-9999
99,2021-04-01,21:29:52,3.16,0.87,-9999,-9999,-9999
100,2021-04-01,21:29:52,3.39,0.9,-9999,-9999,-9999
101,2021-04-01,21:29:53,3.55,0.93,-9999,-9999,-9999
102,2021-04-01,21:29:53,3.72,0.97,-9999,-9999,-9999
