ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
109,2021-04-01,21:41:40,0,0.46,-9999,-9999,-9999
110,2021-04-01,21:41:40,0.08,0.47,-9999,-9999,-9999
111,2021-04-01,21:41:41,0.17,0.48,-9999,-9999,-9999
112,2021-04-01,21:41:42,0.29,0.49,-9999,-9999,-9999
113,2021-04-01,21:41:42,0.38,0.5,-9999,-9999,-9999
114,2021-04-01,21:41:43,0.47,0.51,-9999,-9999,-9999
115,2021-04-01,21:41:43,0.61,0.53,-9999,-9999,-9999
116,2021-04-01,21:41:44,0.68,0.55,-9999,-9999,-9999
117,2021-04-01,21:41:44,0.8,0.56,-9999,-9999,-9999
118,2021-04-01,21:41:45,0.87,0.59,-9999,-9999,-9999
119,2021-04-01,21:41:45,0.96,0.63,-9999,-9999,-9999
120,2021-04-01,21:41:46,1.06,0.67,-9999,-9999,-9999
121,2021-04-01,21:41:46,1.18,0.7,-9999,-9999,-9999
122,2021-04-01,21:41:47,1.28,0.71,-9999,-9999,-9999
123,2021-04-01,21:41:47,1.39,0.74,-9999,-9999,-9999
124,2021-04-01,21:41:48,1.51,0.76,-9999,-9999,-9999
125,2021-04-01,21:41:48,1.62,0.78,-9999,-9999,-9999
126,2021-04-01,21:41:49,1.72,0.8,-9999,-9999,-9999
127,2021-04-01,21:41:49,1.83,0.81,-9999,-9999,-9999
128,2021-04-01,21:41:50,1.93,0.86,-9999,-9999,-9999
129,2021-04-01,21:41:50,2.03,0.91,-9999,-9999,-9999
130,2021-04-01,21:41:51,2.14,0.94,-9999,-9999,-9999
131,2021-04-01,21:41:52,2.26,0.99,-9999,-9999,-9999
132,2021-04-01,21:41:52,2.39,1.04,-9999,-9999,-9999
133,2021-04-01,21:41:53,2.52,1.09,-9999,-9999,-9999
134,2021-04-01,21:41:53,2.66,1.13,-9999,-9999,-9999
135,2021-04-01,21:41:54,2.76,1.2,-9999,-9999,-9999
136,2021-04-01,21:41:55,2.89,1.22,-9999,-9999,-9999
137,2021-04-01,21:41:55,2.98,1.27,-9999,-9999,-9999
138,2021-04-01,21:41:56,3.07,1.3,-9999,-9999,-9999
139,2021-04-01,21:41:56,3.16,1.33,-9999,-9999,-9999
140,2021-04-01,21:41:57,3.25,1.37,-9999,-9999,-9999
141,2021-04-01,21:41:58,3.36,1.41,-9999,-9999,-9999
142,2021-04-01,21:41:58,3.48,1.45,-9999,-9999,-9999
143,2021-04-01,21:41:59,3.59,1.48,-9999,-9999,-9999
144,2021-04-01,21:41:59,3.7,1.53,-9999,-9999,-9999
145,2021-04-01,21:42:00,3.8,1.55,-9999,-9999,-9999
146,2021-04-01,21:42:01,3.9,1.58,-9999,-9999,-9999
147,2021-04-01,21:42:01,4.04,1.61,-9999,-9999,-9999
148,2021-04-01,21:42:02,4.17,1.65,-9999,-9999,-9999
149,2021-04-01,21:42:03,4.33,1.65,-9999,-9999,-9999
150,2021-04-01,21:42:03,4.52,1.69,-9999,-9999,-9999
151,2021-04-01,21:42:04,4.72,1.71,-9999,-9999,-9999
152,2021-04-01,21:42:05,4.92,1.73,-9999,-9999,-9999
153,2021-04-01,21:42:05,5.14,1.75,-9999,-9999,-9999
154,2021-04-01,21:42:06,5.38,1.78,-9999,-9999,-9999
155,2021-04-01,21:42:06,5.67,1.8,-9999,-9999,-9999
156,2021-04-01,21:42:07,5.97,1.84,-9999,-9999,-9999
157,2021-04-01,21:42:08,6.3,1.84,-9999,-9999,-9999
158,2021-04-01,21:42:08,6.63,1.85,-9999,-9999,-9999
159,2021-04-01,21:42:09,6.98,1.84,-9999,-9999,-9999
160,2021-04-01,21:42:10,7.32,1.88,-9999,-9999,-9999
161,2021-04-01,21:42:10,7.69,1.87,-9999,-9999,-9999
162,2021-04-01,21:42:11,8.06,1.89,-9999,-9999,-9999
163,2021-04-01,21:42:12,8.47,1.9,-9999,-9999,-9999
164,2021-04-01,21:42:12,8.8,1.88,-9999,-9999,-9999
165,2021-04-01,21:42:13,9.11,1.89,-9999,-9999,-9999
166,2021-04-01,21:42:14,9.34,1.92,-9999,-9999,-9999
167,2021-04-01,21:42:14,9.54,1.92,-9999,-9999,-9999
168,2021-04-01,21:42:15,9.73,1.88,-9999,-9999,-9999
169,2021-04-01,21:42:16,9.92,1.91,-9999,-9999,-9999
170,2021-04-01,21:42:16,10.08,1.9,-9999,-9999,-9999
171,2021-04-01,21:42:17,10.23,1.9,-9999,-9999,-9999
172,2021-04-01,21:42:18,10.38,1.94,-9999,-9999,-9999
173,2021-04-01,21:42:19,10.53,1.91,-9999,-9999,-9999
174,2021-04-01,21:42:19,10.72,1.9,-9999,-9999,-9999
175,2021-04-01,21:42:20,10.94,1.91,-9999,-9999,-9999
176,2021-04-01,21:42:21,11.2,1.93,-9999,-9999,-9999
177,2021-04-01,21:42:21,11.5,1.92,-9999,-9999,-9999
178,2021-04-01,21:42:22,11.84,1.89,-9999,-9999,-9999
179,2021-04-01,21:42:23,12.16,1.9,-9999,-9999,-9999
180,2021-04-01,21:42:23,12.46,1.88,-9999,-9999,-9999
181,2021-04-01,21:42:24,12.75,1.86,-9999,-9999,-9999
182,2021-04-01,21:42:25,12.98,1.85,-9999,-9999,-9999
183,2021-04-01,21:42:25,13.21,1.84,-9999,-9999,-9999
184,2021-04-01,21:42:26,13.41,1.8,-9999,-9999,-9999
185,2021-04-01,21:42:27,13.59,1.78,-9999,-9999,-9999
186,2021-04-01,21:42:27,13.76,1.76,-9999,-9999,-9999
187,2021-04-01,21:42:28,13.94,1.71,-9999,-9999,-9999
188,2021-04-01,21:42:29,14.11,1.67,-9999,-9999,-9999
189,2021-04-01,21:42:29,14.28,1.64,-9999,-9999,-9999
190,2021-04-01,21:42:30,14.45,1.56,-9999,-9999,-9999
191,2021-04-01,21:42:31,14.63,1.53,-9999,-9999,-9999
192,2021-04-01,21:42:31,14.79,1.48,-9999,-9999,-9999
193,2021-04-01,21:42:32,14.95,1.43,-9999,-9999,-9999
194,2021-04-01,21:42:33,15.13,1.37,-9999,-9999,-9999
195,2021-04-01,21:42:33,15.27,1.31,-9999,-9999,-9999
196,2021-04-01,21:42:34,15.4,1.23,-9999,-9999,-9999
197,2021-04-01,21:42:35,15.58,1.18,-9999,-9999,-9999
198,2021-04-01,21:42:35,15.71,1.14,-9999,-9999,-9999
199,2021-04-01,21:42:36,15.82,1.13,-9999,-9999,-9999
200,2021-04-01,21:42:36,15.95,1.08,-9999,-9999,-9999
201,2021-04-01,21:42:37,16.06,1.03,-9999,-9999,-9999
202,2021-04-01,21:42:37,16.18,1.03,-9999,-9999,-9999
203,2021-04-01,21:42:38,16.3,1,-9999,-9999,-9999
