ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
702,2021-04-01,21:47:34,0,0.63,-9999,-9999,-9999
703,2021-04-01,21:47:35,0.19,0.64,-9999,-9999,-9999
704,2021-04-01,21:47:35,0.33,0.64,-9999,-9999,-9999
705,2021-04-01,21:47:36,0.51,0.64,-9999,-9999,-9999
706,2021-04-01,21:47:36,0.67,0.66,-9999,-9999,-9999
707,2021-04-01,21:47:37,0.83,0.65,-9999,-9999,-9999
708,2021-04-01,21:47:37,1,0.66,-9999,-9999,-9999
709,2021-04-01,21:47:38,1.16,0.66,-9999,-9999,-9999
710,2021-04-01,21:47:38,1.31,0.66,-9999,-9999,-9999
711,2021-04-01,21:47:39,1.5,0.67,-9999,-9999,-9999
712,2021-04-01,21:47:39,1.66,0.68,-9999,-9999,-9999
713,2021-04-01,21:47:40,1.84,0.7,-9999,-9999,-9999
714,2021-04-01,21:47:40,2.01,0.72,-9999,-9999,-9999
715,2021-04-01,21:47:41,2.2,0.72,-9999,-9999,-9999
716,2021-04-01,21:47:41,2.4,0.74,-9999,-9999,-9999
717,2021-04-01,21:47:42,2.61,0.74,-9999,-9999,-9999
718,2021-04-01,21:47:42,2.8,0.76,-9999,-9999,-9999
719,2021-04-01,21:47:43,2.99,0.8,-9999,-9999,-9999
720,2021-04-01,21:47:43,3.21,0.8,-9999,-9999,-9999
721,2021-04-01,21:47:44,3.43,0.82,-9999,-9999,-9999
722,2021-04-01,21:47:44,3.64,0.85,-9999,-9999,-9999
723,2021-04-01,21:47:45,3.88,0.86,-9999,-9999,-9999
724,2021-04-01,21:47:45,4.1,0.89,-9999,-9999,-9999
725,2021-04-01,21:47:46,4.35,0.92,-9999,-9999,-9999
726,2021-04-01,21:47:47,4.59,0.96,-9999,-9999,-9999
727,2021-04-01,21:47:47,4.86,0.99,-9999,-9999,-9999
728,2021-04-01,21:47:48,5.14,1.04,-9999,-9999,-9999
729,2021-04-01,21:47:48,5.44,1.11,-9999,-9999,-9999
730,2021-04-01,21:47:49,5.73,1.17,-9999,-9999,-9999
731,2021-04-01,21:47:49,6.08,1.23,-9999,-9999,-9999
732,2021-04-01,21:47:50,6.4,1.26,-9999,-9999,-9999
733,2021-04-01,21:47:50,6.78,1.31,-9999,-9999,-9999
734,2021-04-01,21:47:51,7.13,1.35,-9999,-9999,-9999
735,2021-04-01,21:47:52,7.5,1.43,-9999,-9999,-9999
736,2021-04-01,21:47:52,7.85,1.54,-9999,-9999,-9999
737,2021-04-01,21:47:53,8.22,1.66,-9999,-9999,-9999
738,2021-04-01,21:47:53,8.57,1.78,-9999,-9999,-9999
739,2021-04-01,21:47:54,8.96,1.85,-9999,-9999,-9999
740,2021-04-01,21:47:55,9.32,1.93,-9999,-9999,-9999
741,2021-04-01,21:47:55,9.68,1.97,-9999,-9999,-9999
742,2021-04-01,21:47:56,10.05,2,-9999,-9999,-9999
743,2021-04-01,21:47:57,10.41,2.02,-9999,-9999,-9999
744,2021-04-01,21:47:58,10.8,2.04,-9999,-9999,-9999
745,2021-04-01,21:47:58,11.19,2.09,-9999,-9999,-9999
746,2021-04-01,21:47:59,11.57,2.07,-9999,-9999,-9999
747,2021-04-01,21:48:00,11.96,2.06,-9999,-9999,-9999
748,2021-04-01,21:48:00,12.32,2.06,-9999,-9999,-9999
