ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
471,2021-04-01,22:35:56,0,0.62,-9999,-9999,-9999
472,2021-04-01,22:35:57,0.06,0.6,-9999,-9999,-9999
473,2021-04-01,22:35:57,0.14,0.6,-9999,-9999,-9999
474,2021-04-01,22:35:58,0.22,0.62,-9999,-9999,-9999
475,2021-04-01,22:35:58,0.29,0.62,-9999,-9999,-9999
476,2021-04-01,22:35:59,0.36,0.64,-9999,29.54376833,-91.42656
477,2021-04-01,22:35:59,0.45,0.65,-9999,29.54376833,-91.42656
478,2021-04-01,22:36:00,0.53,0.65,-9999,29.54376833,-91.42656
479,2021-04-01,22:36:00,0.62,0.66,-9999,29.54376833,-91.42656
480,2021-04-01,22:36:01,0.69,0.67,-9999,29.54376833,-91.42656
481,2021-04-01,22:36:01,0.75,0.69,-9999,29.54376833,-91.42656
482,2021-04-01,22:36:02,0.8,0.71,-9999,29.54376833,-91.42656
483,2021-04-01,22:36:02,0.85,0.72,-9999,29.54376833,-91.42656
484,2021-04-01,22:36:03,0.88,0.73,-9999,29.54376833,-91.42656
485,2021-04-01,22:36:03,0.92,0.75,-9999,29.54376833,-91.42656
486,2021-04-01,22:36:04,0.96,0.77,-9999,29.54376833,-91.42656
487,2021-04-01,22:36:04,1.02,0.79,-9999,29.54376833,-91.42656
488,2021-04-01,22:36:05,1.1,0.83,-9999,29.54376833,-91.42656
489,2021-04-01,22:36:05,1.19,0.87,-9999,29.54376833,-91.42656
490,2021-04-01,22:36:06,1.29,0.89,-9999,29.54376833,-91.42656
491,2021-04-01,22:36:06,1.41,0.9,-9999,29.54376833,-91.42656
492,2021-04-01,22:36:07,1.51,0.91,-9999,29.54376833,-91.42656
493,2021-04-01,22:36:07,1.61,0.93,-9999,29.54376833,-91.42656
494,2021-04-01,22:36:08,1.64,0.92,-9999,29.54376833,-91.42656
495,2021-04-01,22:36:08,1.71,0.92,-9999,29.54376833,-91.42656
496,2021-04-01,22:36:09,1.78,1.02,-9999,29.54376833,-91.42656
497,2021-04-01,22:36:09,1.86,1.03,-9999,29.54376833,-91.42656
