ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
411,2021-04-01,23:19:22,0,0.84,-9999,-9999,-9999
412,2021-04-01,23:19:23,0.09,0.83,-9999,-9999,-9999
413,2021-04-01,23:19:23,0.16,0.83,-9999,-9999,-9999
414,2021-04-01,23:19:24,0.24,0.83,-9999,-9999,-9999
415,2021-04-01,23:19:24,0.29,0.82,-9999,-9999,-9999
416,2021-04-01,23:19:25,0.36,0.83,-9999,-9999,-9999
417,2021-04-01,23:19:25,0.42,0.83,-9999,-9999,-9999
418,2021-04-01,23:19:26,0.48,0.84,-9999,-9999,-9999
419,2021-04-01,23:19:27,0.56,0.83,-9999,-9999,-9999
420,2021-04-01,23:19:27,0.64,0.83,-9999,-9999,-9999
421,2021-04-01,23:19:28,0.73,0.84,-9999,-9999,-9999
422,2021-04-01,23:19:28,0.84,0.83,-9999,-9999,-9999
423,2021-04-01,23:19:29,0.95,0.84,-9999,-9999,-9999
424,2021-04-01,23:19:29,1.11,0.85,-9999,-9999,-9999
425,2021-04-01,23:19:30,1.26,0.87,-9999,-9999,-9999
426,2021-04-01,23:19:30,1.42,0.9,-9999,-9999,-9999
427,2021-04-01,23:19:31,1.59,0.91,-9999,-9999,-9999
428,2021-04-01,23:19:31,1.78,0.91,-9999,-9999,-9999
429,2021-04-01,23:19:32,1.97,0.93,-9999,-9999,-9999
430,2021-04-01,23:19:32,2.21,0.93,-9999,-9999,-9999
431,2021-04-01,23:19:33,2.42,0.94,-9999,-9999,-9999
432,2021-04-01,23:19:33,2.66,0.96,-9999,-9999,-9999
433,2021-04-01,23:19:34,2.9,0.98,-9999,-9999,-9999
434,2021-04-01,23:19:35,3.16,0.98,-9999,-9999,-9999
435,2021-04-01,23:19:35,3.43,0.99,-9999,-9999,-9999
436,2021-04-01,23:19:36,3.73,1.02,-9999,-9999,-9999
437,2021-04-01,23:19:36,4.01,1.02,-9999,-9999,-9999
438,2021-04-01,23:19:37,4.27,1.04,-9999,-9999,-9999
439,2021-04-01,23:19:37,4.55,1.08,-9999,-9999,-9999
440,2021-04-01,23:19:38,4.88,1.08,-9999,-9999,-9999
441,2021-04-01,23:19:38,5.18,1.08,-9999,-9999,-9999
442,2021-04-01,23:19:39,5.57,1.1,-9999,-9999,-9999
443,2021-04-01,23:19:40,5.97,1.12,-9999,-9999,-9999
444,2021-04-01,23:19:40,6.45,1.15,-9999,-9999,-9999
445,2021-04-01,23:19:41,6.93,1.18,-9999,-9999,-9999
446,2021-04-01,23:19:41,7.48,1.24,-9999,-9999,-9999
447,2021-04-01,23:19:42,8.02,1.32,-9999,-9999,-9999
448,2021-04-01,23:19:43,8.62,1.43,-9999,-9999,-9999
449,2021-04-01,23:19:43,9.2,1.55,-9999,-9999,-9999
450,2021-04-01,23:19:44,9.87,1.68,-9999,-9999,-9999
451,2021-04-01,23:19:44,10.55,1.83,-9999,-9999,-9999
452,2021-04-01,23:19:45,11.29,1.89,-9999,-9999,-9999
453,2021-04-01,23:19:46,11.99,1.92,-9999,-9999,-9999
454,2021-04-01,23:19:46,12.73,1.95,-9999,-9999,-9999
455,2021-04-01,23:19:47,13.45,2.04,-9999,-9999,-9999
456,2021-04-01,23:19:48,14.23,2.16,-9999,-9999,-9999
457,2021-04-01,23:19:48,14.96,2.32,-9999,-9999,-9999
458,2021-04-01,23:19:49,15.77,2.46,-9999,-9999,-9999
459,2021-04-01,23:19:50,16.56,2.53,-9999,-9999,-9999
460,2021-04-01,23:19:50,17.4,2.6,-9999,-9999,-9999
461,2021-04-01,23:19:51,18.25,2.67,-9999,-9999,-9999
462,2021-04-01,23:19:52,19.22,2.73,-9999,-9999,-9999
463,2021-04-01,23:19:52,20.12,2.83,-9999,-9999,-9999
464,2021-04-01,23:19:53,21.13,2.9,-9999,-9999,-9999
465,2021-04-01,23:19:54,22.14,2.95,-9999,-9999,-9999
466,2021-04-01,23:19:54,23.28,2.98,-9999,-9999,-9999
467,2021-04-01,23:19:55,24.45,3.08,-9999,-9999,-9999
468,2021-04-01,23:19:56,25.7,3.2,-9999,-9999,-9999
469,2021-04-01,23:19:56,26.93,3.29,-9999,-9999,-9999
470,2021-04-01,23:19:57,28.07,3.36,-9999,-9999,-9999
471,2021-04-01,23:19:58,29.17,3.39,-9999,-9999,-9999
472,2021-04-01,23:19:58,30.4,3.47,-9999,-9999,-9999
473,2021-04-01,23:19:59,31.59,3.51,-9999,-9999,-9999
474,2021-04-01,23:20:00,32.82,3.58,-9999,-9999,-9999
475,2021-04-01,23:20:00,34.02,3.66,-9999,-9999,-9999
476,2021-04-01,23:20:01,35.31,3.82,-9999,-9999,-9999
477,2021-04-01,23:20:01,36.53,3.88,-9999,-9999,-9999
478,2021-04-01,23:20:02,37.88,3.97,-9999,-9999,-9999
479,2021-04-01,23:20:03,39.18,4.09,-9999,-9999,-9999
480,2021-04-01,23:20:03,40.57,4.27,-9999,-9999,-9999
481,2021-04-01,23:20:04,41.91,4.4,-9999,-9999,-9999
482,2021-04-01,23:20:05,43.34,4.69,-9999,-9999,-9999
483,2021-04-01,23:20:05,44.72,5.02,-9999,-9999,-9999
484,2021-04-01,23:20:06,46.17,5.66,-9999,-9999,-9999
485,2021-04-01,23:20:07,47.54,6.58,-9999,-9999,-9999
486,2021-04-01,23:20:08,49.03,7.88,-9999,-9999,-9999
487,2021-04-01,23:20:08,50.92,9.31,-9999,-9999,-9999
488,2021-04-01,23:20:09,52.52,10.1,-9999,-9999,-9999
489,2021-04-01,23:20:10,53.85,10.87,-9999,-9999,-9999
490,2021-04-01,23:20:11,55.3,11.47,-9999,-9999,-9999
491,2021-04-01,23:20:11,56.91,12.13,-9999,-9999,-9999
492,2021-04-01,23:20:12,58.66,13.2,-9999,-9999,-9999
493,2021-04-01,23:20:13,60.49,13.86,-9999,-9999,-9999
494,2021-04-01,23:20:14,62.27,14.59,-9999,-9999,-9999
495,2021-04-01,23:20:15,64.05,15.23,-9999,-9999,-9999
496,2021-04-01,23:20:16,65.81,15.7,-9999,-9999,-9999
497,2021-04-01,23:20:17,67.58,16.86,-9999,-9999,-9999
498,2021-04-01,23:20:18,69.27,16.88,-9999,-9999,-9999
499,2021-04-01,23:20:19,70.95,16.88,-9999,-9999,-9999
500,2021-04-01,23:20:20,72.46,17.02,-9999,-9999,-9999
501,2021-04-01,23:20:21,73.94,17.1,-9999,-9999,-9999
502,2021-04-01,23:20:22,75.43,17.25,-9999,-9999,-9999
503,2021-04-01,23:20:23,76.82,17.36,-9999,-9999,-9999
504,2021-04-01,23:20:24,78.23,17.48,-9999,-9999,-9999
505,2021-04-01,23:20:24,79.7,17.58,-9999,-9999,-9999
506,2021-04-01,23:20:25,81.31,17.59,-9999,-9999,-9999
507,2021-04-01,23:20:26,82.92,17.66,-9999,-9999,-9999
508,2021-04-01,23:20:27,84.47,17.72,-9999,-9999,-9999
509,2021-04-01,23:20:28,86.03,17.55,-9999,-9999,-9999
510,2021-04-01,23:20:29,87.55,17.36,-9999,-9999,-9999
511,2021-04-01,23:20:30,89,17.17,-9999,-9999,-9999
512,2021-04-01,23:20:31,90.36,17.15,-9999,-9999,-9999
513,2021-04-01,23:20:32,91.68,17.09,-9999,-9999,-9999
514,2021-04-01,23:20:33,92.94,16.96,-9999,-9999,-9999
515,2021-04-01,23:20:34,94.25,16.82,-9999,-9999,-9999
516,2021-04-01,23:20:35,95.64,16.59,-9999,-9999,-9999
517,2021-04-01,23:20:36,96.94,16.4,-9999,-9999,-9999
518,2021-04-01,23:20:37,98.24,16.38,-9999,-9999,-9999
519,2021-04-01,23:20:38,99.61,16.15,-9999,-9999,-9999
520,2021-04-01,23:20:39,100.94,16.12,-9999,-9999,-9999
521,2021-04-01,23:20:40,102.31,16.07,-9999,-9999,-9999
522,2021-04-01,23:20:41,103.74,16.18,-9999,-9999,-9999
523,2021-04-01,23:20:42,105.2,16.04,-9999,-9999,-9999
524,2021-04-01,23:20:43,106.68,16.05,-9999,-9999,-9999
525,2021-04-01,23:20:44,108.21,16.03,-9999,-9999,-9999
526,2021-04-01,23:20:45,109.75,15.96,-9999,-9999,-9999
527,2021-04-01,23:20:46,111.32,15.83,-9999,-9999,-9999
528,2021-04-01,23:20:47,112.92,15.78,-9999,-9999,-9999
529,2021-04-01,23:20:47,114.47,16.08,-9999,-9999,-9999
530,2021-04-01,23:20:48,116.06,16.25,-9999,-9999,-9999
531,2021-04-01,23:20:49,117.64,16.47,-9999,-9999,-9999
532,2021-04-01,23:20:50,119.31,16.98,-9999,-9999,-9999
533,2021-04-01,23:20:51,121,17.21,-9999,-9999,-9999
534,2021-04-01,23:20:52,122.62,17.41,-9999,-9999,-9999
535,2021-04-01,23:20:53,124.2,17.62,-9999,-9999,-9999
536,2021-04-01,23:20:54,125.72,17.97,-9999,-9999,-9999
537,2021-04-01,23:20:55,127.15,18.12,-9999,-9999,-9999
538,2021-04-01,23:20:56,128.58,18.37,-9999,-9999,-9999
539,2021-04-01,23:20:57,129.94,18.58,-9999,-9999,-9999
540,2021-04-01,23:20:58,131.32,18.79,-9999,-9999,-9999
541,2021-04-01,23:20:59,132.64,19.05,-9999,-9999,-9999
