ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
436,2021-04-02,14:10:17,0,3.59,-9999,-9999,-9999
437,2021-04-02,14:10:18,0.21,3.59,-9999,-9999,-9999
438,2021-04-02,14:10:19,0.45,3.54,-9999,-9999,-9999
439,2021-04-02,14:10:19,0.7,3.52,-9999,-9999,-9999
440,2021-04-02,14:10:20,1.01,3.45,-9999,-9999,-9999
441,2021-04-02,14:10:21,1.31,3.38,-9999,-9999,-9999
442,2021-04-02,14:10:21,1.56,3.31,-9999,-9999,-9999
443,2021-04-02,14:10:22,1.76,3.2,-9999,-9999,-9999
444,2021-04-02,14:10:23,1.98,3.17,-9999,-9999,-9999
445,2021-04-02,14:10:23,2.17,3.18,-9999,-9999,-9999
446,2021-04-02,14:10:24,2.39,3.22,-9999,-9999,-9999
447,2021-04-02,14:10:25,2.64,3.25,-9999,-9999,-9999
448,2021-04-02,14:10:25,2.91,3.33,-9999,-9999,-9999
449,2021-04-02,14:10:26,3.17,3.44,-9999,-9999,-9999
450,2021-04-02,14:10:27,3.49,3.57,-9999,-9999,-9999
451,2021-04-02,14:10:27,3.87,3.72,-9999,-9999,-9999
452,2021-04-02,14:10:28,4.32,3.91,-9999,-9999,-9999
453,2021-04-02,14:10:29,4.81,4.04,-9999,-9999,-9999
454,2021-04-02,14:10:29,5.31,4.05,-9999,-9999,-9999
455,2021-04-02,14:10:30,5.88,4.19,-9999,-9999,-9999
456,2021-04-02,14:10:31,6.48,4.32,-9999,-9999,-9999
457,2021-04-02,14:10:31,7.12,4.68,-9999,-9999,-9999
458,2021-04-02,14:10:32,7.9,4.51,-9999,-9999,-9999
459,2021-04-02,14:10:33,8.69,4.84,-9999,-9999,-9999
460,2021-04-02,14:10:33,8.69,4.96,-9999,-9999,-9999
461,2021-04-02,14:10:34,8.69,-32768,-9999,-9999,-9999
462,2021-04-02,14:10:35,8.69,-32768,-9999,-9999,-9999
463,2021-04-02,14:10:35,8.69,-32768,-9999,-9999,-9999
464,2021-04-02,14:10:36,8.69,-32768,-9999,-9999,-9999
465,2021-04-02,14:10:37,8.69,13.6,-9999,-9999,-9999
466,2021-04-02,14:10:38,18.41,13.96,-9999,-9999,-9999
467,2021-04-02,14:10:38,20.25,14.27,-9999,-9999,-9999
468,2021-04-02,14:10:39,22.18,14.67,-9999,-9999,-9999
469,2021-04-02,14:10:40,24.36,15.28,-9999,-9999,-9999
470,2021-04-02,14:10:41,26.47,15.53,-9999,-9999,-9999
471,2021-04-02,14:10:42,28.56,15.85,-9999,-9999,-9999
472,2021-04-02,14:10:43,30.55,16.42,-9999,-9999,-9999
473,2021-04-02,14:10:44,32.54,16.82,-9999,-9999,-9999
474,2021-04-02,14:10:45,34.52,17.02,-9999,-9999,-9999
475,2021-04-02,14:10:46,36.42,17.34,-9999,-9999,-9999
476,2021-04-02,14:10:47,38.05,17.63,-9999,-9999,-9999
477,2021-04-02,14:10:48,39.68,17.74,-9999,-9999,-9999
478,2021-04-02,14:10:48,41.28,17.85,-9999,-9999,-9999
479,2021-04-02,14:10:49,42.92,18.08,-9999,-9999,-9999
480,2021-04-02,14:10:50,44.54,18.21,-9999,-9999,-9999
