ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
56,2021-04-02,15:46:19,0,0.93,-9999,29.5447080291667,-91.4295347656667
57,2021-04-02,15:46:20,0.05,0.94,-9999,29.5447091695,-91.4295343046667
58,2021-04-02,15:46:20,0.11,0.94,-9999,29.5447091695,-91.4295343046667
59,2021-04-02,15:46:21,0.17,0.93,-9999,29.5447111308333,-91.4295333356667
60,2021-04-02,15:46:21,0.23,0.92,-9999,29.5447111308333,-91.4295333356667
61,2021-04-02,15:46:22,0.3,0.91,-9999,29.544713746,-91.4295318798333
62,2021-04-02,15:46:22,0.35,0.92,-9999,29.544713746,-91.4295318798333
63,2021-04-02,15:46:23,0.43,0.91,-9999,29.5447168921667,-91.4295299316667
64,2021-04-02,15:46:23,0.49,0.93,-9999,29.5447168921667,-91.4295299316667
65,2021-04-02,15:46:24,0.56,0.91,-9999,29.5447204995,-91.4295276223333
66,2021-04-02,15:46:24,0.58,0.93,-9999,29.5447204995,-91.4295276223333
67,2021-04-02,15:46:25,0.64,0.93,-9999,29.5447245751667,-91.42952468
68,2021-04-02,15:46:25,0.68,0.92,-9999,29.5447245751667,-91.42952468
69,2021-04-02,15:46:26,0.73,0.91,-9999,29.5447291878333,-91.4295211211667
70,2021-04-02,15:46:26,0.77,0.9,-9999,29.5447291878333,-91.4295211211667
71,2021-04-02,15:46:27,0.8,0.9,-9999,29.5447341775,-91.4295170466667
72,2021-04-02,15:46:27,0.82,0.89,-9999,29.5447341775,-91.4295170466667
73,2021-04-02,15:46:28,0.86,0.9,-9999,29.5447395,-91.4295125003333
74,2021-04-02,15:46:28,0.89,0.9,-9999,29.5447395,-91.4295125003333
75,2021-04-02,15:46:29,0.92,0.91,-9999,29.5447451433333,-91.429507536
76,2021-04-02,15:46:29,0.94,0.9,-9999,29.5447451433333,-91.429507536
77,2021-04-02,15:46:30,0.97,0.9,-9999,29.5447509546667,-91.429502299
78,2021-04-02,15:46:30,1.02,0.9,-9999,29.5447509546667,-91.429502299
79,2021-04-02,15:46:31,1.06,0.9,-9999,29.5447569305,-91.4294966773333
80,2021-04-02,15:46:31,1.11,0.9,-9999,29.5447569305,-91.4294966773333
81,2021-04-02,15:46:32,1.16,0.9,-9999,29.5447630778333,-91.4294908875
82,2021-04-02,15:46:32,1.2,0.9,-9999,29.5447630778333,-91.4294908875
83,2021-04-02,15:46:33,1.23,0.91,-9999,29.5447693736667,-91.4294847018333
84,2021-04-02,15:46:33,1.27,0.91,-9999,29.5447693736667,-91.4294847018333
85,2021-04-02,15:46:34,1.29,0.9,-9999,29.5447760441667,-91.4294781803333
86,2021-04-02,15:46:34,1.3,0.89,-9999,29.5447760441667,-91.4294781803333
87,2021-04-02,15:46:35,1.32,0.9,-9999,29.54478289,-91.429471338
88,2021-04-02,15:46:35,1.35,0.91,-9999,29.54478289,-91.429471338
89,2021-04-02,15:46:36,1.41,0.91,-9999,29.544789713,-91.4294639248333
90,2021-04-02,15:46:36,1.5,0.91,-9999,29.544789713,-91.4294639248333
