ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
870,2021-04-02,16:21:40,0,1,-9999,29.5326617613333,-91.4300215346667
871,2021-04-02,16:21:40,0.14,1.01,-9999,29.5326617613333,-91.4300215346667
872,2021-04-02,16:21:41,0.27,1.01,-9999,29.5326558345,-91.4300309866667
873,2021-04-02,16:21:41,0.44,1.02,-9999,29.5326558345,-91.4300309866667
874,2021-04-02,16:21:42,0.6,1.02,-9999,29.5326503458333,-91.4300410238333
875,2021-04-02,16:21:42,0.78,1.02,-9999,29.5326503458333,-91.4300410238333
876,2021-04-02,16:21:43,0.97,1.03,-9999,29.5326450923333,-91.4300517076667
877,2021-04-02,16:21:43,1.18,1.04,-9999,29.5326450923333,-91.4300517076667
878,2021-04-02,16:21:44,1.38,1.05,-9999,29.5326409505,-91.4300627851667
879,2021-04-02,16:21:44,1.61,1.07,-9999,29.5326409505,-91.4300627851667
880,2021-04-02,16:21:45,1.84,1.1,-9999,29.5326375585,-91.4300742843333
881,2021-04-02,16:21:45,2.09,1.12,-9999,29.5326375585,-91.4300742843333
882,2021-04-02,16:21:46,2.36,1.16,-9999,29.532635141,-91.4300858655
883,2021-04-02,16:21:46,2.66,1.2,-9999,29.532635141,-91.4300858655
884,2021-04-02,16:21:47,2.95,1.26,-9999,29.5326333888333,-91.4300973621667
885,2021-04-02,16:21:47,3.29,1.35,-9999,29.5326333888333,-91.4300973621667
886,2021-04-02,16:21:48,3.62,1.43,-9999,29.5326323881667,-91.4301086896667
887,2021-04-02,16:21:49,4,1.52,-9999,29.5326319323333,-91.4301196826667
888,2021-04-02,16:21:49,4.33,1.59,-9999,29.5326319323333,-91.4301196826667
889,2021-04-02,16:21:50,4.76,1.66,-9999,29.5326316763333,-91.4301299548333
890,2021-04-02,16:21:50,5.19,1.75,-9999,29.5326316763333,-91.4301299548333
891,2021-04-02,16:21:51,5.68,1.84,-9999,29.5326314096667,-91.4301398893333
892,2021-04-02,16:21:52,6.18,1.95,-9999,29.5326311931667,-91.4301496526667
893,2021-04-02,16:21:52,6.72,2.1,-9999,29.5326311931667,-91.4301496526667
894,2021-04-02,16:21:53,7.28,2.17,-9999,29.532631115,-91.4301590145
895,2021-04-02,16:21:53,7.87,2.26,-9999,29.532631115,-91.4301590145
896,2021-04-02,16:21:54,8.5,2.36,-9999,29.532631072,-91.4301683351667
897,2021-04-02,16:21:55,9.27,2.41,-9999,29.5326311776667,-91.4301773945
898,2021-04-02,16:21:56,10.03,2.46,-9999,29.532631437,-91.4301861893333
899,2021-04-02,16:21:56,10.91,2.5,-9999,29.532631437,-91.4301861893333
900,2021-04-02,16:21:57,11.72,2.53,-9999,29.5326318751667,-91.4301951641667
901,2021-04-02,16:21:58,12.46,2.56,-9999,29.5326327491667,-91.4302044011667
902,2021-04-02,16:21:58,13.25,2.59,-9999,29.5326327491667,-91.4302044011667
903,2021-04-02,16:21:59,14.11,2.61,-9999,29.5326341336667,-91.4302138593333
904,2021-04-02,16:22:00,14.85,2.66,-9999,29.5326363046667,-91.4302235061667
905,2021-04-02,16:22:00,15.52,2.71,-9999,29.5326363046667,-91.4302235061667
906,2021-04-02,16:22:01,16.31,2.72,-9999,29.5326389671667,-91.4302334646667
907,2021-04-02,16:22:02,17.01,2.76,-9999,29.5326421508333,-91.4302436255
908,2021-04-02,16:22:02,17.77,2.87,-9999,29.5326421508333,-91.4302436255
909,2021-04-02,16:22:03,18.49,2.98,-9999,29.5326453735,-91.430254791
910,2021-04-02,16:22:04,19.19,3.09,-9999,29.5326487986667,-91.4302665605
911,2021-04-02,16:22:04,19.87,3.16,-9999,29.5326487986667,-91.4302665605
912,2021-04-02,16:22:05,20.55,3.16,-9999,29.5326521701667,-91.4302793543333
913,2021-04-02,16:22:06,21.21,3.19,-9999,29.5326556818333,-91.4302928013333
914,2021-04-02,16:22:06,21.88,3.2,-9999,29.5326556818333,-91.4302928013333
915,2021-04-02,16:22:07,22.5,3.18,-9999,29.5326592671667,-91.4303068231667
916,2021-04-02,16:22:08,23.13,3.19,-9999,29.5326630341667,-91.4303212655
917,2021-04-02,16:22:08,23.69,3.18,-9999,29.5326630341667,-91.4303212655
918,2021-04-02,16:22:09,24.34,3.18,-9999,29.5326671583333,-91.4303357963333
919,2021-04-02,16:22:10,24.94,3.18,-9999,29.5326715683333,-91.4303507333333
920,2021-04-02,16:22:10,25.56,3.22,-9999,29.5326715683333,-91.4303507333333
921,2021-04-02,16:22:11,26.15,3.23,-9999,29.5326767435,-91.4303658436667
922,2021-04-02,16:22:12,26.75,3.26,-9999,29.5326824076667,-91.4303812141667
923,2021-04-02,16:22:12,27.33,3.3,-9999,29.5326824076667,-91.4303812141667
924,2021-04-02,16:22:13,27.95,3.34,-9999,29.532688479,-91.430396705
925,2021-04-02,16:22:14,28.56,3.37,-9999,29.5326942396667,-91.4304129955
926,2021-04-02,16:22:15,29.22,3.43,-9999,29.532699897,-91.4304297793333
927,2021-04-02,16:22:15,29.89,3.5,-9999,29.532699897,-91.4304297793333
928,2021-04-02,16:22:16,30.62,3.56,-9999,29.5327054898333,-91.4304468881667
929,2021-04-02,16:22:17,31.21,3.65,-9999,29.5327107701667,-91.4304631501667
930,2021-04-02,16:22:17,31.86,3.69,-9999,29.5327107701667,-91.4304631501667
931,2021-04-02,16:22:18,32.49,3.79,-9999,29.5327148975,-91.4304794056667
932,2021-04-02,16:22:18,33.19,3.89,-9999,29.5327148975,-91.4304794056667
933,2021-04-02,16:22:19,33.9,3.99,-9999,29.532717893,-91.4304958508333
934,2021-04-02,16:22:20,34.68,4.12,-9999,29.5327196825,-91.4305125908333
935,2021-04-02,16:22:20,35.48,4.17,-9999,29.5327196825,-91.4305125908333
936,2021-04-02,16:22:21,36.37,4.29,-9999,29.5327206945,-91.430529395
937,2021-04-02,16:22:22,37.26,4.38,-9999,29.53272154,-91.4305459628333
938,2021-04-02,16:22:22,38.2,4.47,-9999,29.53272154,-91.4305459628333
939,2021-04-02,16:22:23,39.14,4.58,-9999,29.532721954,-91.4305624743333
940,2021-04-02,16:22:24,40.1,4.63,-9999,29.5327220056667,-91.4305791615
941,2021-04-02,16:22:24,41.09,4.73,-9999,29.5327220056667,-91.4305791615
942,2021-04-02,16:22:25,42.15,4.83,-9999,29.5327215273333,-91.430595962
