ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1730,2021-04-02,16:54:48,0,1.71,-9999,29.4987238701667,-91.4362735106667
1731,2021-04-02,16:54:49,0.05,1.74,-9999,29.4987257871667,-91.436275375
1732,2021-04-02,16:54:50,0.13,1.75,-9999,29.49872707,-91.4362776181667
1733,2021-04-02,16:54:50,0.22,1.85,-9999,29.49872707,-91.4362776181667
1734,2021-04-02,16:54:51,0.32,1.89,-9999,29.4987275768333,-91.4362799871667
1735,2021-04-02,16:54:52,0.41,1.92,-9999,29.4987274,-91.4362824463333
1736,2021-04-02,16:54:52,0.49,1.99,-9999,29.4987274,-91.4362824463333
1737,2021-04-02,16:54:53,0.59,2.02,-9999,29.4987265641667,-91.4362849303333
1738,2021-04-02,16:54:53,0.71,2.06,-9999,29.4987265641667,-91.4362849303333
1739,2021-04-02,16:54:54,0.89,2.13,-9999,29.498725504,-91.4362878295
1740,2021-04-02,16:54:55,1.09,2.19,-9999,29.4987240723333,-91.4362909113333
1741,2021-04-02,16:54:56,1.26,2.25,-9999,29.49872194,-91.436293877
1742,2021-04-02,16:54:56,1.4,2.31,-9999,29.49872194,-91.436293877
1743,2021-04-02,16:54:57,1.53,2.37,-9999,29.4987199656667,-91.4362975131667
1744,2021-04-02,16:54:58,1.65,2.41,-9999,29.4987178465,-91.4363012481667
1745,2021-04-02,16:54:58,1.75,2.44,-9999,29.4987178465,-91.4363012481667
1746,2021-04-02,16:54:59,1.87,2.46,-9999,29.4987155755,-91.4363057156667
1747,2021-04-02,16:55:00,1.97,2.5,-9999,29.4987137603333,-91.4363099868333
1748,2021-04-02,16:55:00,2.1,2.49,-9999,29.4987137603333,-91.4363099868333
1749,2021-04-02,16:55:01,2.24,2.5,-9999,29.4987120971667,-91.4363150656667
1750,2021-04-02,16:55:02,2.38,2.53,-9999,29.4987108383333,-91.4363204401667
1751,2021-04-02,16:55:03,2.54,2.58,-9999,29.4987096611667,-91.436326599
1752,2021-04-02,16:55:03,2.73,2.62,-9999,29.4987096611667,-91.436326599
1753,2021-04-02,16:55:04,2.95,2.7,-9999,29.4987081428333,-91.4363331121667
1754,2021-04-02,16:55:05,3.15,2.77,-9999,29.4987059073333,-91.4363397828333
1755,2021-04-02,16:55:05,3.37,2.78,-9999,29.4987059073333,-91.4363397828333
1756,2021-04-02,16:55:06,3.56,2.83,-9999,29.4987030461667,-91.4363463206667
1757,2021-04-02,16:55:07,3.72,2.86,-9999,29.4986997933333,-91.4363531065
1758,2021-04-02,16:55:07,3.87,2.87,-9999,29.4986997933333,-91.4363531065
1759,2021-04-02,16:55:08,4.03,2.9,-9999,29.498697043,-91.4363604915
1760,2021-04-02,16:55:09,4.2,2.95,-9999,29.4986948031667,-91.436369311
1761,2021-04-02,16:55:09,4.37,2.99,-9999,29.4986948031667,-91.436369311
1762,2021-04-02,16:55:10,4.59,3.02,-9999,29.4986927038333,-91.4363787861667
1763,2021-04-02,16:55:11,4.83,3.03,-9999,29.4986904818333,-91.4363886028333
1764,2021-04-02,16:55:11,5.14,3.08,-9999,29.4986904818333,-91.4363886028333
1765,2021-04-02,16:55:12,5.42,3.11,-9999,29.4986884598333,-91.4363985281667
1766,2021-04-02,16:55:13,5.68,3.1,-9999,29.498686708,-91.4364089003333
1767,2021-04-02,16:55:13,6.01,3.09,-9999,29.498686708,-91.4364089003333
1768,2021-04-02,16:55:14,6.37,3.11,-9999,29.4986851195,-91.43641935
1769,2021-04-02,16:55:15,6.79,3.11,-9999,29.4986840886667,-91.4364297406667
1770,2021-04-02,16:55:16,7.18,3.14,-9999,29.4986832533333,-91.4364401873333
1771,2021-04-02,16:55:16,7.56,3.18,-9999,29.4986832533333,-91.4364401873333
1772,2021-04-02,16:55:17,7.98,3.17,-9999,29.4986827886667,-91.4364500066667
1773,2021-04-02,16:55:18,8.43,3.13,-9999,29.4986824666667,-91.4364594658333
1774,2021-04-02,16:55:18,8.85,3.15,-9999,29.4986824666667,-91.4364594658333
1775,2021-04-02,16:55:19,9.33,3.19,-9999,29.498682578,-91.4364682293333
1776,2021-04-02,16:55:20,9.8,3.22,-9999,29.4986828761667,-91.4364763446667
1777,2021-04-02,16:55:21,10.28,3.2,-9999,29.4986834253333,-91.4364837908333
1778,2021-04-02,16:55:21,10.79,3.22,-9999,29.4986834253333,-91.4364837908333
1779,2021-04-02,16:55:22,11.36,2.94,-9999,29.4986845233333,-91.4364909688333
1780,2021-04-02,16:55:23,11.88,3.27,-9999,29.4986862038333,-91.4364979453333
1781,2021-04-02,16:55:23,12.45,3.29,-9999,29.4986862038333,-91.4364979453333
1782,2021-04-02,16:55:24,13.06,3.15,-9999,29.4986884603333,-91.4365046628333
1783,2021-04-02,16:55:25,13.74,3.23,-9999,29.498691282,-91.4365113295
1784,2021-04-02,16:55:25,14.37,3.36,-9999,29.498691282,-91.4365113295
1785,2021-04-02,16:55:26,15.04,3.46,-9999,29.498694565,-91.4365182501667
1786,2021-04-02,16:55:27,15.7,3.48,-9999,29.498698386,-91.4365252266667
1787,2021-04-02,16:55:28,16.56,3.45,-9999,29.4987026775,-91.436532519
1788,2021-04-02,16:55:28,17.19,3.46,-9999,29.4987026775,-91.436532519
1789,2021-04-02,16:55:29,17.77,3.5,-9999,29.498707395,-91.4365402656667
1790,2021-04-02,16:55:30,18.41,3.49,-9999,29.4987123435,-91.4365486571667
1791,2021-04-02,16:55:30,19.02,3.48,-9999,29.4987123435,-91.4365486571667
1792,2021-04-02,16:55:31,19.64,3.49,-9999,29.4987167576667,-91.4365572458333
1793,2021-04-02,16:55:31,20.21,3.52,-9999,29.4987167576667,-91.4365572458333
1794,2021-04-02,16:55:32,20.82,3.52,-9999,29.4987205446667,-91.4365662095
1795,2021-04-02,16:55:33,21.39,3.53,-9999,29.4987242811667,-91.4365754163333
1796,2021-04-02,16:55:33,21.98,3.58,-9999,29.4987242811667,-91.4365754163333
1797,2021-04-02,16:55:34,22.51,3.62,-9999,29.4987280183333,-91.4365849868333
1798,2021-04-02,16:55:34,23.04,3.67,-9999,29.4987280183333,-91.4365849868333
1799,2021-04-02,16:55:35,23.52,3.68,-9999,29.4987316786667,-91.4365949973333
1800,2021-04-02,16:55:36,23.99,3.69,-9999,29.4987352715,-91.4366053778333
1801,2021-04-02,16:55:36,24.41,3.72,-9999,29.4987352715,-91.4366053778333
1802,2021-04-02,16:55:37,24.87,3.75,-9999,29.4987387098333,-91.4366160883333
1803,2021-04-02,16:55:38,25.27,3.77,-9999,29.4987422098333,-91.4366268863333
1804,2021-04-02,16:55:38,25.7,3.79,-9999,29.4987422098333,-91.4366268863333
1805,2021-04-02,16:55:39,26.1,3.81,-9999,29.498745953,-91.4366375626667
1806,2021-04-02,16:55:39,26.56,3.82,-9999,29.498745953,-91.4366375626667
1807,2021-04-02,16:55:40,26.96,3.83,-9999,29.4987501981667,-91.4366485591667
1808,2021-04-02,16:55:41,27.41,3.8,-9999,29.498754688,-91.4366598768333
1809,2021-04-02,16:55:41,27.88,3.74,-9999,29.498754688,-91.4366598768333
1810,2021-04-02,16:55:42,28.39,3.83,-9999,29.4987599098333,-91.4366715126667
1811,2021-04-02,16:55:43,28.9,3.78,-9999,29.4987656106667,-91.436683625
1812,2021-04-02,16:55:43,29.44,3.81,-9999,29.4987656106667,-91.436683625
1813,2021-04-02,16:55:44,29.95,3.79,-9999,29.49877174,-91.4366959553333
1814,2021-04-02,16:55:44,30.55,3.75,-9999,29.49877174,-91.4366959553333
1815,2021-04-02,16:55:45,31.12,3.72,-9999,29.4987777605,-91.4367088645
1816,2021-04-02,16:55:46,31.76,3.7,-9999,29.4987828451667,-91.4367220648333
1817,2021-04-02,16:55:46,32.4,3.65,-9999,29.4987828451667,-91.4367220648333
1818,2021-04-02,16:55:47,32.99,3.62,-9999,29.4987876195,-91.4367363388333
1819,2021-04-02,16:55:48,33.56,3.57,-9999,29.4987921131667,-91.4367512118333
1820,2021-04-02,16:55:48,34.21,3.6,-9999,29.4987921131667,-91.4367512118333
1821,2021-04-02,16:55:49,34.82,3.65,-9999,29.4987962561667,-91.4367671145
1822,2021-04-02,16:55:49,35.45,3.68,-9999,29.4987962561667,-91.4367671145
