ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
19,2021-04-02,21:57:18,0,1.05,-9999,-9999,-9999
20,2021-04-02,21:57:19,0.04,1.04,-9999,-9999,-9999
21,2021-04-02,21:57:19,0.09,1.03,-9999,-9999,-9999
22,2021-04-02,21:57:20,0.14,1.03,-9999,-9999,-9999
23,2021-04-02,21:57:20,0.19,1.03,-9999,-9999,-9999
24,2021-04-02,21:57:21,0.25,1.04,-9999,-9999,-9999
25,2021-04-02,21:57:22,0.32,1.06,-9999,-9999,-9999
26,2021-04-02,21:57:22,0.38,1.09,-9999,-9999,-9999
27,2021-04-02,21:57:23,0.47,1.09,-9999,-9999,-9999
28,2021-04-02,21:57:23,0.58,1.11,-9999,-9999,-9999
29,2021-04-02,21:57:24,0.71,1.18,-9999,-9999,-9999
30,2021-04-02,21:57:24,0.85,1.27,-9999,-9999,-9999
31,2021-04-02,21:57:25,1,1.39,-9999,-9999,-9999
32,2021-04-02,21:57:25,1.17,1.5,-9999,-9999,-9999
33,2021-04-02,21:57:26,1.33,1.58,-9999,-9999,-9999
34,2021-04-02,21:57:26,1.53,1.7,-9999,-9999,-9999
35,2021-04-02,21:57:27,1.74,1.94,-9999,-9999,-9999
36,2021-04-02,21:57:28,2.1,2.07,-9999,-9999,-9999
37,2021-04-02,21:57:28,2.37,2.18,-9999,-9999,-9999
38,2021-04-02,21:57:29,2.65,2.41,-9999,-9999,-9999
39,2021-04-02,21:57:30,2.94,2.59,-9999,-9999,-9999
40,2021-04-02,21:57:30,3.24,2.79,-9999,-9999,-9999
41,2021-04-02,21:57:31,3.6,2.97,-9999,-9999,-9999
42,2021-04-02,21:57:32,3.9,3.16,-9999,-9999,-9999
43,2021-04-02,21:57:32,4.25,3.3,-9999,-9999,-9999
44,2021-04-02,21:57:33,4.6,3.45,-9999,-9999,-9999
45,2021-04-02,21:57:33,4.97,3.55,-9999,-9999,-9999
46,2021-04-02,21:57:34,5.42,3.63,-9999,-9999,-9999
47,2021-04-02,21:57:35,5.9,3.69,-9999,-9999,-9999
48,2021-04-02,21:57:35,6.27,3.7,-9999,-9999,-9999
49,2021-04-02,21:57:36,6.62,3.75,-9999,-9999,-9999
50,2021-04-02,21:57:37,7,3.78,-9999,-9999,-9999
51,2021-04-02,21:57:37,7.37,3.78,-9999,-9999,-9999
52,2021-04-02,21:57:38,7.75,3.79,-9999,-9999,-9999
53,2021-04-02,21:57:39,8.14,3.87,-9999,-9999,-9999
54,2021-04-02,21:57:39,8.53,3.91,-9999,-9999,-9999
55,2021-04-02,21:57:40,8.96,3.93,-9999,-9999,-9999
56,2021-04-02,21:57:40,9.34,3.96,-9999,-9999,-9999
57,2021-04-02,21:57:41,9.77,4.01,-9999,-9999,-9999
58,2021-04-02,21:57:42,10.16,4.03,-9999,-9999,-9999
59,2021-04-02,21:57:42,10.6,4.07,-9999,-9999,-9999
60,2021-04-02,21:57:43,11.01,4.07,-9999,-9999,-9999
61,2021-04-02,21:57:44,11.48,4.11,-9999,-9999,-9999
62,2021-04-02,21:57:44,11.93,4.14,-9999,-9999,-9999
63,2021-04-02,21:57:45,12.43,4.16,-9999,-9999,-9999
64,2021-04-02,21:57:46,12.9,4.18,-9999,-9999,-9999
65,2021-04-02,21:57:46,13.48,4.18,-9999,-9999,-9999
66,2021-04-02,21:57:47,14,4.19,-9999,-9999,-9999
67,2021-04-02,21:57:48,14.56,4.2,-9999,-9999,-9999
68,2021-04-02,21:57:48,15.1,4.2,-9999,-9999,-9999
69,2021-04-02,21:57:49,15.67,4.21,-9999,-9999,-9999
70,2021-04-02,21:57:50,16.23,4.18,-9999,-9999,-9999
71,2021-04-02,21:57:50,16.81,4.16,-9999,-9999,-9999
72,2021-04-02,21:57:51,17.36,4.16,-9999,-9999,-9999
73,2021-04-02,21:57:52,17.96,4.14,-9999,-9999,-9999
74,2021-04-02,21:57:52,18.54,4.12,-9999,-9999,-9999
75,2021-04-02,21:57:53,19.17,4.16,-9999,-9999,-9999
76,2021-04-02,21:57:54,19.81,4.2,-9999,-9999,-9999
77,2021-04-02,21:57:54,20.5,4.23,-9999,-9999,-9999
78,2021-04-02,21:57:55,21.22,4.26,-9999,-9999,-9999
79,2021-04-02,21:57:56,22.25,4.27,-9999,-9999,-9999
80,2021-04-02,21:57:56,23.02,4.32,-9999,-9999,-9999
81,2021-04-02,21:57:57,23.85,4.39,-9999,-9999,-9999
82,2021-04-02,21:57:58,24.7,4.49,-9999,-9999,-9999
83,2021-04-02,21:57:58,25.58,4.54,-9999,-9999,-9999
84,2021-04-02,21:57:59,26.52,4.56,-9999,-9999,-9999
85,2021-04-02,21:58:00,27.4,4.6,-9999,-9999,-9999
