ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
705,2021-04-02,22:25:06,0,2.03,-9999,-9999,-9999
706,2021-04-02,22:25:06,0.04,2.04,-9999,-9999,-9999
707,2021-04-02,22:25:07,0.06,2,-9999,-9999,-9999
708,2021-04-02,22:25:07,0.07,2.05,-9999,-9999,-9999
709,2021-04-02,22:25:08,0.13,2.07,-9999,-9999,-9999
710,2021-04-02,22:25:09,0.2,2.07,-9999,-9999,-9999
711,2021-04-02,22:25:09,0.32,2.11,-9999,-9999,-9999
712,2021-04-02,22:25:10,0.45,2.17,-9999,-9999,-9999
713,2021-04-02,22:25:11,0.58,2.23,-9999,-9999,-9999
714,2021-04-02,22:25:11,0.76,2.31,-9999,-9999,-9999
715,2021-04-02,22:25:12,0.95,2.44,-9999,-9999,-9999
716,2021-04-02,22:25:13,1.17,2.51,-9999,-9999,-9999
717,2021-04-02,22:25:13,1.42,2.57,-9999,-9999,-9999
718,2021-04-02,22:25:14,1.66,2.69,-9999,-9999,-9999
719,2021-04-02,22:25:15,1.93,2.76,-9999,-9999,-9999
720,2021-04-02,22:25:15,2.21,2.9,-9999,-9999,-9999
721,2021-04-02,22:25:16,2.46,3.03,-9999,-9999,-9999
722,2021-04-02,22:25:16,2.74,3.16,-9999,-9999,-9999
723,2021-04-02,22:25:17,3.09,3.29,-9999,-9999,-9999
724,2021-04-02,22:25:18,3.44,3.42,-9999,-9999,-9999
725,2021-04-02,22:25:19,3.82,3.52,-9999,-9999,-9999
726,2021-04-02,22:25:19,4.23,3.6,-9999,-9999,-9999
727,2021-04-02,22:25:20,4.67,3.65,-9999,-9999,-9999
728,2021-04-02,22:25:21,5.17,3.71,-9999,-9999,-9999
729,2021-04-02,22:25:21,5.59,3.72,-9999,-9999,-9999
730,2021-04-02,22:25:22,6.04,3.73,-9999,-9999,-9999
731,2021-04-02,22:25:23,6.51,3.74,-9999,-9999,-9999
732,2021-04-02,22:25:23,6.99,3.75,-9999,-9999,-9999
733,2021-04-02,22:25:24,7.48,3.76,-9999,-9999,-9999
734,2021-04-02,22:25:24,7.92,3.76,-9999,-9999,-9999
735,2021-04-02,22:25:25,8.37,3.75,-9999,-9999,-9999
736,2021-04-02,22:25:26,8.83,3.78,-9999,-9999,-9999
737,2021-04-02,22:25:26,9.42,3.78,-9999,-9999,-9999
738,2021-04-02,22:25:27,9.96,3.79,-9999,-9999,-9999
739,2021-04-02,22:25:28,10.52,3.79,-9999,-9999,-9999
740,2021-04-02,22:25:28,11.1,3.77,-9999,-9999,-9999
741,2021-04-02,22:25:29,11.74,3.8,-9999,-9999,-9999
742,2021-04-02,22:25:29,12.39,3.79,-9999,-9999,-9999
743,2021-04-02,22:25:30,13.12,3.82,-9999,-9999,-9999
744,2021-04-02,22:25:31,13.87,3.82,-9999,-9999,-9999
745,2021-04-02,22:25:31,14.67,3.85,-9999,-9999,-9999
746,2021-04-02,22:25:32,15.43,3.87,-9999,-9999,-9999
747,2021-04-02,22:25:33,16.22,3.9,-9999,-9999,-9999
748,2021-04-02,22:25:33,17,3.88,-9999,-9999,-9999
749,2021-04-02,22:25:34,17.84,3.89,-9999,-9999,-9999
750,2021-04-02,22:25:34,18.69,3.91,-9999,-9999,-9999
751,2021-04-02,22:25:35,19.64,3.96,-9999,-9999,-9999
752,2021-04-02,22:25:36,20.58,4,-9999,-9999,-9999
753,2021-04-02,22:25:36,21.63,4.06,-9999,-9999,-9999
754,2021-04-02,22:25:37,22.66,4.05,-9999,-9999,-9999
755,2021-04-02,22:25:38,23.79,3.98,-9999,-9999,-9999
756,2021-04-02,22:25:38,24.9,3.9,-9999,-9999,-9999
757,2021-04-02,22:25:39,26.11,3.9,-9999,-9999,-9999
758,2021-04-02,22:25:40,27.29,3.88,-9999,-9999,-9999
759,2021-04-02,22:25:40,28.59,3.89,-9999,-9999,-9999
760,2021-04-02,22:25:41,29.84,3.87,-9999,-9999,-9999
761,2021-04-02,22:25:41,31.2,3.85,-9999,-9999,-9999
762,2021-04-02,22:25:42,32.49,3.82,-9999,-9999,-9999
763,2021-04-02,22:25:43,33.86,3.8,-9999,-9999,-9999
764,2021-04-02,22:25:44,35.55,3.81,-9999,-9999,-9999
765,2021-04-02,22:25:44,36.95,3.84,-9999,-9999,-9999
766,2021-04-02,22:25:45,38.32,3.87,-9999,-9999,-9999
767,2021-04-02,22:25:45,39.75,3.89,-9999,-9999,-9999
768,2021-04-02,22:25:46,41.08,3.88,-9999,-9999,-9999
769,2021-04-02,22:25:47,42.53,3.88,-9999,-9999,-9999
770,2021-04-02,22:25:47,43.83,3.91,-9999,-9999,-9999
771,2021-04-02,22:25:48,45.28,3.92,-9999,-9999,-9999
772,2021-04-02,22:25:49,46.64,3.97,-9999,-9999,-9999
773,2021-04-02,22:25:49,48.14,3.93,-9999,-9999,-9999
774,2021-04-02,22:25:50,49.59,3.92,-9999,-9999,-9999
775,2021-04-02,22:25:51,51.15,3.9,-9999,-9999,-9999
776,2021-04-02,22:25:51,52.59,3.9,-9999,-9999,-9999
777,2021-04-02,22:25:52,54.12,3.91,-9999,-9999,-9999
778,2021-04-02,22:25:52,55.56,3.97,-9999,-9999,-9999
779,2021-04-02,22:25:53,57.04,3.98,-9999,-9999,-9999
780,2021-04-02,22:25:54,58.46,3.99,-9999,-9999,-9999
781,2021-04-02,22:25:54,59.89,4,-9999,-9999,-9999
782,2021-04-02,22:25:55,61.29,4.01,-9999,-9999,-9999
783,2021-04-02,22:25:56,62.76,4.02,-9999,-9999,-9999
784,2021-04-02,22:25:56,64.2,4.06,-9999,-9999,-9999
785,2021-04-02,22:25:57,65.69,4.09,-9999,-9999,-9999
786,2021-04-02,22:25:58,67.11,4.11,-9999,-9999,-9999
787,2021-04-02,22:25:58,68.59,4.17,-9999,-9999,-9999
788,2021-04-02,22:25:59,70.03,4.22,-9999,-9999,-9999
789,2021-04-02,22:26:00,71.58,4.23,-9999,-9999,-9999
790,2021-04-02,22:26:00,73.09,4.27,-9999,-9999,-9999
791,2021-04-02,22:26:01,74.67,4.28,-9999,-9999,-9999
792,2021-04-02,22:26:02,76.13,4.25,-9999,-9999,-9999
793,2021-04-02,22:26:02,77.71,4.29,-9999,-9999,-9999
794,2021-04-02,22:26:03,79.14,4.28,-9999,-9999,-9999
795,2021-04-02,22:26:04,80.68,4.24,-9999,-9999,-9999
796,2021-04-02,22:26:04,82.18,4.24,-9999,-9999,-9999
797,2021-04-02,22:26:05,83.71,4.25,-9999,-9999,-9999
798,2021-04-02,22:26:06,85.13,4.28,-9999,-9999,-9999
799,2021-04-02,22:26:06,86.68,4.24,-9999,-9999,-9999
800,2021-04-02,22:26:07,88.14,4.26,-9999,-9999,-9999
801,2021-04-02,22:26:08,89.67,4.24,-9999,-9999,-9999
802,2021-04-02,22:26:08,91.11,4.19,-9999,-9999,-9999
803,2021-04-02,22:26:09,92.59,4.16,-9999,-9999,-9999
804,2021-04-02,22:26:09,94.05,4.19,-9999,-9999,-9999
805,2021-04-02,22:26:10,95.55,4.17,-9999,-9999,-9999
806,2021-04-02,22:26:11,97,4.28,-9999,-9999,-9999
807,2021-04-02,22:26:11,98.53,4.2,-9999,-9999,-9999
808,2021-04-02,22:26:12,100,4.18,-9999,-9999,-9999
809,2021-04-02,22:26:13,101.51,4.17,-9999,-9999,-9999
810,2021-04-02,22:26:13,102.93,4.2,-9999,-9999,-9999
811,2021-04-02,22:26:14,104.5,4.17,-9999,-9999,-9999
812,2021-04-02,22:26:15,105.92,4.12,-9999,-9999,-9999
813,2021-04-02,22:26:15,107.5,4.11,-9999,-9999,-9999
814,2021-04-02,22:26:16,108.92,4.07,-9999,-9999,-9999
815,2021-04-02,22:26:17,110.42,4.05,-9999,-9999,-9999
816,2021-04-02,22:26:17,111.87,4.05,-9999,-9999,-9999
817,2021-04-02,22:26:18,113.4,4.06,-9999,-9999,-9999
818,2021-04-02,22:26:19,114.85,4.02,-9999,-9999,-9999
819,2021-04-02,22:26:20,116.81,4.01,-9999,-9999,-9999
820,2021-04-02,22:26:20,118.26,3.99,-9999,-9999,-9999
821,2021-04-02,22:26:21,119.75,4,-9999,-9999,-9999
822,2021-04-02,22:26:21,121.25,4.01,-9999,-9999,-9999
823,2021-04-02,22:26:22,122.65,3.98,-9999,-9999,-9999
824,2021-04-02,22:26:23,124.11,3.97,-9999,-9999,-9999
825,2021-04-02,22:26:23,125.51,3.95,-9999,-9999,-9999
826,2021-04-02,22:26:24,127,3.92,-9999,-9999,-9999
827,2021-04-02,22:26:25,128.45,3.89,-9999,-9999,-9999
828,2021-04-02,22:26:25,129.95,3.9,-9999,-9999,-9999
829,2021-04-02,22:26:26,131.34,3.91,-9999,-9999,-9999
830,2021-04-02,22:26:27,132.82,3.9,-9999,-9999,-9999
831,2021-04-02,22:26:27,134.23,3.87,-9999,-9999,-9999
832,2021-04-02,22:26:28,135.73,3.88,-9999,-9999,-9999
833,2021-04-02,22:26:29,137.08,3.91,-9999,-9999,-9999
834,2021-04-02,22:26:29,138.58,3.9,-9999,-9999,-9999
835,2021-04-02,22:26:30,140.03,3.94,-9999,-9999,-9999
836,2021-04-02,22:26:30,141.48,3.96,-9999,-9999,-9999
837,2021-04-02,22:26:31,142.9,3.96,-9999,-9999,-9999
838,2021-04-02,22:26:32,144.37,3.97,-9999,-9999,-9999
839,2021-04-02,22:26:32,145.79,3.91,-9999,-9999,-9999
840,2021-04-02,22:26:33,147.29,3.9,-9999,-9999,-9999
841,2021-04-02,22:26:34,148.71,3.86,-9999,-9999,-9999
842,2021-04-02,22:26:34,150.23,3.82,-9999,-9999,-9999
843,2021-04-02,22:26:35,151.62,3.8,-9999,-9999,-9999
844,2021-04-02,22:26:36,153.1,3.79,-9999,-9999,-9999
845,2021-04-02,22:26:36,154.48,3.84,-9999,-9999,-9999
846,2021-04-02,22:26:37,155.93,3.86,-9999,-9999,-9999
847,2021-04-02,22:26:37,157.33,3.88,-9999,-9999,-9999
848,2021-04-02,22:26:38,158.79,3.86,-9999,-9999,-9999
849,2021-04-02,22:26:39,160.16,3.82,-9999,-9999,-9999
850,2021-04-02,22:26:40,162.09,3.81,-9999,-9999,-9999
851,2021-04-02,22:26:40,163.52,3.79,-9999,-9999,-9999
852,2021-04-02,22:26:41,164.88,3.81,-9999,-9999,-9999
853,2021-04-02,22:26:41,166.33,3.83,-9999,-9999,-9999
854,2021-04-02,22:26:42,167.71,3.82,-9999,-9999,-9999
