ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
160,2021-04-03,15:44:28,0,1.09,-9999,29.6537552325,-91.2446138005
161,2021-04-03,15:44:29,0.15,1.08,-9999,29.6537589928333,-91.244608682
162,2021-04-03,15:44:29,0.31,1.08,-9999,29.6537589928333,-91.244608682
163,2021-04-03,15:44:30,0.46,1.09,-9999,29.6537622996667,-91.2446027261667
164,2021-04-03,15:44:31,0.6,1.09,-9999,29.653765629,-91.2445964851667
165,2021-04-03,15:44:31,0.75,1.09,-9999,29.653765629,-91.2445964851667
166,2021-04-03,15:44:32,0.89,1.08,-9999,29.653765629,-91.2445964851667
167,2021-04-03,15:44:32,1.03,1.09,-9999,29.653765629,-91.2445964851667
168,2021-04-03,15:44:33,1.15,1.08,-9999,29.653765629,-91.2445964851667
169,2021-04-03,15:44:33,1.28,1.1,-9999,29.653765629,-91.2445964851667
170,2021-04-03,15:44:34,1.42,1.09,-9999,29.653765629,-91.2445964851667
171,2021-04-03,15:44:34,1.54,1.09,-9999,29.653765629,-91.2445964851667
172,2021-04-03,15:44:35,1.68,1.11,-9999,29.653765629,-91.2445964851667
173,2021-04-03,15:44:35,1.86,1.12,-9999,29.653765629,-91.2445964851667
174,2021-04-03,15:44:36,2.03,1.11,-9999,29.653765629,-91.2445964851667
175,2021-04-03,15:44:36,2.2,1.1,-9999,29.653765629,-91.2445964851667
176,2021-04-03,15:44:37,2.44,1.11,-9999,29.653765629,-91.2445964851667
177,2021-04-03,15:44:37,2.7,1.13,-9999,29.653765629,-91.2445964851667
178,2021-04-03,15:44:38,2.91,1.13,-9999,29.653765629,-91.2445964851667
179,2021-04-03,15:44:38,3.16,1.13,-9999,29.653765629,-91.2445964851667
180,2021-04-03,15:44:39,3.42,1.13,-9999,29.653765629,-91.2445964851667
181,2021-04-03,15:44:39,3.69,1.13,-9999,29.653765629,-91.2445964851667
182,2021-04-03,15:44:40,3.93,1.14,-9999,29.653765629,-91.2445964851667
183,2021-04-03,15:44:41,4.17,1.14,-9999,29.653765629,-91.2445964851667
184,2021-04-03,15:44:41,4.41,1.15,-9999,29.653765629,-91.2445964851667
185,2021-04-03,15:44:42,4.69,1.17,-9999,29.653765629,-91.2445964851667
186,2021-04-03,15:44:42,4.96,1.18,-9999,29.653765629,-91.2445964851667
187,2021-04-03,15:44:43,5.27,1.18,-9999,29.653765629,-91.2445964851667
188,2021-04-03,15:44:43,5.58,1.2,-9999,29.653765629,-91.2445964851667
189,2021-04-03,15:44:44,5.91,1.21,-9999,29.653765629,-91.2445964851667
190,2021-04-03,15:44:44,6.24,1.22,-9999,29.653765629,-91.2445964851667
191,2021-04-03,15:44:45,6.62,1.24,-9999,29.653765629,-91.2445964851667
192,2021-04-03,15:44:45,6.98,1.25,-9999,29.653765629,-91.2445964851667
193,2021-04-03,15:44:46,7.38,1.27,-9999,-9999,-9999
194,2021-04-03,15:44:46,7.75,1.28,-9999,-9999,-9999
195,2021-04-03,15:44:47,8.15,1.29,-9999,-9999,-9999
196,2021-04-03,15:44:48,8.55,1.31,-9999,-9999,-9999
197,2021-04-03,15:44:48,9.01,1.32,-9999,-9999,-9999
198,2021-04-03,15:44:49,9.44,1.36,-9999,-9999,-9999
199,2021-04-03,15:44:49,9.89,1.39,-9999,-9999,-9999
200,2021-04-03,15:44:50,10.35,1.43,-9999,-9999,-9999
201,2021-04-03,15:44:50,10.85,1.52,-9999,-9999,-9999
202,2021-04-03,15:44:51,11.35,1.58,-9999,-9999,-9999
203,2021-04-03,15:44:52,11.9,1.66,-9999,-9999,-9999
204,2021-04-03,15:44:52,12.48,1.73,-9999,-9999,-9999
205,2021-04-03,15:44:53,13.1,1.82,-9999,-9999,-9999
206,2021-04-03,15:44:53,13.76,1.87,-9999,-9999,-9999
207,2021-04-03,15:44:54,14.5,1.96,-9999,-9999,-9999
208,2021-04-03,15:44:55,15.31,1.98,-9999,-9999,-9999
209,2021-04-03,15:44:55,16.12,2.05,-9999,-9999,-9999
210,2021-04-03,15:44:56,16.88,2.11,-9999,-9999,-9999
