ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
25,2021-04-03,19:29:09,0,1.3,-9999,-9999,-9999
26,2021-04-03,19:29:09,0.15,1.33,-9999,-9999,-9999
27,2021-04-03,19:29:10,0.28,1.35,-9999,-9999,-9999
28,2021-04-03,19:29:10,0.41,1.4,-9999,-9999,-9999
29,2021-04-03,19:29:11,0.56,1.42,-9999,-9999,-9999
30,2021-04-03,19:29:12,0.69,1.46,-9999,-9999,-9999
31,2021-04-03,19:29:12,0.84,1.48,-9999,-9999,-9999
32,2021-04-03,19:29:13,1.02,1.51,-9999,-9999,-9999
33,2021-04-03,19:29:13,1.2,1.55,-9999,-9999,-9999
34,2021-04-03,19:29:14,1.42,1.57,-9999,-9999,-9999
35,2021-04-03,19:29:15,1.64,1.56,-9999,-9999,-9999
36,2021-04-03,19:29:15,1.89,1.53,-9999,-9999,-9999
37,2021-04-03,19:29:16,2.12,1.48,-9999,-9999,-9999
38,2021-04-03,19:29:17,2.33,1.42,-9999,-9999,-9999
39,2021-04-03,19:29:17,2.53,1.4,-9999,-9999,-9999
40,2021-04-03,19:29:18,2.71,1.38,-9999,-9999,-9999
41,2021-04-03,19:29:18,2.89,1.34,-9999,-9999,-9999
42,2021-04-03,19:29:19,3.04,1.32,-9999,-9999,-9999
43,2021-04-03,19:29:20,3.23,1.31,-9999,-9999,-9999
44,2021-04-03,19:29:20,3.41,1.32,-9999,-9999,-9999
45,2021-04-03,19:29:21,3.58,1.3,-9999,-9999,-9999
46,2021-04-03,19:29:21,3.75,1.3,-9999,-9999,-9999
47,2021-04-03,19:29:22,3.93,1.29,-9999,-9999,-9999
48,2021-04-03,19:29:23,4.14,1.29,-9999,-9999,-9999
49,2021-04-03,19:29:23,4.33,1.3,-9999,-9999,-9999
50,2021-04-03,19:29:24,4.52,1.3,-9999,-9999,-9999
51,2021-04-03,19:29:24,4.71,1.3,-9999,-9999,-9999
52,2021-04-03,19:29:25,4.91,1.3,-9999,-9999,-9999
53,2021-04-03,19:29:26,5.08,1.3,-9999,-9999,-9999
54,2021-04-03,19:29:26,5.25,1.31,-9999,-9999,-9999
55,2021-04-03,19:29:27,5.42,1.31,-9999,-9999,-9999
56,2021-04-03,19:29:27,5.6,1.32,-9999,-9999,-9999
57,2021-04-03,19:29:28,5.77,1.34,-9999,-9999,-9999
58,2021-04-03,19:29:29,5.99,1.35,-9999,-9999,-9999
59,2021-04-03,19:29:29,6.17,1.36,-9999,-9999,-9999
60,2021-04-03,19:29:30,6.37,1.36,-9999,-9999,-9999
61,2021-04-03,19:29:30,6.6,1.37,-9999,-9999,-9999
62,2021-04-03,19:29:31,6.84,1.37,-9999,-9999,-9999
63,2021-04-03,19:29:32,7.1,1.36,-9999,-9999,-9999
64,2021-04-03,19:29:32,7.37,1.36,-9999,-9999,-9999
65,2021-04-03,19:29:33,7.65,1.36,-9999,-9999,-9999
66,2021-04-03,19:29:33,7.92,1.36,-9999,-9999,-9999
67,2021-04-03,19:29:34,8.19,1.36,-9999,-9999,-9999
68,2021-04-03,19:29:34,8.46,1.37,-9999,-9999,-9999
69,2021-04-03,19:29:35,8.76,1.37,-9999,-9999,-9999
70,2021-04-03,19:29:36,9.05,1.37,-9999,-9999,-9999
71,2021-04-03,19:29:36,9.39,1.39,-9999,-9999,-9999
72,2021-04-03,19:29:37,9.7,1.38,-9999,-9999,-9999
73,2021-04-03,19:29:37,10.06,1.4,-9999,-9999,-9999
74,2021-04-03,19:29:38,10.36,1.43,-9999,-9999,-9999
75,2021-04-03,19:29:39,10.76,1.42,-9999,-9999,-9999
76,2021-04-03,19:29:39,11.05,1.41,-9999,-9999,-9999
77,2021-04-03,19:29:40,11.34,1.43,-9999,29.6441699233333,-91.3681844296667
78,2021-04-03,19:29:40,11.67,1.44,-9999,29.6441699233333,-91.3681844296667
79,2021-04-03,19:29:41,11.97,1.44,-9999,29.6441699233333,-91.3681844296667
80,2021-04-03,19:29:42,12.29,1.45,-9999,29.6441699233333,-91.3681844296667
81,2021-04-03,19:29:42,12.62,1.47,-9999,29.6441699233333,-91.3681844296667
82,2021-04-03,19:29:43,12.98,1.48,-9999,29.6441699233333,-91.3681844296667
83,2021-04-03,19:29:43,13.36,1.48,-9999,29.6441699233333,-91.3681844296667
84,2021-04-03,19:29:44,13.72,1.49,-9999,29.6441699233333,-91.3681844296667
85,2021-04-03,19:29:45,14.07,1.49,-9999,29.6441699233333,-91.3681844296667
86,2021-04-03,19:29:45,14.46,1.51,-9999,29.6441699233333,-91.3681844296667
87,2021-04-03,19:29:46,14.83,1.51,-9999,29.6441699233333,-91.3681844296667
88,2021-04-03,19:29:46,15.23,1.53,-9999,29.6441699233333,-91.3681844296667
89,2021-04-03,19:29:47,15.58,1.56,-9999,29.6441699233333,-91.3681844296667
90,2021-04-03,19:29:47,15.96,1.57,-9999,29.6441699233333,-91.3681844296667
91,2021-04-03,19:29:48,16.32,1.58,-9999,29.6441699233333,-91.3681844296667
92,2021-04-03,19:29:49,16.7,1.62,-9999,29.6441699233333,-91.3681844296667
93,2021-04-03,19:29:49,17.09,1.64,-9999,29.6441699233333,-91.3681844296667
94,2021-04-03,19:29:50,17.5,1.66,-9999,29.6441699233333,-91.3681844296667
95,2021-04-03,19:29:50,17.89,1.69,-9999,29.6441699233333,-91.3681844296667
96,2021-04-03,19:29:51,18.32,1.71,-9999,29.6441699233333,-91.3681844296667
97,2021-04-03,19:29:52,18.74,1.76,-9999,29.6441699233333,-91.3681844296667
98,2021-04-03,19:29:52,19.2,1.8,-9999,29.6441699233333,-91.3681844296667
99,2021-04-03,19:29:53,19.64,1.85,-9999,29.6441699233333,-91.3681844296667
100,2021-04-03,19:29:54,20.17,1.88,-9999,29.6441699233333,-91.3681844296667
101,2021-04-03,19:29:54,20.66,1.93,-9999,29.6441699233333,-91.3681844296667
102,2021-04-03,19:29:55,21.18,1.96,-9999,29.6441556965,-91.3681845616667
