ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
96,2021-04-03,20:39:37,0,1.26,-9999,-9999,-9999
97,2021-04-03,20:39:37,0.05,1.28,-9999,-9999,-9999
98,2021-04-03,20:39:38,0.11,1.27,-9999,-9999,-9999
99,2021-04-03,20:39:38,0.16,1.26,-9999,-9999,-9999
100,2021-04-03,20:39:39,0.21,1.28,-9999,-9999,-9999
101,2021-04-03,20:39:39,0.23,1.28,-9999,-9999,-9999
102,2021-04-03,20:39:40,0.28,1.26,-9999,-9999,-9999
103,2021-04-03,20:39:41,0.35,1.29,-9999,-9999,-9999
104,2021-04-03,20:39:41,0.41,1.28,-9999,-9999,-9999
105,2021-04-03,20:39:42,0.49,1.28,-9999,-9999,-9999
106,2021-04-03,20:39:42,0.57,1.28,-9999,-9999,-9999
107,2021-04-03,20:39:43,0.67,1.29,-9999,-9999,-9999
108,2021-04-03,20:39:43,0.77,1.3,-9999,-9999,-9999
109,2021-04-03,20:39:44,0.89,1.31,-9999,-9999,-9999
110,2021-04-03,20:39:44,1,1.29,-9999,-9999,-9999
111,2021-04-03,20:39:45,1.13,1.32,-9999,-9999,-9999
112,2021-04-03,20:39:46,1.26,1.34,-9999,-9999,-9999
113,2021-04-03,20:39:46,1.39,1.36,-9999,-9999,-9999
114,2021-04-03,20:39:47,1.55,1.36,-9999,-9999,-9999
115,2021-04-03,20:39:47,1.71,1.38,-9999,-9999,-9999
116,2021-04-03,20:39:48,1.88,1.37,-9999,-9999,-9999
117,2021-04-03,20:39:48,2.05,1.37,-9999,-9999,-9999
118,2021-04-03,20:39:49,2.23,1.4,-9999,-9999,-9999
119,2021-04-03,20:39:50,2.43,1.38,-9999,-9999,-9999
120,2021-04-03,20:39:50,2.64,1.36,-9999,-9999,-9999
121,2021-04-03,20:39:51,2.85,1.38,-9999,-9999,-9999
122,2021-04-03,20:39:51,3.09,1.35,-9999,-9999,-9999
123,2021-04-03,20:39:52,3.3,1.38,-9999,-9999,-9999
124,2021-04-03,20:39:52,3.54,1.36,-9999,-9999,-9999
