ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
52,2021-04-05,16:13:41,0,0.48,-9999,29.3431711433333,-90.8845214203333
53,2021-04-05,16:13:42,0.24,0.49,-9999,29.3431711433333,-90.8845214203333
54,2021-04-05,16:13:42,0.51,0.48,-9999,29.3431711433333,-90.8845214203333
55,2021-04-05,16:13:43,0.85,0.48,-9999,29.3431711433333,-90.8845214203333
56,2021-04-05,16:13:43,1.15,0.48,-9999,29.3431711433333,-90.8845214203333
57,2021-04-05,16:13:44,1.15,0.5,-9999,29.3431711433333,-90.8845214203333
58,2021-04-05,16:13:44,1.68,0.48,-9999,29.3431711433333,-90.8845214203333
59,2021-04-05,16:13:45,1.93,0.49,-9999,29.3431711433333,-90.8845214203333
60,2021-04-05,16:13:46,2.22,0.48,-9999,29.3431711433333,-90.8845214203333
61,2021-04-05,16:13:46,2.56,0.49,-9999,29.3431711433333,-90.8845214203333
62,2021-04-05,16:13:47,2.93,0.49,-9999,29.3431711433333,-90.8845214203333
63,2021-04-05,16:13:47,3.37,0.5,-9999,29.3431711433333,-90.8845214203333
64,2021-04-05,16:13:48,3.98,0.5,-9999,29.3431619871667,-90.8845136428333
65,2021-04-05,16:13:49,4.42,0.49,-9999,29.3431527948333,-90.8845058865
66,2021-04-05,16:13:49,4.85,0.51,-9999,29.3431527948333,-90.8845058865
67,2021-04-05,16:13:50,5.35,0.51,-9999,29.3431434443333,-90.8844984656667
68,2021-04-05,16:13:51,5.89,0.51,-9999,29.3431344613333,-90.8844906305
69,2021-04-05,16:13:51,6.45,0.51,-9999,29.3431344613333,-90.8844906305
70,2021-04-05,16:13:52,6.99,0.52,-9999,29.3431253846667,-90.88448306
71,2021-04-05,16:13:52,7.42,0.51,-9999,29.3431253846667,-90.88448306
72,2021-04-05,16:13:53,8.13,0.48,-9999,29.343116487,-90.8844754846667
73,2021-04-05,16:13:54,8.76,0.49,-9999,29.3431073278333,-90.8844683046667
74,2021-04-05,16:13:54,9.41,0.5,-9999,29.3431073278333,-90.8844683046667
75,2021-04-05,16:13:55,10.1,0.49,-9999,29.3430981141667,-90.8844611921667
76,2021-04-05,16:13:55,10.1,0.48,-9999,29.3430981141667,-90.8844611921667
77,2021-04-05,16:13:56,11.41,0.49,-9999,29.3430886968333,-90.8844544181667
78,2021-04-05,16:13:56,12.07,0.47,-9999,29.3430886968333,-90.8844544181667
79,2021-04-05,16:13:57,12.75,0.4,-9999,29.3430794146667,-90.8844473448333
80,2021-04-05,16:13:58,13.49,0.44,-9999,29.343070198,-90.8844401503333
81,2021-04-05,16:13:58,14.13,0.39,-9999,29.343070198,-90.8844401503333
82,2021-04-05,16:13:59,14.83,0.52,-9999,29.3430613168333,-90.8844325166667
83,2021-04-05,16:13:59,15.56,0.52,-9999,29.3430613168333,-90.8844325166667
84,2021-04-05,16:14:00,16.19,0.52,-9999,29.3430524695,-90.884425135
85,2021-04-05,16:14:00,16.82,0.53,-9999,29.3430524695,-90.884425135
86,2021-04-05,16:14:01,17.43,0.53,-9999,29.343043902,-90.884417569
87,2021-04-05,16:14:01,18.08,0.52,-9999,29.343043902,-90.884417569
88,2021-04-05,16:14:02,18.68,0.54,-9999,29.3430353995,-90.8844100508333
89,2021-04-05,16:14:02,19.47,0.53,-9999,29.3430353995,-90.8844100508333
90,2021-04-05,16:14:03,20.3,0.53,-9999,29.3430270098333,-90.8844024973333
91,2021-04-05,16:14:04,20.94,0.53,-9999,29.3430187076667,-90.8843949686667
92,2021-04-05,16:14:04,21.57,0.53,-9999,29.3430187076667,-90.8843949686667
93,2021-04-05,16:14:05,22.21,0.53,-9999,29.3430105941667,-90.8843874041667
94,2021-04-05,16:14:05,22.84,0.52,-9999,29.3430105941667,-90.8843874041667
95,2021-04-05,16:14:06,23.48,0.54,-9999,29.3430025965,-90.8843800493333
96,2021-04-05,16:14:06,24.21,0.53,-9999,29.3430025965,-90.8843800493333
97,2021-04-05,16:14:07,24.86,0.53,-9999,29.3429949578333,-90.8843726126667
98,2021-04-05,16:14:07,25.45,0.53,-9999,29.3429949578333,-90.8843726126667
99,2021-04-05,16:14:08,26.1,0.53,-9999,29.3429873728333,-90.884365409
100,2021-04-05,16:14:08,26.71,0.53,-9999,29.3429873728333,-90.884365409
101,2021-04-05,16:14:09,27.16,0.53,-9999,29.3429800438333,-90.8843581521667
102,2021-04-05,16:14:09,27.74,0.52,-9999,29.3429800438333,-90.8843581521667
103,2021-04-05,16:14:10,28.38,0.52,-9999,29.3429728785,-90.8843508693333
104,2021-04-05,16:14:10,28.96,0.52,-9999,29.3429728785,-90.8843508693333
105,2021-04-05,16:14:11,29.72,0.53,-9999,29.3429657998333,-90.8843437138333
106,2021-04-05,16:14:11,30.33,0.53,-9999,29.3429657998333,-90.8843437138333
107,2021-04-05,16:14:12,30.97,0.53,-9999,29.3429589533333,-90.8843365196667
108,2021-04-05,16:14:12,31.36,0.53,-9999,29.3429589533333,-90.8843365196667
109,2021-04-05,16:14:13,32.01,0.53,-9999,29.342952155,-90.8843294561667
110,2021-04-05,16:14:13,32.6,0.53,-9999,29.342952155,-90.8843294561667
111,2021-04-05,16:14:14,33.25,0.53,-9999,29.342945502,-90.884322507
112,2021-04-05,16:14:14,33.85,0.53,-9999,29.342945502,-90.884322507
113,2021-04-05,16:14:15,34.49,0.53,-9999,29.3429390213333,-90.8843156171667
114,2021-04-05,16:14:15,35.09,0.45,-9999,29.3429390213333,-90.8843156171667
115,2021-04-05,16:14:16,35.74,0.53,-9999,29.3429325125,-90.8843089781667
116,2021-04-05,16:14:16,36.44,0.53,-9999,29.3429325125,-90.8843089781667
117,2021-04-05,16:14:17,37.15,0.53,-9999,29.3429262935,-90.8843022146667
118,2021-04-05,16:14:17,37.52,0.53,-9999,29.3429262935,-90.8843022146667
119,2021-04-05,16:14:18,38.23,0.52,-9999,29.3429205715,-90.8842951456667
120,2021-04-05,16:14:18,38.9,0.53,-9999,29.3429205715,-90.8842951456667
121,2021-04-05,16:14:19,39.6,0.54,-9999,29.3429164795,-90.8842866675
122,2021-04-05,16:14:19,40.17,0.54,-9999,29.3429164795,-90.8842866675
123,2021-04-05,16:14:20,40.79,0.53,-9999,29.3429130016667,-90.8842785286667
124,2021-04-05,16:14:20,41.15,0.53,-9999,29.3429130016667,-90.8842785286667
125,2021-04-05,16:14:21,41.77,0.53,-9999,29.3429120758333,-90.8842701216667
126,2021-04-05,16:14:21,42.42,0.52,-9999,29.3429120758333,-90.8842701216667
127,2021-04-05,16:14:22,43.12,0.5,-9999,29.3429126141667,-90.884263033
128,2021-04-05,16:14:22,43.74,0.52,-9999,29.3429126141667,-90.884263033
129,2021-04-05,16:14:23,44.43,0.52,-9999,29.3429152566667,-90.8842579236667
130,2021-04-05,16:14:23,44.98,0.51,-9999,29.3429152566667,-90.8842579236667
131,2021-04-05,16:14:24,45.78,0.51,-9999,29.3429179973333,-90.8842553051667
132,2021-04-05,16:14:25,46.41,0.51,-9999,29.3429212853333,-90.8842554628333
133,2021-04-05,16:14:25,47.08,0.5,-9999,29.3429212853333,-90.8842554628333
134,2021-04-05,16:14:26,47.71,0.51,-9999,29.3429233816667,-90.884257246
135,2021-04-05,16:14:26,48.35,0.51,-9999,29.3429233816667,-90.884257246
136,2021-04-05,16:14:27,48.95,0.51,-9999,29.3429247058333,-90.8842607478333
137,2021-04-05,16:14:28,49.6,0.52,-9999,29.3429247428333,-90.8842646543333
138,2021-04-05,16:14:28,50.2,0.51,-9999,29.3429247428333,-90.8842646543333
139,2021-04-05,16:14:29,50.75,0.51,-9999,29.3429238256667,-90.8842690023333
140,2021-04-05,16:14:29,51.27,0.51,-9999,29.3429238256667,-90.8842690023333
141,2021-04-05,16:14:30,51.89,0.51,-9999,29.3429220948333,-90.8842734081667
142,2021-04-05,16:14:30,52.5,0.5,-9999,29.3429220948333,-90.8842734081667
143,2021-04-05,16:14:31,53.1,0.49,-9999,29.3429197121667,-90.8842774606667
144,2021-04-05,16:14:32,53.71,0.47,-9999,29.3429170396667,-90.8842811065
145,2021-04-05,16:14:32,54.3,0.51,-9999,29.3429170396667,-90.8842811065
146,2021-04-05,16:14:33,54.87,0.51,-9999,29.3429142033333,-90.884284363
147,2021-04-05,16:14:33,55.47,0.49,-9999,29.3429142033333,-90.884284363
148,2021-04-05,16:14:34,56.02,0.49,-9999,29.3429113135,-90.8842873656667
149,2021-04-05,16:14:35,56.6,0.49,-9999,29.3429087273333,-90.884290271
150,2021-04-05,16:14:35,57.19,0.49,-9999,29.3429087273333,-90.884290271
151,2021-04-05,16:14:36,57.72,0.48,-9999,29.3429070305,-90.8842932781667
152,2021-04-05,16:14:36,58.26,0.47,-9999,29.3429070305,-90.8842932781667
153,2021-04-05,16:14:37,58.81,0.47,-9999,29.342906272,-90.8842972656667
154,2021-04-05,16:14:38,59.28,0.46,-9999,29.34290797,-90.8843015715
