ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
298,2021-04-05,17:59:52,0,0.45,-9999,-9999,-9999
299,2021-04-05,17:59:53,0.1,0.46,-9999,-9999,-9999
300,2021-04-05,17:59:54,0.28,0.48,-9999,-9999,-9999
301,2021-04-05,17:59:54,0.52,0.52,-9999,-9999,-9999
302,2021-04-05,17:59:55,0.84,0.57,-9999,-9999,-9999
303,2021-04-05,17:59:55,1.14,0.63,-9999,-9999,-9999
304,2021-04-05,17:59:56,1.44,0.7,-9999,-9999,-9999
305,2021-04-05,17:59:57,1.7,0.76,-9999,-9999,-9999
306,2021-04-05,17:59:57,1.98,0.82,-9999,-9999,-9999
307,2021-04-05,17:59:58,2.2,0.89,-9999,-9999,-9999
308,2021-04-05,17:59:58,2.4,0.95,-9999,-9999,-9999
309,2021-04-05,17:59:59,2.57,0.99,-9999,-9999,-9999
310,2021-04-05,18:00:00,2.76,1.02,-9999,-9999,-9999
311,2021-04-05,18:00:00,2.91,1.05,-9999,-9999,-9999
312,2021-04-05,18:00:01,3.07,1.08,-9999,-9999,-9999
313,2021-04-05,18:00:01,3.22,1.1,-9999,-9999,-9999
314,2021-04-05,18:00:02,3.37,1.13,-9999,-9999,-9999
315,2021-04-05,18:00:03,3.53,1.15,-9999,-9999,-9999
316,2021-04-05,18:00:03,3.72,1.16,-9999,-9999,-9999
317,2021-04-05,18:00:04,3.93,1.18,-9999,-9999,-9999
318,2021-04-05,18:00:04,4.19,1.19,-9999,-9999,-9999
319,2021-04-05,18:00:05,4.45,1.17,-9999,-9999,-9999
320,2021-04-05,18:00:06,4.65,1.19,-9999,-9999,-9999
321,2021-04-05,18:00:06,4.83,1.2,-9999,-9999,-9999
322,2021-04-05,18:00:07,5.01,1.19,-9999,-9999,-9999
323,2021-04-05,18:00:07,5.15,1.19,-9999,-9999,-9999
324,2021-04-05,18:00:08,5.34,1.21,-9999,-9999,-9999
325,2021-04-05,18:00:09,5.48,1.21,-9999,-9999,-9999
326,2021-04-05,18:00:09,5.59,1.21,-9999,-9999,-9999
327,2021-04-05,18:00:10,5.72,1.23,-9999,-9999,-9999
328,2021-04-05,18:00:11,5.85,1.23,-9999,-9999,-9999
329,2021-04-05,18:00:11,6,1.24,-9999,-9999,-9999
330,2021-04-05,18:00:12,6.19,1.26,-9999,-9999,-9999
331,2021-04-05,18:00:12,6.44,1.26,-9999,-9999,-9999
332,2021-04-05,18:00:13,6.71,1.27,-9999,-9999,-9999
333,2021-04-05,18:00:14,7.02,1.26,-9999,-9999,-9999
334,2021-04-05,18:00:14,7.3,1.27,-9999,-9999,-9999
335,2021-04-05,18:00:15,7.59,1.27,-9999,-9999,-9999
336,2021-04-05,18:00:15,7.84,1.27,-9999,-9999,-9999
337,2021-04-05,18:00:16,8.06,1.25,-9999,-9999,-9999
338,2021-04-05,18:00:17,8.26,1.26,-9999,-9999,-9999
339,2021-04-05,18:00:17,8.45,1.26,-9999,-9999,-9999
340,2021-04-05,18:00:18,8.64,1.26,-9999,-9999,-9999
341,2021-04-05,18:00:18,8.82,1.26,-9999,-9999,-9999
342,2021-04-05,18:00:19,8.98,1.26,-9999,-9999,-9999
343,2021-04-05,18:00:20,9.19,1.25,-9999,-9999,-9999
344,2021-04-05,18:00:20,9.41,1.24,-9999,-9999,-9999
345,2021-04-05,18:00:21,9.67,1.23,-9999,-9999,-9999
346,2021-04-05,18:00:21,9.9,1.23,-9999,-9999,-9999
347,2021-04-05,18:00:22,10.12,1.21,-9999,-9999,-9999
348,2021-04-05,18:00:23,10.29,1.19,-9999,-9999,-9999
349,2021-04-05,18:00:23,10.47,1.2,-9999,-9999,-9999
350,2021-04-05,18:00:24,10.63,1.18,-9999,-9999,-9999
351,2021-04-05,18:00:24,10.79,1.18,-9999,-9999,-9999
352,2021-04-05,18:00:25,10.93,1.18,-9999,-9999,-9999
353,2021-04-05,18:00:25,11.07,1.16,-9999,-9999,-9999
354,2021-04-05,18:00:26,11.23,1.15,-9999,-9999,-9999
355,2021-04-05,18:00:27,11.42,1.16,-9999,-9999,-9999
356,2021-04-05,18:00:27,11.65,1.13,-9999,-9999,-9999
357,2021-04-05,18:00:28,11.93,1.11,-9999,-9999,-9999
358,2021-04-05,18:00:28,12.18,1.07,-9999,-9999,-9999
359,2021-04-05,18:00:29,12.41,1.03,-9999,-9999,-9999
360,2021-04-05,18:00:29,12.58,0.99,-9999,-9999,-9999
361,2021-04-05,18:00:30,12.83,0.97,-9999,-9999,-9999
362,2021-04-05,18:00:31,12.99,0.96,-9999,-9999,-9999
363,2021-04-05,18:00:31,13.11,0.93,-9999,-9999,-9999
364,2021-04-05,18:00:32,13.23,0.91,-9999,-9999,-9999
365,2021-04-05,18:00:32,13.34,0.88,-9999,-9999,-9999
366,2021-04-05,18:00:33,13.44,0.87,-9999,-9999,-9999
367,2021-04-05,18:00:33,13.54,0.83,-9999,-9999,-9999
368,2021-04-05,18:00:34,13.65,0.83,-9999,-9999,-9999
369,2021-04-05,18:00:35,13.75,0.76,-9999,-9999,-9999
370,2021-04-05,18:00:35,13.88,0.79,-9999,-9999,-9999
371,2021-04-05,18:00:36,14.02,0.76,-9999,-9999,-9999
372,2021-04-05,18:00:36,14.21,0.69,-9999,-9999,-9999
373,2021-04-05,18:00:37,14.38,0.71,-9999,-9999,-9999
374,2021-04-05,18:00:37,14.57,0.67,-9999,-9999,-9999
375,2021-04-05,18:00:38,14.75,0.63,-9999,-9999,-9999
376,2021-04-05,18:00:38,14.92,0.61,-9999,-9999,-9999
377,2021-04-05,18:00:39,15.08,0.59,-9999,-9999,-9999
378,2021-04-05,18:00:39,15.22,0.55,-9999,-9999,-9999
379,2021-04-05,18:00:40,15.35,0.52,-9999,-9999,-9999
380,2021-04-05,18:00:40,15.47,0.49,-9999,-9999,-9999
381,2021-04-05,18:00:41,15.6,0.47,-9999,-9999,-9999
382,2021-04-05,18:00:41,15.73,0.45,-9999,-9999,-9999
383,2021-04-05,18:00:42,15.84,0.43,-9999,-9999,-9999
384,2021-04-05,18:00:43,15.92,0.41,-9999,-9999,-9999
385,2021-04-05,18:00:43,15.98,0.39,-9999,-9999,-9999
386,2021-04-05,18:00:44,16.01,0.4,-9999,-9999,-9999
387,2021-04-05,18:00:44,16.05,0.4,-9999,-9999,-9999
