ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
522,2021-04-06,14:01:17,0,0.85,-9999,-9999,-9999
523,2021-04-06,14:01:17,0.24,0.83,-9999,-9999,-9999
524,2021-04-06,14:01:18,0.45,0.84,-9999,-9999,-9999
525,2021-04-06,14:01:18,0.65,0.84,-9999,-9999,-9999
526,2021-04-06,14:01:19,0.85,0.84,-9999,-9999,-9999
527,2021-04-06,14:01:19,1.04,0.83,-9999,-9999,-9999
528,2021-04-06,14:01:20,1.28,0.83,-9999,-9999,-9999
529,2021-04-06,14:01:21,1.54,0.82,-9999,-9999,-9999
530,2021-04-06,14:01:21,1.74,0.83,-9999,-9999,-9999
531,2021-04-06,14:01:22,1.94,0.82,-9999,-9999,-9999
532,2021-04-06,14:01:22,2.12,0.8,-9999,-9999,-9999
533,2021-04-06,14:01:23,2.28,0.82,-9999,-9999,-9999
534,2021-04-06,14:01:23,2.52,0.81,-9999,-9999,-9999
535,2021-04-06,14:01:24,2.72,0.82,-9999,-9999,-9999
536,2021-04-06,14:01:24,2.96,0.84,-9999,-9999,-9999
537,2021-04-06,14:01:25,3.22,0.82,-9999,-9999,-9999
538,2021-04-06,14:01:26,3.45,0.84,-9999,-9999,-9999
539,2021-04-06,14:01:26,3.69,0.84,-9999,-9999,-9999
540,2021-04-06,14:01:27,3.9,0.86,-9999,-9999,-9999
541,2021-04-06,14:01:27,4.1,0.87,-9999,-9999,-9999
542,2021-04-06,14:01:28,4.31,0.88,-9999,-9999,-9999
543,2021-04-06,14:01:28,4.53,0.89,-9999,-9999,-9999
544,2021-04-06,14:01:29,4.75,0.91,-9999,-9999,-9999
545,2021-04-06,14:01:29,4.95,0.92,-9999,-9999,-9999
546,2021-04-06,14:01:30,5.16,0.91,-9999,-9999,-9999
547,2021-04-06,14:01:30,5.4,0.94,-9999,-9999,-9999
548,2021-04-06,14:01:31,5.57,0.94,-9999,-9999,-9999
549,2021-04-06,14:01:31,5.78,0.95,-9999,-9999,-9999
550,2021-04-06,14:01:32,5.97,0.96,-9999,-9999,-9999
551,2021-04-06,14:01:32,6.17,0.98,-9999,-9999,-9999
552,2021-04-06,14:01:33,6.3,1.01,-9999,-9999,-9999
553,2021-04-06,14:01:33,6.5,1.02,-9999,-9999,-9999
554,2021-04-06,14:01:34,6.68,1.07,-9999,-9999,-9999
555,2021-04-06,14:01:34,6.85,1.11,-9999,-9999,-9999
556,2021-04-06,14:01:35,7.03,1.09,-9999,-9999,-9999
557,2021-04-06,14:01:35,7.26,1.19,-9999,-9999,-9999
558,2021-04-06,14:01:36,7.41,1.41,-9999,-9999,-9999
559,2021-04-06,14:01:37,7.41,1.6,-9999,-9999,-9999
560,2021-04-06,14:01:37,7.78,2.02,-9999,-9999,-9999
561,2021-04-06,14:01:38,7.99,2.51,-9999,-9999,-9999
562,2021-04-06,14:01:39,8.22,2.6,-9999,-9999,-9999
563,2021-04-06,14:01:39,8.42,2.8,-9999,-9999,-9999
564,2021-04-06,14:01:40,8.6,2.94,-9999,-9999,-9999
565,2021-04-06,14:01:41,8.78,3.07,-9999,-9999,-9999
566,2021-04-06,14:01:41,8.95,3.13,-9999,-9999,-9999
567,2021-04-06,14:01:42,9.14,3.25,-9999,-9999,-9999
568,2021-04-06,14:01:42,9.33,3.31,-9999,-9999,-9999
569,2021-04-06,14:01:43,9.64,3.38,-9999,-9999,-9999
570,2021-04-06,14:01:44,9.93,3.52,-9999,-9999,-9999
571,2021-04-06,14:01:44,10.26,3.52,-9999,-9999,-9999
572,2021-04-06,14:01:45,10.66,3.66,-9999,-9999,-9999
573,2021-04-06,14:01:46,11.19,3.71,-9999,-9999,-9999
574,2021-04-06,14:01:47,11.76,3.86,-9999,-9999,-9999
575,2021-04-06,14:01:47,12.21,3.95,-9999,-9999,-9999
576,2021-04-06,14:01:48,12.67,4.01,-9999,-9999,-9999
577,2021-04-06,14:01:48,13.17,4.05,-9999,-9999,-9999
578,2021-04-06,14:01:49,13.71,4.03,-9999,-9999,-9999
579,2021-04-06,14:01:50,14.32,4.12,-9999,-9999,-9999
580,2021-04-06,14:01:50,14.92,4.13,-9999,-9999,-9999
581,2021-04-06,14:01:51,15.6,4.13,-9999,-9999,-9999
582,2021-04-06,14:01:52,16.28,4.24,-9999,-9999,-9999
583,2021-04-06,14:01:52,17.01,4.28,-9999,-9999,-9999
584,2021-04-06,14:01:53,17.73,4.47,-9999,-9999,-9999
585,2021-04-06,14:01:54,18.54,4.67,-9999,-9999,-9999
586,2021-04-06,14:01:54,19.31,4.86,-9999,-9999,-9999
587,2021-04-06,14:01:55,20.15,5.08,-9999,-9999,-9999
588,2021-04-06,14:01:56,20.98,5.34,-9999,-9999,-9999
589,2021-04-06,14:01:56,21.88,5.56,-9999,-9999,-9999
590,2021-04-06,14:01:57,22.74,5.76,-9999,-9999,-9999
591,2021-04-06,14:01:58,23.68,5.96,-9999,-9999,-9999
592,2021-04-06,14:01:58,24.59,6.05,-9999,-9999,-9999
593,2021-04-06,14:01:59,25.59,6.23,-9999,-9999,-9999
594,2021-04-06,14:02:00,26.58,6.36,-9999,-9999,-9999
595,2021-04-06,14:02:01,27.72,6.45,-9999,-9999,-9999
596,2021-04-06,14:02:01,28.85,6.54,-9999,-9999,-9999
597,2021-04-06,14:02:02,29.97,6.63,-9999,-9999,-9999
598,2021-04-06,14:02:03,30.84,6.8,-9999,-9999,-9999
599,2021-04-06,14:02:04,31.94,6.88,-9999,-9999,-9999
600,2021-04-06,14:02:04,32.78,6.98,-9999,-9999,-9999
601,2021-04-06,14:02:05,33.63,7.09,-9999,-9999,-9999
602,2021-04-06,14:02:05,34.52,7.16,-9999,-9999,-9999
603,2021-04-06,14:02:06,35.38,7.31,-9999,-9999,-9999
604,2021-04-06,14:02:07,36.26,7.41,-9999,-9999,-9999
605,2021-04-06,14:02:07,37.11,7.52,-9999,-9999,-9999
606,2021-04-06,14:02:08,38.02,7.73,-9999,-9999,-9999
607,2021-04-06,14:02:09,39.17,7.87,-9999,-9999,-9999
608,2021-04-06,14:02:09,40.07,8.05,-9999,-9999,-9999
609,2021-04-06,14:02:10,40.96,8.17,-9999,-9999,-9999
610,2021-04-06,14:02:11,41.88,8.37,-9999,-9999,-9999
611,2021-04-06,14:02:11,42.77,8.45,-9999,-9999,-9999
612,2021-04-06,14:02:12,43.69,8.68,-9999,-9999,-9999
613,2021-04-06,14:02:12,44.64,8.81,-9999,-9999,-9999
614,2021-04-06,14:02:13,45.6,8.96,-9999,-9999,-9999
615,2021-04-06,14:02:14,46.51,9.08,-9999,-9999,-9999
616,2021-04-06,14:02:14,47.55,9.2,-9999,-9999,-9999
617,2021-04-06,14:02:15,48.54,9.33,-9999,-9999,-9999
618,2021-04-06,14:02:16,49.56,9.46,-9999,-9999,-9999
619,2021-04-06,14:02:17,50.56,9.57,-9999,-9999,-9999
620,2021-04-06,14:02:17,51.49,9.04,-9999,-9999,-9999
621,2021-04-06,14:02:18,52.51,10.46,-9999,-9999,-9999
622,2021-04-06,14:02:19,53.43,10.8,-9999,-9999,-9999
623,2021-04-06,14:02:19,54.53,11.03,-9999,-9999,-9999
624,2021-04-06,14:02:20,55.66,11.24,-9999,-9999,-9999
625,2021-04-06,14:02:21,56.74,11.82,-9999,-9999,-9999
626,2021-04-06,14:02:22,57.93,12.18,-9999,-9999,-9999
627,2021-04-06,14:02:22,59.16,12.5,-9999,-9999,-9999
628,2021-04-06,14:02:23,60.38,12.88,-9999,-9999,-9999
629,2021-04-06,14:02:24,61.65,13.07,-9999,-9999,-9999
630,2021-04-06,14:02:25,62.94,13.18,-9999,-9999,-9999
631,2021-04-06,14:02:26,64.52,13.35,-9999,-9999,-9999
632,2021-04-06,14:02:27,65.79,13.45,-9999,-9999,-9999
633,2021-04-06,14:02:28,67.11,13.52,-9999,-9999,-9999
634,2021-04-06,14:02:29,68.41,13.59,-9999,-9999,-9999
635,2021-04-06,14:02:30,69.75,13.66,-9999,-9999,-9999
636,2021-04-06,14:02:30,71.11,13.72,-9999,-9999,-9999
637,2021-04-06,14:02:31,72.45,13.71,-9999,-9999,-9999
638,2021-04-06,14:02:32,73.84,13.81,-9999,-9999,-9999
639,2021-04-06,14:02:33,75.21,13.86,-9999,-9999,-9999
640,2021-04-06,14:02:34,76.56,13.9,-9999,-9999,-9999
641,2021-04-06,14:02:35,77.92,13.92,-9999,-9999,-9999
642,2021-04-06,14:02:36,79.24,13.92,-9999,-9999,-9999
643,2021-04-06,14:02:37,80.58,13.94,-9999,-9999,-9999
644,2021-04-06,14:02:38,81.94,14.04,-9999,-9999,-9999
645,2021-04-06,14:02:39,83.29,14.15,-9999,-9999,-9999
646,2021-04-06,14:02:40,84.67,14.22,-9999,-9999,-9999
647,2021-04-06,14:02:41,86.04,14.3,-9999,-9999,-9999
648,2021-04-06,14:02:41,87.42,14.31,-9999,-9999,-9999
649,2021-04-06,14:02:42,88.79,14.33,-9999,-9999,-9999
650,2021-04-06,14:02:43,90.16,14.41,-9999,-9999,-9999
651,2021-04-06,14:02:44,91.53,14.53,-9999,-9999,-9999
652,2021-04-06,14:02:45,92.9,14.57,-9999,-9999,-9999
653,2021-04-06,14:02:46,94.28,14.65,-9999,-9999,-9999
654,2021-04-06,14:02:47,95.69,14.62,-9999,-9999,-9999
655,2021-04-06,14:02:48,97.14,14.72,-9999,-9999,-9999
656,2021-04-06,14:02:49,98.58,14.74,-9999,-9999,-9999
657,2021-04-06,14:02:50,100.03,14.85,-9999,-9999,-9999
658,2021-04-06,14:02:51,101.46,14.95,-9999,-9999,-9999
659,2021-04-06,14:02:52,102.88,14.98,-9999,-9999,-9999
660,2021-04-06,14:02:53,104.3,15.09,-9999,-9999,-9999
661,2021-04-06,14:02:54,105.71,15,-9999,-9999,-9999
662,2021-04-06,14:02:55,107.14,15.15,-9999,-9999,-9999
663,2021-04-06,14:02:56,108.58,15.11,-9999,-9999,-9999
664,2021-04-06,14:02:57,110.03,15.17,-9999,-9999,-9999
665,2021-04-06,14:02:58,111.48,15.14,-9999,-9999,-9999
666,2021-04-06,14:02:59,112.94,15.23,-9999,-9999,-9999
667,2021-04-06,14:03:00,114.4,15.21,-9999,-9999,-9999
668,2021-04-06,14:03:01,115.85,15.28,-9999,-9999,-9999
669,2021-04-06,14:03:02,117.32,15.33,-9999,-9999,-9999
670,2021-04-06,14:03:03,118.8,15.34,-9999,-9999,-9999
671,2021-04-06,14:03:03,120.26,15.43,-9999,-9999,-9999
672,2021-04-06,14:03:04,121.73,15.43,-9999,-9999,-9999
673,2021-04-06,14:03:05,123.19,15.49,-9999,-9999,-9999
674,2021-04-06,14:03:06,124.65,15.51,-9999,-9999,-9999
675,2021-04-06,14:03:07,126.1,15.62,-9999,-9999,-9999
676,2021-04-06,14:03:08,127.37,15.63,-9999,-9999,-9999
677,2021-04-06,14:03:09,128.7,15.66,-9999,-9999,-9999
678,2021-04-06,14:03:10,130,15.6,-9999,-9999,-9999
679,2021-04-06,14:03:11,131.28,15.61,-9999,-9999,-9999
680,2021-04-06,14:03:12,132.57,15.55,-9999,-9999,-9999
681,2021-04-06,14:03:13,133.86,15.52,-9999,-9999,-9999
682,2021-04-06,14:03:13,135.18,15.51,-9999,-9999,-9999
683,2021-04-06,14:03:14,136.52,15.47,-9999,-9999,-9999
684,2021-04-06,14:03:15,138.03,15.39,-9999,-9999,-9999
685,2021-04-06,14:03:16,139.5,15.22,-9999,-9999,-9999
686,2021-04-06,14:03:17,140.93,15.1,-9999,-9999,-9999
687,2021-04-06,14:03:18,142.41,15,-9999,-9999,-9999
688,2021-04-06,14:03:19,143.88,14.85,-9999,-9999,-9999
689,2021-04-06,14:03:20,145.26,14.61,-9999,-9999,-9999
690,2021-04-06,14:03:21,146.74,14.5,-9999,-9999,-9999
691,2021-04-06,14:03:22,148.16,14.31,-9999,-9999,-9999
692,2021-04-06,14:03:23,149.56,14.21,-9999,-9999,-9999
693,2021-04-06,14:03:24,150.97,14.06,-9999,-9999,-9999
694,2021-04-06,14:03:25,152.36,13.85,-9999,-9999,-9999
695,2021-04-06,14:03:26,153.74,13.67,-9999,-9999,-9999
696,2021-04-06,14:03:27,155.16,13.59,-9999,-9999,-9999
697,2021-04-06,14:03:28,156.53,13.49,-9999,-9999,-9999
698,2021-04-06,14:03:29,157.9,13.37,-9999,-9999,-9999
699,2021-04-06,14:03:29,159.25,13.28,-9999,-9999,-9999
700,2021-04-06,14:03:30,160.6,13.14,-9999,-9999,-9999
701,2021-04-06,14:03:31,161.92,13.02,-9999,-9999,-9999
702,2021-04-06,14:03:32,163.25,12.98,-9999,-9999,-9999
703,2021-04-06,14:03:33,164.57,12.86,-9999,-9999,-9999
704,2021-04-06,14:03:34,165.85,12.73,-9999,-9999,-9999
705,2021-04-06,14:03:35,167.11,12.58,-9999,-9999,-9999
706,2021-04-06,14:03:36,168.4,12.46,-9999,-9999,-9999
707,2021-04-06,14:03:36,169.66,12.29,-9999,-9999,-9999
708,2021-04-06,14:03:37,170.92,12.1,-9999,-9999,-9999
709,2021-04-06,14:03:38,172.15,11.95,-9999,-9999,-9999
710,2021-04-06,14:03:39,173.43,11.81,-9999,-9999,-9999
711,2021-04-06,14:03:40,174.65,11.65,-9999,-9999,-9999
712,2021-04-06,14:03:41,175.86,11.45,-9999,-9999,-9999
713,2021-04-06,14:03:42,177.12,11.33,-9999,-9999,-9999
714,2021-04-06,14:03:42,178.37,11.16,-9999,-9999,-9999
715,2021-04-06,14:03:43,179.56,11,-9999,-9999,-9999
716,2021-04-06,14:03:44,180.77,10.71,-9999,-9999,-9999
717,2021-04-06,14:03:45,181.99,10.45,-9999,-9999,-9999
718,2021-04-06,14:03:46,183.17,10.28,-9999,-9999,-9999
719,2021-04-06,14:03:46,184.33,10.1,-9999,-9999,-9999
720,2021-04-06,14:03:47,185.45,9.95,-9999,-9999,-9999
721,2021-04-06,14:03:48,186.52,9.64,-9999,-9999,-9999
722,2021-04-06,14:03:48,187.6,9.45,-9999,-9999,-9999
723,2021-04-06,14:03:49,188.65,9.23,-9999,-9999,-9999
724,2021-04-06,14:03:50,189.71,9.1,-9999,-9999,-9999
725,2021-04-06,14:03:50,190.74,8.95,-9999,-9999,-9999
726,2021-04-06,14:03:51,191.78,8.8,-9999,-9999,-9999
727,2021-04-06,14:03:52,192.8,8.62,-9999,-9999,-9999
728,2021-04-06,14:03:53,193.86,8.45,-9999,-9999,-9999
729,2021-04-06,14:03:53,194.84,8.26,-9999,-9999,-9999
730,2021-04-06,14:03:54,195.87,8.1,-9999,-9999,-9999
731,2021-04-06,14:03:54,196.81,7.95,-9999,-9999,-9999
732,2021-04-06,14:03:55,197.83,7.79,-9999,-9999,-9999
733,2021-04-06,14:03:56,198.76,7.62,-9999,-9999,-9999
734,2021-04-06,14:03:56,199.71,7.45,-9999,-9999,-9999
735,2021-04-06,14:03:57,200.63,7.29,-9999,-9999,-9999
736,2021-04-06,14:03:58,201.62,7.15,-9999,-9999,-9999
737,2021-04-06,14:03:58,202.53,6.98,-9999,-9999,-9999
738,2021-04-06,14:03:59,203.47,6.83,-9999,-9999,-9999
739,2021-04-06,14:03:59,204.36,6.64,-9999,-9999,-9999
740,2021-04-06,14:04:00,205.33,6.48,-9999,-9999,-9999
741,2021-04-06,14:04:01,206.22,6.27,-9999,-9999,-9999
742,2021-04-06,14:04:01,207.43,6.08,-9999,-9999,-9999
743,2021-04-06,14:04:02,208.62,5.82,-9999,-9999,-9999
744,2021-04-06,14:04:03,209.8,5.57,-9999,-9999,-9999
745,2021-04-06,14:04:04,210.95,5.2,-9999,-9999,-9999
746,2021-04-06,14:04:04,212.03,4.91,-9999,-9999,-9999
747,2021-04-06,14:04:05,213.07,4.56,-9999,-9999,-9999
748,2021-04-06,14:04:06,214.1,4.16,-9999,-9999,-9999
749,2021-04-06,14:04:06,215.12,3.83,-9999,-9999,-9999
750,2021-04-06,14:04:07,216,3.53,-9999,-9999,-9999
751,2021-04-06,14:04:08,216.86,3.3,-9999,-9999,-9999
752,2021-04-06,14:04:08,217.78,3.15,-9999,-9999,-9999
753,2021-04-06,14:04:09,218.7,3.09,-9999,-9999,-9999
754,2021-04-06,14:04:10,219.54,3.06,-9999,-9999,-9999
755,2021-04-06,14:04:11,220.42,3.03,-9999,-9999,-9999
756,2021-04-06,14:04:11,221.26,2.9,-9999,-9999,-9999
757,2021-04-06,14:04:12,222.04,2.78,-9999,-9999,-9999
758,2021-04-06,14:04:13,222.94,2.64,-9999,-9999,-9999
759,2021-04-06,14:04:13,223.65,2.55,-9999,-9999,-9999
760,2021-04-06,14:04:14,224.24,2.5,-9999,-9999,-9999
761,2021-04-06,14:04:15,224.97,2.41,-9999,-9999,-9999
762,2021-04-06,14:04:15,225.65,2.37,-9999,-9999,-9999
763,2021-04-06,14:04:16,226.36,2.27,-9999,-9999,-9999
764,2021-04-06,14:04:17,227.02,2.19,-9999,-9999,-9999
765,2021-04-06,14:04:17,227.69,2.09,-9999,-9999,-9999
766,2021-04-06,14:04:18,228.28,2.07,-9999,-9999,-9999
767,2021-04-06,14:04:19,228.89,2.04,-9999,-9999,-9999
768,2021-04-06,14:04:19,229.46,2.07,-9999,-9999,-9999
769,2021-04-06,14:04:20,230.04,2.09,-9999,-9999,-9999
770,2021-04-06,14:04:21,230.61,2.11,-9999,-9999,-9999
771,2021-04-06,14:04:21,231.21,2.1,-9999,-9999,-9999
772,2021-04-06,14:04:22,231.78,2.1,-9999,-9999,-9999
773,2021-04-06,14:04:23,232.39,2.07,-9999,-9999,-9999
774,2021-04-06,14:04:23,232.97,2.03,-9999,-9999,-9999
775,2021-04-06,14:04:24,233.36,2.01,-9999,-9999,-9999
776,2021-04-06,14:04:24,233.98,1.96,-9999,-9999,-9999
777,2021-04-06,14:04:25,234.59,1.96,-9999,-9999,-9999
778,2021-04-06,14:04:26,235.21,1.93,-9999,-9999,-9999
779,2021-04-06,14:04:26,235.85,1.92,-9999,-9999,-9999
780,2021-04-06,14:04:27,236.48,1.89,-9999,-9999,-9999
781,2021-04-06,14:04:27,237.12,1.88,-9999,-9999,-9999
782,2021-04-06,14:04:28,237.73,1.84,-9999,-9999,-9999
783,2021-04-06,14:04:29,238.39,1.8,-9999,-9999,-9999
784,2021-04-06,14:04:29,239.02,1.78,-9999,-9999,-9999
785,2021-04-06,14:04:30,239.69,1.74,-9999,-9999,-9999
786,2021-04-06,14:04:31,240.31,1.7,-9999,-9999,-9999
787,2021-04-06,14:04:31,240.95,1.68,-9999,-9999,-9999
788,2021-04-06,14:04:32,241.54,1.65,-9999,-9999,-9999
789,2021-04-06,14:04:33,242.18,1.62,-9999,-9999,-9999
790,2021-04-06,14:04:33,242.79,1.59,-9999,-9999,-9999
791,2021-04-06,14:04:34,243.41,1.58,-9999,-9999,-9999
792,2021-04-06,14:04:34,244.04,1.53,-9999,-9999,-9999
793,2021-04-06,14:04:35,244.66,1.52,-9999,-9999,-9999
794,2021-04-06,14:04:35,245.23,1.49,-9999,-9999,-9999
795,2021-04-06,14:04:36,245.83,1.45,-9999,-9999,-9999
