ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
2140,2021-04-06,14:56:59,0,0.72,-9999,29.1937374656667,-90.8206979601667
2141,2021-04-06,14:57:00,0.13,0.72,-9999,29.1937395338333,-90.820700185
2142,2021-04-06,14:57:00,0.28,0.72,-9999,29.1937395338333,-90.820700185
2143,2021-04-06,14:57:01,0.41,0.73,-9999,29.1937412886667,-90.820702069
2144,2021-04-06,14:57:01,0.57,0.76,-9999,29.1937412886667,-90.820702069
2145,2021-04-06,14:57:02,0.72,0.8,-9999,29.1937434113333,-90.8207038091667
2146,2021-04-06,14:57:03,0.87,0.84,-9999,29.1937453096667,-90.8207054086667
2147,2021-04-06,14:57:03,1.01,0.9,-9999,29.1937453096667,-90.8207054086667
2148,2021-04-06,14:57:04,1.2,0.95,-9999,29.1937475266667,-90.8207069978333
2149,2021-04-06,14:57:04,1.37,0.94,-9999,29.1937475266667,-90.8207069978333
2150,2021-04-06,14:57:05,1.53,0.98,-9999,29.1937495663333,-90.8207083708333
2151,2021-04-06,14:57:05,1.71,1.01,-9999,29.1937495663333,-90.8207083708333
2152,2021-04-06,14:57:06,1.86,1.04,-9999,29.1937518575,-90.8207091175
2153,2021-04-06,14:57:07,2.06,1.03,-9999,29.193754151,-90.8207094291667
2154,2021-04-06,14:57:07,2.19,1.03,-9999,29.193754151,-90.8207094291667
2155,2021-04-06,14:57:08,2.36,1.04,-9999,29.1937567148333,-90.8207091506667
2156,2021-04-06,14:57:08,2.51,1,-9999,29.1937567148333,-90.8207091506667
2157,2021-04-06,14:57:09,2.7,1.01,-9999,29.1937594278333,-90.8207085958333
2158,2021-04-06,14:57:09,2.87,1.03,-9999,29.1937594278333,-90.8207085958333
2159,2021-04-06,14:57:10,3.06,1.03,-9999,29.1937623668333,-90.8207080448333
2160,2021-04-06,14:57:10,3.29,1.03,-9999,29.1937623668333,-90.8207080448333
2161,2021-04-06,14:57:11,3.46,1.04,-9999,29.1937650145,-90.8207076171667
2162,2021-04-06,14:57:11,3.61,1.04,-9999,29.1937650145,-90.8207076171667
2163,2021-04-06,14:57:12,3.86,1.06,-9999,29.1937671338333,-90.820708015
2164,2021-04-06,14:57:12,4.07,1.05,-9999,29.1937671338333,-90.820708015
2165,2021-04-06,14:57:13,4.43,1.06,-9999,29.1937687686667,-90.8207085221667
2166,2021-04-06,14:57:14,4.64,1.06,-9999,29.1937699546667,-90.8207093338333
2167,2021-04-06,14:57:14,4.86,1.05,-9999,29.1937699546667,-90.8207093338333
2168,2021-04-06,14:57:15,5.07,1.04,-9999,29.1937706333333,-90.8207106181667
2169,2021-04-06,14:57:15,5.27,1.04,-9999,29.1937706333333,-90.8207106181667
2170,2021-04-06,14:57:16,5.43,1.04,-9999,29.1937709956667,-90.8207118853333
2171,2021-04-06,14:57:16,5.62,1.03,-9999,29.1937709956667,-90.8207118853333
2172,2021-04-06,14:57:17,5.79,1.03,-9999,29.1937709165,-90.8207135433333
2173,2021-04-06,14:57:18,5.98,1.03,-9999,29.1937712385,-90.8207152265
2174,2021-04-06,14:57:18,6.14,1.01,-9999,29.1937712385,-90.8207152265
2175,2021-04-06,14:57:19,6.37,1.01,-9999,29.193771954,-90.820716812
2176,2021-04-06,14:57:19,6.53,1.02,-9999,29.193771954,-90.820716812
2177,2021-04-06,14:57:20,6.79,1.01,-9999,29.1937728383333,-90.8207186545
2178,2021-04-06,14:57:20,6.95,1.01,-9999,29.1937728383333,-90.8207186545
2179,2021-04-06,14:57:21,7.13,1.01,-9999,29.1937740146667,-90.8207202976667
2180,2021-04-06,14:57:22,7.26,1,-9999,29.1937753796667,-90.8207221131667
2181,2021-04-06,14:57:22,7.43,1,-9999,29.1937753796667,-90.8207221131667
2182,2021-04-06,14:57:23,7.6,1.01,-9999,29.1937768841667,-90.8207240056667
2183,2021-04-06,14:57:23,7.83,1,-9999,29.1937768841667,-90.8207240056667
2184,2021-04-06,14:57:24,7.96,1.01,-9999,29.193778857,-90.8207257748333
2185,2021-04-06,14:57:24,8.11,1.02,-9999,29.193778857,-90.8207257748333
2186,2021-04-06,14:57:25,8.23,1.01,-9999,29.1937807673333,-90.820727764
2187,2021-04-06,14:57:25,8.43,1,-9999,29.1937807673333,-90.820727764
2188,2021-04-06,14:57:26,8.63,1.02,-9999,29.193782906,-90.8207299468333
2189,2021-04-06,14:57:27,8.83,1,-9999,29.1937854135,-90.8207323903333
2190,2021-04-06,14:57:27,9.03,0.97,-9999,29.1937854135,-90.8207323903333
2191,2021-04-06,14:57:28,9.17,0.98,-9999,29.1937878143333,-90.8207350183333
2192,2021-04-06,14:57:28,9.36,0.95,-9999,29.1937878143333,-90.8207350183333
2193,2021-04-06,14:57:29,9.53,0.94,-9999,29.19379014,-90.8207380256667
2194,2021-04-06,14:57:29,9.65,0.98,-9999,29.19379014,-90.8207380256667
2195,2021-04-06,14:57:30,9.77,0.95,-9999,29.1937925123333,-90.8207414713333
2196,2021-04-06,14:57:30,9.91,0.96,-9999,29.1937925123333,-90.8207414713333
2197,2021-04-06,14:57:31,10,0.96,-9999,29.1937945698333,-90.8207451445
2198,2021-04-06,14:57:31,10.09,0.94,-9999,29.1937945698333,-90.8207451445
2199,2021-04-06,14:57:32,10.18,0.96,-9999,29.1937963355,-90.8207487413333
2200,2021-04-06,14:57:33,10.26,0.95,-9999,29.1937963355,-90.8207487413333
2201,2021-04-06,14:57:33,10.34,0.93,-9999,29.1937963355,-90.8207487413333
2202,2021-04-06,14:57:34,10.41,0.94,-9999,29.1937963355,-90.8207487413333
2203,2021-04-06,14:57:34,10.47,0.96,-9999,29.1937963355,-90.8207487413333
2204,2021-04-06,14:57:35,10.57,0.94,-9999,29.1937963355,-90.8207487413333
2205,2021-04-06,14:57:35,10.68,0.96,-9999,29.1937963355,-90.8207487413333
2206,2021-04-06,14:57:36,10.77,0.95,-9999,29.1937963355,-90.8207487413333
2207,2021-04-06,14:57:36,10.93,0.94,-9999,29.1937963355,-90.8207487413333
2208,2021-04-06,14:57:37,11,0.95,-9999,29.1937963355,-90.8207487413333
2209,2021-04-06,14:57:37,11.13,0.96,-9999,29.1937963355,-90.8207487413333
2210,2021-04-06,14:57:38,11.24,0.95,-9999,29.1937963355,-90.8207487413333
2211,2021-04-06,14:57:39,11.35,0.95,-9999,29.1937963355,-90.8207487413333
2212,2021-04-06,14:57:39,11.48,0.97,-9999,29.1937963355,-90.8207487413333
