ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
976,2021-04-06,19:41:45,0,0.96,-9999,-9999,-9999
977,2021-04-06,19:41:46,0.31,0.98,-9999,-9999,-9999
978,2021-04-06,19:41:46,0.65,0.99,-9999,-9999,-9999
979,2021-04-06,19:41:47,0.95,1,-9999,-9999,-9999
980,2021-04-06,19:41:47,1.34,1,-9999,-9999,-9999
981,2021-04-06,19:41:48,1.71,1.01,-9999,-9999,-9999
982,2021-04-06,19:41:48,2.12,1.01,-9999,-9999,-9999
983,2021-04-06,19:41:49,2.5,1.02,-9999,-9999,-9999
984,2021-04-06,19:41:49,2.93,1.02,-9999,-9999,-9999
985,2021-04-06,19:41:50,3.34,1.02,-9999,-9999,-9999
986,2021-04-06,19:41:50,3.78,1.03,-9999,-9999,-9999
987,2021-04-06,19:41:51,4.2,1.03,-9999,-9999,-9999
988,2021-04-06,19:41:51,4.67,1.04,-9999,-9999,-9999
989,2021-04-06,19:41:52,5.08,1.03,-9999,-9999,-9999
990,2021-04-06,19:41:52,5.55,1.04,-9999,-9999,-9999
991,2021-04-06,19:41:53,6,1.04,-9999,-9999,-9999
992,2021-04-06,19:41:53,6.5,1.06,-9999,-9999,-9999
993,2021-04-06,19:41:54,6.99,1.04,-9999,-9999,-9999
994,2021-04-06,19:41:54,7.51,1.04,-9999,-9999,-9999
995,2021-04-06,19:41:55,8.01,1.05,-9999,-9999,-9999
996,2021-04-06,19:41:55,8.57,1.05,-9999,-9999,-9999
997,2021-04-06,19:41:56,9.06,1.06,-9999,-9999,-9999
998,2021-04-06,19:41:56,9.62,1.06,-9999,-9999,-9999
999,2021-04-06,19:41:57,10.15,1.06,-9999,-9999,-9999
1000,2021-04-06,19:41:58,10.94,1.07,-9999,-9999,-9999
1001,2021-04-06,19:41:58,11.44,1.07,-9999,-9999,-9999
1002,2021-04-06,19:41:59,12.03,1.06,-9999,-9999,-9999
1003,2021-04-06,19:41:59,12.58,1.07,-9999,-9999,-9999
1004,2021-04-06,19:42:00,13.17,1.06,-9999,-9999,-9999
1005,2021-04-06,19:42:00,13.73,1.07,-9999,-9999,-9999
1006,2021-04-06,19:42:01,14.33,1.07,-9999,-9999,-9999
1007,2021-04-06,19:42:01,14.89,1.08,-9999,-9999,-9999
1008,2021-04-06,19:42:02,15.52,1.07,-9999,-9999,-9999
1009,2021-04-06,19:42:02,16.1,1.07,-9999,-9999,-9999
1010,2021-04-06,19:42:03,16.72,1.09,-9999,-9999,-9999
1011,2021-04-06,19:42:03,17.3,1.08,-9999,-9999,-9999
1012,2021-04-06,19:42:04,17.94,1.08,-9999,-9999,-9999
1013,2021-04-06,19:42:04,18.54,1.09,-9999,-9999,-9999
1014,2021-04-06,19:42:05,19.18,1.09,-9999,-9999,-9999
1015,2021-04-06,19:42:05,19.78,1.09,-9999,-9999,-9999
1016,2021-04-06,19:42:06,20.42,1.1,-9999,-9999,-9999
1017,2021-04-06,19:42:06,21.03,1.09,-9999,-9999,-9999
1018,2021-04-06,19:42:07,21.68,1.09,-9999,-9999,-9999
1019,2021-04-06,19:42:08,22.56,1.11,-9999,-9999,-9999
1020,2021-04-06,19:42:08,23.23,1.1,-9999,-9999,-9999
1021,2021-04-06,19:42:09,23.89,1.11,-9999,-9999,-9999
1022,2021-04-06,19:42:09,24.6,1.1,-9999,-9999,-9999
1023,2021-04-06,19:42:10,25.22,1.1,-9999,-9999,-9999
1024,2021-04-06,19:42:10,25.92,1.11,-9999,-9999,-9999
1025,2021-04-06,19:42:11,26.58,1.11,-9999,-9999,-9999
1026,2021-04-06,19:42:11,27.29,1.11,-9999,-9999,-9999
1027,2021-04-06,19:42:12,27.96,1.13,-9999,-9999,-9999
1028,2021-04-06,19:42:12,28.67,1.15,-9999,-9999,-9999
1029,2021-04-06,19:42:13,29.35,1.15,-9999,-9999,-9999
1030,2021-04-06,19:42:13,30.08,1.15,-9999,-9999,-9999
1031,2021-04-06,19:42:14,30.76,1.15,-9999,-9999,-9999
1032,2021-04-06,19:42:15,31.76,1.16,-9999,-9999,-9999
1033,2021-04-06,19:42:15,32.44,1.16,-9999,-9999,-9999
1034,2021-04-06,19:42:16,32.96,1.17,-9999,-9999,-9999
1035,2021-04-06,19:42:16,33.67,1.17,-9999,-9999,-9999
1036,2021-04-06,19:42:17,34.4,1.18,-9999,-9999,-9999
1037,2021-04-06,19:42:17,35.11,1.19,-9999,-9999,-9999
1038,2021-04-06,19:42:18,35.86,1.19,-9999,-9999,-9999
1039,2021-04-06,19:42:18,36.57,1.2,-9999,-9999,-9999
1040,2021-04-06,19:42:19,37.3,1.22,-9999,-9999,-9999
1041,2021-04-06,19:42:19,37.98,1.24,-9999,-9999,-9999
1042,2021-04-06,19:42:20,38.72,1.23,-9999,-9999,-9999
1043,2021-04-06,19:42:21,39.46,1.25,-9999,-9999,-9999
1044,2021-04-06,19:42:21,40.22,1.27,-9999,-9999,-9999
1045,2021-04-06,19:42:22,40.94,1.28,-9999,-9999,-9999
1046,2021-04-06,19:42:22,41.7,1.29,-9999,-9999,-9999
1047,2021-04-06,19:42:23,42.42,1.28,-9999,-9999,-9999
1048,2021-04-06,19:42:23,43.18,1.29,-9999,-9999,-9999
1049,2021-04-06,19:42:24,43.89,1.3,-9999,-9999,-9999
1050,2021-04-06,19:42:24,44.64,1.33,-9999,-9999,-9999
1051,2021-04-06,19:42:25,45.35,1.36,-9999,-9999,-9999
1052,2021-04-06,19:42:25,46.12,1.37,-9999,-9999,-9999
1053,2021-04-06,19:42:26,46.84,1.39,-9999,-9999,-9999
1054,2021-04-06,19:42:27,47.6,1.4,-9999,-9999,-9999
1055,2021-04-06,19:42:27,48.36,1.43,-9999,-9999,-9999
1056,2021-04-06,19:42:28,49.14,1.44,-9999,-9999,-9999
1057,2021-04-06,19:42:28,49.9,1.45,-9999,-9999,-9999
1058,2021-04-06,19:42:29,50.69,1.48,-9999,-9999,-9999
1059,2021-04-06,19:42:29,51.44,1.5,-9999,-9999,-9999
1060,2021-04-06,19:42:30,52.23,1.52,-9999,-9999,-9999
1061,2021-04-06,19:42:31,52.94,1.54,-9999,-9999,-9999
1062,2021-04-06,19:42:31,53.77,1.56,-9999,-9999,-9999
1063,2021-04-06,19:42:32,54.51,1.59,-9999,-9999,-9999
1064,2021-04-06,19:42:32,55.32,1.6,-9999,-9999,-9999
1065,2021-04-06,19:42:33,56.1,1.64,-9999,-9999,-9999
1066,2021-04-06,19:42:34,56.92,1.69,-9999,-9999,-9999
1067,2021-04-06,19:42:34,57.72,1.72,-9999,-9999,-9999
1068,2021-04-06,19:42:35,58.55,1.76,-9999,-9999,-9999
1069,2021-04-06,19:42:35,59.38,1.78,-9999,-9999,-9999
1070,2021-04-06,19:42:36,60.22,1.83,-9999,-9999,-9999
1071,2021-04-06,19:42:37,61.03,1.86,-9999,-9999,-9999
1072,2021-04-06,19:42:37,61.92,1.89,-9999,-9999,-9999
1073,2021-04-06,19:42:38,62.74,1.91,-9999,-9999,-9999
1074,2021-04-06,19:42:39,63.62,1.97,-9999,-9999,-9999
1075,2021-04-06,19:42:39,64.43,2.02,-9999,-9999,-9999
1076,2021-04-06,19:42:40,65.28,2.07,-9999,-9999,-9999
1077,2021-04-06,19:42:40,66.12,2.14,-9999,-9999,-9999
1078,2021-04-06,19:42:41,67.02,2.15,-9999,-9999,-9999
1079,2021-04-06,19:42:42,67.82,2.2,-9999,-9999,-9999
1080,2021-04-06,19:42:42,68.69,2.24,-9999,-9999,-9999
1081,2021-04-06,19:42:43,69.55,2.27,-9999,-9999,-9999
