ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
688,2021-04-07,15:14:39,0,0.58,-9999,-9999,-9999
689,2021-04-07,15:14:40,0.02,0.58,-9999,-9999,-9999
690,2021-04-07,15:14:40,0.07,0.6,-9999,-9999,-9999
691,2021-04-07,15:14:41,0.13,0.61,-9999,-9999,-9999
692,2021-04-07,15:14:42,0.21,0.62,-9999,-9999,-9999
693,2021-04-07,15:14:42,0.3,0.64,-9999,-9999,-9999
694,2021-04-07,15:14:43,0.39,0.67,-9999,-9999,-9999
695,2021-04-07,15:14:43,0.48,0.68,-9999,-9999,-9999
696,2021-04-07,15:14:44,0.59,0.7,-9999,-9999,-9999
697,2021-04-07,15:14:44,0.7,0.71,-9999,-9999,-9999
698,2021-04-07,15:14:45,0.81,0.72,-9999,-9999,-9999
699,2021-04-07,15:14:46,0.92,0.73,-9999,-9999,-9999
700,2021-04-07,15:14:46,1.07,0.74,-9999,-9999,-9999
701,2021-04-07,15:14:47,1.21,0.76,-9999,-9999,-9999
702,2021-04-07,15:14:47,1.37,0.78,-9999,-9999,-9999
703,2021-04-07,15:14:48,1.52,0.82,-9999,-9999,-9999
704,2021-04-07,15:14:49,1.69,0.83,-9999,-9999,-9999
705,2021-04-07,15:14:49,1.82,0.89,-9999,-9999,-9999
706,2021-04-07,15:14:50,2,0.93,-9999,-9999,-9999
707,2021-04-07,15:14:50,2.17,0.98,-9999,-9999,-9999
708,2021-04-07,15:14:51,2.34,1.04,-9999,-9999,-9999
709,2021-04-07,15:14:51,2.5,1.09,-9999,-9999,-9999
710,2021-04-07,15:14:52,2.69,1.12,-9999,-9999,-9999
711,2021-04-07,15:14:52,2.87,1.19,-9999,-9999,-9999
712,2021-04-07,15:14:53,3.06,1.23,-9999,-9999,-9999
713,2021-04-07,15:14:53,3.25,1.27,-9999,-9999,-9999
714,2021-04-07,15:14:54,3.46,1.29,-9999,-9999,-9999
715,2021-04-07,15:14:55,3.67,1.31,-9999,-9999,-9999
716,2021-04-07,15:14:55,3.88,1.33,-9999,-9999,-9999
717,2021-04-07,15:14:56,4.1,1.32,-9999,-9999,-9999
718,2021-04-07,15:14:56,4.32,1.3,-9999,-9999,-9999
719,2021-04-07,15:14:57,4.53,1.26,-9999,-9999,-9999
720,2021-04-07,15:14:57,4.73,1.21,-9999,-9999,-9999
721,2021-04-07,15:14:58,4.8,1.15,-9999,-9999,-9999
722,2021-04-07,15:14:59,4.83,1.15,-9999,-9999,-9999
723,2021-04-07,15:14:59,4.84,1.15,-9999,-9999,-9999
