ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
144,2021-04-07,17:41:17,0,3.64,-9999,29.2986314051667,-91.101256562
145,2021-04-07,17:41:17,0.27,3.62,-9999,29.2986314051667,-91.101256562
146,2021-04-07,17:41:18,0.57,3.63,-9999,29.2986314051667,-91.101256562
147,2021-04-07,17:41:19,0.89,3.62,-9999,29.2986314051667,-91.101256562
148,2021-04-07,17:41:19,1.21,3.62,-9999,29.2986314051667,-91.101256562
149,2021-04-07,17:41:20,1.57,3.66,-9999,29.2986314051667,-91.101256562
150,2021-04-07,17:41:21,1.95,3.65,-9999,29.2986314051667,-91.101256562
151,2021-04-07,17:41:22,2.41,3.64,-9999,29.2986314051667,-91.101256562
152,2021-04-07,17:41:22,2.89,3.64,-9999,29.2986314051667,-91.101256562
153,2021-04-07,17:41:23,3.4,3.65,-9999,29.2986314051667,-91.101256562
154,2021-04-07,17:41:24,3.88,3.65,-9999,29.2986314051667,-91.101256562
155,2021-04-07,17:41:24,4.36,3.67,-9999,29.2986314051667,-91.101256562
156,2021-04-07,17:41:25,4.8,3.68,-9999,-9999,-9999
157,2021-04-07,17:41:26,5.25,3.72,-9999,-9999,-9999
158,2021-04-07,17:41:26,5.68,3.72,-9999,-9999,-9999
159,2021-04-07,17:41:27,6.09,3.73,-9999,-9999,-9999
160,2021-04-07,17:41:28,6.5,3.75,-9999,-9999,-9999
161,2021-04-07,17:41:28,6.91,3.76,-9999,-9999,-9999
162,2021-04-07,17:41:29,7.3,3.8,-9999,-9999,-9999
163,2021-04-07,17:41:30,7.73,3.83,-9999,-9999,-9999
164,2021-04-07,17:41:30,8.19,3.86,-9999,-9999,-9999
165,2021-04-07,17:41:31,8.68,3.86,-9999,-9999,-9999
166,2021-04-07,17:41:32,9.16,3.87,-9999,-9999,-9999
167,2021-04-07,17:41:32,9.68,3.87,-9999,-9999,-9999
168,2021-04-07,17:41:33,10.2,3.88,-9999,-9999,-9999
169,2021-04-07,17:41:34,10.79,3.87,-9999,-9999,-9999
170,2021-04-07,17:41:34,11.37,3.83,-9999,-9999,-9999
171,2021-04-07,17:41:35,12.05,3.8,-9999,-9999,-9999
172,2021-04-07,17:41:36,12.71,3.77,-9999,-9999,-9999
173,2021-04-07,17:41:36,13.44,3.68,-9999,-9999,-9999
174,2021-04-07,17:41:37,14.13,3.63,-9999,-9999,-9999
175,2021-04-07,17:41:38,14.87,3.54,-9999,-9999,-9999
176,2021-04-07,17:41:38,15.57,3.44,-9999,-9999,-9999
177,2021-04-07,17:41:39,16.33,3.35,-9999,-9999,-9999
178,2021-04-07,17:41:40,17.02,3.25,-9999,-9999,-9999
179,2021-04-07,17:41:40,17.83,3.13,-9999,-9999,-9999
180,2021-04-07,17:41:41,18.54,3.03,-9999,-9999,-9999
181,2021-04-07,17:41:42,19.27,2.96,-9999,-9999,-9999
182,2021-04-07,17:41:43,19.94,2.87,-9999,-9999,-9999
183,2021-04-07,17:41:43,20.58,2.77,-9999,-9999,-9999
184,2021-04-07,17:41:44,21.08,2.72,-9999,-9999,-9999
185,2021-04-07,17:41:44,21.58,2.59,-9999,-9999,-9999
186,2021-04-07,17:41:45,22.01,2.54,-9999,-9999,-9999
187,2021-04-07,17:41:46,22.46,2.48,-9999,-9999,-9999
188,2021-04-07,17:41:46,22.83,2.44,-9999,-9999,-9999
189,2021-04-07,17:41:47,23.13,2.4,-9999,-9999,-9999
190,2021-04-07,17:41:48,23.33,2.38,-9999,-9999,-9999
191,2021-04-07,17:41:49,23.47,2.36,-9999,-9999,-9999
192,2021-04-07,17:41:49,23.53,2.34,-9999,-9999,-9999
193,2021-04-07,17:41:50,23.6,2.35,-9999,-9999,-9999
194,2021-04-07,17:41:51,23.68,2.35,-9999,-9999,-9999
195,2021-04-07,17:41:51,23.83,2.33,-9999,-9999,-9999
196,2021-04-07,17:41:52,24,2.26,-9999,-9999,-9999
