ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
152,2021-04-07,17:56:14,0,0.56,-9999,-9999,-9999
153,2021-04-07,17:56:14,0.17,0.57,-9999,-9999,-9999
154,2021-04-07,17:56:15,0.38,0.58,-9999,-9999,-9999
155,2021-04-07,17:56:15,0.56,0.59,-9999,-9999,-9999
156,2021-04-07,17:56:16,0.79,0.61,-9999,-9999,-9999
157,2021-04-07,17:56:17,0.99,0.62,-9999,-9999,-9999
158,2021-04-07,17:56:17,1.21,0.64,-9999,-9999,-9999
159,2021-04-07,17:56:18,1.4,0.64,-9999,-9999,-9999
160,2021-04-07,17:56:19,1.63,0.66,-9999,-9999,-9999
161,2021-04-07,17:56:19,1.86,0.69,-9999,-9999,-9999
162,2021-04-07,17:56:20,2.11,0.73,-9999,-9999,-9999
163,2021-04-07,17:56:20,2.36,0.77,-9999,-9999,-9999
164,2021-04-07,17:56:21,2.62,0.82,-9999,-9999,-9999
165,2021-04-07,17:56:22,2.87,0.84,-9999,-9999,-9999
166,2021-04-07,17:56:22,3.08,0.87,-9999,-9999,-9999
167,2021-04-07,17:56:23,3.26,0.89,-9999,-9999,-9999
168,2021-04-07,17:56:23,3.44,0.89,-9999,-9999,-9999
169,2021-04-07,17:56:24,3.62,0.9,-9999,-9999,-9999
170,2021-04-07,17:56:24,3.79,0.9,-9999,-9999,-9999
171,2021-04-07,17:56:25,3.95,0.91,-9999,-9999,-9999
172,2021-04-07,17:56:25,4.14,0.91,-9999,-9999,-9999
173,2021-04-07,17:56:26,4.32,0.94,-9999,-9999,-9999
174,2021-04-07,17:56:26,4.5,0.97,-9999,-9999,-9999
175,2021-04-07,17:56:27,4.66,1,-9999,-9999,-9999
176,2021-04-07,17:56:28,4.84,1.02,-9999,-9999,-9999
177,2021-04-07,17:56:28,5,1.06,-9999,-9999,-9999
178,2021-04-07,17:56:29,5.15,1.08,-9999,-9999,-9999
179,2021-04-07,17:56:29,5.28,1.09,-9999,-9999,-9999
180,2021-04-07,17:56:30,5.42,1.1,-9999,-9999,-9999
181,2021-04-07,17:56:30,5.55,1.12,-9999,-9999,-9999
182,2021-04-07,17:56:31,5.7,1.14,-9999,-9999,-9999
183,2021-04-07,17:56:31,5.83,1.16,-9999,-9999,-9999
184,2021-04-07,17:56:32,5.97,1.18,-9999,-9999,-9999
185,2021-04-07,17:56:33,6.1,1.2,-9999,-9999,-9999
186,2021-04-07,17:56:33,6.25,1.22,-9999,-9999,-9999
187,2021-04-07,17:56:34,6.38,1.24,-9999,-9999,-9999
188,2021-04-07,17:56:34,6.54,1.25,-9999,-9999,-9999
189,2021-04-07,17:56:35,6.69,1.27,-9999,-9999,-9999
190,2021-04-07,17:56:36,6.84,1.28,-9999,-9999,-9999
