ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
554,2021-04-11,19:32:02,0,0.81,-9999,29.2863694503333,-91.1069908403333
555,2021-04-11,19:32:03,0.5,0.84,-9999,29.2863694503333,-91.1069908403333
556,2021-04-11,19:32:03,0.98,0.82,-9999,29.2863694503333,-91.1069908403333
557,2021-04-11,19:32:04,1.37,0.83,-9999,29.2863694503333,-91.1069908403333
558,2021-04-11,19:32:04,1.73,0.84,-9999,29.2863694503333,-91.1069908403333
559,2021-04-11,19:32:05,2.01,0.84,-9999,29.2863694503333,-91.1069908403333
560,2021-04-11,19:32:05,2.28,0.84,-9999,29.2863694503333,-91.1069908403333
561,2021-04-11,19:32:06,2.49,0.85,-9999,29.2863694503333,-91.1069908403333
562,2021-04-11,19:32:06,2.7,0.86,-9999,29.2863694503333,-91.1069908403333
563,2021-04-11,19:32:07,2.88,0.88,-9999,29.2863694503333,-91.1069908403333
564,2021-04-11,19:32:07,3.08,0.89,-9999,29.2863694503333,-91.1069908403333
565,2021-04-11,19:32:08,3.24,0.92,-9999,29.2863848391667,-91.1069978178333
566,2021-04-11,19:32:09,3.5,0.91,-9999,29.286400593,-91.1070044443333
567,2021-04-11,19:32:09,3.7,0.92,-9999,29.286400593,-91.1070044443333
568,2021-04-11,19:32:10,3.91,0.92,-9999,29.2864166231667,-91.1070108498333
569,2021-04-11,19:32:10,4.13,0.93,-9999,29.2864166231667,-91.1070108498333
570,2021-04-11,19:32:11,4.39,0.95,-9999,29.2864327155,-91.1070174683333
571,2021-04-11,19:32:11,4.65,0.95,-9999,29.2864327155,-91.1070174683333
572,2021-04-11,19:32:12,4.88,0.93,-9999,29.2864490661667,-91.1070234676667
573,2021-04-11,19:32:13,5.07,0.92,-9999,29.2864653956667,-91.107029819
574,2021-04-11,19:32:13,5.28,0.91,-9999,29.2864653956667,-91.107029819
575,2021-04-11,19:32:14,5.54,0.91,-9999,29.286481649,-91.1070363431667
576,2021-04-11,19:32:14,5.91,0.92,-9999,29.286481649,-91.1070363431667
577,2021-04-11,19:32:15,6.31,0.93,-9999,29.2864978583333,-91.1070427626667
578,2021-04-11,19:32:15,6.87,0.94,-9999,29.2864978583333,-91.1070427626667
579,2021-04-11,19:32:16,7.41,0.97,-9999,29.286514008,-91.1070491401667
580,2021-04-11,19:32:16,8.03,1,-9999,29.286514008,-91.1070491401667
581,2021-04-11,19:32:17,8.64,1.01,-9999,29.2865301333333,-91.1070552011667
582,2021-04-11,19:32:17,9.33,1.05,-9999,29.2865301333333,-91.1070552011667
583,2021-04-11,19:32:18,10.05,1.09,-9999,29.286546134,-91.1070616656667
584,2021-04-11,19:32:19,10.93,1.1,-9999,29.2865620675,-91.1070681941667
585,2021-04-11,19:32:19,11.72,1.1,-9999,29.2865620675,-91.1070681941667
586,2021-04-11,19:32:20,12.58,1.1,-9999,29.2865778191667,-91.1070750548333
