ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
33,2021-04-11,21:28:05,0,0.67,-9999,29.2527379705,-91.10525311
34,2021-04-11,21:28:05,0.43,0.69,-9999,29.2527379705,-91.10525311
35,2021-04-11,21:28:06,0.89,0.7,-9999,29.2527455688333,-91.1052375633333
36,2021-04-11,21:28:06,1.27,0.77,-9999,29.2527455688333,-91.1052375633333
37,2021-04-11,21:28:06,1.84,0.83,-9999,29.2527455688333,-91.1052375633333
38,2021-04-11,21:28:07,2.43,0.89,-9999,29.2527529736667,-91.1052222003333
39,2021-04-11,21:28:08,3.06,0.97,-9999,29.252760231,-91.1052072248333
40,2021-04-11,21:28:08,3.68,1.12,-9999,29.252760231,-91.1052072248333
41,2021-04-11,21:28:09,4.33,1.24,-9999,29.2527675015,-91.105192854
42,2021-04-11,21:28:09,4.95,1.35,-9999,29.2527675015,-91.105192854
43,2021-04-11,21:28:10,5.54,1.45,-9999,29.2527745971667,-91.1051788773333
44,2021-04-11,21:28:10,6.08,1.54,-9999,29.2527745971667,-91.1051788773333
45,2021-04-11,21:28:11,6.66,1.64,-9999,29.252781837,-91.1051656201667
46,2021-04-11,21:28:12,7.25,1.74,-9999,29.2527890728333,-91.1051530113333
47,2021-04-11,21:28:12,7.95,1.82,-9999,29.2527890728333,-91.1051530113333
48,2021-04-11,21:28:13,8.69,1.97,-9999,29.2527964575,-91.1051416931667
49,2021-04-11,21:28:14,9.57,2.07,-9999,29.2528036628333,-91.1051316135
50,2021-04-11,21:28:14,10.58,2.16,-9999,29.2528036628333,-91.1051316135
51,2021-04-11,21:28:15,11.74,2.17,-9999,29.252810684,-91.1051234601667
52,2021-04-11,21:28:16,12.96,2.13,-9999,29.2528169801667,-91.105117417
53,2021-04-11,21:28:16,14.29,2.03,-9999,29.2528169801667,-91.105117417
54,2021-04-11,21:28:17,15.62,2.01,-9999,29.2528219955,-91.1051139165
55,2021-04-11,21:28:18,17,2.06,-9999,29.2528254418333,-91.1051126531667
56,2021-04-11,21:28:19,18.31,2.12,-9999,29.2528261628333,-91.1051156703333
57,2021-04-11,21:28:19,19.74,2.17,-9999,29.2528261628333,-91.1051156703333
58,2021-04-11,21:28:20,21.1,2.34,-9999,29.2528259166667,-91.1051191811667
59,2021-04-11,21:28:21,22.41,2.48,-9999,29.2528248693333,-91.105125127
60,2021-04-11,21:28:22,23.91,2.63,-9999,29.2528201313333,-91.1051330466667
61,2021-04-11,21:28:22,25.11,2.69,-9999,29.2528201313333,-91.1051330466667
62,2021-04-11,21:28:23,26.29,2.72,-9999,29.2528145615,-91.1051400615
63,2021-04-11,21:28:24,27.51,2.73,-9999,29.2528066663333,-91.1051466061667
64,2021-04-11,21:28:24,28.69,2.76,-9999,29.2528066663333,-91.1051466061667
65,2021-04-11,21:28:25,29.9,2.83,-9999,29.25279804,-91.1051536071667
66,2021-04-11,21:28:26,31.03,2.91,-9999,29.2527894761667,-91.1051623555
67,2021-04-11,21:28:26,32.18,2.98,-9999,29.2527894761667,-91.1051623555
68,2021-04-11,21:28:27,33.3,3.05,-9999,29.2527808645,-91.1051734998333
69,2021-04-11,21:28:28,34.44,3.09,-9999,29.252770192,-91.1051856231667
70,2021-04-11,21:28:28,35.52,3.11,-9999,29.252770192,-91.1051856231667
71,2021-04-11,21:28:29,36.61,3.09,-9999,29.2527585478333,-91.1051989585
72,2021-04-11,21:28:30,37.54,3.06,-9999,29.2527473153333,-91.1052135065
73,2021-04-11,21:28:30,38.36,3.04,-9999,29.2527473153333,-91.1052135065
74,2021-04-11,21:28:31,39.26,2.98,-9999,29.2527359483333,-91.1052283321667
75,2021-04-11,21:28:31,40.17,2.82,-9999,29.2527359483333,-91.1052283321667
76,2021-04-11,21:28:32,41.12,2.54,-9999,29.2527245868333,-91.105243479
77,2021-04-11,21:28:33,42.04,2.24,-9999,29.2527138825,-91.1052590006667
78,2021-04-11,21:28:33,42.81,1.98,-9999,29.2527138825,-91.1052590006667
79,2021-04-11,21:28:34,43.69,1.68,-9999,29.2527037025,-91.1052747056667
80,2021-04-11,21:28:35,44.37,1.38,-9999,29.2526937825,-91.1052903048333
81,2021-04-11,21:28:36,45.06,1.21,-9999,29.2526845838333,-91.105305774
82,2021-04-11,21:28:36,45.5,1.06,-9999,29.2526845838333,-91.105305774
83,2021-04-11,21:28:37,45.76,0.84,-9999,29.2526759903333,-91.1053210766667
84,2021-04-11,21:28:38,46.05,0.78,-9999,29.2526678913333,-91.105336083
85,2021-04-11,21:28:38,46.21,0.83,-9999,29.2526678913333,-91.105336083
