ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
53,2021-04-11,22:12:37,0,0.93,-9999,-9999,-9999
54,2021-04-11,22:12:37,0.41,0.93,-9999,-9999,-9999
55,2021-04-11,22:12:38,0.83,0.95,-9999,-9999,-9999
56,2021-04-11,22:12:38,1.25,0.97,-9999,-9999,-9999
57,2021-04-11,22:12:39,1.71,0.95,-9999,-9999,-9999
58,2021-04-11,22:12:39,2.2,0.94,-9999,-9999,-9999
59,2021-04-11,22:12:40,2.79,0.97,-9999,-9999,-9999
60,2021-04-11,22:12:40,3.41,0.97,-9999,-9999,-9999
61,2021-04-11,22:12:41,4.15,0.96,-9999,-9999,-9999
62,2021-04-11,22:12:41,4.9,0.99,-9999,-9999,-9999
63,2021-04-11,22:12:42,5.77,0.99,-9999,-9999,-9999
64,2021-04-11,22:12:43,6.65,1.02,-9999,-9999,-9999
65,2021-04-11,22:12:43,7.66,1.05,-9999,-9999,-9999
66,2021-04-11,22:12:44,8.68,1.05,-9999,-9999,-9999
67,2021-04-11,22:12:44,9.81,1.07,-9999,-9999,-9999
68,2021-04-11,22:12:45,10.91,1.07,-9999,-9999,-9999
69,2021-04-11,22:12:45,12.15,1.11,-9999,-9999,-9999
70,2021-04-11,22:12:46,13.36,1.11,-9999,-9999,-9999
71,2021-04-11,22:12:47,14.66,1.12,-9999,-9999,-9999
72,2021-04-11,22:12:47,15.93,1.14,-9999,-9999,-9999
73,2021-04-11,22:12:48,17.51,1.13,-9999,-9999,-9999
74,2021-04-11,22:12:48,18.81,1.13,-9999,-9999,-9999
75,2021-04-11,22:12:49,20.24,1.14,-9999,-9999,-9999
76,2021-04-11,22:12:50,21.84,1.16,-9999,-9999,-9999
77,2021-04-11,22:12:50,23.56,1.18,-9999,-9999,-9999
78,2021-04-11,22:12:51,25.23,1.17,-9999,-9999,-9999
79,2021-04-11,22:12:52,26.93,1.19,-9999,-9999,-9999
80,2021-04-11,22:12:52,28.55,1.2,-9999,-9999,-9999
81,2021-04-11,22:12:53,30.21,1.2,-9999,-9999,-9999
82,2021-04-11,22:12:54,31.79,1.2,-9999,-9999,-9999
83,2021-04-11,22:12:54,33.42,1.2,-9999,-9999,-9999
84,2021-04-11,22:12:55,34.97,1.21,-9999,-9999,-9999
85,2021-04-11,22:12:56,36.6,1.21,-9999,-9999,-9999
86,2021-04-11,22:12:56,38.14,1.23,-9999,-9999,-9999
87,2021-04-11,22:12:57,39.79,1.23,-9999,-9999,-9999
88,2021-04-11,22:12:58,41.11,1.24,-9999,-9999,-9999
89,2021-04-11,22:12:58,42.69,1.24,-9999,-9999,-9999
90,2021-04-11,22:12:59,44.25,1.25,-9999,-9999,-9999
91,2021-04-11,22:13:00,45.8,1.23,-9999,-9999,-9999
92,2021-04-11,22:13:01,47.29,1.22,-9999,-9999,-9999
93,2021-04-11,22:13:01,48.82,1.19,-9999,-9999,-9999
94,2021-04-11,22:13:02,50.04,1.24,-9999,-9999,-9999
95,2021-04-11,22:13:02,51.29,1.26,-9999,-9999,-9999
96,2021-04-11,22:13:03,52.69,1.24,-9999,-9999,-9999
97,2021-04-11,22:13:04,54.17,1.25,-9999,-9999,-9999
98,2021-04-11,22:13:04,55.34,1.24,-9999,-9999,-9999
99,2021-04-11,22:13:05,56.82,1.26,-9999,-9999,-9999
100,2021-04-11,22:13:06,58.21,1.26,-9999,-9999,-9999
101,2021-04-11,22:13:06,59.65,1.27,-9999,-9999,-9999
102,2021-04-11,22:13:07,60.85,1.27,-9999,-9999,-9999
103,2021-04-11,22:13:08,62.09,1.27,-9999,-9999,-9999
104,2021-04-11,22:13:08,63.29,1.27,-9999,-9999,-9999
105,2021-04-11,22:13:09,64.54,1.25,-9999,-9999,-9999
106,2021-04-11,22:13:10,66.35,1.25,-9999,-9999,-9999
107,2021-04-11,22:13:10,67.57,1.26,-9999,-9999,-9999
108,2021-04-11,22:13:11,68.98,1.23,-9999,-9999,-9999
109,2021-04-11,22:13:12,70.46,1.24,-9999,-9999,-9999
110,2021-04-11,22:13:12,71.85,1.25,-9999,-9999,-9999
111,2021-04-11,22:13:13,73.32,1.22,-9999,-9999,-9999
112,2021-04-11,22:13:14,74.75,1.22,-9999,-9999,-9999
113,2021-04-11,22:13:14,75.98,1.22,-9999,-9999,-9999
114,2021-04-11,22:13:15,77.16,1.24,-9999,-9999,-9999
115,2021-04-11,22:13:15,78.38,1.22,-9999,-9999,-9999
116,2021-04-11,22:13:16,79.81,1.21,-9999,-9999,-9999
117,2021-04-11,22:13:17,81.04,1.22,-9999,-9999,-9999
118,2021-04-11,22:13:17,82.22,1.24,-9999,-9999,-9999
119,2021-04-11,22:13:18,83.46,1.23,-9999,-9999,-9999
120,2021-04-11,22:13:19,84.88,1.22,-9999,-9999,-9999
121,2021-04-11,22:13:19,86.15,1.23,-9999,-9999,-9999
122,2021-04-11,22:13:20,87.55,1.22,-9999,-9999,-9999
123,2021-04-11,22:13:20,88.76,1.22,-9999,-9999,-9999
124,2021-04-11,22:13:21,89.94,1.2,-9999,-9999,-9999
125,2021-04-11,22:13:22,91.16,1.21,-9999,-9999,-9999
126,2021-04-11,22:13:22,92.35,1.22,-9999,-9999,-9999
127,2021-04-11,22:13:23,93.57,1.22,-9999,-9999,-9999
128,2021-04-11,22:13:23,94.95,1.21,-9999,-9999,-9999
129,2021-04-11,22:13:24,96.21,1.21,-9999,-9999,-9999
130,2021-04-11,22:13:25,97.58,1.22,-9999,-9999,-9999
131,2021-04-11,22:13:25,99.04,1.22,-9999,-9999,-9999
132,2021-04-11,22:13:26,100.24,1.21,-9999,-9999,-9999
133,2021-04-11,22:13:27,101.68,1.2,-9999,-9999,-9999
134,2021-04-11,22:13:27,102.88,1.21,-9999,-9999,-9999
135,2021-04-11,22:13:28,104.09,1.2,-9999,-9999,-9999
136,2021-04-11,22:13:28,105.26,1.2,-9999,-9999,-9999
137,2021-04-11,22:13:29,106.74,1.2,-9999,-9999,-9999
138,2021-04-11,22:13:30,107.94,1.2,-9999,-9999,-9999
139,2021-04-11,22:13:30,109.2,1.22,-9999,-9999,-9999
140,2021-04-11,22:13:31,110.34,1.2,-9999,-9999,-9999
141,2021-04-11,22:13:31,111.61,1.21,-9999,-9999,-9999
142,2021-04-11,22:13:32,112.8,1.19,-9999,-9999,-9999
143,2021-04-11,22:13:33,114.23,1.2,-9999,-9999,-9999
144,2021-04-11,22:13:33,115.41,1.21,-9999,-9999,-9999
145,2021-04-11,22:13:34,116.63,1.22,-9999,-9999,-9999
