ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
730,2021-08-16,17:47:40.53,0,0.94,0.06,29.2460390265173,-90.6743263723265
731,2021-08-16,17:47:41.23,0.85,0.92,0.12,29.2460425676948,-90.6743186562036
732,2021-08-16,17:47:42.79,2.84,0.92,0.11,29.2460506088746,-90.6743003620354
733,2021-08-16,17:47:42.78,2.85,0.91,0.06,29.2460505613146,-90.6743004803827
734,2021-08-16,17:47:43.46,3.7,0.91,0.14,29.2460536303279,-90.6742924344428
735,2021-08-16,17:47:44.17,4.61,0.88,0.2,29.2460565880375,-90.6742837470565
736,2021-08-16,17:47:44.84,5.47,0.86,0.23,29.2460590194065,-90.6742753493293
737,2021-08-16,17:47:45.56,6.37,0.84,0.23,29.24606128035,-90.6742664380201
738,2021-08-16,17:47:46.23,7.19,0.82,0.2,29.2460635406457,-90.6742584227203
739,2021-08-16,17:47:46.93,8.04,0.79,0.22,29.2460658712608,-90.674250041671
740,2021-08-16,17:47:47.59,8.85,0.78,0.19,29.2460680713593,-90.6742420925403
741,2021-08-16,17:47:48.29,9.69,0.76,0.13,29.2460707546487,-90.6742340182917
742,2021-08-16,17:47:48.96,10.45,0.78,0.09,29.2460736506248,-90.6742269679259
743,2021-08-16,17:47:49.66,11.23,0.75,0.05,29.2460766551337,-90.6742197258231
744,2021-08-16,17:47:50.32,11.92,0.76,0.01,29.2460799296405,-90.6742136904456
745,2021-08-16,17:47:51.20,12.75,0.73,0.01,29.2460838060877,-90.6742063699783
746,2021-08-16,17:47:51.69,13.18,0.71,0.04,29.2460860770298,-90.6742027510796
747,2021-08-16,17:47:52.39,13.8,0.73,0.11,29.246089423129,-90.6741977191152
748,2021-08-16,17:47:53.50,14.72,0.76,0.14,29.2460952477266,-90.6741909378388
749,2021-08-16,17:47:53.73,14.91,0.74,0.11,29.24609652585,-90.674189627165
750,2021-08-16,17:47:54.39,15.46,0.74,0.27,29.2461001913445,-90.6741858409243
751,2021-08-16,17:47:55.79,16.55,0.76,0.24,29.2461084307374,-90.6741796633741
752,2021-08-16,17:47:55.74,16.6,0.74,0.13,29.2461080663392,-90.6741798753008
753,2021-08-16,17:47:56.44,17.15,0.74,0.27,29.2461124529029,-90.674177294835
754,2021-08-16,17:47:57.09,17.66,0.75,0.34,29.2461167444474,-90.6741752678999
755,2021-08-16,17:47:57.78,18.21,0.75,0.37,29.2461215076895,-90.6741735440442
756,2021-08-16,17:47:58.45,18.75,0.75,0.39,29.2461262257094,-90.6741723839081
757,2021-08-16,17:47:59.14,19.32,0.75,0.47,29.2461312962448,-90.6741715213185
758,2021-08-16,17:47:59.79,19.88,0.74,0.49,29.2461363904594,-90.6741714492605
759,2021-08-16,17:48:00.49,20.49,0.78,0.52,29.2461418737195,-90.6741712336404
760,2021-08-16,17:48:01.14,21.1,0.8,0.81,29.2461473074791,-90.6741720097751
761,2021-08-16,17:48:02.28,22.23,0.78,0.75,29.2461572056977,-90.6741746815945
762,2021-08-16,17:48:02.72,22.66,0.81,0.58,29.2461609500244,-90.674176047336
763,2021-08-16,17:48:03.40,23.4,0.82,1.21,29.2461668526471,-90.6741795039319
764,2021-08-16,17:48:04.90,25.15,0.82,0.83,29.2461806031945,-90.6741883996422
765,2021-08-16,17:48:04.75,25.32,0.9,0.36,29.2461793634157,-90.6741873516771
766,2021-08-16,17:48:05.48,26.21,0.87,0.87,29.2461861429219,-90.6741921545427
767,2021-08-16,17:48:06.15,27.08,0.92,1.27,29.2461925738166,-90.6741974024939
768,2021-08-16,17:48:07.40,28.76,0.91,1.07,29.246204677349,-90.6742078219399
769,2021-08-16,17:48:07.71,29.21,0.95,0.68,29.2462077300378,-90.6742107618078
770,2021-08-16,17:48:08.35,30.14,0.94,1.42,29.2462142175518,-90.6742168787551
771,2021-08-16,17:48:09.69,32.11,0.98,1.02,29.2462276550459,-90.6742300773976
772,2021-08-16,17:48:09.74,32.17,0.97,0.54,29.2462280729314,-90.6742304506179
773,2021-08-16,17:48:10.44,33.22,0.99,1.05,29.2462355119396,-90.6742371725174
774,2021-08-16,17:48:11.09,34.28,1,1.04,29.2462421420832,-90.6742450051954
775,2021-08-16,17:48:11.79,35.36,0.98,1.06,29.2462494335013,-90.6742523702858
776,2021-08-16,17:48:12.47,36.45,0.99,1.09,29.2462563451689,-90.6742603611877
777,2021-08-16,17:48:13.17,37.58,1.01,1.09,29.2462635941238,-90.6742685522572
778,2021-08-16,17:48:13.83,38.69,1.02,1.12,29.2462705339532,-90.674276865533
779,2021-08-16,17:48:14.54,39.88,1.01,1.12,29.2462780851742,-90.6742854735896
780,2021-08-16,17:48:15.21,40.99,1.05,1.12,29.2462850417629,-90.674293764888
781,2021-08-16,17:48:15.91,42.18,1.01,1.14,29.2462924278066,-90.6743026276853
782,2021-08-16,17:48:16.58,43.35,1.06,1.15,29.2462996258743,-90.6743113682069
783,2021-08-16,17:48:17.28,44.55,1.06,1.13,29.2463069460487,-90.6743204896714
784,2021-08-16,17:48:17.95,45.69,1.08,1.15,29.2463139083187,-90.6743291594068
785,2021-08-16,17:48:18.66,46.94,1.08,1.17,29.2463213195233,-90.6743387941933
