ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
730,0.61,0.64,easting,-1.258
730,0.64,0.7,easting,-1.321
730,0.7,0.76,easting,-1.259
731,0.61,0.64,easting,-1.371
731,0.64,0.7,easting,0.834
732,0.61,0.64,easting,-1.28
733,0.61,0.64,easting,-1.542
733,0.64,0.7,easting,-1.158
734,0.61,0.64,easting,-1.098
734,0.64,0.7,easting,-1.44
735,0.61,0.64,easting,-0.82
735,0.64,0.7,easting,-1.167
736,0.61,0.64,easting,-0.185
737,0.61,0.64,easting,-1.155
765,0.61,0.64,easting,-1.886
766,0.61,0.64,easting,-1.129
766,0.64,0.7,easting,-1.284
767,0.61,0.64,easting,-1.302
767,0.64,0.7,easting,-1.684
768,0.61,0.64,easting,-1.281
768,0.64,0.7,easting,-1.861
769,0.61,0.64,easting,-0.884
770,0.61,0.64,easting,-1.834
770,0.64,0.7,easting,-1.21
770,0.7,0.76,easting,-1.085
771,0.61,0.64,easting,-1.224
771,0.64,0.7,easting,-1.259
771,0.7,0.76,easting,-1.233
772,0.61,0.64,easting,-1.377
772,0.64,0.7,easting,-0.668
772,0.7,0.76,easting,-1.56
773,0.61,0.64,easting,-0.36
773,0.64,0.7,easting,-1.986
773,0.7,0.76,easting,-1.037
774,0.61,0.64,easting,-1.851
774,0.64,0.7,easting,-1.338
774,0.7,0.76,easting,-1.44
774,0.76,0.82,easting,-1.187
775,0.61,0.64,easting,-0.985
775,0.64,0.7,easting,-1.143
775,0.7,0.76,easting,-1.198
776,0.61,0.64,easting,-1.138
776,0.64,0.7,easting,-1.587
776,0.7,0.76,easting,-1.334
777,0.61,0.64,easting,-1.603
777,0.64,0.7,easting,-1.838
777,0.7,0.76,easting,-1.204
777,0.76,0.82,easting,-2.443
778,0.61,0.64,easting,-1.546
778,0.64,0.7,easting,-0.826
778,0.7,0.76,easting,-0.982
778,0.76,0.82,easting,-1.139
779,0.61,0.64,easting,-0.942
779,0.64,0.7,easting,-0.053
779,0.7,0.76,easting,-0.983
779,0.76,0.82,easting,-0.492
780,0.61,0.64,easting,-0.68
780,0.64,0.7,easting,-0.558
780,0.7,0.76,easting,-1.179
780,0.76,0.82,easting,-0.854
781,0.61,0.64,easting,-0.908
781,0.64,0.7,easting,-0.798
781,0.7,0.76,easting,-1.151
781,0.76,0.82,easting,-0.192
782,0.61,0.64,easting,-0.973
782,0.64,0.7,easting,-0.676
782,0.7,0.76,easting,-0.59
782,0.76,0.82,easting,-0.596
783,0.61,0.64,easting,-0.83
783,0.64,0.7,easting,-1.722
783,0.7,0.76,easting,-0.754
783,0.76,0.82,easting,-0.334
783,0.82,0.88,easting,-0.889
784,0.61,0.64,easting,-1.058
784,0.64,0.7,easting,-1.393
784,0.7,0.76,easting,-1.009
784,0.76,0.82,easting,-1.289
784,0.82,0.88,easting,0.229
785,0.61,0.64,easting,-0.793
785,0.64,0.7,easting,-0.582
785,0.7,0.76,easting,-2.107
785,0.76,0.82,easting,-1.372
785,0.82,0.88,easting,-1.122
786,0.61,0.64,easting,-1.231
786,0.64,0.7,easting,-1.08
786,0.7,0.76,easting,-0.275
786,0.76,0.82,easting,-0.024
786,0.82,0.88,easting,-0.742
787,0.61,0.64,easting,-2.038
787,0.64,0.7,easting,-1.65
787,0.7,0.76,easting,-1.85
787,0.76,0.82,easting,-1.461
787,0.82,0.88,easting,-0.436
788,0.61,0.64,easting,-1.034
788,0.64,0.7,easting,-1.024
788,0.7,0.76,easting,-1.403
788,0.76,0.82,easting,-0.753
788,0.82,0.88,easting,-1.407
789,0.61,0.64,easting,-2.107
789,0.64,0.7,easting,-1.133
789,0.7,0.76,easting,-1.292
789,0.76,0.82,easting,-1.484
789,0.82,0.88,easting,-0.328
790,0.61,0.64,easting,-0.878
790,0.64,0.7,easting,-1.122
790,0.7,0.76,easting,-1.107
790,0.76,0.82,easting,-1.097
790,0.82,0.88,easting,-0.918
790,0.88,0.94,easting,-1.073
791,0.61,0.64,easting,-0.753
791,0.64,0.7,easting,-1.022
791,0.7,0.76,easting,-1.318
791,0.76,0.82,easting,-1.112
791,0.82,0.88,easting,-1.677
791,0.88,0.94,easting,-1.233
792,0.61,0.64,easting,-0.406
792,0.64,0.7,easting,-1.175
792,0.7,0.76,easting,-0.541
792,0.76,0.82,easting,-0.844
792,0.82,0.88,easting,-0.539
792,0.88,0.94,easting,-0.405
792,0.94,1,easting,-0.837
792,1,1.06,easting,-0.518
793,0.61,0.64,easting,-0.934
793,0.64,0.7,easting,-1.303
793,0.7,0.76,easting,-0.604
793,0.76,0.82,easting,-1.225
793,0.82,0.88,easting,-0.618
793,0.88,0.94,easting,-0.727
793,0.94,1,easting,-0.714
793,1,1.06,easting,0.611
793,1.06,1.12,easting,-0.541
793,1.12,1.18,easting,-0.741
794,0.61,0.64,easting,-0.735
794,0.64,0.7,easting,-0.615
794,0.7,0.76,easting,-0.749
794,0.76,0.82,easting,-1.247
794,0.82,0.88,easting,-0.328
794,0.88,0.94,easting,-0.266
794,0.94,1,easting,-0.47
794,1,1.06,easting,-0.839
794,1.06,1.12,easting,-0.776
794,1.12,1.18,easting,-0.363
794,1.18,1.24,easting,-0.281
795,0.61,0.64,easting,-1.603
795,0.64,0.7,easting,-0.842
795,0.7,0.76,easting,-1.035
795,0.76,0.82,easting,-1.072
795,0.82,0.88,easting,-0.522
795,0.88,0.94,easting,-2.113
795,0.94,1,easting,-0.355
795,1,1.06,easting,-0.859
795,1.06,1.12,easting,-0.844
795,1.12,1.18,easting,-0.628
795,1.18,1.24,easting,-1.24
795,1.24,1.3,easting,-0.589
796,0.61,0.64,easting,-1.147
796,0.64,0.7,easting,-1.526
796,0.7,0.76,easting,-0.993
796,0.76,0.82,easting,-0.724
796,0.82,0.88,easting,-0.475
796,0.88,0.94,easting,-0.364
796,0.94,1,easting,-0.515
796,1,1.06,easting,-0.829
796,1.06,1.12,easting,-0.408
796,1.12,1.18,easting,-0.696
796,1.18,1.24,easting,-0.13
796,1.24,1.3,easting,-0.519
796,1.3,1.36,easting,-0.639
797,0.61,0.64,easting,-1.208
797,0.64,0.7,easting,-0.959
797,0.7,0.76,easting,-1.446
797,0.76,0.82,easting,-0.914
797,0.82,0.88,easting,-1.53
797,0.88,0.94,easting,-1.499
797,0.94,1,easting,-1.687
797,1,1.06,easting,-0.906
797,1.06,1.12,easting,-1.32
797,1.12,1.18,easting,-0.933
797,1.18,1.24,easting,-1.033
797,1.24,1.3,easting,-1.479
798,0.61,0.64,easting,-0.701
798,0.64,0.7,easting,-0.831
798,0.7,0.76,easting,-0.325
798,0.76,0.82,easting,-0.882
798,0.82,0.88,easting,-1.002
798,0.88,0.94,easting,-0.989
798,1,1.06,easting,-0.909
798,1.06,1.12,easting,-0.831
798,1.12,1.18,easting,-1.053
798,1.18,1.24,easting,-0.385
798,1.24,1.3,easting,-0.924
798,1.3,1.36,easting,0.172
798,1.36,1.42,easting,-0.668
799,0.61,0.64,easting,-1.208
799,0.64,0.7,easting,-0.357
799,0.7,0.76,easting,-1.237
799,0.76,0.82,easting,-0.972
799,0.82,0.88,easting,-1.187
799,0.88,0.94,easting,-1.239
799,0.94,1,easting,-0.76
799,1,1.06,easting,-1.216
799,1.06,1.12,easting,-0.356
799,1.12,1.18,easting,-0.698
799,1.18,1.24,easting,-1.414
799,1.24,1.3,easting,-0.806
799,1.3,1.36,easting,-1.092
799,1.36,1.42,easting,-0.43
799,1.42,1.48,easting,-0.618
799,1.48,1.54,easting,-1.876
800,0.61,0.64,easting,-0.525
800,0.64,0.7,easting,-1.377
800,0.7,0.76,easting,-0.685
800,0.76,0.82,easting,-0.656
800,0.82,0.88,easting,-0.417
800,0.88,0.94,easting,-0.817
800,0.94,1,easting,-0.865
800,1,1.06,easting,-0.791
800,1.06,1.12,easting,-0.833
800,1.12,1.18,easting,-0.895
800,1.18,1.24,easting,-0.86
800,1.24,1.3,easting,-1.293
800,1.3,1.36,easting,-0.963
800,1.36,1.42,easting,-1.018
800,1.42,1.48,easting,-0.772
800,1.48,1.54,easting,-1.362
801,0.61,0.64,easting,-1.887
801,0.64,0.7,easting,-0.99
801,0.7,0.76,easting,-1.356
801,0.76,0.82,easting,-1.196
801,0.82,0.88,easting,-0.918
801,0.88,0.94,easting,-1.533
801,0.94,1,easting,-0.836
801,1,1.06,easting,-0.752
801,1.06,1.12,easting,-1.645
801,1.12,1.18,easting,-0.815
801,1.18,1.24,easting,-0.692
801,1.24,1.3,easting,-0.763
801,1.3,1.36,easting,-0.787
801,1.36,1.42,easting,-0.299
801,1.42,1.48,easting,-1.018
801,1.48,1.54,easting,-0.97
801,1.54,1.6,easting,-1.559
802,0.61,0.64,easting,-0.675
802,0.64,0.7,easting,-1.186
802,0.7,0.76,easting,-0.89
802,0.76,0.82,easting,-1.328
802,0.82,0.88,easting,-0.677
802,0.88,0.94,easting,-1.248
802,0.94,1,easting,-1.492
802,1,1.06,easting,0.184
802,1.06,1.12,easting,-0.295
802,1.12,1.18,easting,-0.692
802,1.18,1.24,easting,-0.666
802,1.24,1.3,easting,-0.7
802,1.3,1.36,easting,-0.794
802,1.36,1.42,easting,-0.321
802,1.42,1.48,easting,-1.051
802,1.48,1.54,easting,-0.516
802,1.54,1.6,easting,-1.555
802,1.6,1.66,easting,-1.317
802,1.66,1.72,easting,-1.631
802,1.72,1.78,easting,-1.14
803,0.61,0.64,easting,-0.918
803,0.64,0.7,easting,-1.11
803,0.7,0.76,easting,-1.212
803,0.76,0.82,easting,-1.711
803,0.82,0.88,easting,-1.519
803,0.88,0.94,easting,-1.067
803,0.94,1,easting,-1.033
803,1,1.06,easting,-1.463
803,1.06,1.12,easting,0.075
803,1.12,1.18,easting,-1.081
803,1.18,1.24,easting,-0.705
803,1.24,1.3,easting,-0.996
803,1.3,1.36,easting,-0.901
803,1.36,1.42,easting,-1.077
803,1.42,1.48,easting,-0.52
803,1.48,1.54,easting,-1.046
803,1.54,1.6,easting,-1.461
803,1.6,1.66,easting,-0.934
803,1.66,1.72,easting,-0.94
803,1.72,1.78,easting,-1.088
803,1.78,1.84,easting,-0.774
804,0.61,0.64,easting,-2.129
804,0.7,0.76,easting,-1.309
804,0.76,0.82,easting,-0.947
804,0.82,0.88,easting,-1.024
804,0.88,0.94,easting,-0.902
804,0.94,1,easting,-0.8
804,1,1.06,easting,-1.393
