ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-17,14:30:24,0.2,4,0.09163053,29.64427056,-91.39659461
2,2021-08-17,14:30:25,0.38,3.98,0.13810574,29.64426935,-91.3965959
3,2021-08-17,14:30:26,0.52,4,0.13266796,29.64426973,-91.3965973
4,2021-08-17,14:30:27,0.65,3.99,0.14142573,29.64427035,-91.39659839
5,2021-08-17,14:30:28,0.81,3.96,0.15801528,29.64427121,-91.39659968
6,2021-08-17,14:30:29,0.96,3.94,0.14299093,29.64427213,-91.39660094
7,2021-08-17,14:30:30,1.09,3.9,0.123697214,29.64427275,-91.39660205
8,2021-08-17,14:30:31,1.21,3.91,0.122318424,29.64427328,-91.39660313
9,2021-08-17,14:30:32,1.34,3.85,0.11937108,29.64427382,-91.39660426
10,2021-08-17,14:30:33,1.45,3.8,0.11975363,29.64427427,-91.39660532
11,2021-08-17,14:30:34,1.58,3.73,0.11400403,29.64427457,-91.39660658
12,2021-08-17,14:30:35,1.68,3.66,0.12001102,29.64427475,-91.39660761
13,2021-08-17,14:30:36,1.82,3.51,0.14885104,29.64427504,-91.396609
14,2021-08-17,14:30:37,1.98,3.29,0.1778808,29.64427586,-91.39661041
15,2021-08-17,14:30:38,2.18,3.19,0.20880927,29.64427744,-91.39661144
16,2021-08-17,14:30:39,2.4,3.18,0.23781468,29.6442793,-91.39661217
17,2021-08-17,14:30:40,2.66,3.06,0.24325989,29.64428139,-91.39661336
18,2021-08-17,14:30:41,2.89,3.01,0.2140294,29.64428318,-91.39661452
19,2021-08-17,14:30:42,3.09,2.89,0.1981981,29.64428475,-91.39661554
20,2021-08-17,14:30:43,3.28,2.74,0.19936275,29.64428632,-91.39661648
21,2021-08-17,14:30:44,3.49,2.62,0.2113629,29.64428786,-91.39661761
22,2021-08-17,14:30:45,3.71,2.5,0.18473439,29.64428954,-91.39661882
23,2021-08-17,14:30:46,3.86,2.44,0.14041851,29.64429052,-91.39661991
24,2021-08-17,14:30:47,3.99,2.42,0.14275622,29.64429152,-91.39662063
25,2021-08-17,14:30:48,4.14,2.37,0.1637364,29.64429254,-91.39662174
26,2021-08-17,14:30:49,4.32,2.32,0.17155424,29.64429367,-91.39662295
27,2021-08-17,14:30:50,4.49,2.29,0.22363673,29.64429504,-91.39662383
28,2021-08-17,14:30:51,4.77,2.26,0.35734513,29.64429755,-91.39662422
29,2021-08-17,14:30:52,5.21,2.25,0.44447652,29.64430146,-91.39662452
30,2021-08-17,14:30:53,5.66,2.22,0.42917442,29.64430554,-91.39662502
31,2021-08-17,14:30:54,6.06,2.16,0.38913983,29.64430919,-91.39662506
32,2021-08-17,14:30:55,6.44,2.13,0.35801333,29.64431256,-91.39662483
33,2021-08-17,14:30:56,6.78,2.01,0.34315765,29.64431565,-91.39662513
34,2021-08-17,14:30:57,7.13,1.94,0.33847132,29.64431873,-91.39662543
35,2021-08-17,14:30:58,7.46,1.88,0.33313856,29.64432175,-91.39662548
36,2021-08-17,14:30:59,7.79,1.9,0.31269023,29.64432474,-91.39662528
