ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,-0.047
1,0.31,0.37,easting,-0.057
1,0.37,0.43,easting,-0.045
1,0.42,0.48,easting,-0.042
1,0.48,0.54,easting,-0.04
1,0.54,0.6,easting,-0.044
1,0.6,0.66,easting,-0.042
1,0.66,0.72,easting,-0.042
1,0.72,0.78,easting,-0.045
1,0.78,0.84,easting,-0.05
1,0.84,0.9,easting,-0.058
1,0.9,0.96,easting,-0.055
1,0.96,1.02,easting,-0.049
1,1.02,1.08,easting,-0.046
1,1.08,1.14,easting,-0.048
1,1.14,1.2,easting,-0.051
1,1.2,1.26,easting,-0.054
1,1.26,1.32,easting,-0.046
1,1.32,1.38,easting,-0.043
1,1.38,1.44,easting,-0.051
1,1.44,1.5,easting,-0.066
1,1.5,1.56,easting,-0.059
1,1.56,1.62,easting,-0.065
1,1.62,1.68,easting,-0.067
1,1.68,1.74,easting,-0.073
1,1.74,1.8,easting,-0.072
1,1.8,1.86,easting,-0.071
1,1.86,1.92,easting,-0.071
1,1.92,1.98,easting,-0.059
1,1.98,2.04,easting,-0.058
1,2.04,2.1,easting,-0.063
1,2.1,2.16,easting,-0.061
1,2.16,2.22,easting,-0.061
1,2.22,2.28,easting,-0.061
1,2.28,2.34,easting,-0.069
1,2.34,2.4,easting,-0.074
1,2.4,2.46,easting,-0.067
1,2.46,2.52,easting,-0.068
1,2.52,2.58,easting,-0.064
1,2.58,2.64,easting,-0.054
1,2.64,2.7,easting,-0.059
1,2.7,2.76,easting,-0.055
1,2.76,2.82,easting,-0.062
1,2.82,2.88,easting,-0.058
1,2.88,2.94,easting,-0.066
1,2.94,3,easting,-0.06
1,3,3.06,easting,-0.062
1,3.06,3.12,easting,-0.06
1,3.12,3.18,easting,-0.052
1,3.18,3.24,easting,-0.054
1,3.24,3.3,easting,-0.058
2,0.25,0.31,easting,-0.096
2,0.31,0.37,easting,-0.073
2,0.37,0.43,easting,-0.052
2,0.42,0.48,easting,-0.048
2,0.48,0.54,easting,-0.057
2,0.54,0.6,easting,-0.059
2,0.6,0.66,easting,-0.049
2,0.66,0.72,easting,-0.047
2,0.72,0.78,easting,-0.048
2,0.78,0.84,easting,-0.052
2,0.84,0.9,easting,-0.056
2,0.9,0.96,easting,-0.067
2,0.96,1.02,easting,-0.067
2,1.02,1.08,easting,-0.062
2,1.08,1.14,easting,-0.064
2,1.14,1.2,easting,-0.067
2,1.2,1.26,easting,-0.072
2,1.26,1.32,easting,-0.067
2,1.32,1.38,easting,-0.062
2,1.38,1.44,easting,-0.073
2,1.44,1.5,easting,-0.079
2,1.5,1.56,easting,-0.087
2,1.56,1.62,easting,-0.086
2,1.62,1.68,easting,-0.081
2,1.68,1.74,easting,-0.085
2,1.74,1.8,easting,-0.084
2,1.8,1.86,easting,-0.089
2,1.86,1.92,easting,-0.084
2,1.92,1.98,easting,-0.072
2,1.98,2.04,easting,-0.072
2,2.04,2.1,easting,-0.083
2,2.1,2.16,easting,-0.08
2,2.16,2.22,easting,-0.066
2,2.22,2.28,easting,-0.06
2,2.28,2.34,easting,-0.069
2,2.34,2.4,easting,-0.086
2,2.4,2.46,easting,-0.088
2,2.46,2.52,easting,-0.081
2,2.52,2.58,easting,-0.082
2,2.58,2.64,easting,-0.071
2,2.64,2.7,easting,-0.073
2,2.7,2.76,easting,-0.074
2,2.76,2.82,easting,-0.079
2,2.82,2.88,easting,-0.08
2,2.88,2.94,easting,-0.081
2,2.94,3,easting,-0.079
2,3,3.06,easting,-0.076
2,3.06,3.12,easting,-0.087
2,3.12,3.18,easting,-0.071
2,3.18,3.24,easting,-0.073
3,0.25,0.31,easting,-0.09
3,0.31,0.37,easting,-0.067
3,0.37,0.43,easting,-0.06
3,0.42,0.48,easting,-0.076
3,0.48,0.54,easting,-0.064
3,0.54,0.6,easting,-0.067
3,0.6,0.66,easting,-0.055
3,0.66,0.72,easting,-0.045
3,0.72,0.78,easting,-0.045
3,0.78,0.84,easting,-0.043
3,0.84,0.9,easting,-0.042
3,0.9,0.96,easting,-0.042
3,0.96,1.02,easting,-0.047
3,1.02,1.08,easting,-0.05
3,1.08,1.14,easting,-0.061
3,1.14,1.2,easting,-0.062
3,1.2,1.26,easting,-0.062
3,1.26,1.32,easting,-0.064
3,1.32,1.38,easting,-0.066
