ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.035
1,0.18,0.2,easting,0.031
1,0.2,0.22,easting,0.025
1,0.22,0.24,easting,0.029
1,0.24,0.26,easting,0.028
1,0.26,0.28,easting,0.026
1,0.28,0.3,easting,0.034
1,0.3,0.32,easting,0.04
1,0.32,0.34,easting,0.042
1,0.34,0.36,easting,0.038
2,0.16,0.18,easting,0.032
2,0.18,0.2,easting,0.029
2,0.2,0.22,easting,0.026
2,0.22,0.24,easting,0.025
2,0.24,0.26,easting,0.022
2,0.26,0.28,easting,0.019
2,0.28,0.3,easting,0.023
2,0.3,0.32,easting,0.029
2,0.32,0.34,easting,0.03
2,0.34,0.36,easting,0.031
2,0.36,0.38,easting,0.042
3,0.16,0.18,easting,0.027
3,0.18,0.2,easting,0.017
3,0.2,0.22,easting,0.013
3,0.22,0.24,easting,0.017
3,0.24,0.26,easting,0.015
3,0.26,0.28,easting,0.013
3,0.28,0.3,easting,0.012
3,0.3,0.32,easting,0.019
3,0.32,0.34,easting,0.027
3,0.34,0.36,easting,0.035
3,0.36,0.38,easting,0.035
4,0.16,0.18,easting,-0.025
4,0.18,0.2,easting,-0.03
4,0.2,0.22,easting,-0.033
4,0.22,0.24,easting,-0.026
4,0.24,0.26,easting,-0.023
4,0.26,0.28,easting,-0.028
4,0.28,0.3,easting,-0.032
4,0.3,0.32,easting,-0.03
4,0.32,0.34,easting,-0.019
4,0.34,0.36,easting,-0.007
4,0.36,0.38,easting,-0.009
5,0.16,0.18,easting,-0.016
5,0.18,0.2,easting,-0.028
5,0.2,0.22,easting,-0.024
5,0.22,0.24,easting,-0.025
5,0.24,0.26,easting,-0.025
5,0.26,0.28,easting,-0.023
5,0.28,0.3,easting,-0.023
5,0.3,0.32,easting,-0.023
5,0.32,0.34,easting,-0.017
5,0.34,0.36,easting,-0.011
5,0.36,0.38,easting,-0.013
6,0.16,0.18,easting,-0.037
6,0.18,0.2,easting,-0.052
6,0.2,0.22,easting,-0.06
6,0.22,0.24,easting,-0.06
6,0.24,0.26,easting,-0.052
6,0.26,0.28,easting,-0.046
6,0.28,0.3,easting,-0.038
6,0.3,0.32,easting,-0.033
6,0.32,0.34,easting,-0.034
6,0.34,0.36,easting,-0.034
6,0.36,0.38,easting,-0.036
7,0.16,0.18,easting,-0.015
7,0.18,0.2,easting,-0.027
7,0.2,0.22,easting,-0.037
7,0.22,0.24,easting,-0.035
7,0.24,0.26,easting,-0.027
7,0.26,0.28,easting,-0.019
7,0.28,0.3,easting,-0.017
7,0.3,0.32,easting,-0.005
7,0.32,0.34,easting,-0.007
7,0.34,0.36,easting,-0.01
7,0.36,0.38,easting,-0.007
8,0.16,0.18,easting,0.026
8,0.18,0.2,easting,0.011
8,0.2,0.22,easting,0.006
8,0.22,0.24,easting,0.015
8,0.24,0.26,easting,0.019
8,0.26,0.28,easting,0.027
8,0.28,0.3,easting,0.027
8,0.3,0.32,easting,0.027
8,0.32,0.34,easting,0.029
8,0.34,0.36,easting,0.03
8,0.36,0.38,easting,0.029
9,0.16,0.18,easting,-0.013
9,0.18,0.2,easting,-0.019
9,0.2,0.22,easting,-0.024
9,0.22,0.24,easting,-0.014
9,0.24,0.26,easting,-0.007
9,0.26,0.28,easting,-0.001
9,0.28,0.3,easting,-0.008
9,0.3,0.32,easting,-0.007
9,0.32,0.34,easting,-0.003
9,0.34,0.36,easting,-0.002
9,0.36,0.38,easting,-0.002
10,0.16,0.18,easting,0.001
10,0.18,0.2,easting,-0.009
10,0.2,0.22,easting,0.003
10,0.22,0.24,easting,0.012
10,0.24,0.26,easting,0.013
10,0.26,0.28,easting,0.016
10,0.28,0.3,easting,0.011
10,0.3,0.32,easting,0.007
10,0.32,0.34,easting,0.013
10,0.34,0.36,easting,0.019
10,0.36,0.38,easting,0.019
11,0.16,0.18,easting,-0.02
11,0.18,0.2,easting,-0.026
11,0.2,0.22,easting,-0.021
11,0.22,0.24,easting,-0.018
11,0.24,0.26,easting,-0.014
11,0.26,0.28,easting,-0.009
11,0.28,0.3,easting,-0.007
11,0.3,0.32,easting,-0.007
11,0.32,0.34,easting,-0.008
11,0.34,0.36,easting,-0.01
11,0.36,0.38,easting,-0.009
11,0.38,0.4,easting,-0.009
12,0.16,0.18,easting,0.011
12,0.18,0.2,easting,0.012
12,0.2,0.22,easting,0.01
12,0.22,0.24,easting,0.012
12,0.24,0.26,easting,0.021
12,0.26,0.28,easting,0.021
12,0.28,0.3,easting,0.022
12,0.3,0.32,easting,0.028
12,0.32,0.34,easting,0.033
12,0.34,0.36,easting,0.036
12,0.36,0.38,easting,0.028
13,0.16,0.18,easting,0.037
13,0.18,0.2,easting,0.041
13,0.2,0.22,easting,0.043
13,0.22,0.24,easting,0.037
13,0.24,0.26,easting,0.042
13,0.26,0.28,easting,0.046
13,0.28,0.3,easting,0.049
13,0.3,0.32,easting,0.05
13,0.32,0.34,easting,0.053
13,0.34,0.36,easting,0.057
13,0.36,0.38,easting,0.051
14,0.16,0.18,easting,-0.05
14,0.18,0.2,easting,-0.053
14,0.2,0.22,easting,-0.055
14,0.22,0.24,easting,-0.057
14,0.24,0.26,easting,-0.057
14,0.26,0.28,easting,-0.057
14,0.28,0.3,easting,-0.051
14,0.3,0.32,easting,-0.049
14,0.32,0.34,easting,-0.05
14,0.34,0.36,easting,-0.044
14,0.36,0.38,easting,-0.045
15,0.16,0.18,easting,0.023
15,0.18,0.2,easting,0.02
15,0.2,0.22,easting,0.018
15,0.22,0.24,easting,0.01
15,0.24,0.26,easting,0.011
15,0.26,0.28,easting,0.013
15,0.28,0.3,easting,0.016
15,0.3,0.32,easting,0.018
15,0.32,0.34,easting,0.02
15,0.34,0.36,easting,0.025
16,0.16,0.18,easting,-0.018
16,0.18,0.2,easting,-0.019
16,0.2,0.22,easting,-0.019
16,0.22,0.24,easting,-0.012
16,0.24,0.26,easting,-0.014
16,0.26,0.28,easting,-0.009
16,0.28,0.3,easting,-0.006
16,0.3,0.32,easting,-0.002
16,0.32,0.34,easting,0.001
16,0.34,0.36,easting,-0.001
16,0.36,0.38,easting,0.003
17,0.16,0.18,easting,-0.016
17,0.18,0.2,easting,-0.012
17,0.2,0.22,easting,-0.013
17,0.22,0.24,easting,-0.012
17,0.24,0.26,easting,-0.012
17,0.26,0.28,easting,-0.011
17,0.28,0.3,easting,-0.007
17,0.3,0.32,easting,-0.006
17,0.32,0.34,easting,-0.005
17,0.34,0.36,easting,-0.007
17,0.36,0.38,easting,-0.003
18,0.16,0.18,easting,0.047
18,0.18,0.2,easting,0.048
18,0.2,0.22,easting,0.046
18,0.22,0.24,easting,0.045
18,0.24,0.26,easting,0.041
18,0.26,0.28,easting,0.044
18,0.28,0.3,easting,0.046
18,0.3,0.32,easting,0.05
18,0.32,0.34,easting,0.051
18,0.34,0.36,easting,0.054
19,0.16,0.18,easting,-0.053
19,0.18,0.2,easting,-0.046
19,0.2,0.22,easting,-0.04
19,0.22,0.24,easting,-0.039
19,0.24,0.26,easting,-0.044
19,0.26,0.28,easting,-0.044
19,0.28,0.3,easting,-0.041
19,0.3,0.32,easting,-0.042
19,0.32,0.34,easting,-0.036
19,0.34,0.36,easting,-0.029
19,0.36,0.38,easting,-0.025
20,0.16,0.18,easting,-0.011
20,0.18,0.2,easting,-0.011
20,0.2,0.22,easting,-0.01
20,0.22,0.24,easting,-0.009
20,0.24,0.26,easting,-0.012
20,0.26,0.28,easting,-0.012
20,0.28,0.3,easting,-0.01
20,0.3,0.32,easting,-0.011
20,0.32,0.34,easting,-0.009
20,0.34,0.36,easting,-0.006
20,0.36,0.38,easting,-0.005
21,0.16,0.18,easting,-0.013
21,0.18,0.2,easting,-0.007
21,0.2,0.22,easting,-0.001
21,0.22,0.24,easting,0
21,0.24,0.26,easting,-0.001
21,0.26,0.28,easting,0.001
21,0.28,0.3,easting,-0.001
21,0.3,0.32,easting,-0.001
21,0.32,0.34,easting,0.002
21,0.34,0.36,easting,0.007
21,0.36,0.38,easting,0.006
22,0.16,0.18,easting,-0.013
