ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.042
1,0.31,0.37,easting,0.04
1,0.37,0.43,easting,0.044
1,0.42,0.48,easting,0.052
1,0.48,0.54,easting,0.06
1,0.54,0.6,easting,0.052
1,0.6,0.66,easting,0.065
1,0.66,0.72,easting,0.064
1,0.72,0.78,easting,0.063
1,0.78,0.84,easting,0.083
1,0.84,0.9,easting,0.066
1,0.9,0.96,easting,0.079
1,0.96,1.02,easting,0.067
1,1.02,1.08,easting,0.063
1,1.08,1.14,easting,0.048
1,1.14,1.2,easting,0.052
1,1.2,1.26,easting,0.053
1,1.26,1.32,easting,0.037
1,1.32,1.38,easting,0.038
1,1.38,1.44,easting,0.02
1,1.44,1.5,easting,0.026
1,1.5,1.56,easting,0.021
1,1.56,1.62,easting,0.019
1,1.62,1.68,easting,0.029
1,1.68,1.74,easting,0.014
1,1.74,1.8,easting,0.078
1,1.8,1.86,easting,0.048
2,0.25,0.31,easting,0.021
2,0.31,0.37,easting,0.027
2,0.37,0.43,easting,0.035
2,0.42,0.48,easting,0.033
2,0.48,0.54,easting,0.03
2,0.54,0.6,easting,0.042
2,0.6,0.66,easting,0.052
2,0.66,0.72,easting,0.051
2,0.72,0.78,easting,0.053
2,0.78,0.84,easting,0.058
2,0.84,0.9,easting,0.06
2,0.9,0.96,easting,0.052
2,0.96,1.02,easting,0.049
2,1.02,1.08,easting,0.045
2,1.08,1.14,easting,0.046
2,1.14,1.2,easting,0.05
2,1.2,1.26,easting,0.039
2,1.26,1.32,easting,0.039
2,1.32,1.38,easting,0.04
2,1.38,1.44,easting,0.032
2,1.44,1.5,easting,0.005
2,1.5,1.56,easting,0.019
2,1.56,1.62,easting,0.01
2,1.62,1.68,easting,0.008
2,1.68,1.74,easting,0.015
2,1.74,1.8,easting,0.039
2,1.8,1.86,easting,-0.02
3,0.25,0.31,easting,0.032
3,0.31,0.37,easting,0.03
3,0.37,0.43,easting,0.035
3,0.42,0.48,easting,0.04
3,0.48,0.54,easting,0.061
3,0.54,0.6,easting,0.049
3,0.6,0.66,easting,0.039
3,0.66,0.72,easting,0.026
3,0.72,0.78,easting,0.036
3,0.78,0.84,easting,0.037
3,0.84,0.9,easting,0.037
3,0.9,0.96,easting,0.048
3,0.96,1.02,easting,0.046
3,1.02,1.08,easting,0.037
3,1.08,1.14,easting,0.045
3,1.14,1.2,easting,0.048
3,1.2,1.26,easting,0.036
3,1.26,1.32,easting,0.024
3,1.32,1.38,easting,0.017
3,1.38,1.44,easting,0.012
3,1.44,1.5,easting,0.003
3,1.5,1.56,easting,0.015
3,1.56,1.62,easting,0.011
3,1.62,1.68,easting,0.021
3,1.68,1.74,easting,0.012
3,1.74,1.8,easting,0.009
3,1.8,1.86,easting,0.004
4,0.25,0.31,easting,0.025
4,0.31,0.37,easting,0.035
4,0.37,0.43,easting,0.042
4,0.42,0.48,easting,0.049
4,0.48,0.54,easting,0.05
4,0.54,0.6,easting,0.048
4,0.6,0.66,easting,0.033
4,0.66,0.72,easting,0.024
4,0.72,0.78,easting,0.027
4,0.78,0.84,easting,0.02
4,0.84,0.9,easting,0.031
4,0.9,0.96,easting,0.047
4,0.96,1.02,easting,0.051
4,1.02,1.08,easting,0.035
4,1.08,1.14,easting,0.044
4,1.14,1.2,easting,0.042
4,1.2,1.26,easting,0.038
4,1.26,1.32,easting,0.032
4,1.32,1.38,easting,0.02
4,1.38,1.44,easting,-0.021
4,1.44,1.5,easting,0.008
4,1.5,1.56,easting,-0.008
4,1.56,1.62,easting,-0.022
4,1.62,1.68,easting,0.007
4,1.68,1.74,easting,0.023
4,1.74,1.8,easting,0.049
5,0.25,0.31,easting,0.005
5,0.31,0.37,easting,0.077
5,0.37,0.43,easting,0.016
5,0.42,0.48,easting,0.113
5,0.48,0.54,easting,0.094
5,0.54,0.6,easting,0.008
5,0.6,0.66,easting,0.032
5,0.66,0.72,easting,0.029
5,0.72,0.78,easting,0.018
5,0.78,0.84,easting,-0.042
5,0.84,0.9,easting,0.019
5,0.9,0.96,easting,0.019
5,0.96,1.02,easting,0.024
5,1.02,1.08,easting,0.022
5,1.08,1.14,easting,0.021
5,1.14,1.2,easting,0.032
5,1.2,1.26,easting,0.03
5,1.26,1.32,easting,0.028
5,1.32,1.38,easting,0.019
5,1.38,1.44,easting,-0.02
5,1.44,1.5,easting,0.007
5,1.5,1.56,easting,-0.067
5,1.56,1.62,easting,-0.053
5,1.62,1.68,easting,-0.037
5,1.68,1.74,easting,0.053
5,1.74,1.8,easting,0.116
6,0.25,0.31,easting,0.027
6,0.31,0.37,easting,0.049
6,0.37,0.43,easting,0.065
6,0.42,0.48,easting,0.043
6,0.48,0.54,easting,0.058
6,0.54,0.6,easting,0.049
