ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
26,0.2,0.26,easting,-0.904
26,0.26,0.32,easting,-0.174
26,0.32,0.38,easting,0.824
26,0.38,0.44,easting,-0.503
26,0.44,0.5,easting,1.063
27,0.2,0.26,easting,-0.377
27,0.26,0.32,easting,0.235
27,0.32,0.38,easting,0.5
27,0.38,0.44,easting,0.341
27,0.44,0.5,easting,0.136
27,0.5,0.56,easting,-2.6
28,0.11,0.14,easting,-0.068
28,0.14,0.2,easting,0.113
28,0.2,0.26,easting,0.022
28,0.26,0.32,easting,0.042
28,0.32,0.38,easting,0.054
28,0.38,0.44,easting,0.072
28,0.44,0.5,easting,0.07
28,0.5,0.56,easting,0.064
28,0.56,0.62,easting,0.046
29,0.14,0.2,easting,-0.137
29,0.2,0.26,easting,-0.253
29,0.26,0.32,easting,-0.414
29,0.32,0.38,easting,-0.72
29,0.38,0.44,easting,-0.334
29,0.44,0.5,easting,-0.429
29,0.5,0.56,easting,-0.318
30,0.11,0.14,easting,0.428
30,0.14,0.2,easting,0.103
30,0.2,0.26,easting,-0.892
30,0.26,0.32,easting,-0.561
30,0.32,0.38,easting,-0.714
30,0.38,0.44,easting,0.256
30,0.44,0.5,easting,0.407
30,0.5,0.56,easting,-1.713
30,0.56,0.62,easting,-0.784
31,0.11,0.14,easting,0.434
31,0.14,0.2,easting,0.283
31,0.2,0.26,easting,-0.01
31,0.26,0.32,easting,-0.011
31,0.32,0.38,easting,0.014
31,0.38,0.44,easting,0.019
31,0.44,0.5,easting,0.011
31,0.5,0.56,easting,0
31,0.56,0.62,easting,0.004
31,0.62,0.68,easting,0.004
32,0.14,0.2,easting,0.083
33,0.14,0.2,easting,0.208
34,0.14,0.2,easting,-0.225
34,0.2,0.26,easting,0.062
34,0.26,0.32,easting,0.08
34,0.32,0.38,easting,0.09
34,0.38,0.44,easting,0.089
34,0.44,0.5,easting,0.097
34,0.5,0.56,easting,0.1
34,0.56,0.62,easting,0.093
34,0.62,0.68,easting,0.096
34,0.68,0.74,easting,0.062
36,0.14,0.2,easting,0.222
36,0.2,0.26,easting,0.063
36,0.26,0.32,easting,0.076
36,0.32,0.38,easting,0.077
36,0.38,0.44,easting,0.082
36,0.44,0.5,easting,0.09
36,0.5,0.56,easting,0.092
36,0.56,0.62,easting,0.07
36,0.62,0.68,easting,0.068
36,0.68,0.74,easting,0.066
37,0.14,0.2,easting,-0.211
37,0.2,0.26,easting,0.089
37,0.26,0.32,easting,0.089
37,0.32,0.38,easting,0.108
37,0.38,0.44,easting,0.115
37,0.44,0.5,easting,0.106
37,0.5,0.56,easting,0.108
37,0.56,0.62,easting,0.113
37,0.62,0.68,easting,0.091
37,0.68,0.74,easting,0.093
38,0.14,0.2,easting,-0.654
38,0.2,0.26,easting,0.092
38,0.26,0.32,easting,0.104
38,0.32,0.38,easting,0.106
38,0.38,0.44,easting,0.114
38,0.44,0.5,easting,0.113
38,0.5,0.56,easting,0.13
38,0.56,0.62,easting,0.119
38,0.62,0.68,easting,0.101
38,0.68,0.74,easting,0.108
39,0.14,0.2,easting,-0.018
39,0.2,0.26,easting,0.077
39,0.26,0.32,easting,0.091
39,0.32,0.38,easting,0.099
39,0.38,0.44,easting,0.104
39,0.44,0.5,easting,0.105
39,0.5,0.56,easting,0.137
39,0.56,0.62,easting,0.123
39,0.62,0.68,easting,0.086
40,0.14,0.2,easting,0.272
40,0.2,0.26,easting,0.02
40,0.26,0.32,easting,0.036
40,0.32,0.38,easting,0.047
40,0.38,0.44,easting,0.06
40,0.44,0.5,easting,0.047
40,0.5,0.56,easting,0.073
40,0.56,0.62,easting,0.061
40,0.62,0.68,easting,0.048
40,0.68,0.74,easting,0.042
41,0.14,0.2,easting,0.049
41,0.2,0.26,easting,0.006
41,0.26,0.32,easting,0.02
41,0.32,0.38,easting,0.036
41,0.38,0.44,easting,0.05
41,0.44,0.5,easting,0.045
41,0.5,0.56,easting,0.04
41,0.56,0.62,easting,0.04
41,0.62,0.68,easting,0.056
42,0.14,0.2,easting,-0.123
42,0.2,0.26,easting,0.032
42,0.26,0.32,easting,0.047
42,0.32,0.38,easting,0.054
42,0.38,0.44,easting,0.069
42,0.44,0.5,easting,0.067
42,0.5,0.56,easting,0.068
42,0.56,0.62,easting,0.078
42,0.62,0.68,easting,0.062
42,0.68,0.74,easting,0.025
43,0.14,0.2,easting,0.117
43,0.2,0.26,easting,0.033
43,0.26,0.32,easting,0.038
43,0.32,0.38,easting,0.069
43,0.38,0.44,easting,0.059
43,0.44,0.5,easting,0.075
43,0.5,0.56,easting,0.07
43,0.56,0.62,easting,0.088
43,0.62,0.68,easting,0.045
43,0.68,0.74,easting,0.031
44,0.14,0.2,easting,-4.39
44,0.2,0.26,easting,-4.217
44,0.26,0.32,easting,-4.21
44,0.32,0.38,easting,-4.195
44,0.38,0.44,easting,-4.187
44,0.44,0.5,easting,-4.181
44,0.5,0.56,easting,-4.186
44,0.56,0.62,easting,-4.184
44,0.62,0.68,easting,-4.2
44,0.68,0.74,easting,-4.143
45,0.14,0.2,easting,-4.105
45,0.2,0.26,easting,-4.247
45,0.26,0.32,easting,-4.238
45,0.32,0.38,easting,-4.228
45,0.38,0.44,easting,-4.22
45,0.44,0.5,easting,-4.221
45,0.5,0.56,easting,-4.215
45,0.56,0.62,easting,-4.209
45,0.62,0.68,easting,-4.242
45,0.68,0.74,easting,-4.187
46,0.14,0.2,easting,-0.122
46,0.2,0.26,easting,0.135
46,0.26,0.32,easting,0.143
46,0.32,0.38,easting,0.155
46,0.38,0.44,easting,0.167
46,0.44,0.5,easting,0.171
46,0.5,0.56,easting,0.178
46,0.56,0.62,easting,0.191
46,0.62,0.68,easting,0.172
46,0.68,0.74,easting,0.154
47,0.14,0.2,easting,0.255
47,0.2,0.26,easting,0.098
47,0.26,0.32,easting,0.11
47,0.32,0.38,easting,0.125
47,0.38,0.44,easting,0.127
47,0.44,0.5,easting,0.137
47,0.5,0.56,easting,0.132
47,0.56,0.62,easting,0.138
47,0.62,0.68,easting,0.115
47,0.68,0.74,easting,0.114
48,0.14,0.2,easting,0.27
48,0.2,0.26,easting,0.111
48,0.26,0.32,easting,0.122
48,0.32,0.38,easting,0.134
48,0.38,0.44,easting,0.142
48,0.44,0.5,easting,0.153
48,0.5,0.56,easting,0.142
48,0.56,0.62,easting,0.147
48,0.62,0.68,easting,0.136
48,0.68,0.74,easting,0.123
49,0.14,0.2,easting,0.092
49,0.2,0.26,easting,0.079
49,0.26,0.32,easting,0.112
49,0.32,0.38,easting,0.114
49,0.38,0.44,easting,0.132
49,0.44,0.5,easting,0.121
49,0.5,0.56,easting,0.126
49,0.56,0.62,easting,0.126
49,0.62,0.68,easting,0.116
49,0.68,0.74,easting,0.124
50,0.14,0.2,easting,0.015
50,0.2,0.26,easting,0.074
50,0.26,0.32,easting,0.08
50,0.32,0.38,easting,0.087
50,0.38,0.44,easting,0.125
50,0.44,0.5,easting,0.101
50,0.5,0.56,easting,0.089
50,0.56,0.62,easting,0.089
50,0.62,0.68,easting,0.084
50,0.68,0.74,easting,0.09
51,0.14,0.2,easting,0.279
51,0.2,0.26,easting,0.083
51,0.26,0.32,easting,0.103
51,0.32,0.38,easting,0.116
51,0.38,0.44,easting,0.121
51,0.44,0.5,easting,0.13
51,0.5,0.56,easting,0.123
51,0.56,0.62,easting,0.121
51,0.62,0.68,easting,0.114
51,0.68,0.74,easting,0.122
52,0.14,0.2,easting,0.253
52,0.2,0.26,easting,0.074
52,0.26,0.32,easting,0.077
52,0.32,0.38,easting,0.093
52,0.38,0.44,easting,0.108
52,0.44,0.5,easting,0.111
52,0.5,0.56,easting,0.11
52,0.56,0.62,easting,0.101
52,0.62,0.68,easting,0.093
52,0.68,0.74,easting,0.099
53,0.14,0.2,easting,-0.061
53,0.2,0.26,easting,0.033
53,0.26,0.32,easting,0.041
53,0.32,0.38,easting,0.052
53,0.38,0.44,easting,0.066
53,0.44,0.5,easting,0.074
53,0.5,0.56,easting,0.068
53,0.56,0.62,easting,0.071
53,0.62,0.68,easting,0.05
53,0.68,0.74,easting,0.065
54,0.14,0.2,easting,-0.221
54,0.2,0.26,easting,0.047
54,0.26,0.32,easting,0.052
54,0.32,0.38,easting,0.064
54,0.38,0.44,easting,0.075
54,0.44,0.5,easting,0.066
54,0.5,0.56,easting,0.085
54,0.56,0.62,easting,0.08
54,0.62,0.68,easting,0.091
54,0.68,0.74,easting,0.048
55,0.14,0.2,easting,0.144
55,0.2,0.26,easting,0.059
55,0.26,0.32,easting,0.066
55,0.32,0.38,easting,0.07
55,0.38,0.44,easting,0.087
55,0.44,0.5,easting,0.092
55,0.5,0.56,easting,0.095
55,0.56,0.62,easting,0.103
55,0.62,0.68,easting,0.104
55,0.68,0.74,easting,0.089
56,0.14,0.2,easting,0.18
56,0.2,0.26,easting,0.106
56,0.26,0.32,easting,0.09
56,0.32,0.38,easting,0.11
56,0.38,0.44,easting,0.119
56,0.44,0.5,easting,0.132
56,0.5,0.56,easting,0.139
56,0.56,0.62,easting,0.131
56,0.62,0.68,easting,0.127
56,0.68,0.74,easting,0.117
57,0.14,0.2,easting,-1.185
57,0.2,0.26,easting,-1.076
57,0.26,0.32,easting,-1.077
57,0.32,0.38,easting,-1.058
57,0.38,0.44,easting,-1.043
57,0.44,0.5,easting,-1.036
57,0.5,0.56,easting,-1.033
57,0.56,0.62,easting,-1.039
57,0.62,0.68,easting,-1.06
57,0.68,0.74,easting,-1.066
58,0.14,0.2,easting,-1.387
58,0.2,0.26,easting,-1.132
58,0.26,0.32,easting,-1.135
58,0.32,0.38,easting,-1.128
58,0.38,0.44,easting,-1.108
58,0.44,0.5,easting,-1.094
58,0.5,0.56,easting,-1.099
58,0.56,0.62,easting,-1.118
58,0.62,0.68,easting,-1.114
58,0.68,0.74,easting,-1.136
59,0.14,0.2,easting,0.096
59,0.2,0.26,easting,0.135
59,0.26,0.32,easting,0.144
59,0.32,0.38,easting,0.156
59,0.38,0.44,easting,0.162
59,0.44,0.5,easting,0.175
59,0.5,0.56,easting,0.171
59,0.56,0.62,easting,0.175
59,0.62,0.68,easting,0.166
59,0.68,0.74,easting,0.16
60,0.14,0.2,easting,0.004
60,0.2,0.26,easting,0.072
60,0.26,0.32,easting,0.071
60,0.32,0.38,easting,0.082
60,0.38,0.44,easting,0.094
60,0.44,0.5,easting,0.105
60,0.5,0.56,easting,0.121
60,0.56,0.62,easting,0.114
60,0.62,0.68,easting,0.11
60,0.68,0.74,easting,0.094
61,0.14,0.2,easting,-0.187
61,0.2,0.26,easting,0.064
61,0.26,0.32,easting,0.08
61,0.32,0.38,easting,0.089
61,0.38,0.44,easting,0.1
61,0.44,0.5,easting,0.109
61,0.5,0.56,easting,0.095
61,0.56,0.62,easting,0.103
61,0.62,0.68,easting,0.1
61,0.68,0.74,easting,0.08
62,0.14,0.2,easting,-0.362
62,0.2,0.26,easting,0.133
62,0.26,0.32,easting,0.123
62,0.32,0.38,easting,0.137
62,0.38,0.44,easting,0.147
