ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
200,2021-08-19,14:43:53.44,0,0.63,-9999,29.1714602608771,-90.8227532187461
201,2021-08-19,14:43:53.97,0.02,0.62,0.01,29.1714604313982,-90.8227532247103
202,2021-08-19,14:43:54.47,0.04,0.63,0.05,29.171460586777,-90.8227532639473
203,2021-08-19,14:43:55.79,0.07,0.65,0.01,29.1714608810052,-90.8227534105561
204,2021-08-19,14:43:55.56,0.1,0.68,0,29.1714611110392,-90.8227536234323
205,2021-08-19,14:43:56.16,0.14,0.7,0.07,29.171461366766,-90.8227539096096
206,2021-08-19,14:43:56.92,0.17,0.71,0.02,29.171461468233,-90.8227541316758
207,2021-08-19,14:43:57.51,0.18,0.71,0,29.1714615238681,-90.8227542037366
208,2021-08-19,14:43:58.09,0.19,0.72,0.01,29.171461451846,-90.8227542414168
209,2021-08-19,14:43:58.63,0.21,0.71,0.05,29.1714614946111,-90.8227544669669
210,2021-08-19,14:43:59.20,0.28,0.73,0.08,29.1714618602428,-90.8227550831529
211,2021-08-19,14:43:59.81,0.37,0.76,0.08,29.1714622724002,-90.8227559095867
212,2021-08-19,14:44:00.40,0.44,0.77,0.07,29.1714625668226,-90.8227564664321
213,2021-08-19,14:44:01.00,0.51,0.78,0.06,29.1714628932748,-90.8227571155972
214,2021-08-19,14:44:01.36,0.57,0.81,0.06,29.1714632284042,-90.8227575766446
215,2021-08-19,14:44:01.99,0.64,0.85,0.07,29.1714636564883,-90.8227580723468
216,2021-08-19,14:44:02.65,0.7,0.86,0.08,29.1714640901326,-90.8227585263372
217,2021-08-19,14:44:03.29,0.81,0.88,0.08,29.1714648757235,-90.8227591557603
218,2021-08-19,14:44:03.80,0.87,0.9,0.06,29.171465350652,-90.822759571367
219,2021-08-19,14:44:04.36,0.92,0.91,0.05,29.1714656838667,-90.8227599046928
220,2021-08-19,14:44:04.90,0.98,0.92,0.06,29.1714660442562,-90.8227602935538
221,2021-08-19,14:44:05.58,1.05,0.94,0.08,29.1714663604923,-90.8227608761779
222,2021-08-19,14:44:06.10,1.13,0.94,0.09,29.1714668172925,-90.8227616168896
223,2021-08-19,14:44:06.78,1.23,0.95,0.08,29.1714673533162,-90.8227624530831
224,2021-08-19,14:44:07.30,1.29,0.95,0.06,29.1714676172007,-90.8227629249392
225,2021-08-19,14:44:07.86,1.36,0.97,0.07,29.1714679881828,-90.8227635349283
226,2021-08-19,14:44:08.40,1.43,0.98,0.08,29.17146837674,-90.822764043812
