ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.066
1,0.31,0.37,easting,0.07
1,0.37,0.43,easting,0.06
1,0.43,0.49,easting,0.04
1,0.49,0.55,easting,0.045
1,0.55,0.61,easting,0.02
1,0.61,0.67,easting,0.022
1,0.67,0.73,easting,0.018
1,0.73,0.79,easting,0.024
1,0.79,0.85,easting,0.019
1,0.85,0.91,easting,0.024
1,0.91,0.97,easting,0.03
1,0.97,1.03,easting,0.035
1,1.03,1.09,easting,0.032
1,1.09,1.15,easting,0.058
2,0.25,0.31,easting,-0.007
2,0.31,0.37,easting,0.008
2,0.37,0.43,easting,0.002
2,0.43,0.49,easting,-0.003
2,0.49,0.55,easting,-0.007
2,0.55,0.61,easting,-0.017
2,0.61,0.67,easting,-0.02
2,0.67,0.73,easting,-0.026
2,0.73,0.79,easting,-0.032
2,0.79,0.85,easting,-0.028
2,0.85,0.91,easting,-0.024
2,0.91,0.97,easting,-0.025
2,0.97,1.03,easting,-0.017
2,1.03,1.09,easting,-0.027
3,0.25,0.31,easting,-0.015
3,0.31,0.37,easting,0.002
3,0.37,0.43,easting,0.015
3,0.43,0.49,easting,0.012
3,0.49,0.55,easting,0.015
3,0.55,0.61,easting,0.007
3,0.61,0.67,easting,0.005
3,0.67,0.73,easting,-0.001
3,0.73,0.79,easting,-0.006
3,0.79,0.85,easting,-0.003
3,0.85,0.91,easting,-0.005
3,0.91,0.97,easting,-0.002
3,0.97,1.03,easting,-0.007
3,1.03,1.09,easting,-0.002
4,0.25,0.31,easting,0.006
4,0.31,0.37,easting,0.006
4,0.37,0.43,easting,0.009
4,0.43,0.49,easting,0.002
4,0.49,0.55,easting,-0.006
4,0.55,0.61,easting,-0.005
4,0.61,0.67,easting,-0.012
4,0.67,0.73,easting,-0.017
4,0.73,0.79,easting,-0.019
4,0.79,0.85,easting,-0.019
4,0.85,0.91,easting,-0.015
4,0.91,0.97,easting,-0.022
4,0.97,1.03,easting,-0.024
4,1.03,1.09,easting,-0.01
5,0.25,0.31,easting,0.037
5,0.31,0.37,easting,0.009
5,0.37,0.43,easting,0.036
5,0.43,0.49,easting,0.032
5,0.49,0.55,easting,0.027
5,0.55,0.61,easting,0.02
5,0.61,0.67,easting,0.005
5,0.67,0.73,easting,0.007
5,0.73,0.79,easting,0.006
5,0.79,0.85,easting,0.004
5,0.85,0.91,easting,0.008
5,0.91,0.97,easting,0.011
5,0.97,1.03,easting,0.009
5,1.03,1.09,easting,0.014
6,0.25,0.31,easting,0.003
6,0.31,0.37,easting,-0.004
6,0.37,0.43,easting,0.02
6,0.43,0.49,easting,0.015
6,0.49,0.55,easting,0.01
6,0.55,0.61,easting,-0.008
6,0.61,0.67,easting,-0.018
6,0.67,0.73,easting,-0.013
6,0.73,0.79,easting,-0.01
6,0.79,0.85,easting,-0.004
6,0.85,0.91,easting,-0.009
6,0.91,0.97,easting,-0.002
6,0.97,1.03,easting,0.004
6,1.03,1.09,easting,-0.008
