ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
5832,2021-08-19,19:19:45.71,0,2.39,0.91,29.1713370377357,-90.8246922298654
5833,2021-08-19,19:19:46.52,0.95,2.49,0.97,29.1713398959579,-90.8247013887055
5834,2021-08-19,19:19:47.34,1.95,2.6,1.01,29.171342320937,-90.824711369835
5835,2021-08-19,19:19:48.13,2.96,2.68,1.03,29.1713446212676,-90.8247213978037
5836,2021-08-19,19:19:48.92,4.04,2.77,1.07,29.1713466427495,-90.8247321995682
5837,2021-08-19,19:19:49.67,5.09,2.87,1.02,29.1713486647663,-90.8247428121725
5838,2021-08-19,19:19:50.32,6.06,3.01,1.37,29.1713503559973,-90.8247525569208
5839,2021-08-19,19:19:51.50,7.84,3.12,1.07,29.1713533653194,-90.8247705708858
5840,2021-08-19,19:19:51.71,8.17,3.24,0.71,29.1713538249683,-90.8247739279018
5841,2021-08-19,19:19:52.40,9.27,3.34,1.52,29.1713555223549,-90.8247850510765
5842,2021-08-19,19:19:53.59,11.23,3.44,1.12,29.1713589023044,-90.8248048305308
5843,2021-08-19,19:19:53.75,11.5,3.48,0.69,29.1713593764698,-90.8248074707223
5844,2021-08-19,19:19:54.42,12.62,3.5,1.16,29.1713609466647,-90.8248189286266
5845,2021-08-19,19:19:55.11,13.81,3.59,1.18,29.1713634167399,-90.8248307972537
5846,2021-08-19,19:19:55.78,14.99,3.63,1.22,29.1713651101764,-90.8248427881501
5847,2021-08-19,19:19:56.50,16.25,3.65,1.24,29.1713669988238,-90.8248555767713
5848,2021-08-19,19:19:57.16,17.44,3.68,1.2,29.1713691394947,-90.8248674955272
5849,2021-08-19,19:19:57.86,18.73,3.71,1.27,29.1713714924435,-90.8248804850916
5850,2021-08-19,19:19:58.53,19.95,3.69,1.28,29.1713738981751,-90.8248927251643
5851,2021-08-19,19:19:59.24,21.26,3.7,1.27,29.1713762042881,-90.8249059418836
5852,2021-08-19,19:19:59.91,22.51,3.68,1.31,29.1713788464194,-90.8249184051848
5853,2021-08-19,19:20:00.61,23.85,3.66,1.3,29.1713811039245,-90.8249319621712
5854,2021-08-19,19:20:01.27,25.11,3.64,1.3,29.1713835971356,-90.8249445889846
5855,2021-08-19,19:20:01.99,26.47,3.61,1.33,29.1713858484572,-90.8249583763765
5856,2021-08-19,19:20:02.66,27.76,3.59,1.32,29.1713882041711,-90.8249713700059
5857,2021-08-19,19:20:03.35,29.13,3.53,1.52,29.1713903772894,-90.8249851754919
5858,2021-08-19,19:20:04.21,30.79,3.5,1.53,29.1713930949169,-90.8250019527694
5859,2021-08-19,19:20:04.90,32.15,3.51,1.31,29.1713950627621,-90.8250157852075
5860,2021-08-19,19:20:05.55,33.48,3.43,1.36,29.1713966767877,-90.8250292755877
5861,2021-08-19,19:20:06.25,34.85,3.42,1.37,29.1713990254078,-90.8250431102756
5862,2021-08-19,19:20:06.93,36.2,3.37,1.36,29.171400746223,-90.8250568985817
5863,2021-08-19,19:20:07.63,37.61,3.35,1.38,29.1714028719803,-90.8250711214206
5864,2021-08-19,19:20:08.27,38.95,3.35,1.56,29.1714047048815,-90.8250848117559
5865,2021-08-19,19:20:09.18,40.75,3.45,1.63,29.1714071531798,-90.8251031161641
5866,2021-08-19,19:20:09.85,42.18,3.41,1.36,29.1714087601573,-90.8251176727326
5867,2021-08-19,19:20:10.52,43.52,3.46,1.42,29.1714108843261,-90.8251312428246
5868,2021-08-19,19:20:11.23,44.96,3.39,1.37,29.1714131143282,-90.8251458294343
5869,2021-08-19,19:20:11.90,46.33,3.33,1.43,29.1714151927275,-90.825159692443
5870,2021-08-19,19:20:12.59,47.74,3.36,1.34,29.1714179127566,-90.825173842097
5871,2021-08-19,19:20:13.25,49.06,3.3,1.37,29.1714209419169,-90.8251869161072
5872,2021-08-19,19:20:13.96,50.47,3.37,1.34,29.171423575726,-90.8252010901973
5873,2021-08-19,19:20:14.63,51.78,3.35,1.35,29.1714272829811,-90.8252138630977
5874,2021-08-19,19:20:15.32,53.15,3.37,1.34,29.1714303602514,-90.8252275107457
5875,2021-08-19,19:20:15.99,54.46,3.4,1.31,29.1714332960579,-90.8252406144857
5876,2021-08-19,19:20:16.69,55.83,3.38,1.36,29.1714371819678,-90.825253999393
5877,2021-08-19,19:20:17.34,57.12,3.42,1.77,29.1714400430474,-90.825266779857
5878,2021-08-19,19:20:18.50,59.39,3.45,1.33,29.1714452414461,-90.8252893685712
5879,2021-08-19,19:20:18.72,59.82,3.45,0.92,29.1714460287555,-90.8252937353796
5880,2021-08-19,19:20:19.42,61.23,3.49,2.07,29.1714486548709,-90.8253078808545
5881,2021-08-19,19:20:20.79,63.98,3.59,1.37,29.1714542359037,-90.825335418541
5882,2021-08-19,19:20:20.77,64.02,3.56,0.64,29.1714541538988,-90.8253350357966
5883,2021-08-19,19:20:21.45,65.36,3.7,1.39,29.1714566962031,-90.8253485765185
5884,2021-08-19,19:20:22.15,66.75,3.59,1.36,29.1714597586118,-90.8253624208444
5885,2021-08-19,19:20:22.81,68.12,3.65,1.4,29.1714618002434,-90.8253762990288
5886,2021-08-19,19:20:23.51,69.52,3.55,1.34,29.1714652221149,-90.8253901111022
5887,2021-08-19,19:20:24.18,70.85,3.49,1.4,29.171467410026,-90.8254036079017
5888,2021-08-19,19:20:24.88,72.26,3.47,1.34,29.1714703949957,-90.8254176286224
5889,2021-08-19,19:20:25.53,73.59,3.41,1.38,29.1714732747789,-90.8254309504619
5890,2021-08-19,19:20:26.24,74.99,3.32,1.38,29.1714760165274,-90.8254449948178
5891,2021-08-19,19:20:26.91,76.33,3.27,1.37,29.171479325857,-90.8254582664812
5892,2021-08-19,19:20:27.60,77.75,2.95,1.34,29.171482251677,-90.8254724231211
5893,2021-08-19,19:20:28.26,79.06,2.58,1.35,29.1714854001141,-90.8254853990301
5894,2021-08-19,19:20:28.97,80.42,2.3,1.44,29.1714893459798,-90.8254985883966
5895,2021-08-19,19:20:29.75,81.96,1.97,1.53,29.1714930112267,-90.8255138869809
5896,2021-08-19,19:20:30.55,83.49,1.55,1.5,29.1714972294028,-90.8255288439166
5897,2021-08-19,19:20:31.33,84.98,1.42,1.48,29.1715008097867,-90.8255436395402
5898,2021-08-19,19:20:32.10,86.45,1.26,1.45,29.1715039940608,-90.8255582667037
5899,2021-08-19,19:20:32.88,87.88,1.22,1.37,29.1715067661916,-90.8255726270545
5900,2021-08-19,19:20:33.59,89.2,1.17,1.33,29.17150908246,-90.8255859176104
5901,2021-08-19,19:20:34.34,90.54,1.11,1.67,29.1715109995736,-90.8255995188163
5902,2021-08-19,19:20:35.50,92.51,1.07,1.21,29.1715132035641,-90.8256196726538
5903,2021-08-19,19:20:35.78,92.99,1.01,0.8,29.1715133449648,-90.8256246010152
5904,2021-08-19,19:20:36.49,94.12,0.94,1.09,29.1715133792849,-90.8256362126433
5905,2021-08-19,19:20:37.22,95.24,0.85,1.01,29.1715124551804,-90.8256476974764
5906,2021-08-19,19:20:37.92,96.27,0.9,0.91,29.1715109562456,-90.8256580646523
