ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
5832,0.605,0.63,easting,-1.796
5832,0.63,0.68,easting,-2.058
5832,0.68,0.73,easting,-1.903
5832,0.73,0.78,easting,-1.598
5832,0.78,0.83,easting,-1.825
5832,0.83,0.88,easting,-1.547
5832,0.88,0.93,easting,-1.378
5832,0.93,0.98,easting,-1.835
5832,0.98,1.03,easting,-1.52
5832,1.03,1.08,easting,-1.462
5832,1.08,1.13,easting,-1.197
5832,1.13,1.18,easting,-1.767
5832,1.18,1.23,easting,-1.844
5832,1.23,1.28,easting,-1.551
5832,1.28,1.33,easting,-2.084
5832,1.33,1.38,easting,-2.193
5832,1.38,1.43,easting,-1.382
5832,1.43,1.48,easting,-1.759
5832,1.48,1.53,easting,-1.466
5832,1.53,1.58,easting,-1.756
5832,1.58,1.63,easting,-2.13
5832,1.63,1.68,easting,-1.709
5832,1.68,1.73,easting,-1.717
5832,1.73,1.78,easting,-1.691
5832,1.78,1.83,easting,-1.703
5832,1.83,1.88,easting,-1.287
5832,1.88,1.93,easting,-1.656
5832,1.93,1.98,easting,-1.538
5832,1.98,2.03,easting,-1.681
5833,0.605,0.63,easting,-1.967
5833,0.63,0.68,easting,-1.87
5833,0.68,0.73,easting,-1.63
5833,0.73,0.78,easting,-1.71
5833,0.78,0.83,easting,-1.561
5833,0.83,0.88,easting,-1.482
5833,0.88,0.93,easting,-1.753
5833,0.93,0.98,easting,-1.649
5833,0.98,1.03,easting,-1.524
5833,1.03,1.08,easting,-1.522
5833,1.08,1.13,easting,-1.461
5833,1.13,1.18,easting,-1.944
5833,1.18,1.23,easting,-1.859
5833,1.23,1.28,easting,-1.675
5833,1.28,1.33,easting,-1.784
5833,1.33,1.38,easting,-2.284
5833,1.38,1.43,easting,-1.895
5833,1.43,1.48,easting,-1.763
5833,1.48,1.53,easting,-1.859
5833,1.53,1.58,easting,-1.884
5833,1.58,1.63,easting,-1.515
5833,1.63,1.68,easting,-1.883
5833,1.68,1.73,easting,-1.905
5833,1.73,1.78,easting,-1.597
5833,1.78,1.83,easting,-1.616
5833,1.83,1.88,easting,-1.571
5833,1.88,1.93,easting,-1.387
5833,1.93,1.98,easting,-1.139
5833,1.98,2.03,easting,-1.681
5833,2.03,2.08,easting,-1.712
5833,2.08,2.13,easting,-1.756
5834,0.605,0.63,easting,-1.709
5834,0.63,0.68,easting,-1.356
5834,0.68,0.73,easting,-1.516
5834,0.73,0.78,easting,-1.792
5834,0.78,0.83,easting,-1.593
5834,0.83,0.88,easting,-1.559
5834,0.88,0.93,easting,-1.968
5834,0.93,0.98,easting,-1.766
5834,0.98,1.03,easting,-1.832
5834,1.03,1.08,easting,-1.348
5834,1.08,1.13,easting,-1.293
5834,1.13,1.18,easting,-1.666
5834,1.18,1.23,easting,-1.365
5834,1.23,1.28,easting,-1.308
5834,1.28,1.33,easting,-1.687
5834,1.33,1.38,easting,-1.639
5834,1.38,1.43,easting,-1.66
5834,1.43,1.48,easting,-1.842
5834,1.48,1.53,easting,-1.742
5834,1.53,1.58,easting,-1.493
5834,1.58,1.63,easting,-1.738
5834,1.63,1.68,easting,-1.42
5834,1.68,1.73,easting,-1.794
5834,1.73,1.78,easting,-1.681
5834,1.78,1.83,easting,-1.658
5834,1.83,1.88,easting,-2.098
5834,1.88,1.93,easting,-1.675
5834,1.93,1.98,easting,-1.462
5834,1.98,2.03,easting,-1.457
5834,2.03,2.08,easting,-1.338
5834,2.08,2.13,easting,-1.491
5834,2.13,2.18,easting,-1.565
5834,2.18,2.23,easting,-1.471
5835,0.605,0.63,easting,-2.149
5835,0.63,0.68,easting,-2.288
5835,0.68,0.73,easting,-1.727
5835,0.73,0.78,easting,-1.726
5835,0.78,0.83,easting,-1.778
5835,0.83,0.88,easting,-1.58
5835,0.88,0.93,easting,-1.83
5835,0.93,0.98,easting,-1.876
5835,0.98,1.03,easting,-1.835
5835,1.03,1.08,easting,-1.919
5835,1.08,1.13,easting,-2.128
5835,1.13,1.18,easting,-1.864
5835,1.18,1.23,easting,-2.099
5835,1.23,1.28,easting,-1.639
5835,1.28,1.33,easting,-1.419
5835,1.33,1.38,easting,-1.52
5835,1.38,1.43,easting,-1.474
5835,1.43,1.48,easting,-1.497
5835,1.48,1.53,easting,-1.959
5835,1.53,1.58,easting,-1.703
5835,1.63,1.68,easting,-1.618
5835,1.68,1.73,easting,-1.39
5835,1.73,1.78,easting,-1.335
5835,1.78,1.83,easting,-1.664
5835,1.83,1.88,easting,-1.615
5835,1.88,1.93,easting,-1.52
5835,1.93,1.98,easting,-1.616
5835,1.98,2.03,easting,-1.7
5835,2.03,2.08,easting,-1.876
5835,2.08,2.13,easting,-1.799
5835,2.13,2.18,easting,-1.751
5835,2.18,2.23,easting,-1.672
5835,2.23,2.28,easting,-1.543
5836,0.605,0.63,easting,-1.797
5836,0.63,0.68,easting,-1.972
5836,0.68,0.73,easting,-1.771
5836,0.73,0.78,easting,-1.897
5836,0.78,0.83,easting,-1.736
5836,0.83,0.88,easting,-1.595
5836,0.88,0.93,easting,-1.902
5836,0.93,0.98,easting,-1.563
5836,0.98,1.03,easting,-1.743
5836,1.03,1.08,easting,-1.764
5836,1.08,1.13,easting,-1.941
5836,1.13,1.18,easting,-2.093
5836,1.18,1.23,easting,-1.962
5836,1.23,1.28,easting,-2.057
5836,1.28,1.33,easting,-1.674
5836,1.33,1.38,easting,-1.876
5836,1.38,1.43,easting,-1.641
5836,1.43,1.48,easting,-1.731
5836,1.48,1.53,easting,-1.692
5836,1.53,1.58,easting,-1.889
5836,1.58,1.63,easting,-1.123
5836,1.63,1.68,easting,-1.402
5836,1.68,1.73,easting,-1.578
5836,1.73,1.78,easting,-2.089
5836,1.78,1.83,easting,-1.924
5836,1.83,1.88,easting,-1.779
5836,1.88,1.93,easting,-1.801
5836,1.93,1.98,easting,-1.771
5836,1.98,2.03,easting,-1.879
5836,2.03,2.08,easting,-1.446
5836,2.08,2.13,easting,-2.04
5836,2.13,2.18,easting,-1.77
5836,2.18,2.23,easting,-1.532
5836,2.23,2.28,easting,-2.089
5836,2.28,2.33,easting,-1.528
5836,2.33,2.38,easting,-1.475
5837,0.605,0.63,easting,-2.059
5837,0.63,0.68,easting,-2.298
5837,0.68,0.73,easting,-1.981
5837,0.73,0.78,easting,-2.15
5837,0.78,0.83,easting,-2.008
5837,0.83,0.88,easting,-1.884
5837,0.88,0.93,easting,-2.297
5837,0.93,0.98,easting,-2.08
5837,0.98,1.03,easting,-2.237
5837,1.03,1.08,easting,-2.125
5837,1.08,1.13,easting,-1.947
5837,1.13,1.18,easting,-1.584
5837,1.18,1.23,easting,-2.418
5837,1.23,1.28,easting,-1.762
5837,1.28,1.33,easting,-1.927
5837,1.33,1.38,easting,-1.957
5837,1.38,1.43,easting,-1.742
5837,1.43,1.48,easting,-1.924
5837,1.48,1.53,easting,-1.993
5837,1.53,1.58,easting,-1.468
5837,1.58,1.63,easting,-1.869
5837,1.63,1.68,easting,-2.011
5837,1.68,1.73,easting,-1.574
5837,1.73,1.78,easting,-2.018
5837,1.78,1.83,easting,-2.044
5837,1.83,1.88,easting,-1.977
5837,1.88,1.93,easting,-1.975
5837,1.93,1.98,easting,-1.971
5837,1.98,2.03,easting,-1.836
5837,2.03,2.08,easting,-1.367
5837,2.08,2.13,easting,-1.894
5837,2.13,2.18,easting,-1.498
5837,2.18,2.23,easting,-1.813
5837,2.23,2.28,easting,-1.534
5837,2.28,2.33,easting,-1.735
5837,2.33,2.38,easting,-2.069
5837,2.38,2.43,easting,-1.811
5837,2.43,2.48,easting,-1.47
5838,0.605,0.63,easting,-2.061
5838,0.63,0.68,easting,-1.776
5838,0.68,0.73,easting,-2.139
5838,0.73,0.78,easting,-1.714
5838,0.78,0.83,easting,-1.64
5838,0.83,0.88,easting,-2.086
5838,0.88,0.93,easting,-1.828
5838,0.93,0.98,easting,-1.835
5838,0.98,1.03,easting,-2.38
5838,1.03,1.08,easting,-1.6
5838,1.08,1.13,easting,-2.171
5838,1.13,1.18,easting,-1.747
5838,1.18,1.23,easting,-1.963
5838,1.23,1.28,easting,-2.071
5838,1.28,1.33,easting,-1.998
5838,1.33,1.38,easting,-2.023
5838,1.38,1.43,easting,-2.208
5838,1.43,1.48,easting,-2.295
5838,1.48,1.53,easting,-1.809
5838,1.53,1.58,easting,-1.603
5838,1.58,1.63,easting,-1.787
5838,1.63,1.68,easting,-1.932
5838,1.68,1.73,easting,-1.499
5838,1.73,1.78,easting,-1.681
5838,1.78,1.83,easting,-1.934
5838,1.83,1.88,easting,-2.121
5838,1.88,1.93,easting,-1.926
5838,1.93,1.98,easting,-1.62
5838,1.98,2.03,easting,-2.164
5838,2.03,2.08,easting,-1.833
5838,2.08,2.13,easting,-2.073
5838,2.13,2.18,easting,-1.983
5838,2.18,2.23,easting,-2.141
5838,2.23,2.28,easting,-2.182
5838,2.28,2.33,easting,-1.574
5838,2.33,2.38,easting,-1.889
5838,2.38,2.43,easting,-1.461
5838,2.43,2.48,easting,-1.826
5838,2.48,2.53,easting,-2.166
5838,2.53,2.58,easting,-1.675
5838,2.58,2.63,easting,-1.655
5839,0.605,0.63,easting,-2.207
5839,0.63,0.68,easting,-1.875
5839,0.68,0.73,easting,-1.785
5839,0.73,0.78,easting,-2.113
5839,0.78,0.83,easting,-2.013
5839,0.83,0.88,easting,-1.933
5839,0.88,0.93,easting,-2.263
5839,0.93,0.98,easting,-2.061
5839,0.98,1.03,easting,-2.052
5839,1.03,1.08,easting,-1.661
5839,1.08,1.13,easting,-1.889
5839,1.13,1.18,easting,-2.277
5839,1.18,1.23,easting,-1.871
5839,1.23,1.28,easting,-1.733
5839,1.28,1.33,easting,-2.015
5839,1.33,1.38,easting,-1.673
5839,1.38,1.43,easting,-2.086
5839,1.43,1.48,easting,-1.92
5839,1.48,1.53,easting,-1.949
5839,1.53,1.58,easting,-2.136
5839,1.58,1.63,easting,-1.669
5839,1.63,1.68,easting,-2.006
5839,1.68,1.73,easting,-2.224
5839,1.73,1.78,easting,-2.122
5839,1.78,1.83,easting,-1.488
5839,1.83,1.88,easting,-1.665
5839,1.88,1.93,easting,-1.772
5839,1.93,1.98,easting,-1.831
5839,1.98,2.03,easting,-1.947
5839,2.03,2.08,easting,-2.062
5839,2.08,2.13,easting,-1.925
5839,2.13,2.18,easting,-1.846
5839,2.18,2.23,easting,-1.633
5839,2.23,2.28,easting,-1.606
5839,2.28,2.33,easting,-1.944
5839,2.33,2.38,easting,-1.155
5839,2.38,2.43,easting,-1.931
5839,2.43,2.48,easting,-1.657
5839,2.48,2.53,easting,-1.75
5839,2.53,2.58,easting,-1.676
5839,2.58,2.63,easting,-1.953
5839,2.63,2.68,easting,-2.062
5839,2.68,2.73,easting,-1.659
5840,0.605,0.63,easting,-2.189
5840,0.63,0.68,easting,-2.155
5840,0.68,0.73,easting,-2.15
5840,0.73,0.78,easting,-2.27
5840,0.78,0.83,easting,-2.15
5840,0.83,0.88,easting,-1.843
5840,0.88,0.93,easting,-1.794
5840,0.93,0.98,easting,-1.998
5840,0.98,1.03,easting,-1.832
5840,1.03,1.08,easting,-2.184
5840,1.08,1.13,easting,-2.249
5840,1.13,1.18,easting,-1.81
5840,1.18,1.23,easting,-2.093
5840,1.23,1.28,easting,-1.924
5840,1.28,1.33,easting,-1.666
5840,1.33,1.38,easting,-2.242
5840,1.38,1.43,easting,-2.405
5840,1.43,1.48,easting,-1.9
5840,1.48,1.53,easting,-2.015
5840,1.53,1.58,easting,-1.78
5840,1.58,1.63,easting,-2.268
5840,1.63,1.68,easting,-2.196
5840,1.68,1.73,easting,-2.285
5840,1.73,1.78,easting,-2.368
5840,1.78,1.83,easting,-2.074
5840,1.83,1.88,easting,-1.923
5840,1.88,1.93,easting,-1.515
5840,1.93,1.98,easting,-1.695
5840,1.98,2.03,easting,-1.823
5840,2.03,2.08,easting,-2.012
5840,2.08,2.13,easting,-1.944
5840,2.13,2.18,easting,-1.805
5840,2.18,2.23,easting,-2.141
5840,2.23,2.28,easting,-1.902
5840,2.28,2.33,easting,-1.883
5840,2.33,2.38,easting,-1.902
5840,2.38,2.43,easting,-1.681
5840,2.43,2.48,easting,-1.644
5840,2.48,2.53,easting,-2.012
5840,2.53,2.58,easting,-1.676
5840,2.58,2.63,easting,-1.951
5840,2.63,2.68,easting,-2.061
5840,2.68,2.73,easting,-1.658
5840,2.73,2.78,easting,-1.935
5840,2.78,2.83,easting,-2.208
5841,0.605,0.63,easting,-2.303
5841,0.63,0.68,easting,-2.022
5841,0.68,0.73,easting,-2.086
5841,0.73,0.78,easting,-2.158
5841,0.78,0.83,easting,-1.715
5841,0.83,0.88,easting,-2.128
5841,0.88,0.93,easting,-2.019
5841,0.93,0.98,easting,-2.082
5841,0.98,1.03,easting,-2.111
5841,1.03,1.08,easting,-1.96
5841,1.08,1.13,easting,-2.135
5841,1.13,1.18,easting,-1.557
5841,1.18,1.23,easting,-2.62
5841,1.23,1.28,easting,-1.714
5841,1.28,1.33,easting,-1.644
5841,1.33,1.38,easting,-1.612
5841,1.38,1.43,easting,-1.935
5841,1.43,1.48,easting,-1.992
5841,1.48,1.53,easting,-1.297
5841,1.53,1.58,easting,-2.269
5841,1.58,1.63,easting,-2.268
5841,1.63,1.68,easting,-1.772
5841,1.68,1.73,easting,-2.157
5841,1.73,1.78,easting,-1.976
5841,1.83,1.88,easting,-2.024
5841,1.88,1.93,easting,-2.006
5841,1.93,1.98,easting,-1.798
5841,1.98,2.03,easting,-1.744
5841,2.03,2.08,easting,-1.939
5841,2.08,2.13,easting,-1.625
5841,2.13,2.18,easting,-1.589
5841,2.18,2.23,easting,-1.734
5841,2.23,2.28,easting,-1.885
5841,2.28,2.33,easting,-1.652
5841,2.33,2.38,easting,-2.251
5841,2.38,2.43,easting,-1.676
5841,2.43,2.48,easting,-2.307
5841,2.48,2.53,easting,-1.546
5841,2.53,2.58,easting,-1.601
5841,2.58,2.63,easting,-2.07
5841,2.63,2.68,easting,-1.873
5841,2.68,2.73,easting,-1.736
5841,2.73,2.78,easting,-2.039
5841,2.78,2.83,easting,-1.846
5841,2.83,2.88,easting,-1.945
5841,2.88,2.93,easting,-1.894
5842,0.605,0.63,easting,-2.115
5842,0.63,0.68,easting,-1.951
5842,0.68,0.73,easting,-2.161
5842,0.73,0.78,easting,-1.852
5842,0.78,0.83,easting,-1.925
5842,0.83,0.88,easting,-1.863
5842,0.88,0.93,easting,-2.126
5842,0.93,0.98,easting,-2.183
5842,0.98,1.03,easting,-2.403
5842,1.03,1.08,easting,-1.903
5842,1.08,1.13,easting,-1.827
5842,1.13,1.18,easting,-1.999
5842,1.18,1.23,easting,-1.975
5842,1.23,1.28,easting,-1.776
5842,1.28,1.33,easting,-2.095
5842,1.33,1.38,easting,-2.305
5842,1.38,1.43,easting,-2.037
5842,1.43,1.48,easting,-2.143
5842,1.48,1.53,easting,-2.18
5842,1.53,1.58,easting,-2.148
5842,1.58,1.63,easting,-2.183
5842,1.63,1.68,easting,-2.403
5842,1.68,1.73,easting,-2.121
5842,1.73,1.78,easting,-2.16
5842,1.78,1.83,easting,-2.784
5842,1.83,1.88,easting,-2.234
5842,1.88,1.93,easting,-2.363
5842,1.93,1.98,easting,-2.216
5842,1.98,2.03,easting,-1.871
5842,2.03,2.08,easting,-2.254
5842,2.08,2.13,easting,-1.782
5842,2.13,2.18,easting,-2.505
5842,2.18,2.23,easting,-2.141
5842,2.23,2.28,easting,-2.079
5842,2.28,2.33,easting,-2.301
5842,2.33,2.38,easting,-1.91
5842,2.38,2.43,easting,-1.819
5842,2.43,2.48,easting,-2.086
5842,2.48,2.53,easting,-1.841
5842,2.53,2.58,easting,-2.024
5842,2.58,2.63,easting,-1.877
5842,2.63,2.68,easting,-2.222
5842,2.68,2.73,easting,-1.652
5842,2.73,2.78,easting,-2.549
5842,2.78,2.83,easting,-2.086
5842,2.83,2.88,easting,-2
5842,2.88,2.93,easting,-1.788
5842,2.93,2.98,easting,-1.895
5843,0.605,0.63,easting,-1.979
5843,0.63,0.68,easting,-2.244
5843,0.68,0.73,easting,-1.986
5843,0.73,0.78,easting,-2.252
5843,0.78,0.83,easting,-1.881
5843,0.83,0.88,easting,-1.595
5843,0.88,0.93,easting,-2
5843,0.93,0.98,easting,-2.136
5843,0.98,1.03,easting,-2.312
5843,1.03,1.08,easting,-1.935
5843,1.08,1.13,easting,-2.028
5843,1.13,1.18,easting,-2.228
5843,1.18,1.23,easting,-2.141
5843,1.23,1.28,easting,-2.034
5843,1.28,1.33,easting,-2.351
5843,1.33,1.38,easting,-2.212
5843,1.38,1.43,easting,-1.965
5843,1.43,1.48,easting,-1.982
5843,1.48,1.53,easting,-2.309
5843,1.53,1.58,easting,-2.234
5843,1.58,1.63,easting,-2.01
5843,1.63,1.68,easting,-2.42
5843,1.68,1.73,easting,-2.114
5843,1.73,1.78,easting,-2.219
5843,1.78,1.83,easting,-1.833
5843,1.83,1.88,easting,-2.185
5843,1.88,1.93,easting,-1.751
5843,1.93,1.98,easting,-2.36
5843,1.98,2.03,easting,-2.296
5843,2.03,2.08,easting,-2.318
5843,2.08,2.13,easting,-2.138
5843,2.13,2.18,easting,-2.453
5843,2.18,2.23,easting,-2.031
5843,2.23,2.28,easting,-1.668
5843,2.28,2.33,easting,-1.994
5843,2.33,2.38,easting,-2.247
5843,2.38,2.43,easting,-2.299
5843,2.43,2.48,easting,-1.682
5843,2.48,2.53,easting,-2.16
5843,2.53,2.58,easting,-2.265
5843,2.58,2.63,easting,-1.985
5843,2.63,2.68,easting,-1.516
5843,2.68,2.73,easting,-2.199
5843,2.73,2.78,easting,-1.951
5843,2.78,2.83,easting,-1.55
5843,2.83,2.88,easting,-2
5843,2.88,2.93,easting,-2.024
5843,2.93,2.98,easting,-1.649
5843,2.98,3.03,easting,-1.932
5843,3.03,3.08,easting,-1.969
5844,0.605,0.63,easting,-2.105
5844,0.63,0.68,easting,-2.059
5844,0.68,0.73,easting,-2.447
5844,0.73,0.78,easting,-2.272
5844,0.78,0.83,easting,-2.576
