ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
4357,0.605,0.63,easting,1.012
4357,0.63,0.68,easting,0.954
4357,0.68,0.73,easting,1.082
4357,0.73,0.78,easting,0.813
4357,0.78,0.83,easting,0.924
4357,0.83,0.88,easting,1.033
4357,0.88,0.93,easting,0.811
4357,0.93,0.98,easting,0.883
4357,0.98,1.03,easting,0.613
4357,1.03,1.08,easting,0.826
4357,1.08,1.13,easting,0.938
4357,1.13,1.18,easting,0.776
4357,1.18,1.23,easting,1.107
4357,1.23,1.28,easting,0.599
4357,1.28,1.33,easting,1.036
4358,0.605,0.63,easting,5.903
4358,0.63,0.68,easting,5.701
4358,0.68,0.73,easting,5.46
4358,0.73,0.78,easting,5.516
4358,0.78,0.83,easting,5.46
4358,0.83,0.88,easting,5.377
4358,0.88,0.93,easting,5.792
4358,0.93,0.98,easting,5.785
4358,0.98,1.03,easting,5.58
4358,1.03,1.08,easting,5.693
4358,1.08,1.13,easting,5.636
4358,1.13,1.18,easting,5.808
4358,1.18,1.23,easting,5.695
4358,1.23,1.28,easting,5.834
4358,1.28,1.33,easting,5.689
4358,1.33,1.38,easting,5.846
4358,1.38,1.43,easting,5.827
4358,1.43,1.48,easting,5.79
4359,0.605,0.63,easting,5.587
4359,0.63,0.68,easting,5.386
4359,0.68,0.73,easting,5.752
4359,0.73,0.78,easting,5.614
4359,0.78,0.83,easting,5.451
4359,0.83,0.88,easting,5.402
4359,0.88,0.93,easting,5.534
4359,0.93,0.98,easting,5.491
4359,0.98,1.03,easting,6.03
4359,1.03,1.08,easting,5.464
4359,1.08,1.13,easting,5.652
4359,1.13,1.18,easting,5.708
4359,1.18,1.23,easting,5.643
4359,1.23,1.28,easting,5.436
4359,1.28,1.33,easting,5.41
4359,1.33,1.38,easting,5.545
4359,1.38,1.43,easting,5.47
4359,1.43,1.48,easting,5.524
4359,1.48,1.53,easting,5.331
4359,1.53,1.58,easting,5.774
4359,1.58,1.63,easting,5.32
4359,1.63,1.68,easting,5.554
4360,0.605,0.63,easting,1.22
4360,0.63,0.68,easting,1.339
4360,0.68,0.73,easting,1.346
4360,0.78,0.83,easting,1.59
4360,0.83,0.88,easting,1.212
4360,0.88,0.93,easting,1.34
4360,0.93,0.98,easting,1.552
4360,0.98,1.03,easting,1.327
4360,1.03,1.08,easting,1.242
4360,1.08,1.13,easting,1.294
4360,1.18,1.23,easting,1.175
4360,1.23,1.28,easting,1.288
4360,1.28,1.33,easting,1.404
4360,1.33,1.38,easting,1.371
4360,1.38,1.43,easting,1.105
4360,1.43,1.48,easting,1.087
4360,1.48,1.53,easting,1.362
4360,1.53,1.58,easting,1.059
4360,1.58,1.63,easting,1.219
4360,1.63,1.68,easting,1.495
4360,1.68,1.73,easting,1.321
4361,0.605,0.63,easting,1.139
4361,0.63,0.68,easting,1.06
4361,0.68,0.73,easting,0.941
4361,0.73,0.78,easting,0.983
4361,0.78,0.83,easting,1.251
4361,0.83,0.88,easting,0.936
4361,0.88,0.93,easting,0.872
4361,0.93,0.98,easting,1.001
4361,0.98,1.03,easting,1.485
4361,1.03,1.08,easting,0.95
4361,1.08,1.13,easting,0.966
