ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-21,12:48:55,0.2,2.8,0.08060212,29.65383378,-91.24440894
2,2021-08-21,12:48:56,0.36,2.8,0.17340386,29.65383242,-91.24440953
3,2021-08-21,12:48:57,0.55,2.83,0.17246057,29.6538309,-91.24441034
4,2021-08-21,12:48:58,0.71,2.83,0.16718265,29.65382949,-91.24441073
5,2021-08-21,12:48:59,0.88,2.83,0.17036435,29.65382799,-91.24441125
6,2021-08-21,12:49:00,1.05,2.83,0.17363188,29.65382657,-91.24441183
7,2021-08-21,12:49:01,1.23,2.85,0.18076028,29.65382494,-91.24441207
8,2021-08-21,12:49:02,1.41,2.87,0.17265931,29.65382339,-91.24441266
9,2021-08-21,12:49:03,1.58,2.86,0.17838427,29.65382193,-91.24441299
10,2021-08-21,12:49:04,1.77,2.85,0.17382565,29.65382025,-91.24441347
11,2021-08-21,12:49:05,1.92,2.86,0.16941214,29.65381895,-91.24441411
12,2021-08-21,12:49:06,2.11,2.86,0.15889055,29.65381746,-91.2444149
13,2021-08-21,12:49:07,2.24,2.78,0.16358092,29.65381631,-91.24441539
14,2021-08-21,12:49:08,2.43,2.83,0.17916887,29.65381463,-91.24441586
15,2021-08-21,12:49:09,2.6,2.8,0.17150408,29.65381324,-91.24441655
16,2021-08-21,12:49:10,2.78,2.83,0.16957662,29.6538117,-91.244417
17,2021-08-21,12:49:11,2.94,2.76,0.16438219,29.65381029,-91.24441748
18,2021-08-21,12:49:12,3.11,2.88,0.1720509,29.65380884,-91.2444179
19,2021-08-21,12:49:13,3.29,2.78,0.17014402,29.65380728,-91.24441835
20,2021-08-21,12:49:14,3.45,3.01,0.17054121,29.65380593,-91.24441902
21,2021-08-21,12:49:15,3.63,2.72,0.16490395,29.65380446,-91.24441976
22,2021-08-21,12:49:16,3.78,2.91,0.15630688,29.65380325,-91.2444205
23,2021-08-21,12:49:17,3.94,2.62,0.14862646,29.65380189,-91.24442109
24,2021-08-21,12:49:18,4.08,2.96,0.15415503,29.65380085,-91.24442187
25,2021-08-21,12:49:19,4.25,2.17,0.15923221,29.65379947,-91.24442266
26,2021-08-21,12:49:20,4.4,3.04,0.108700804,29.65379833,-91.24442345
