ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
553,2021-08-21,14:02:25.77,0,1.13,0.36,29.540803189456,-91.4272407427771
554,2021-08-21,14:02:26.64,0.49,1.27,0.47,29.5408063722587,-91.4272441916851
555,2021-08-21,14:02:27.50,1.04,1.56,0.57,29.5408094565491,-91.4272486946671
556,2021-08-21,14:02:28.41,1.72,1.85,0.72,29.5408127471035,-91.4272546143675
557,2021-08-21,14:02:29.29,2.55,2.18,0.94,29.5408165131395,-91.4272620539369
558,2021-08-21,14:02:30.23,3.64,2.63,1.18,29.5408198273074,-91.4272726364825
559,2021-08-21,14:02:31.14,4.91,3.06,1.54,29.5408216625286,-91.4272855823023
560,2021-08-21,14:02:32.28,6.72,3.45,1.31,29.5408226250762,-91.4273042367498
561,2021-08-21,14:02:32.84,7.61,3.75,1.07,29.5408218307317,-91.427313360827
562,2021-08-21,14:02:33.68,9.02,4.03,1.32,29.5408206376077,-91.4273278260667
563,2021-08-21,14:02:34.50,10.46,4.3,1.33,29.5408184173026,-91.4273424939794
564,2021-08-21,14:02:35.34,11.94,4.48,1.35,29.5408160817916,-91.4273574918217
565,2021-08-21,14:02:36.20,13.44,4.74,1.74,29.5408138707716,-91.427372715793
566,2021-08-21,14:02:37.50,15.72,4.97,1.37,29.5408109618161,-91.4273960613924
567,2021-08-21,14:02:37.89,16.4,5.28,1,29.5408102821103,-91.4274030548618
568,2021-08-21,14:02:38.74,17.85,6.08,1.36,29.5408091165014,-91.4274179396581
569,2021-08-21,14:02:39.58,19.29,7.12,1.36,29.5408077675631,-91.4274327354522
570,2021-08-21,14:02:40.45,20.75,8.03,1.36,29.540806560049,-91.4274476632053
571,2021-08-21,14:02:41.30,22.19,8.79,1.35,29.5408050934452,-91.4274624288304
572,2021-08-21,14:02:42.18,23.65,9.9,1.7,29.5408032451214,-91.427477344833
573,2021-08-21,14:02:43.50,25.89,10.39,1.34,29.5408000482678,-91.4275001541612
574,2021-08-21,14:02:43.91,26.6,10.94,1.03,29.5407987662188,-91.4275073365049
575,2021-08-21,14:02:44.79,28.17,11.57,1.41,29.5407959186567,-91.4275232916277
576,2021-08-21,14:02:45.67,29.75,12.26,1.4,29.5407924973992,-91.4275391111631
577,2021-08-21,14:02:46.55,31.39,12.64,1.44,29.5407887525351,-91.4275554929359
578,2021-08-21,14:02:47.45,33.05,13.16,1.48,29.540784963892,-91.4275720642264
579,2021-08-21,14:02:48.35,34.76,14.12,1.5,29.5407811540918,-91.4275891352857
580,2021-08-21,14:02:49.25,36.47,14.35,1.52,29.54077766276,-91.4276062777814
581,2021-08-21,14:02:50.16,38.17,14.67,2.08,29.5407745614621,-91.4276234390044
582,2021-08-21,14:02:51.70,41.07,15.05,1.58,29.5407700939656,-91.4276529485823
583,2021-08-21,14:02:51.99,41.62,15.33,1.04,29.5407693559569,-91.4276585240712
584,2021-08-21,14:02:52.90,43.32,15.53,1.58,29.540767270905,-91.4276759316667
585,2021-08-21,14:02:53.80,45.02,15.75,1.61,29.5407653262128,-91.4276933050996
586,2021-08-21,14:02:54.75,46.8,15.98,1.63,29.5407631586692,-91.4277115198939
587,2021-08-21,14:02:55.68,48.53,16.03,1.64,29.5407614979844,-91.4277293316216
588,2021-08-21,14:02:56.59,50.3,16.36,1.65,29.5407594182747,-91.4277474201926
589,2021-08-21,14:02:57.51,52.09,16.48,1.67,29.5407573376153,-91.4277657337352
590,2021-08-21,14:02:58.44,53.9,16.52,1.69,29.5407553475892,-91.4277842336824
591,2021-08-21,14:02:59.36,55.73,16.57,1.72,29.5407534544768,-91.4278029931994
592,2021-08-21,14:03:00.30,57.56,16.61,1.73,29.5407519343911,-91.4278218594276
593,2021-08-21,14:03:01.25,59.39,16.62,1.73,29.5407506231819,-91.4278406863036
594,2021-08-21,14:03:02.18,61.21,16.59,1.73,29.5407496240619,-91.4278593504677
595,2021-08-21,14:03:03.11,63.04,16.66,2.16,29.5407488010152,-91.4278782533711
596,2021-08-21,14:03:04.50,65.72,16.69,1.73,29.5407480109486,-91.4279058919282
597,2021-08-21,14:03:04.97,66.63,16.75,1.31,29.5407478199809,-91.4279152997231
598,2021-08-21,14:03:05.90,68.43,16.8,1.73,29.5407477281765,-91.4279338507818
599,2021-08-21,14:03:06.82,70.22,16.84,1.75,29.5407479629218,-91.4279523173288
600,2021-08-21,14:03:07.76,72.02,16.95,1.75,29.5407482501755,-91.4279708749064
601,2021-08-21,14:03:08.71,73.82,17.11,1.75,29.5407487800406,-91.4279894225373
602,2021-08-21,14:03:09.65,75.6,17.24,1.74,29.5407498024427,-91.4280077293374
603,2021-08-21,14:03:10.58,77.37,17.34,1.75,29.5407510355622,-91.4280259998517
604,2021-08-21,14:03:11.52,79.12,17.39,1.73,29.5407527530371,-91.4280439481413
605,2021-08-21,14:03:12.47,80.88,17.42,1.74,29.5407542391868,-91.4280620217765
606,2021-08-21,14:03:13.41,82.65,17.57,1.74,29.5407558255874,-91.4280801795097
607,2021-08-21,14:03:14.34,84.39,17.59,1.76,29.5407584267524,-91.4280979242543
608,2021-08-21,14:03:15.29,86.18,17.71,1.75,29.5407607041727,-91.4281161435333
609,2021-08-21,14:03:16.23,87.91,17.77,1.77,29.540763306099,-91.4281337241963
610,2021-08-21,14:03:17.22,89.74,17.79,1.77,29.5407662628144,-91.4281523106444
611,2021-08-21,14:03:18.16,91.46,17.82,2.45,29.5407693822464,-91.4281697780494
612,2021-08-21,14:03:19.89,94.63,17.86,1.93,29.5407757464635,-91.4282015800981
613,2021-08-21,14:03:20.29,95.35,17.89,0.97,29.5407772760063,-91.428208831411
614,2021-08-21,14:03:20.97,96.57,17.89,1.46,29.5407797184429,-91.4282210929784
615,2021-08-21,14:03:21.90,98.27,17.92,1.72,29.5407833437045,-91.4282381470193
616,2021-08-21,14:03:22.83,100.02,18.05,1.77,29.5407869774198,-91.4282557633207
617,2021-08-21,14:03:23.77,101.8,18.03,1.8,29.54079070255,-91.4282736320631
618,2021-08-21,14:03:24.72,103.62,18.03,1.83,29.5407943291248,-91.4282918655628
619,2021-08-21,14:03:25.66,105.47,17.98,1.86,29.5407978147187,-91.4283105387775
620,2021-08-21,14:03:26.59,107.34,17.97,1.89,29.5408011092457,-91.4283295369022
621,2021-08-21,14:03:27.53,109.25,18.02,1.9,29.5408042881239,-91.4283488278184
622,2021-08-21,14:03:28.48,111.16,18.02,1.9,29.5408075148648,-91.4283681984846
623,2021-08-21,14:03:29.41,113.06,17.95,1.91,29.5408109346316,-91.4283874103473
624,2021-08-21,14:03:30.34,114.97,17.95,1.9,29.5408147985743,-91.4284066411355
625,2021-08-21,14:03:31.28,116.85,17.92,1.87,29.5408190548017,-91.4284254706393
626,2021-08-21,14:03:32.22,118.72,17.82,1.85,29.5408239742105,-91.4284438389378
627,2021-08-21,14:03:33.17,120.57,17.76,1.83,29.5408290962404,-91.4284620204247
628,2021-08-21,14:03:34.09,122.38,17.76,2.18,29.5408344322257,-91.4284797528149
