ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1548,2021-08-21,15:03:37.310,0,2.43,0,29.65750587,-91.24968787
1549,2021-08-21,15:03:38.000,0.03,2.41,0.03,29.6575059,-91.24968766
1550,2021-08-21,15:03:38.680,0.03,2.42,0,29.65750584,-91.24968768
1551,2021-08-21,15:03:39.400,0.04,2.45,0.01,29.65750579,-91.2496876
1552,2021-08-21,15:03:40.070,0.05,2.43,0.01,29.65750586,-91.24968733
1553,2021-08-21,15:03:40.770,0.07,2.43,0.02,29.65750588,-91.24968719
1554,2021-08-21,15:03:41.450,0.09,2.43,0.02,29.65750592,-91.24968697
1555,2021-08-21,15:03:42.140,0.11,2.41,0.02,29.65750595,-91.24968671
1556,2021-08-21,15:03:43.010,0.15,2.43,0.04,29.657506,-91.24968641
1557,2021-08-21,15:03:43.700,0.17,2.44,0.02,29.65750603,-91.24968617
1558,2021-08-21,15:03:44.380,0.21,2.43,0.04,29.65750608,-91.24968581
1559,2021-08-21,15:03:45.080,0.24,2.43,0.03,29.65750614,-91.24968554
1560,2021-08-21,15:03:45.750,0.27,2.44,0.03,29.65750621,-91.24968526
1561,2021-08-21,15:03:46.450,0.31,2.45,0.04,29.65750627,-91.24968486
1562,2021-08-21,15:03:47.120,0.34,2.47,0.03,29.65750635,-91.24968455
1563,2021-08-21,15:03:47.840,0.38,2.46,0.04,29.65750648,-91.24968408
1564,2021-08-21,15:03:48.520,0.43,2.46,0.05,29.65750655,-91.24968378
1565,2021-08-21,15:03:49.220,0.47,2.46,0.04,29.65750667,-91.24968325
1566,2021-08-21,15:03:49.880,0.52,2.44,0.05,29.65750682,-91.2496827
1567,2021-08-21,15:03:50.690,0.57,2.48,0.05,29.65750689,-91.24968238
1568,2021-08-21,15:03:51.410,0.61,2.44,0.04,29.65750706,-91.24968174
1569,2021-08-21,15:03:52.090,0.67,2.46,0.06,29.65750716,-91.24968134
1570,2021-08-21,15:03:52.800,0.72,2.49,0.05,29.65750728,-91.24968081
1571,2021-08-21,15:03:53.470,0.77,2.46,0.05,29.65750742,-91.24968031
1572,2021-08-21,15:03:54.180,0.83,2.47,0.06,29.65750751,-91.24967988
1573,2021-08-21,15:03:54.850,0.88,2.47,0.05,29.65750767,-91.24967929
1574,2021-08-21,15:03:55.560,0.94,2.44,0.06,29.65750787,-91.24967864
1575,2021-08-21,15:03:56.350,1.01,2.47,0.07,29.65750797,-91.24967821
1576,2021-08-21,15:03:57.050,1.06,2.48,0.05,29.65750816,-91.2496775
1577,2021-08-21,15:03:57.720,1.12,2.48,0.06,29.65750832,-91.24967702
1578,2021-08-21,15:03:58.430,1.18,2.48,0.06,29.65750847,-91.24967633
1579,2021-08-21,15:03:59.100,1.24,2.49,0.06,29.65750865,-91.24967577
1580,2021-08-21,15:03:59.800,1.31,2.51,0.07,29.6575088,-91.24967511
1581,2021-08-21,15:04:00.480,1.37,2.5,0.06,29.65750894,-91.2496746
1582,2021-08-21,15:04:01.160,1.43,2.55,0.06,29.65750911,-91.24967387
1583,2021-08-21,15:04:02.010,1.51,2.54,0.08,29.65750934,-91.24967312
1584,2021-08-21,15:04:02.690,1.57,2.55,0.06,29.65750949,-91.24967253
1585,2021-08-21,15:04:03.350,1.61,2.59,0.04,29.65750966,-91.24967195
1586,2021-08-21,15:04:04.020,1.7,2.66,0.09,29.65750948,-91.24967139
1587,2021-08-21,15:04:04.660,1.78,2.69,0.08,29.65750847,-91.24966994
1588,2021-08-21,15:04:05.330,1.91,2.69,0.13,29.65750761,-91.24966905
1589,2021-08-21,15:04:05.700,2.01,2.74,0.1,29.65750593,-91.24966757
1590,2021-08-21,15:04:06.370,2.21,2.71,0.2,29.65750408,-91.24966594
1591,2021-08-21,15:04:07.050,2.42,2.69,0.21,29.65750165,-91.24966389
1592,2021-08-21,15:04:07.720,2.65,2.73,0.23,29.65749997,-91.24966255
1593,2021-08-21,15:04:08.340,2.84,2.67,0.19,29.65749836,-91.24966108
1594,2021-08-21,15:04:08.930,3.03,2.7,0.19,29.65749681,-91.24965961
1595,2021-08-21,15:04:09.500,3.23,2.75,0.2,29.65749525,-91.24965832
1596,2021-08-21,15:04:10.170,3.44,2.73,0.21,29.65749379,-91.24965694
1597,2021-08-21,15:04:10.750,3.62,2.74,0.18,29.65749234,-91.24965561
1598,2021-08-21,15:04:11.350,3.81,2.75,0.19,29.6574909,-91.24965444
1599,2021-08-21,15:04:11.920,3.98,2.78,0.17,29.65748907,-91.24965275
1600,2021-08-21,15:04:12.670,4.21,2.76,0.23,29.65748773,-91.2496515
1601,2021-08-21,15:04:13.330,4.41,2.78,0.2,29.65748635,-91.24965039
1602,2021-08-21,15:04:13.940,4.59,2.78,0.18,29.65748505,-91.2496492
1603,2021-08-21,15:04:14.530,4.76,2.78,0.17,29.65748374,-91.24964802
1604,2021-08-21,15:04:15.140,4.95,2.78,0.19,29.65748244,-91.24964691
1605,2021-08-21,15:04:15.720,5.11,2.85,0.16,29.65748116,-91.24964587
1606,2021-08-21,15:04:16.330,5.28,2.86,0.17,29.65747993,-91.24964474
1607,2021-08-21,15:04:16.900,5.43,2.9,0.15,29.65747869,-91.24964367
1608,2021-08-21,15:04:17.520,5.61,2.95,0.18,29.65747743,-91.24964278
1609,2021-08-21,15:04:18.090,5.76,2.97,0.15,29.65747624,-91.2496417
1610,2021-08-21,15:04:18.700,5.91,2.97,0.15,29.65747544,-91.24964106
1611,2021-08-21,15:04:19.260,6.06,2.99,0.15,29.65747385,-91.24963983
1612,2021-08-21,15:04:19.860,6.22,3.03,0.16,29.65747305,-91.24963921
1613,2021-08-21,15:04:20.430,6.37,3.01,0.15,29.6574719,-91.24963831
1614,2021-08-21,15:04:21.020,6.51,3.04,0.14,29.65747072,-91.24963735
1615,2021-08-21,15:04:21.590,6.65,3.03,0.14,29.65746954,-91.24963659
1616,2021-08-21,15:04:22.200,6.79,3.01,0.14,29.65746802,-91.24963533
1617,2021-08-21,15:04:22.960,6.99,3.06,0.2,29.65746688,-91.24963455
1618,2021-08-21,15:04:23.550,7.13,3.08,0.14,29.65746576,-91.24963378
1619,2021-08-21,15:04:24.120,7.26,3.08,0.13,29.65746467,-91.24963294
1620,2021-08-21,15:04:24.720,7.4,3.08,0.14,29.65746356,-91.24963218
1621,2021-08-21,15:04:25.310,7.55,3.1,0.15,29.65746242,-91.24963147
1622,2021-08-21,15:04:25.910,7.75,3.14,0.2,29.65746099,-91.24963075
1623,2021-08-21,15:04:26.490,7.93,3.12,0.18,29.6574593,-91.24962988
1624,2021-08-21,15:04:27.100,8.11,3.1,0.18,29.65745764,-91.24962911
1625,2021-08-21,15:04:27.690,8.3,3.14,0.19,29.65745606,-91.24962845
1626,2021-08-21,15:04:28.330,8.49,3.14,0.19,29.65745447,-91.2496277
1627,2021-08-21,15:04:28.930,8.66,3.14,0.17,29.65745288,-91.24962697
1628,2021-08-21,15:04:29.560,8.85,3.16,0.19,29.65745135,-91.24962629
1629,2021-08-21,15:04:30.160,9.02,3.16,0.17,29.65744932,-91.24962538
1630,2021-08-21,15:04:30.980,9.25,3.17,0.23,29.65744783,-91.24962472
1631,2021-08-21,15:04:31.610,9.43,3.16,0.18,29.65744635,-91.24962409
1632,2021-08-21,15:04:32.210,9.6,3.17,0.17,29.65744489,-91.24962353
1633,2021-08-21,15:04:32.840,9.78,3.17,0.18,29.65744347,-91.2496229
1634,2021-08-21,15:04:33.430,9.94,3.19,0.16,29.65744159,-91.24962215
1635,2021-08-21,15:04:34.060,10.11,3.21,0.17,29.6574402,-91.24962154
1636,2021-08-21,15:04:34.660,10.26,3.19,0.15,29.65743883,-91.24962104
1637,2021-08-21,15:04:35.310,10.43,3.17,0.17,29.65743747,-91.24962044
1638,2021-08-21,15:04:35.900,10.59,3.19,0.16,29.65743615,-91.24961996
1639,2021-08-21,15:04:36.550,10.76,3.17,0.17,29.65743484,-91.2496194
1640,2021-08-21,15:04:37.160,10.91,3.19,0.15,29.65743353,-91.24961885
1641,2021-08-21,15:04:37.810,11.07,3.19,0.16,29.65743224,-91.24961839
1642,2021-08-21,15:04:38.440,11.22,3.23,0.15,29.65743056,-91.2496177
1643,2021-08-21,15:04:39.080,11.38,3.25,0.16,29.65742931,-91.24961717
1644,2021-08-21,15:04:39.700,11.52,3.27,0.14,29.65742808,-91.24961668
1645,2021-08-21,15:04:40.340,11.67,3.28,0.15,29.65742685,-91.24961622
1646,2021-08-21,15:04:40.940,11.8,3.28,0.13,29.65742564,-91.24961569
1647,2021-08-21,15:04:41.590,11.95,3.25,0.15,29.65742444,-91.24961523
1648,2021-08-21,15:04:42.200,12.09,3.3,0.14,29.65742287,-91.24961463
1649,2021-08-21,15:04:42.840,12.22,3.3,0.13,29.6574217,-91.24961415
1650,2021-08-21,15:04:43.470,12.37,3.32,0.15,29.65742054,-91.2496137
1651,2021-08-21,15:04:44.100,12.5,3.32,0.13,29.65741939,-91.24961323
1652,2021-08-21,15:04:44.720,12.63,3.34,0.13,29.65741824,-91.24961282
1653,2021-08-21,15:04:45.370,12.78,3.36,0.15,29.65741713,-91.24961235
1654,2021-08-21,15:04:45.980,12.95,3.36,0.17,29.65741599,-91.24961189
1655,2021-08-21,15:04:46.630,13.14,3.4,0.19,29.65741448,-91.24961155
1656,2021-08-21,15:04:47.230,13.31,3.36,0.17,29.65741227,-91.24961095
1657,2021-08-21,15:04:47.870,13.51,3.38,0.2,29.65741071,-91.24961051
1658,2021-08-21,15:04:48.470,13.67,3.4,0.16,29.65740916,-91.24961019
1659,2021-08-21,15:04:49.110,13.85,3.38,0.18,29.6574076,-91.24960979
1660,2021-08-21,15:04:49.730,14.03,3.4,0.18,29.65740608,-91.24960936
1661,2021-08-21,15:04:50.380,14.21,3.41,0.18,29.65740458,-91.24960907
1662,2021-08-21,15:04:50.980,14.36,3.43,0.15,29.65740309,-91.24960871
1663,2021-08-21,15:04:51.630,14.54,3.43,0.18,29.65740161,-91.24960832
1664,2021-08-21,15:04:52.260,14.71,3.45,0.17,29.65739968,-91.24960791
1665,2021-08-21,15:04:52.900,14.88,3.45,0.17,29.65739824,-91.24960751
1666,2021-08-21,15:04:53.510,15.04,3.43,0.16,29.65739681,-91.24960719
1667,2021-08-21,15:04:54.140,15.2,3.43,0.16,29.6573954,-91.24960688
1668,2021-08-21,15:04:54.750,15.35,3.43,0.15,29.65739401,-91.24960657
1669,2021-08-21,15:04:55.400,15.51,3.45,0.16,29.65739264,-91.24960622
1670,2021-08-21,15:04:56.010,15.66,3.53,0.15,29.6573908,-91.24960588
1671,2021-08-21,15:04:56.660,15.82,3.53,0.16,29.65738946,-91.24960555
1672,2021-08-21,15:04:57.290,15.99,3.56,0.17,29.65738807,-91.24960529
1673,2021-08-21,15:04:57.920,16.22,3.6,0.23,29.65738637,-91.24960503
1674,2021-08-21,15:04:58.530,16.42,3.6,0.2,29.65738437,-91.2496048
1675,2021-08-21,15:04:59.180,16.64,3.6,0.22,29.65738245,-91.2496045
1676,2021-08-21,15:04:59.800,16.86,3.64,0.22,29.65738002,-91.24960427
1677,2021-08-21,15:05:00.450,17.06,3.62,0.2,29.65737817,-91.24960405
1678,2021-08-21,15:05:01.070,17.26,3.64,0.2,29.65737635,-91.24960378
