ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,-0.066
1,0.31,0.37,easting,-0.054
1,0.37,0.43,easting,-0.042
1,0.42,0.48,easting,-0.04
1,0.48,0.54,easting,-0.039
1,0.54,0.6,easting,-0.039
1,0.6,0.66,easting,-0.036
1,0.66,0.72,easting,-0.033
1,0.72,0.78,easting,-0.031
1,0.78,0.84,easting,-0.035
1,0.84,0.9,easting,-0.029
1,0.9,0.96,easting,-0.034
1,0.96,1.02,easting,-0.031
1,1.02,1.08,easting,-0.035
1,1.08,1.14,easting,-0.033
1,1.14,1.2,easting,-0.028
1,1.2,1.26,easting,-0.034
1,1.26,1.32,easting,-0.04
1,1.32,1.38,easting,-0.028
1,1.38,1.44,easting,-0.036
1,1.44,1.5,easting,-0.041
1,1.5,1.56,easting,-0.048
1,1.56,1.62,easting,-0.044
1,1.62,1.68,easting,-0.048
1,1.68,1.74,easting,-0.043
1,1.74,1.8,easting,-0.042
1,1.8,1.86,easting,-0.04
1,1.86,1.92,easting,-0.049
1,1.92,1.98,easting,-0.037
1,1.98,2.04,easting,-0.041
1,2.04,2.1,easting,-0.047
1,2.1,2.16,easting,-0.039
1,2.16,2.22,easting,-0.043
1,2.22,2.28,easting,-0.04
1,2.28,2.34,easting,-0.051
1,2.34,2.4,easting,-0.05
1,2.4,2.46,easting,-0.135
1,2.46,2.52,easting,-0.052
1,2.52,2.58,easting,-0.042
2,0.25,0.31,easting,-0.038
2,0.31,0.37,easting,-0.044
2,0.37,0.43,easting,-0.047
2,0.42,0.48,easting,-0.036
2,0.48,0.54,easting,-0.032
2,0.54,0.6,easting,-0.029
2,0.6,0.66,easting,-0.023
2,0.66,0.72,easting,-0.024
2,0.72,0.78,easting,-0.028
2,0.78,0.84,easting,-0.021
2,0.84,0.9,easting,-0.031
2,0.9,0.96,easting,-0.028
2,0.96,1.02,easting,-0.029
2,1.02,1.08,easting,-0.027
2,1.08,1.14,easting,-0.032
2,1.14,1.2,easting,-0.033
2,1.2,1.26,easting,-0.034
2,1.26,1.32,easting,-0.036
2,1.32,1.38,easting,-0.033
2,1.38,1.44,easting,-0.041
2,1.44,1.5,easting,-0.033
2,1.5,1.56,easting,-0.044
2,1.56,1.62,easting,-0.038
2,1.62,1.68,easting,-0.028
2,1.68,1.74,easting,-0.037
2,1.74,1.8,easting,-0.037
2,1.8,1.86,easting,-0.035
2,1.86,1.92,easting,-0.036
2,1.92,1.98,easting,-0.04
2,1.98,2.04,easting,-0.045
2,2.04,2.1,easting,-0.039
2,2.1,2.16,easting,-0.038
2,2.16,2.22,easting,-0.039
2,2.22,2.28,easting,-0.042
2,2.28,2.34,easting,-0.036
2,2.34,2.4,easting,-0.03
2,2.4,2.46,easting,-0.035
2,2.46,2.52,easting,-0.04
2,2.52,2.58,easting,-0.054
3,0.25,0.31,easting,-0.016
3,0.31,0.37,easting,-0.023
3,0.37,0.43,easting,-0.017
3,0.42,0.48,easting,-0.024
3,0.48,0.54,easting,-0.014
3,0.54,0.6,easting,-0.016
3,0.6,0.66,easting,-0.019
3,0.66,0.72,easting,-0.006
3,0.72,0.78,easting,-0.008
3,0.78,0.84,easting,-0.007
3,0.84,0.9,easting,-0.005
3,0.9,0.96,easting,-0.004
3,0.96,1.02,easting,-0.002
3,1.02,1.08,easting,-0.009
3,1.08,1.14,easting,-0.01
3,1.14,1.2,easting,-0.008
3,1.2,1.26,easting,-0.01
3,1.26,1.32,easting,-0.009
3,1.32,1.38,easting,-0.011
3,1.38,1.44,easting,-0.011
3,1.44,1.5,easting,-0.004
3,1.5,1.56,easting,-0.007
3,1.56,1.62,easting,-0.004
3,1.62,1.68,easting,-0.011
3,1.68,1.74,easting,-0.011
3,1.74,1.8,easting,-0.005
3,1.8,1.86,easting,-0.01
3,1.86,1.92,easting,-0.003
3,1.92,1.98,easting,-0.005
3,1.98,2.04,easting,-0.012
3,2.04,2.1,easting,-0.018
3,2.1,2.16,easting,-0.009
3,2.16,2.22,easting,-0.008
3,2.22,2.28,easting,-0.008
3,2.28,2.34,easting,-0.021
3,2.34,2.4,easting,-0.018
3,2.4,2.46,easting,0.016
3,2.46,2.52,easting,0.008
3,2.52,2.58,easting,-0.016
4,0.25,0.31,easting,-0.047
4,0.31,0.37,easting,-0.056
4,0.37,0.43,easting,-0.042
4,0.42,0.48,easting,-0.046
4,0.48,0.54,easting,-0.044
4,0.54,0.6,easting,-0.043
4,0.6,0.66,easting,-0.043
4,0.66,0.72,easting,-0.033
4,0.72,0.78,easting,-0.034
4,0.78,0.84,easting,-0.031
4,0.84,0.9,easting,-0.035
4,0.9,0.96,easting,-0.03
4,0.96,1.02,easting,-0.033
4,1.02,1.08,easting,-0.032
4,1.08,1.14,easting,-0.039
4,1.14,1.2,easting,-0.034
4,1.2,1.26,easting,-0.033
4,1.26,1.32,easting,-0.038
4,1.32,1.38,easting,-0.032
4,1.38,1.44,easting,-0.036
4,1.44,1.5,easting,-0.039
4,1.5,1.56,easting,-0.042
4,1.56,1.62,easting,-0.042
4,1.62,1.68,easting,-0.038
4,1.68,1.74,easting,-0.037
4,1.74,1.8,easting,-0.042
