ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
4439,2021-08-21,15:42:04.410,0,1.43,0,29.64007138,-91.3195957
4440,2021-08-21,15:42:05.010,0.06,1.43,0.06,29.6400718,-91.31959581
4441,2021-08-21,15:42:05.580,0.1,1.42,0.04,29.64007221,-91.31959589
4442,2021-08-21,15:42:06.180,0.15,1.44,0.05,29.64007269,-91.31959586
4443,2021-08-21,15:42:06.740,0.2,1.43,0.05,29.64007312,-91.31959596
4444,2021-08-21,15:42:07.350,0.25,1.44,0.05,29.64007353,-91.31959601
4445,2021-08-21,15:42:07.910,0.29,1.42,0.04,29.64007399,-91.31959602
4446,2021-08-21,15:42:08.520,0.34,1.44,0.05,29.64007443,-91.31959613
4447,2021-08-21,15:42:09.090,0.39,1.45,0.05,29.64007498,-91.31959617
4448,2021-08-21,15:42:09.880,0.45,1.44,0.06,29.64007542,-91.31959627
4449,2021-08-21,15:42:10.470,0.5,1.45,0.05,29.64007573,-91.31959636
4450,2021-08-21,15:42:11.020,0.55,1.44,0.05,29.64007614,-91.31959637
4451,2021-08-21,15:42:11.630,0.59,1.45,0.04,29.64007649,-91.31959643
4452,2021-08-21,15:42:12.190,0.63,1.45,0.04,29.64007693,-91.31959648
4453,2021-08-21,15:42:12.780,0.68,1.44,0.05,29.6400773,-91.31959652
4454,2021-08-21,15:42:13.360,0.72,1.43,0.04,29.64007766,-91.31959656
4455,2021-08-21,15:42:13.960,0.76,1.42,0.04,29.64007809,-91.31959657
4456,2021-08-21,15:42:14.540,0.81,1.42,0.05,29.64007845,-91.31959664
4457,2021-08-21,15:42:15.130,0.85,1.42,0.04,29.64007899,-91.31959665
4458,2021-08-21,15:42:15.890,0.9,1.42,0.05,29.64007939,-91.31959668
4459,2021-08-21,15:42:16.490,0.95,1.41,0.05,29.64007975,-91.31959673
4460,2021-08-21,15:42:17.070,0.99,1.41,0.04,29.64008015,-91.31959675
4461,2021-08-21,15:42:17.680,1.03,1.41,0.04,29.64008041,-91.31959679
4462,2021-08-21,15:42:18.240,1.07,1.41,0.04,29.64008075,-91.31959683
4463,2021-08-21,15:42:18.820,1.11,1.4,0.04,29.64008112,-91.31959685
4464,2021-08-21,15:42:19.380,1.15,1.4,0.04,29.64008151,-91.31959692
4465,2021-08-21,15:42:19.970,1.19,1.41,0.04,29.64008182,-91.31959696
4466,2021-08-21,15:42:20.540,1.22,1.41,0.03,29.6400822,-91.31959704
4467,2021-08-21,15:42:21.120,1.26,1.42,0.04,29.64008264,-91.31959709
4468,2021-08-21,15:42:21.890,1.31,1.43,0.05,29.64008289,-91.31959714
4469,2021-08-21,15:42:22.480,1.35,1.44,0.04,29.64008308,-91.31959721
4470,2021-08-21,15:42:23.060,1.39,1.46,0.04,29.64008352,-91.31959726
4471,2021-08-21,15:42:23.850,1.44,1.47,0.05,29.64008372,-91.31959732
4472,2021-08-21,15:42:24.450,1.47,1.46,0.03,29.64008401,-91.31959736
4473,2021-08-21,15:42:25.020,1.51,1.45,0.04,29.64008431,-91.3195974
