ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.015
1,0.18,0.2,easting,-0.009
1,0.2,0.22,easting,0
1,0.22,0.24,easting,0.008
1,0.24,0.26,easting,0.009
1,0.26,0.28,easting,0.01
1,0.28,0.3,easting,0.023
1,0.3,0.32,easting,0.016
1,0.32,0.34,easting,0.015
1,0.34,0.36,easting,0.017
1,0.36,0.38,easting,0.019
1,0.38,0.4,easting,0.025
1,0.4,0.42,easting,0.015
1,0.42,0.44,easting,0.014
2,0.16,0.18,easting,-0.009
2,0.18,0.2,easting,0.003
2,0.2,0.22,easting,0.012
2,0.22,0.24,easting,0.015
2,0.24,0.26,easting,0.022
2,0.26,0.28,easting,0.023
2,0.28,0.3,easting,0.021
2,0.3,0.32,easting,0.024
2,0.32,0.34,easting,0.03
2,0.34,0.36,easting,0.028
2,0.36,0.38,easting,0.03
2,0.38,0.4,easting,0.029
2,0.4,0.42,easting,0.028
2,0.42,0.44,easting,0.027
3,0.16,0.18,easting,-0.023
3,0.18,0.2,easting,-0.018
3,0.2,0.22,easting,-0.011
3,0.22,0.24,easting,-0.007
3,0.24,0.26,easting,0.002
3,0.26,0.28,easting,0.001
3,0.28,0.3,easting,-0.005
3,0.3,0.32,easting,0.002
3,0.32,0.34,easting,0.004
3,0.34,0.36,easting,0.003
3,0.36,0.38,easting,0.002
3,0.38,0.4,easting,0.005
3,0.4,0.42,easting,0.006
3,0.42,0.44,easting,0.004
4,0.16,0.18,easting,-0.01
4,0.18,0.2,easting,0.003
4,0.2,0.22,easting,0.007
4,0.22,0.24,easting,0.019
4,0.24,0.26,easting,0.022
4,0.26,0.28,easting,0.018
4,0.28,0.3,easting,0.02
4,0.3,0.32,easting,0.022
4,0.32,0.34,easting,0.027
4,0.34,0.36,easting,0.029
4,0.36,0.38,easting,0.027
4,0.38,0.4,easting,0.023
4,0.4,0.42,easting,0.019
4,0.42,0.44,easting,0.021
5,0.16,0.18,easting,-0.032
5,0.18,0.2,easting,-0.031
5,0.2,0.22,easting,-0.027
5,0.22,0.24,easting,-0.023
5,0.24,0.26,easting,-0.017
5,0.26,0.28,easting,-0.015
5,0.28,0.3,easting,-0.013
5,0.3,0.32,easting,-0.007
5,0.32,0.34,easting,-0.008
5,0.34,0.36,easting,-0.007
5,0.36,0.38,easting,-0.001
5,0.38,0.4,easting,-0.003
5,0.4,0.42,easting,-0.001
5,0.42,0.44,easting,-0.001
6,0.16,0.18,easting,0.003
6,0.18,0.2,easting,0.004
6,0.2,0.22,easting,0.009
6,0.22,0.24,easting,0.008
6,0.24,0.26,easting,0.017
6,0.26,0.28,easting,0.015
6,0.28,0.3,easting,0.02
6,0.3,0.32,easting,0.021
6,0.32,0.34,easting,0.024
6,0.34,0.36,easting,0.026
6,0.36,0.38,easting,0.03
6,0.38,0.4,easting,0.027
6,0.4,0.42,easting,0.032
6,0.42,0.44,easting,0.036
7,0.16,0.18,easting,-0.03
7,0.18,0.2,easting,-0.02
7,0.2,0.22,easting,-0.015
7,0.22,0.24,easting,-0.009
7,0.24,0.26,easting,-0.01
7,0.26,0.28,easting,-0.014
7,0.28,0.3,easting,-0.01
7,0.3,0.32,easting,-0.008
7,0.32,0.34,easting,-0.004
7,0.34,0.36,easting,-0.006
7,0.36,0.38,easting,-0.001
7,0.38,0.4,easting,0.001
7,0.4,0.42,easting,-0.001
7,0.42,0.44,easting,0.002
8,0.16,0.18,easting,0.02
8,0.18,0.2,easting,0.029
8,0.2,0.22,easting,0.042
8,0.22,0.24,easting,0.041
8,0.24,0.26,easting,0.041
8,0.26,0.28,easting,0.039
8,0.28,0.3,easting,0.044
8,0.3,0.32,easting,0.044
8,0.32,0.34,easting,0.044
8,0.34,0.36,easting,0.044
8,0.36,0.38,easting,0.045
8,0.38,0.4,easting,0.046
8,0.4,0.42,easting,0.051
8,0.42,0.44,easting,0.053
9,0.16,0.18,easting,-0.013
9,0.18,0.2,easting,-0.003
9,0.2,0.22,easting,0.007
9,0.22,0.24,easting,0.005
9,0.24,0.26,easting,0.002
9,0.26,0.28,easting,0.007
9,0.28,0.3,easting,0.007
9,0.3,0.32,easting,0.009
9,0.32,0.34,easting,0.007
9,0.34,0.36,easting,0.008
9,0.36,0.38,easting,0.008
9,0.38,0.4,easting,0.009
9,0.4,0.42,easting,0.015
9,0.42,0.44,easting,0.014
10,0.16,0.18,easting,0.005
10,0.18,0.2,easting,0.019
10,0.2,0.22,easting,0.018
10,0.22,0.24,easting,0.023
10,0.24,0.26,easting,0.025
10,0.26,0.28,easting,0.026
10,0.28,0.3,easting,0.025
10,0.3,0.32,easting,0.026
10,0.32,0.34,easting,0.026
10,0.34,0.36,easting,0.028
10,0.36,0.38,easting,0.028
10,0.38,0.4,easting,0.028
10,0.4,0.42,easting,0.035
10,0.42,0.44,easting,0.029
11,0.16,0.18,easting,-0.034
11,0.18,0.2,easting,-0.029
11,0.2,0.22,easting,-0.024
11,0.22,0.24,easting,-0.026
11,0.24,0.26,easting,-0.024
11,0.26,0.28,easting,-0.024
11,0.28,0.3,easting,-0.023
11,0.3,0.32,easting,-0.022
11,0.32,0.34,easting,-0.024
11,0.34,0.36,easting,-0.02
11,0.36,0.38,easting,-0.023
11,0.38,0.4,easting,-0.02
11,0.4,0.42,easting,-0.019
11,0.42,0.44,easting,-0.019
12,0.16,0.18,easting,-0.002
12,0.18,0.2,easting,0.007
12,0.2,0.22,easting,0.011
12,0.22,0.24,easting,0.015
12,0.24,0.26,easting,0.012
12,0.26,0.28,easting,0.011
12,0.28,0.3,easting,0.016
12,0.3,0.32,easting,0.014
12,0.32,0.34,easting,0.015
12,0.34,0.36,easting,0.013
12,0.36,0.38,easting,0.014
12,0.38,0.4,easting,0.016
12,0.4,0.42,easting,0.018
12,0.42,0.44,easting,0.017
13,0.16,0.18,easting,-0.009
13,0.18,0.2,easting,-0.002
13,0.2,0.22,easting,0.007
13,0.22,0.24,easting,0.011
13,0.24,0.26,easting,0.01
13,0.26,0.28,easting,0.011
13,0.28,0.3,easting,0.015
13,0.3,0.32,easting,0.013
13,0.32,0.34,easting,0.016
13,0.34,0.36,easting,0.016
13,0.36,0.38,easting,0.008
13,0.38,0.4,easting,0.01
13,0.4,0.42,easting,0.011
14,0.16,0.18,easting,0.005
14,0.18,0.2,easting,0.031
14,0.2,0.22,easting,0.027
14,0.22,0.24,easting,0.029
14,0.24,0.26,easting,0.028
14,0.26,0.28,easting,0.026
14,0.28,0.3,easting,0.025
14,0.3,0.32,easting,0.027
14,0.32,0.34,easting,0.026
14,0.34,0.36,easting,0.026
14,0.36,0.38,easting,0.027
14,0.38,0.4,easting,0.03
14,0.4,0.42,easting,0.027
15,0.16,0.18,easting,-0.003
15,0.18,0.2,easting,-0.001
15,0.2,0.22,easting,0.013
15,0.22,0.24,easting,0.013
15,0.24,0.26,easting,0.009
15,0.26,0.28,easting,0.007
15,0.28,0.3,easting,0.004
15,0.3,0.32,easting,0.004
15,0.32,0.34,easting,0.006
15,0.34,0.36,easting,0.003
15,0.36,0.38,easting,0
15,0.38,0.4,easting,0.001
15,0.4,0.42,easting,0.003
15,0.42,0.44,easting,0.004
16,0.16,0.18,easting,0.018
16,0.18,0.2,easting,0.028
16,0.2,0.22,easting,0.032
16,0.22,0.24,easting,0.035
16,0.24,0.26,easting,0.039
16,0.26,0.28,easting,0.034
16,0.28,0.3,easting,0.03
16,0.3,0.32,easting,0.033
16,0.32,0.34,easting,0.029
16,0.34,0.36,easting,0.027
16,0.36,0.38,easting,0.02
16,0.38,0.4,easting,0.017
16,0.4,0.42,easting,0.011
16,0.42,0.44,easting,0.013
17,0.16,0.18,easting,-0.015
17,0.18,0.2,easting,-0.004
17,0.2,0.22,easting,0.007
17,0.22,0.24,easting,0.007
17,0.24,0.26,easting,0.008
17,0.26,0.28,easting,0.008
17,0.28,0.3,easting,0.009
17,0.3,0.32,easting,0.014
17,0.32,0.34,easting,0.008
17,0.34,0.36,easting,0.01
17,0.36,0.38,easting,0.01
17,0.38,0.4,easting,0.009
17,0.4,0.42,easting,0.009
17,0.42,0.44,easting,0.012
18,0.16,0.18,easting,-0.008
18,0.18,0.2,easting,0.002
18,0.2,0.22,easting,0.014
18,0.22,0.24,easting,0.012
18,0.24,0.26,easting,0.017
18,0.26,0.28,easting,0.016
18,0.28,0.3,easting,0.017
18,0.3,0.32,easting,0.015
18,0.32,0.34,easting,0.009
18,0.34,0.36,easting,0.012
18,0.36,0.38,easting,0.008
18,0.38,0.4,easting,0.007
18,0.4,0.42,easting,0.001
18,0.42,0.44,easting,-0.001
19,0.16,0.18,easting,0.001
19,0.18,0.2,easting,0.015
19,0.2,0.22,easting,0.012
19,0.22,0.24,easting,0.02
19,0.24,0.26,easting,0.019
19,0.26,0.28,easting,0.016
19,0.28,0.3,easting,0.025
19,0.3,0.32,easting,0.029
19,0.32,0.34,easting,0.026
19,0.34,0.36,easting,0.028
19,0.36,0.38,easting,0.022
19,0.38,0.4,easting,0.026
19,0.4,0.42,easting,0.025
19,0.42,0.44,easting,0.027
20,0.16,0.18,easting,-0.023
20,0.18,0.2,easting,-0.028
20,0.2,0.22,easting,-0.025
20,0.22,0.24,easting,-0.017
20,0.24,0.26,easting,-0.017
20,0.26,0.28,easting,-0.021
20,0.28,0.3,easting,-0.019
20,0.3,0.32,easting,-0.014
20,0.32,0.34,easting,-0.013
20,0.34,0.36,easting,-0.014
20,0.36,0.38,easting,-0.017
20,0.38,0.4,easting,-0.021
20,0.4,0.42,easting,-0.019
20,0.42,0.44,easting,-0.014
21,0.16,0.18,easting,0.002
21,0.18,0.2,easting,-0.002
21,0.2,0.22,easting,0.011
21,0.22,0.24,easting,0.018
21,0.24,0.26,easting,0.018
21,0.26,0.28,easting,0.014
21,0.28,0.3,easting,0.009
21,0.3,0.32,easting,0.002
21,0.32,0.34,easting,0.006
21,0.34,0.36,easting,0.012
21,0.36,0.38,easting,0.015
21,0.38,0.4,easting,0.015
