ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-21,17:17:36,0.27,1.14,0.13671929,29.59160678,-91.21415223
2,2021-08-21,17:17:37,0.54,1.13,0.26385635,29.59160923,-91.2141519
3,2021-08-21,17:17:38,0.79,1.11,0.2579933,29.59161151,-91.21415161
4,2021-08-21,17:17:39,1.06,1.1,0.26035416,29.59161384,-91.21415116
5,2021-08-21,17:17:40,1.31,1.09,0.24636513,29.59161617,-91.21415093
6,2021-08-21,17:17:41,1.55,1.08,0.24648857,29.59161823,-91.21415036
7,2021-08-21,17:17:42,1.81,1.07,0.23992373,29.59162049,-91.21414972
8,2021-08-21,17:17:43,2.03,1.06,0.2256601,29.59162238,-91.21414895
9,2021-08-21,17:17:44,2.26,1.05,0.23609409,29.5916244,-91.21414842
10,2021-08-21,17:17:45,2.5,1.04,0.24781835,29.59162657,-91.21414807
11,2021-08-21,17:17:46,2.76,1.04,0.25210235,29.59162878,-91.21414739
12,2021-08-21,17:17:47,3.01,1.02,0.24702692,29.59163099,-91.21414684
13,2021-08-21,17:17:48,3.25,1.02,0.22283198,29.59163311,-91.21414618
14,2021-08-21,17:17:49,3.45,1.02,0.20674647,29.59163482,-91.21414544
15,2021-08-21,17:17:50,3.66,1,0.19589823,29.59163669,-91.21414498
16,2021-08-21,17:17:51,3.84,0.99,0.18689448,29.59163826,-91.21414451
17,2021-08-21,17:17:52,4.04,0.98,0.16460133,29.59163993,-91.21414391
18,2021-08-21,17:17:53,0.18,0.97,0.16259243,29.59164123,-91.2141445
19,2021-08-21,17:17:54,0.37,0.97,0.19718775,29.59164286,-91.21414374
20,2021-08-21,17:17:55,0.57,0.96,0.1907353,29.59164452,-91.21414295
21,2021-08-21,17:17:56,0.76,0.96,0.17969392,29.59164607,-91.21414232
22,2021-08-21,17:17:57,0.93,0.95,0.18894383,29.59164756,-91.21414166
23,2021-08-21,17:17:58,1.14,0.95,0.19990684,29.59164909,-91.21414051
24,2021-08-21,17:17:59,1.33,0.94,0.22591008,29.59165066,-91.21413955
25,2021-08-21,17:18:00,1.59,0.95,0.30630556,29.59165252,-91.21413799
26,2021-08-21,17:18:01,1.95,0.94,0.36686775,29.59165489,-91.21413548
27,2021-08-21,17:18:02,2.32,0.94,0.365252,29.59165739,-91.21413286
28,2021-08-21,17:18:03,2.68,0.94,0.3341516,29.59165949,-91.21413008
29,2021-08-21,17:18:04,2.99,0.93,0.29688,29.59166112,-91.21412744
30,2021-08-21,17:18:05,3.27,0.93,0.27106738,29.5916625,-91.21412501
